ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
3259001,11/5/2016,FBS,Missouri,South Carolina,RUSHING,Damarea,Crockett,ATT,13
3259002,11/5/2016,FBS,Missouri,South Carolina,RUSHING,Damarea,Crockett,YDS,82
3259003,11/5/2016,FBS,Missouri,South Carolina,RUSHING,Damarea,Crockett,TD,1
3259004,11/5/2016,FBS,Missouri,South Carolina,RUSHING,Damarea,Crockett,LONG,29
3259005,11/5/2016,FBS,Missouri,South Carolina,RUSHING,Ish,Witter,ATT,11
3259006,11/5/2016,FBS,Missouri,South Carolina,RUSHING,Ish,Witter,YDS,80
3259007,11/5/2016,FBS,Missouri,South Carolina,RUSHING,Ish,Witter,TD,1
3259008,11/5/2016,FBS,Missouri,South Carolina,RUSHING,Ish,Witter,LONG,25
3259009,11/5/2016,FBS,Missouri,South Carolina,RUSHING,Marvin,Zanders,ATT,1
3259010,11/5/2016,FBS,Missouri,South Carolina,RUSHING,Marvin,Zanders,YDS,6
3259011,11/5/2016,FBS,Missouri,South Carolina,RUSHING,Marvin,Zanders,TD,0
3259012,11/5/2016,FBS,Missouri,South Carolina,RUSHING,Marvin,Zanders,LONG,6
3259013,11/5/2016,FBS,Missouri,South Carolina,RUSHING,Drew,Lock,ATT,9
3259014,11/5/2016,FBS,Missouri,South Carolina,RUSHING,Drew,Lock,YDS,3
3259015,11/5/2016,FBS,Missouri,South Carolina,RUSHING,Drew,Lock,TD,0
3259016,11/5/2016,FBS,Missouri,South Carolina,RUSHING,Drew,Lock,LONG,12
3259017,11/5/2016,FBS,Missouri,South Carolina,RUSHING,Josh,Augusta,ATT,1
3259018,11/5/2016,FBS,Missouri,South Carolina,RUSHING,Josh,Augusta,YDS,2
3259019,11/5/2016,FBS,Missouri,South Carolina,RUSHING,Josh,Augusta,TD,0
3259020,11/5/2016,FBS,Missouri,South Carolina,RUSHING,Josh,Augusta,LONG,2
3259021,11/5/2016,FBS,Missouri,South Carolina,RUSHING,Eric,Laurent,ATT,1
3259022,11/5/2016,FBS,Missouri,South Carolina,RUSHING,Eric,Laurent,YDS,-10
3259023,11/5/2016,FBS,Missouri,South Carolina,RUSHING,Eric,Laurent,TD,0
3259024,11/5/2016,FBS,Missouri,South Carolina,RUSHING,Eric,Laurent,LONG,-10
3259025,11/5/2016,FBS,Missouri,South Carolina,PASSING,Drew,Lock,CP-ATT-INT,23-40-2
3259026,11/5/2016,FBS,Missouri,South Carolina,PASSING,Drew,Lock,YDS,302
3259027,11/5/2016,FBS,Missouri,South Carolina,PASSING,Drew,Lock,TD,1
3259028,11/5/2016,FBS,Missouri,South Carolina,PASSING,Drew,Lock,LONG,37
3259029,11/5/2016,FBS,Missouri,South Carolina,RECEIVING,Dimetrios,Mason,REC,8
3259030,11/5/2016,FBS,Missouri,South Carolina,RECEIVING,Dimetrios,Mason,YDS,88
3259031,11/5/2016,FBS,Missouri,South Carolina,RECEIVING,Dimetrios,Mason,TD,0
3259032,11/5/2016,FBS,Missouri,South Carolina,RECEIVING,Dimetrios,Mason,LONG,27
3259033,11/5/2016,FBS,Missouri,South Carolina,RECEIVING,J'Mon,Moore,REC,6
3259034,11/5/2016,FBS,Missouri,South Carolina,RECEIVING,J'Mon,Moore,YDS,54
3259035,11/5/2016,FBS,Missouri,South Carolina,RECEIVING,J'Mon,Moore,TD,0
3259036,11/5/2016,FBS,Missouri,South Carolina,RECEIVING,J'Mon,Moore,LONG,12
3259037,11/5/2016,FBS,Missouri,South Carolina,RECEIVING,Sean,Culkin,REC,2
3259038,11/5/2016,FBS,Missouri,South Carolina,RECEIVING,Sean,Culkin,YDS,43
3259039,11/5/2016,FBS,Missouri,South Carolina,RECEIVING,Sean,Culkin,TD,0
3259040,11/5/2016,FBS,Missouri,South Carolina,RECEIVING,Sean,Culkin,LONG,23
3259041,11/5/2016,FBS,Missouri,South Carolina,RECEIVING,Kendall,Blanton,REC,4
3259042,11/5/2016,FBS,Missouri,South Carolina,RECEIVING,Kendall,Blanton,YDS,42
3259043,11/5/2016,FBS,Missouri,South Carolina,RECEIVING,Kendall,Blanton,TD,1
3259044,11/5/2016,FBS,Missouri,South Carolina,RECEIVING,Kendall,Blanton,LONG,19
3259045,11/5/2016,FBS,Missouri,South Carolina,RECEIVING,Richaud,Floyd,REC,1
3259046,11/5/2016,FBS,Missouri,South Carolina,RECEIVING,Richaud,Floyd,YDS,37
3259047,11/5/2016,FBS,Missouri,South Carolina,RECEIVING,Richaud,Floyd,TD,0
3259048,11/5/2016,FBS,Missouri,South Carolina,RECEIVING,Richaud,Floyd,LONG,37
3259049,11/5/2016,FBS,Missouri,South Carolina,RECEIVING,Chris,Black,REC,1
3259050,11/5/2016,FBS,Missouri,South Carolina,RECEIVING,Chris,Black,YDS,33
3259051,11/5/2016,FBS,Missouri,South Carolina,RECEIVING,Chris,Black,TD,0
3259052,11/5/2016,FBS,Missouri,South Carolina,RECEIVING,Chris,Black,LONG,33
3259053,11/5/2016,FBS,Missouri,South Carolina,RECEIVING,Johnathon,Johnson,REC,1
3259054,11/5/2016,FBS,Missouri,South Carolina,RECEIVING,Johnathon,Johnson,YDS,5
3259055,11/5/2016,FBS,Missouri,South Carolina,RECEIVING,Johnathon,Johnson,TD,0
3259056,11/5/2016,FBS,Missouri,South Carolina,RECEIVING,Johnathon,Johnson,LONG,5
3259057,11/5/2016,FBS,Missouri,South Carolina,KICKING,Turner,Adams,FG-FGA,0/1
3259058,11/5/2016,FBS,Missouri,South Carolina,KICKING,Turner,Adams,LONG,0
3259059,11/5/2016,FBS,Missouri,South Carolina,KICKING,Turner,Adams,XP,3
3259060,11/5/2016,FBS,Missouri,South Carolina,KICKING,Turner,Adams,PTS,3
3259061,11/5/2016,FBS,Missouri,South Carolina,KICKING,Tucker,McCann,FG-FGA,0/1
3259062,11/5/2016,FBS,Missouri,South Carolina,KICKING,Tucker,McCann,LONG,0
3259063,11/5/2016,FBS,Missouri,South Carolina,KICKING,Tucker,McCann,XP,0
3259064,11/5/2016,FBS,Missouri,South Carolina,KICKING,Tucker,McCann,PTS,0
