ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
3261001,11/8/2016,FBS,Western Mich.,Kent State,RUSHING,Jarvion,Franklin,ATT,31
3261002,11/8/2016,FBS,Western Mich.,Kent State,RUSHING,Jarvion,Franklin,YDS,134
3261003,11/8/2016,FBS,Western Mich.,Kent State,RUSHING,Jarvion,Franklin,TD,1
3261004,11/8/2016,FBS,Western Mich.,Kent State,RUSHING,Jarvion,Franklin,LONG,19
3261005,11/8/2016,FBS,Western Mich.,Kent State,RUSHING,Fabian,Johnson,ATT,19
3261006,11/8/2016,FBS,Western Mich.,Kent State,RUSHING,Fabian,Johnson,YDS,125
3261007,11/8/2016,FBS,Western Mich.,Kent State,RUSHING,Fabian,Johnson,TD,1
3261008,11/8/2016,FBS,Western Mich.,Kent State,RUSHING,Fabian,Johnson,LONG,22
3261009,11/8/2016,FBS,Western Mich.,Kent State,RUSHING,Zach,Terrell,ATT,8
3261010,11/8/2016,FBS,Western Mich.,Kent State,RUSHING,Zach,Terrell,YDS,39
3261011,11/8/2016,FBS,Western Mich.,Kent State,RUSHING,Zach,Terrell,TD,1
3261012,11/8/2016,FBS,Western Mich.,Kent State,RUSHING,Zach,Terrell,LONG,11
3261013,11/8/2016,FBS,Western Mich.,Kent State,RUSHING,Davon,Tucker,ATT,5
3261014,11/8/2016,FBS,Western Mich.,Kent State,RUSHING,Davon,Tucker,YDS,16
3261015,11/8/2016,FBS,Western Mich.,Kent State,RUSHING,Davon,Tucker,TD,1
3261016,11/8/2016,FBS,Western Mich.,Kent State,RUSHING,Davon,Tucker,LONG,6
3261017,11/8/2016,FBS,Western Mich.,Kent State,RUSHING,D'Wayne,Eskridge,ATT,1
3261018,11/8/2016,FBS,Western Mich.,Kent State,RUSHING,D'Wayne,Eskridge,YDS,15
3261019,11/8/2016,FBS,Western Mich.,Kent State,RUSHING,D'Wayne,Eskridge,TD,0
3261020,11/8/2016,FBS,Western Mich.,Kent State,RUSHING,D'Wayne,Eskridge,LONG,15
3261021,11/8/2016,FBS,Western Mich.,Kent State,PASSING,Zach,Terrell,CP-ATT-INT,6-13-0
3261022,11/8/2016,FBS,Western Mich.,Kent State,PASSING,Zach,Terrell,YDS,83
3261023,11/8/2016,FBS,Western Mich.,Kent State,PASSING,Zach,Terrell,TD,0
