ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
3456001,12/3/2016,FBS,Georgia State,Idaho,RUSHING,Kyler,Neal,ATT,15
3456002,12/3/2016,FBS,Georgia State,Idaho,RUSHING,Kyler,Neal,YDS,46
3456003,12/3/2016,FBS,Georgia State,Idaho,RUSHING,Kyler,Neal,TD,0
3456004,12/3/2016,FBS,Georgia State,Idaho,RUSHING,Kyler,Neal,LONG,9
3456005,12/3/2016,FBS,Georgia State,Idaho,RUSHING,Conner,Manning,ATT,4
3456006,12/3/2016,FBS,Georgia State,Idaho,RUSHING,Conner,Manning,YDS,30
3456007,12/3/2016,FBS,Georgia State,Idaho,RUSHING,Conner,Manning,TD,0
3456008,12/3/2016,FBS,Georgia State,Idaho,RUSHING,Conner,Manning,LONG,11
3456009,12/3/2016,FBS,Georgia State,Idaho,RUSHING,Aaron,Winchester,ATT,1
3456010,12/3/2016,FBS,Georgia State,Idaho,RUSHING,Aaron,Winchester,YDS,7
3456011,12/3/2016,FBS,Georgia State,Idaho,RUSHING,Aaron,Winchester,TD,0
3456012,12/3/2016,FBS,Georgia State,Idaho,RUSHING,Aaron,Winchester,LONG,7
3456013,12/3/2016,FBS,Georgia State,Idaho,RUSHING,Tra,Barnett,ATT,1
3456014,12/3/2016,FBS,Georgia State,Idaho,RUSHING,Tra,Barnett,YDS,7
3456015,12/3/2016,FBS,Georgia State,Idaho,RUSHING,Tra,Barnett,TD,0
3456016,12/3/2016,FBS,Georgia State,Idaho,RUSHING,Tra,Barnett,LONG,7
3456017,12/3/2016,FBS,Georgia State,Idaho,RUSHING,Glenn,Smith,ATT,2
3456018,12/3/2016,FBS,Georgia State,Idaho,RUSHING,Glenn,Smith,YDS,2
3456019,12/3/2016,FBS,Georgia State,Idaho,RUSHING,Glenn,Smith,TD,0
3456020,12/3/2016,FBS,Georgia State,Idaho,RUSHING,Glenn,Smith,LONG,2
3456021,12/3/2016,FBS,Georgia State,Idaho,RUSHING,Darius,Stubbs,ATT,1
3456022,12/3/2016,FBS,Georgia State,Idaho,RUSHING,Darius,Stubbs,YDS,0
3456023,12/3/2016,FBS,Georgia State,Idaho,RUSHING,Darius,Stubbs,TD,0
3456024,12/3/2016,FBS,Georgia State,Idaho,RUSHING,Darius,Stubbs,LONG,0
3456025,12/3/2016,FBS,Georgia State,Idaho,PASSING,Conner,Manning,CP-ATT-INT,22-37-4
3456026,12/3/2016,FBS,Georgia State,Idaho,PASSING,Conner,Manning,YDS,266
3456027,12/3/2016,FBS,Georgia State,Idaho,PASSING,Conner,Manning,TD,2
3456028,12/3/2016,FBS,Georgia State,Idaho,PASSING,Conner,Manning,LONG,63
3456029,12/3/2016,FBS,Georgia State,Idaho,RECEIVING,Robert,Davis,REC,9
3456030,12/3/2016,FBS,Georgia State,Idaho,RECEIVING,Robert,Davis,YDS,112
3456031,12/3/2016,FBS,Georgia State,Idaho,RECEIVING,Robert,Davis,TD,0
3456032,12/3/2016,FBS,Georgia State,Idaho,RECEIVING,Robert,Davis,LONG,26
3456033,12/3/2016,FBS,Georgia State,Idaho,RECEIVING,Jawan,Nobles,REC,4
3456034,12/3/2016,FBS,Georgia State,Idaho,RECEIVING,Jawan,Nobles,YDS,76
3456035,12/3/2016,FBS,Georgia State,Idaho,RECEIVING,Jawan,Nobles,TD,1
3456036,12/3/2016,FBS,Georgia State,Idaho,RECEIVING,Jawan,Nobles,LONG,63
3456037,12/3/2016,FBS,Georgia State,Idaho,RECEIVING,Ari,Werts,REC,4
3456038,12/3/2016,FBS,Georgia State,Idaho,RECEIVING,Ari,Werts,YDS,42
3456039,12/3/2016,FBS,Georgia State,Idaho,RECEIVING,Ari,Werts,TD,1
3456040,12/3/2016,FBS,Georgia State,Idaho,RECEIVING,Ari,Werts,LONG,19
3456041,12/3/2016,FBS,Georgia State,Idaho,RECEIVING,Glenn,Smith,REC,4
3456042,12/3/2016,FBS,Georgia State,Idaho,RECEIVING,Glenn,Smith,YDS,19
3456043,12/3/2016,FBS,Georgia State,Idaho,RECEIVING,Glenn,Smith,TD,0
3456044,12/3/2016,FBS,Georgia State,Idaho,RECEIVING,Glenn,Smith,LONG,6
