ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
2732001,9/10/2016,FBS,Eastern Illinois,Miami (Ohio),RUSHING,Mitch,Kimble,ATT,10
2732002,9/10/2016,FBS,Eastern Illinois,Miami (Ohio),RUSHING,Mitch,Kimble,YDS,49
2732003,9/10/2016,FBS,Eastern Illinois,Miami (Ohio),RUSHING,Mitch,Kimble,TD,0
2732004,9/10/2016,FBS,Eastern Illinois,Miami (Ohio),RUSHING,Mitch,Kimble,LONG,14
2732005,9/10/2016,FBS,Eastern Illinois,Miami (Ohio),RUSHING,Devin,Church,ATT,18
2732006,9/10/2016,FBS,Eastern Illinois,Miami (Ohio),RUSHING,Devin,Church,YDS,38
2732007,9/10/2016,FBS,Eastern Illinois,Miami (Ohio),RUSHING,Devin,Church,TD,0
2732008,9/10/2016,FBS,Eastern Illinois,Miami (Ohio),RUSHING,Devin,Church,LONG,11
2732009,9/10/2016,FBS,Eastern Illinois,Miami (Ohio),RUSHING,Korliss,Marshall,ATT,4
2732010,9/10/2016,FBS,Eastern Illinois,Miami (Ohio),RUSHING,Korliss,Marshall,YDS,27
2732011,9/10/2016,FBS,Eastern Illinois,Miami (Ohio),RUSHING,Korliss,Marshall,TD,0
2732012,9/10/2016,FBS,Eastern Illinois,Miami (Ohio),RUSHING,Korliss,Marshall,LONG,18
2732013,9/10/2016,FBS,Eastern Illinois,Miami (Ohio),RUSHING,Darshon,McCullough,ATT,2
2732014,9/10/2016,FBS,Eastern Illinois,Miami (Ohio),RUSHING,Darshon,McCullough,YDS,23
2732015,9/10/2016,FBS,Eastern Illinois,Miami (Ohio),RUSHING,Darshon,McCullough,TD,0
2732016,9/10/2016,FBS,Eastern Illinois,Miami (Ohio),RUSHING,Darshon,McCullough,LONG,23
2732017,9/10/2016,FBS,Eastern Illinois,Miami (Ohio),RUSHING,Austin,Green,ATT,1
2732018,9/10/2016,FBS,Eastern Illinois,Miami (Ohio),RUSHING,Austin,Green,YDS,5
2732019,9/10/2016,FBS,Eastern Illinois,Miami (Ohio),RUSHING,Austin,Green,TD,0
2732020,9/10/2016,FBS,Eastern Illinois,Miami (Ohio),RUSHING,Austin,Green,LONG,5
2732021,9/10/2016,FBS,Eastern Illinois,Miami (Ohio),PASSING,Mitch,Kimble,CP-ATT-INT,19-32-1
2732022,9/10/2016,FBS,Eastern Illinois,Miami (Ohio),PASSING,Mitch,Kimble,YDS,150
2732023,9/10/2016,FBS,Eastern Illinois,Miami (Ohio),PASSING,Mitch,Kimble,TD,3
2732024,9/10/2016,FBS,Eastern Illinois,Miami (Ohio),PASSING,Mitch,Kimble,LONG,16
2732025,9/10/2016,FBS,Eastern Illinois,Miami (Ohio),PASSING,Austin,Green,CP-ATT-INT,2-3-0
2732026,9/10/2016,FBS,Eastern Illinois,Miami (Ohio),PASSING,Austin,Green,YDS,24
2732027,9/10/2016,FBS,Eastern Illinois,Miami (Ohio),PASSING,Austin,Green,TD,0
2732028,9/10/2016,FBS,Eastern Illinois,Miami (Ohio),PASSING,Austin,Green,LONG,23
2732029,9/10/2016,FBS,Eastern Illinois,Miami (Ohio),PASSING,Bud,Martin,CP-ATT-INT,0-1-0
2732030,9/10/2016,FBS,Eastern Illinois,Miami (Ohio),PASSING,Bud,Martin,YDS,0
2732031,9/10/2016,FBS,Eastern Illinois,Miami (Ohio),PASSING,Bud,Martin,TD,0
2732032,9/10/2016,FBS,Eastern Illinois,Miami (Ohio),PASSING,Bud,Martin,LONG,0
2732033,9/10/2016,FBS,Eastern Illinois,Miami (Ohio),RECEIVING,Paul,Gossage,REC,5
2732034,9/10/2016,FBS,Eastern Illinois,Miami (Ohio),RECEIVING,Paul,Gossage,YDS,39
2732035,9/10/2016,FBS,Eastern Illinois,Miami (Ohio),RECEIVING,Paul,Gossage,TD,0
2732036,9/10/2016,FBS,Eastern Illinois,Miami (Ohio),RECEIVING,Paul,Gossage,LONG,15
2732037,9/10/2016,FBS,Eastern Illinois,Miami (Ohio),RECEIVING,Aaron,Gooch,REC,2
2732038,9/10/2016,FBS,Eastern Illinois,Miami (Ohio),RECEIVING,Aaron,Gooch,YDS,31
2732039,9/10/2016,FBS,Eastern Illinois,Miami (Ohio),RECEIVING,Aaron,Gooch,TD,0
2732040,9/10/2016,FBS,Eastern Illinois,Miami (Ohio),RECEIVING,Aaron,Gooch,LONG,16
2732041,9/10/2016,FBS,Eastern Illinois,Miami (Ohio),RECEIVING,Mitch,Kimble,REC,1
2732042,9/10/2016,FBS,Eastern Illinois,Miami (Ohio),RECEIVING,Mitch,Kimble,YDS,23
2732043,9/10/2016,FBS,Eastern Illinois,Miami (Ohio),RECEIVING,Mitch,Kimble,TD,0
2732044,9/10/2016,FBS,Eastern Illinois,Miami (Ohio),RECEIVING,Mitch,Kimble,LONG,23
2732045,9/10/2016,FBS,Eastern Illinois,Miami (Ohio),RECEIVING,Dennis,Turner,REC,3
2732046,9/10/2016,FBS,Eastern Illinois,Miami (Ohio),RECEIVING,Dennis,Turner,YDS,19
2732047,9/10/2016,FBS,Eastern Illinois,Miami (Ohio),RECEIVING,Dennis,Turner,TD,1
2732048,9/10/2016,FBS,Eastern Illinois,Miami (Ohio),RECEIVING,Dennis,Turner,LONG,9
2732049,9/10/2016,FBS,Eastern Illinois,Miami (Ohio),RECEIVING,Addison,Bounds,REC,2
2732050,9/10/2016,FBS,Eastern Illinois,Miami (Ohio),RECEIVING,Addison,Bounds,YDS,19
2732051,9/10/2016,FBS,Eastern Illinois,Miami (Ohio),RECEIVING,Addison,Bounds,TD,1
2732052,9/10/2016,FBS,Eastern Illinois,Miami (Ohio),RECEIVING,Addison,Bounds,LONG,16
2732053,9/10/2016,FBS,Eastern Illinois,Miami (Ohio),RECEIVING,Devin,Church,REC,4
2732054,9/10/2016,FBS,Eastern Illinois,Miami (Ohio),RECEIVING,Devin,Church,YDS,18
2732055,9/10/2016,FBS,Eastern Illinois,Miami (Ohio),RECEIVING,Devin,Church,TD,1
2732056,9/10/2016,FBS,Eastern Illinois,Miami (Ohio),RECEIVING,Devin,Church,LONG,7
2732057,9/10/2016,FBS,Eastern Illinois,Miami (Ohio),RECEIVING,Korliss,Marshall,REC,2
2732058,9/10/2016,FBS,Eastern Illinois,Miami (Ohio),RECEIVING,Korliss,Marshall,YDS,9
2732059,9/10/2016,FBS,Eastern Illinois,Miami (Ohio),RECEIVING,Korliss,Marshall,TD,0
2732060,9/10/2016,FBS,Eastern Illinois,Miami (Ohio),RECEIVING,Korliss,Marshall,LONG,12
2732061,9/10/2016,FBS,Eastern Illinois,Miami (Ohio),RECEIVING,Anthony,Taylor,REC,1
2732062,9/10/2016,FBS,Eastern Illinois,Miami (Ohio),RECEIVING,Anthony,Taylor,YDS,8
2732063,9/10/2016,FBS,Eastern Illinois,Miami (Ohio),RECEIVING,Anthony,Taylor,TD,0
