ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
2849001,9/17/2016,FBS,Miami (Fla.),Appalachian St.,RUSHING,Mark,Walton,ATT,16
2849002,9/17/2016,FBS,Miami (Fla.),Appalachian St.,RUSHING,Mark,Walton,YDS,130
2849003,9/17/2016,FBS,Miami (Fla.),Appalachian St.,RUSHING,Mark,Walton,TD,2
2849004,9/17/2016,FBS,Miami (Fla.),Appalachian St.,RUSHING,Mark,Walton,LONG,80
2849005,9/17/2016,FBS,Miami (Fla.),Appalachian St.,RUSHING,Joseph,Yearby,ATT,8
2849006,9/17/2016,FBS,Miami (Fla.),Appalachian St.,RUSHING,Joseph,Yearby,YDS,30
2849007,9/17/2016,FBS,Miami (Fla.),Appalachian St.,RUSHING,Joseph,Yearby,TD,1
2849008,9/17/2016,FBS,Miami (Fla.),Appalachian St.,RUSHING,Joseph,Yearby,LONG,12
2849009,9/17/2016,FBS,Miami (Fla.),Appalachian St.,RUSHING,Gus,Edwards,ATT,4
2849010,9/17/2016,FBS,Miami (Fla.),Appalachian St.,RUSHING,Gus,Edwards,YDS,14
2849011,9/17/2016,FBS,Miami (Fla.),Appalachian St.,RUSHING,Gus,Edwards,TD,0
2849012,9/17/2016,FBS,Miami (Fla.),Appalachian St.,RUSHING,Gus,Edwards,LONG,7
2849013,9/17/2016,FBS,Miami (Fla.),Appalachian St.,RUSHING,,Team,ATT,2
2849014,9/17/2016,FBS,Miami (Fla.),Appalachian St.,RUSHING,,Team,YDS,-2
2849015,9/17/2016,FBS,Miami (Fla.),Appalachian St.,RUSHING,,Team,TD,0
2849016,9/17/2016,FBS,Miami (Fla.),Appalachian St.,RUSHING,,Team,LONG,-1
2849017,9/17/2016,FBS,Miami (Fla.),Appalachian St.,RUSHING,Brad,Kaaya,ATT,1
2849018,9/17/2016,FBS,Miami (Fla.),Appalachian St.,RUSHING,Brad,Kaaya,YDS,-8
2849019,9/17/2016,FBS,Miami (Fla.),Appalachian St.,RUSHING,Brad,Kaaya,TD,0
2849020,9/17/2016,FBS,Miami (Fla.),Appalachian St.,RUSHING,Brad,Kaaya,LONG,-8
2849021,9/17/2016,FBS,Miami (Fla.),Appalachian St.,PASSING,Brad,Kaaya,CP-ATT-INT,21-27-1
