ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
2809001,9/17/2016,FBS,S. Carolina St.,Clemson,RUSHING,LaBron,Morris,ATT,12
2809002,9/17/2016,FBS,S. Carolina St.,Clemson,RUSHING,LaBron,Morris,YDS,41
2809003,9/17/2016,FBS,S. Carolina St.,Clemson,RUSHING,LaBron,Morris,TD,0
2809004,9/17/2016,FBS,S. Carolina St.,Clemson,RUSHING,LaBron,Morris,LONG,20
2809005,9/17/2016,FBS,S. Carolina St.,Clemson,RUSHING,Dondre,Brown,ATT,10
2809006,9/17/2016,FBS,S. Carolina St.,Clemson,RUSHING,Dondre,Brown,YDS,29
2809007,9/17/2016,FBS,S. Carolina St.,Clemson,RUSHING,Dondre,Brown,TD,0
2809008,9/17/2016,FBS,S. Carolina St.,Clemson,RUSHING,Dondre,Brown,LONG,11
2809009,9/17/2016,FBS,S. Carolina St.,Clemson,RUSHING,Dewann,Ford,ATT,2
2809010,9/17/2016,FBS,S. Carolina St.,Clemson,RUSHING,Dewann,Ford,YDS,-9
2809011,9/17/2016,FBS,S. Carolina St.,Clemson,RUSHING,Dewann,Ford,TD,0
2809012,9/17/2016,FBS,S. Carolina St.,Clemson,RUSHING,Dewann,Ford,LONG,1
2809013,9/17/2016,FBS,S. Carolina St.,Clemson,RUSHING,Caleb,York,ATT,8
2809014,9/17/2016,FBS,S. Carolina St.,Clemson,RUSHING,Caleb,York,YDS,-13
2809015,9/17/2016,FBS,S. Carolina St.,Clemson,RUSHING,Caleb,York,TD,0
2809016,9/17/2016,FBS,S. Carolina St.,Clemson,RUSHING,Caleb,York,LONG,5
2809017,9/17/2016,FBS,S. Carolina St.,Clemson,PASSING,Caleb,York,CP-ATT-INT,8-22-1
2809018,9/17/2016,FBS,S. Carolina St.,Clemson,PASSING,Caleb,York,YDS,54
2809019,9/17/2016,FBS,S. Carolina St.,Clemson,PASSING,Caleb,York,TD,0
2809020,9/17/2016,FBS,S. Carolina St.,Clemson,PASSING,Caleb,York,LONG,16
2809021,9/17/2016,FBS,S. Carolina St.,Clemson,PASSING,Dewann,Ford,CP-ATT-INT,0-1-0
2809022,9/17/2016,FBS,S. Carolina St.,Clemson,PASSING,Dewann,Ford,YDS,0
2809023,9/17/2016,FBS,S. Carolina St.,Clemson,PASSING,Dewann,Ford,TD,0
2809024,9/17/2016,FBS,S. Carolina St.,Clemson,PASSING,Dewann,Ford,LONG,0
2809025,9/17/2016,FBS,S. Carolina St.,Clemson,RECEIVING,Lynard,Jamison,REC,3
2809026,9/17/2016,FBS,S. Carolina St.,Clemson,RECEIVING,Lynard,Jamison,YDS,33
2809027,9/17/2016,FBS,S. Carolina St.,Clemson,RECEIVING,Lynard,Jamison,TD,0
2809028,9/17/2016,FBS,S. Carolina St.,Clemson,RECEIVING,Lynard,Jamison,LONG,16
2809029,9/17/2016,FBS,S. Carolina St.,Clemson,RECEIVING,Kanome,McIntosh,REC,2
2809030,9/17/2016,FBS,S. Carolina St.,Clemson,RECEIVING,Kanome,McIntosh,YDS,9
2809031,9/17/2016,FBS,S. Carolina St.,Clemson,RECEIVING,Kanome,McIntosh,TD,0
2809032,9/17/2016,FBS,S. Carolina St.,Clemson,RECEIVING,Kanome,McIntosh,LONG,7
2809033,9/17/2016,FBS,S. Carolina St.,Clemson,RECEIVING,Austin,Ruger,REC,1
2809034,9/17/2016,FBS,S. Carolina St.,Clemson,RECEIVING,Austin,Ruger,YDS,7
2809035,9/17/2016,FBS,S. Carolina St.,Clemson,RECEIVING,Austin,Ruger,TD,0
2809036,9/17/2016,FBS,S. Carolina St.,Clemson,RECEIVING,Austin,Ruger,LONG,7
2809037,9/17/2016,FBS,S. Carolina St.,Clemson,RECEIVING,LaBron,Morris,REC,1
2809038,9/17/2016,FBS,S. Carolina St.,Clemson,RECEIVING,LaBron,Morris,YDS,5
2809039,9/17/2016,FBS,S. Carolina St.,Clemson,RECEIVING,LaBron,Morris,TD,0
2809040,9/17/2016,FBS,S. Carolina St.,Clemson,RECEIVING,LaBron,Morris,LONG,5
2809041,9/17/2016,FBS,S. Carolina St.,Clemson,RECEIVING,Tra',QuanDubose,REC,1
2809042,9/17/2016,FBS,S. Carolina St.,Clemson,RECEIVING,Tra',QuanDubose,YDS,0
2809043,9/17/2016,FBS,S. Carolina St.,Clemson,RECEIVING,Tra',QuanDubose,TD,0
2809044,9/17/2016,FBS,S. Carolina St.,Clemson,RECEIVING,Tra',QuanDubose,LONG,0
2809045,9/17/2016,FBS,S. Carolina St.,Clemson,PUNTING,Jerome,Pettiway,NO,10
2809046,9/17/2016,FBS,S. Carolina St.,Clemson,PUNTING,Jerome,Pettiway,YDS,401
2809047,9/17/2016,FBS,S. Carolina St.,Clemson,PUNTING,Jerome,Pettiway,AVG,40.1
2809048,9/17/2016,FBS,S. Carolina St.,Clemson,PUNTING,Jerome,Pettiway,LONG,55
2809049,9/17/2016,FBS,S. Carolina St.,Clemson,PUNT RETURNS,Ahmaad,Harris,NO,1
2809050,9/17/2016,FBS,S. Carolina St.,Clemson,PUNT RETURNS,Ahmaad,Harris,YDS,2
2809051,9/17/2016,FBS,S. Carolina St.,Clemson,PUNT RETURNS,Ahmaad,Harris,AVG,2.0
2809052,9/17/2016,FBS,S. Carolina St.,Clemson,PUNT RETURNS,Ahmaad,Harris,LONG,2
2809053,9/17/2016,FBS,S. Carolina St.,Clemson,KICK RETURNS,Ahmaad,Harris,NO,4
2809054,9/17/2016,FBS,S. Carolina St.,Clemson,KICK RETURNS,Ahmaad,Harris,YDS,50
2809055,9/17/2016,FBS,S. Carolina St.,Clemson,KICK RETURNS,Ahmaad,Harris,AVG,12.5
