ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
2903001,9/24/2016,FBS,UCF,FIU,RUSHING,Adrian,Killins,ATT,6
2903002,9/24/2016,FBS,UCF,FIU,RUSHING,Adrian,Killins,YDS,86
2903003,9/24/2016,FBS,UCF,FIU,RUSHING,Adrian,Killins,TD,1
2903004,9/24/2016,FBS,UCF,FIU,RUSHING,Adrian,Killins,LONG,61
2903005,9/24/2016,FBS,UCF,FIU,RUSHING,Dontravious,Wilson,ATT,11
2903006,9/24/2016,FBS,UCF,FIU,RUSHING,Dontravious,Wilson,YDS,58
2903007,9/24/2016,FBS,UCF,FIU,RUSHING,Dontravious,Wilson,TD,3
2903008,9/24/2016,FBS,UCF,FIU,RUSHING,Dontravious,Wilson,LONG,15
2903009,9/24/2016,FBS,UCF,FIU,RUSHING,C.J.,Jones,ATT,6
2903010,9/24/2016,FBS,UCF,FIU,RUSHING,C.J.,Jones,YDS,29
2903011,9/24/2016,FBS,UCF,FIU,RUSHING,C.J.,Jones,TD,1
2903012,9/24/2016,FBS,UCF,FIU,RUSHING,C.J.,Jones,LONG,14
2903013,9/24/2016,FBS,UCF,FIU,RUSHING,McKenzie,Milton,ATT,8
2903014,9/24/2016,FBS,UCF,FIU,RUSHING,McKenzie,Milton,YDS,28
2903015,9/24/2016,FBS,UCF,FIU,RUSHING,McKenzie,Milton,TD,0
2903016,9/24/2016,FBS,UCF,FIU,RUSHING,McKenzie,Milton,LONG,13
2903017,9/24/2016,FBS,UCF,FIU,RUSHING,Nick,Patti,ATT,2
2903018,9/24/2016,FBS,UCF,FIU,RUSHING,Nick,Patti,YDS,25
2903019,9/24/2016,FBS,UCF,FIU,RUSHING,Nick,Patti,TD,1
2903020,9/24/2016,FBS,UCF,FIU,RUSHING,Nick,Patti,LONG,16
2903021,9/24/2016,FBS,UCF,FIU,RUSHING,Jawon,Hamilton,ATT,8
2903022,9/24/2016,FBS,UCF,FIU,RUSHING,Jawon,Hamilton,YDS,22
2903023,9/24/2016,FBS,UCF,FIU,RUSHING,Jawon,Hamilton,TD,0
2903024,9/24/2016,FBS,UCF,FIU,RUSHING,Jawon,Hamilton,LONG,9
2903025,9/24/2016,FBS,UCF,FIU,RUSHING,Taj,McGowan,ATT,8
2903026,9/24/2016,FBS,UCF,FIU,RUSHING,Taj,McGowan,YDS,15
2903027,9/24/2016,FBS,UCF,FIU,RUSHING,Taj,McGowan,TD,0
2903028,9/24/2016,FBS,UCF,FIU,RUSHING,Taj,McGowan,LONG,7
2903029,9/24/2016,FBS,UCF,FIU,RUSHING,Michael,Willett,ATT,4
2903030,9/24/2016,FBS,UCF,FIU,RUSHING,Michael,Willett,YDS,13
2903031,9/24/2016,FBS,UCF,FIU,RUSHING,Michael,Willett,TD,0
2903032,9/24/2016,FBS,UCF,FIU,RUSHING,Michael,Willett,LONG,5
2903033,9/24/2016,FBS,UCF,FIU,RUSHING,Jaquarius,Bargnare,ATT,1
2903034,9/24/2016,FBS,UCF,FIU,RUSHING,Jaquarius,Bargnare,YDS,5
2903035,9/24/2016,FBS,UCF,FIU,RUSHING,Jaquarius,Bargnare,TD,0
2903036,9/24/2016,FBS,UCF,FIU,RUSHING,Jaquarius,Bargnare,LONG,5
