ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
3917001,10/14/2017,FBS,New Mexico St.,Ga. Southern,RUSHING,Jason,Huntley,ATT,16
3917002,10/14/2017,FBS,New Mexico St.,Ga. Southern,RUSHING,Jason,Huntley,YDS,99
3917003,10/14/2017,FBS,New Mexico St.,Ga. Southern,RUSHING,Jason,Huntley,TD,0
3917004,10/14/2017,FBS,New Mexico St.,Ga. Southern,RUSHING,Jason,Huntley,LONG,23
3917005,10/14/2017,FBS,New Mexico St.,Ga. Southern,RUSHING,Tyler,Rogers,ATT,8
3917006,10/14/2017,FBS,New Mexico St.,Ga. Southern,RUSHING,Tyler,Rogers,YDS,16
3917007,10/14/2017,FBS,New Mexico St.,Ga. Southern,RUSHING,Tyler,Rogers,TD,1
3917008,10/14/2017,FBS,New Mexico St.,Ga. Southern,RUSHING,Tyler,Rogers,LONG,9
3917009,10/14/2017,FBS,New Mexico St.,Ga. Southern,RUSHING,,Team,ATT,2
3917010,10/14/2017,FBS,New Mexico St.,Ga. Southern,RUSHING,,Team,YDS,-9
3917011,10/14/2017,FBS,New Mexico St.,Ga. Southern,RUSHING,,Team,TD,0
3917012,10/14/2017,FBS,New Mexico St.,Ga. Southern,RUSHING,,Team,LONG,-4
3917013,10/14/2017,FBS,New Mexico St.,Ga. Southern,PASSING,Tyler,Rogers,CP-ATT-INT,30-50-2
3917014,10/14/2017,FBS,New Mexico St.,Ga. Southern,PASSING,Tyler,Rogers,YDS,382
3917015,10/14/2017,FBS,New Mexico St.,Ga. Southern,PASSING,Tyler,Rogers,TD,3
3917016,10/14/2017,FBS,New Mexico St.,Ga. Southern,PASSING,Tyler,Rogers,LONG,59
3917017,10/14/2017,FBS,New Mexico St.,Ga. Southern,PASSING,Conner,Cramer,CP-ATT-INT,1-1-0
3917018,10/14/2017,FBS,New Mexico St.,Ga. Southern,PASSING,Conner,Cramer,YDS,17
3917019,10/14/2017,FBS,New Mexico St.,Ga. Southern,PASSING,Conner,Cramer,TD,1
3917020,10/14/2017,FBS,New Mexico St.,Ga. Southern,PASSING,Conner,Cramer,LONG,17
3917021,10/14/2017,FBS,New Mexico St.,Ga. Southern,PASSING,,Team,CP-ATT-INT,0-1-0
3917022,10/14/2017,FBS,New Mexico St.,Ga. Southern,PASSING,,Team,YDS,0
3917023,10/14/2017,FBS,New Mexico St.,Ga. Southern,PASSING,,Team,TD,0
3917024,10/14/2017,FBS,New Mexico St.,Ga. Southern,PASSING,,Team,LONG,0
3917025,10/14/2017,FBS,New Mexico St.,Ga. Southern,RECEIVING,Anthony,Muse,REC,5
3917026,10/14/2017,FBS,New Mexico St.,Ga. Southern,RECEIVING,Anthony,Muse,YDS,106
3917027,10/14/2017,FBS,New Mexico St.,Ga. Southern,RECEIVING,Anthony,Muse,TD,0
3917028,10/14/2017,FBS,New Mexico St.,Ga. Southern,RECEIVING,Anthony,Muse,LONG,28
3917029,10/14/2017,FBS,New Mexico St.,Ga. Southern,RECEIVING,Jason,Huntley,REC,10
3917030,10/14/2017,FBS,New Mexico St.,Ga. Southern,RECEIVING,Jason,Huntley,YDS,87
3917031,10/14/2017,FBS,New Mexico St.,Ga. Southern,RECEIVING,Jason,Huntley,TD,0
3917032,10/14/2017,FBS,New Mexico St.,Ga. Southern,RECEIVING,Jason,Huntley,LONG,39
3917033,10/14/2017,FBS,New Mexico St.,Ga. Southern,RECEIVING,Gregory,Hogan,REC,4
3917034,10/14/2017,FBS,New Mexico St.,Ga. Southern,RECEIVING,Gregory,Hogan,YDS,86
3917035,10/14/2017,FBS,New Mexico St.,Ga. Southern,RECEIVING,Gregory,Hogan,TD,1
3917036,10/14/2017,FBS,New Mexico St.,Ga. Southern,RECEIVING,Gregory,Hogan,LONG,59
3917037,10/14/2017,FBS,New Mexico St.,Ga. Southern,RECEIVING,Jaleel,Scott,REC,6
3917038,10/14/2017,FBS,New Mexico St.,Ga. Southern,RECEIVING,Jaleel,Scott,YDS,52
3917039,10/14/2017,FBS,New Mexico St.,Ga. Southern,RECEIVING,Jaleel,Scott,TD,2
3917040,10/14/2017,FBS,New Mexico St.,Ga. Southern,RECEIVING,Jaleel,Scott,LONG,15
3917041,10/14/2017,FBS,New Mexico St.,Ga. Southern,RECEIVING,O.J.,Clark,REC,4
3917042,10/14/2017,FBS,New Mexico St.,Ga. Southern,RECEIVING,O.J.,Clark,YDS,51
3917043,10/14/2017,FBS,New Mexico St.,Ga. Southern,RECEIVING,O.J.,Clark,TD,0
3917044,10/14/2017,FBS,New Mexico St.,Ga. Southern,RECEIVING,O.J.,Clark,LONG,23
3917045,10/14/2017,FBS,New Mexico St.,Ga. Southern,RECEIVING,Bryce,Roberts,REC,1
3917046,10/14/2017,FBS,New Mexico St.,Ga. Southern,RECEIVING,Bryce,Roberts,YDS,17
3917047,10/14/2017,FBS,New Mexico St.,Ga. Southern,RECEIVING,Bryce,Roberts,TD,1
3917048,10/14/2017,FBS,New Mexico St.,Ga. Southern,RECEIVING,Bryce,Roberts,LONG,17
3917049,10/14/2017,FBS,New Mexico St.,Ga. Southern,RECEIVING,Josh,Aganon,REC,1
3917050,10/14/2017,FBS,New Mexico St.,Ga. Southern,RECEIVING,Josh,Aganon,YDS,0
3917051,10/14/2017,FBS,New Mexico St.,Ga. Southern,RECEIVING,Josh,Aganon,TD,0
3917052,10/14/2017,FBS,New Mexico St.,Ga. Southern,RECEIVING,Josh,Aganon,LONG,0
3917053,10/14/2017,FBS,New Mexico St.,Ga. Southern,KICKING,Dylan,Brown,FG-FGA,0/1
3917054,10/14/2017,FBS,New Mexico St.,Ga. Southern,KICKING,Dylan,Brown,LONG,0
3917055,10/14/2017,FBS,New Mexico St.,Ga. Southern,KICKING,Dylan,Brown,XP,5
3917056,10/14/2017,FBS,New Mexico St.,Ga. Southern,KICKING,Dylan,Brown,PTS,5
3917057,10/14/2017,FBS,New Mexico St.,Ga. Southern,PUNTING,Payton,Theisler,NO,3
3917058,10/14/2017,FBS,New Mexico St.,Ga. Southern,PUNTING,Payton,Theisler,YDS,125
3917059,10/14/2017,FBS,New Mexico St.,Ga. Southern,PUNTING,Payton,Theisler,AVG,41.7
3917060,10/14/2017,FBS,New Mexico St.,Ga. Southern,PUNTING,Payton,Theisler,LONG,51
3917061,10/14/2017,FBS,New Mexico St.,Ga. Southern,PUNT RETURNS,Jaden,Wright,NO,1
3917062,10/14/2017,FBS,New Mexico St.,Ga. Southern,PUNT RETURNS,Jaden,Wright,YDS,6
3917063,10/14/2017,FBS,New Mexico St.,Ga. Southern,PUNT RETURNS,Jaden,Wright,AVG,6.0
3917064,10/14/2017,FBS,New Mexico St.,Ga. Southern,PUNT RETURNS,Jaden,Wright,LONG,6
3917065,10/14/2017,FBS,Ga. Southern,New Mexico St.,RUSHING,Wesley,Fields,ATT,13
3917066,10/14/2017,FBS,Ga. Southern,New Mexico St.,RUSHING,Wesley,Fields,YDS,103
3917067,10/14/2017,FBS,Ga. Southern,New Mexico St.,RUSHING,Wesley,Fields,TD,1
3917068,10/14/2017,FBS,Ga. Southern,New Mexico St.,RUSHING,Wesley,Fields,LONG,48
3917069,10/14/2017,FBS,Ga. Southern,New Mexico St.,RUSHING,L.A.,Ramsby,ATT,15
3917070,10/14/2017,FBS,Ga. Southern,New Mexico St.,RUSHING,L.A.,Ramsby,YDS,45
3917071,10/14/2017,FBS,Ga. Southern,New Mexico St.,RUSHING,L.A.,Ramsby,TD,1
3917072,10/14/2017,FBS,Ga. Southern,New Mexico St.,RUSHING,L.A.,Ramsby,LONG,8
3917073,10/14/2017,FBS,Ga. Southern,New Mexico St.,RUSHING,Shai,Werts,ATT,15
3917074,10/14/2017,FBS,Ga. Southern,New Mexico St.,RUSHING,Shai,Werts,YDS,29
3917075,10/14/2017,FBS,Ga. Southern,New Mexico St.,RUSHING,Shai,Werts,TD,0
3917076,10/14/2017,FBS,Ga. Southern,New Mexico St.,RUSHING,Shai,Werts,LONG,15
3917077,10/14/2017,FBS,Ga. Southern,New Mexico St.,RUSHING,Monteo,Garrett,ATT,5
3917078,10/14/2017,FBS,Ga. Southern,New Mexico St.,RUSHING,Monteo,Garrett,YDS,15
3917079,10/14/2017,FBS,Ga. Southern,New Mexico St.,RUSHING,Monteo,Garrett,TD,0
3917080,10/14/2017,FBS,Ga. Southern,New Mexico St.,RUSHING,Monteo,Garrett,LONG,9
3917081,10/14/2017,FBS,Ga. Southern,New Mexico St.,RUSHING,Demarcus,Godfrey,ATT,1
3917082,10/14/2017,FBS,Ga. Southern,New Mexico St.,RUSHING,Demarcus,Godfrey,YDS,1
3917083,10/14/2017,FBS,Ga. Southern,New Mexico St.,RUSHING,Demarcus,Godfrey,TD,0
3917084,10/14/2017,FBS,Ga. Southern,New Mexico St.,RUSHING,Demarcus,Godfrey,LONG,1
3917085,10/14/2017,FBS,Ga. Southern,New Mexico St.,RUSHING,,Team,ATT,1
3917086,10/14/2017,FBS,Ga. Southern,New Mexico St.,RUSHING,,Team,YDS,-1
3917087,10/14/2017,FBS,Ga. Southern,New Mexico St.,RUSHING,,Team,TD,0
3917088,10/14/2017,FBS,Ga. Southern,New Mexico St.,RUSHING,,Team,LONG,-1
3917089,10/14/2017,FBS,Ga. Southern,New Mexico St.,PASSING,Shai,Werts,CP-ATT-INT,6-9-0
3917090,10/14/2017,FBS,Ga. Southern,New Mexico St.,PASSING,Shai,Werts,YDS,73
3917091,10/14/2017,FBS,Ga. Southern,New Mexico St.,PASSING,Shai,Werts,TD,0
3917092,10/14/2017,FBS,Ga. Southern,New Mexico St.,PASSING,Shai,Werts,LONG,28
3917093,10/14/2017,FBS,Ga. Southern,New Mexico St.,RECEIVING,Myles,Campbell,REC,3
3917094,10/14/2017,FBS,Ga. Southern,New Mexico St.,RECEIVING,Myles,Campbell,YDS,41
3917095,10/14/2017,FBS,Ga. Southern,New Mexico St.,RECEIVING,Myles,Campbell,TD,0
3917096,10/14/2017,FBS,Ga. Southern,New Mexico St.,RECEIVING,Myles,Campbell,LONG,28
3917097,10/14/2017,FBS,Ga. Southern,New Mexico St.,RECEIVING,Demarcus,Godfrey,REC,2
3917098,10/14/2017,FBS,Ga. Southern,New Mexico St.,RECEIVING,Demarcus,Godfrey,YDS,18
3917099,10/14/2017,FBS,Ga. Southern,New Mexico St.,RECEIVING,Demarcus,Godfrey,TD,0
3917100,10/14/2017,FBS,Ga. Southern,New Mexico St.,RECEIVING,Demarcus,Godfrey,LONG,12
3917101,10/14/2017,FBS,Ga. Southern,New Mexico St.,RECEIVING,Obe,Fortune,REC,1
3917102,10/14/2017,FBS,Ga. Southern,New Mexico St.,RECEIVING,Obe,Fortune,YDS,14
3917103,10/14/2017,FBS,Ga. Southern,New Mexico St.,RECEIVING,Obe,Fortune,TD,0
3917104,10/14/2017,FBS,Ga. Southern,New Mexico St.,RECEIVING,Obe,Fortune,LONG,14
3917105,10/14/2017,FBS,Ga. Southern,New Mexico St.,KICKING,Tyler,Bass,FG-FGA,2/2
3917106,10/14/2017,FBS,Ga. Southern,New Mexico St.,KICKING,Tyler,Bass,LONG,41
3917107,10/14/2017,FBS,Ga. Southern,New Mexico St.,KICKING,Tyler,Bass,XP,3
3917108,10/14/2017,FBS,Ga. Southern,New Mexico St.,KICKING,Tyler,Bass,PTS,9
3917109,10/14/2017,FBS,Ga. Southern,New Mexico St.,PUNTING,Matt,Flynn,NO,6
3917110,10/14/2017,FBS,Ga. Southern,New Mexico St.,PUNTING,Matt,Flynn,YDS,248
3917111,10/14/2017,FBS,Ga. Southern,New Mexico St.,PUNTING,Matt,Flynn,AVG,41.3
3917112,10/14/2017,FBS,Ga. Southern,New Mexico St.,PUNTING,Matt,Flynn,LONG,51
3917113,10/14/2017,FBS,Ga. Southern,New Mexico St.,PUNT RETURNS,Myles,Campbell,NO,2
3917114,10/14/2017,FBS,Ga. Southern,New Mexico St.,PUNT RETURNS,Myles,Campbell,YDS,1
3917115,10/14/2017,FBS,Ga. Southern,New Mexico St.,PUNT RETURNS,Myles,Campbell,AVG,0.5
3917116,10/14/2017,FBS,Ga. Southern,New Mexico St.,PUNT RETURNS,Myles,Campbell,LONG,1
3917117,10/14/2017,FBS,Ga. Southern,New Mexico St.,KICK RETURNS,Myles,Campbell,NO,3
3917118,10/14/2017,FBS,Ga. Southern,New Mexico St.,KICK RETURNS,Myles,Campbell,YDS,85
3917119,10/14/2017,FBS,Ga. Southern,New Mexico St.,KICK RETURNS,Myles,Campbell,AVG,28.3
3917120,10/14/2017,FBS,Ga. Southern,New Mexico St.,KICK RETURNS,Myles,Campbell,LONG,32
3917121,10/14/2017,FBS,Ga. Southern,New Mexico St.,KICK RETURNS,Dexter,CarterJr.,NO,1
3917122,10/14/2017,FBS,Ga. Southern,New Mexico St.,KICK RETURNS,Dexter,CarterJr.,YDS,70
3917123,10/14/2017,FBS,Ga. Southern,New Mexico St.,KICK RETURNS,Dexter,CarterJr.,AVG,70.0
3917124,10/14/2017,FBS,Ga. Southern,New Mexico St.,KICK RETURNS,Dexter,CarterJr.,LONG,70
3917125,10/14/2017,FBS,Ga. Southern,New Mexico St.,KICK RETURNS,Rashad,Byrd,NO,1
3917126,10/14/2017,FBS,Ga. Southern,New Mexico St.,KICK RETURNS,Rashad,Byrd,YDS,19
3917127,10/14/2017,FBS,Ga. Southern,New Mexico St.,KICK RETURNS,Rashad,Byrd,AVG,19.0
3917128,10/14/2017,FBS,Ga. Southern,New Mexico St.,KICK RETURNS,Rashad,Byrd,LONG,19
