ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
3982001,10/21/2017,FBS,Arizona St.,Utah,RUSHING,Demario,Richard,ATT,18
3982002,10/21/2017,FBS,Arizona St.,Utah,RUSHING,Demario,Richard,YDS,93
3982003,10/21/2017,FBS,Arizona St.,Utah,RUSHING,Demario,Richard,TD,1
3982004,10/21/2017,FBS,Arizona St.,Utah,RUSHING,Demario,Richard,LONG,25
3982005,10/21/2017,FBS,Arizona St.,Utah,RUSHING,Kalen,Ballage,ATT,14
3982006,10/21/2017,FBS,Arizona St.,Utah,RUSHING,Kalen,Ballage,YDS,75
3982007,10/21/2017,FBS,Arizona St.,Utah,RUSHING,Kalen,Ballage,TD,0
3982008,10/21/2017,FBS,Arizona St.,Utah,RUSHING,Kalen,Ballage,LONG,35
3982009,10/21/2017,FBS,Arizona St.,Utah,RUSHING,Manny,Wilkins,ATT,8
3982010,10/21/2017,FBS,Arizona St.,Utah,RUSHING,Manny,Wilkins,YDS,18
3982011,10/21/2017,FBS,Arizona St.,Utah,RUSHING,Manny,Wilkins,TD,1
3982012,10/21/2017,FBS,Arizona St.,Utah,RUSHING,Manny,Wilkins,LONG,11
3982013,10/21/2017,FBS,Arizona St.,Utah,RUSHING,N'Keal,Harry,ATT,3
3982014,10/21/2017,FBS,Arizona St.,Utah,RUSHING,N'Keal,Harry,YDS,12
3982015,10/21/2017,FBS,Arizona St.,Utah,RUSHING,N'Keal,Harry,TD,0
3982016,10/21/2017,FBS,Arizona St.,Utah,RUSHING,N'Keal,Harry,LONG,11
3982017,10/21/2017,FBS,Arizona St.,Utah,RUSHING,Eno,Benjamin,ATT,3
3982018,10/21/2017,FBS,Arizona St.,Utah,RUSHING,Eno,Benjamin,YDS,7
3982019,10/21/2017,FBS,Arizona St.,Utah,RUSHING,Eno,Benjamin,TD,0
3982020,10/21/2017,FBS,Arizona St.,Utah,RUSHING,Eno,Benjamin,LONG,4
3982021,10/21/2017,FBS,Arizona St.,Utah,PASSING,Manny,Wilkins,CP-ATT-INT,19-29-1
3982022,10/21/2017,FBS,Arizona St.,Utah,PASSING,Manny,Wilkins,YDS,140
3982023,10/21/2017,FBS,Arizona St.,Utah,PASSING,Manny,Wilkins,TD,0
3982024,10/21/2017,FBS,Arizona St.,Utah,PASSING,Manny,Wilkins,LONG,19
3982025,10/21/2017,FBS,Arizona St.,Utah,RECEIVING,N'Keal,Harry,REC,8
3982026,10/21/2017,FBS,Arizona St.,Utah,RECEIVING,N'Keal,Harry,YDS,72
3982027,10/21/2017,FBS,Arizona St.,Utah,RECEIVING,N'Keal,Harry,TD,0
3982028,10/21/2017,FBS,Arizona St.,Utah,RECEIVING,N'Keal,Harry,LONG,18
3982029,10/21/2017,FBS,Arizona St.,Utah,RECEIVING,Kyle,Williams,REC,6
3982030,10/21/2017,FBS,Arizona St.,Utah,RECEIVING,Kyle,Williams,YDS,38
3982031,10/21/2017,FBS,Arizona St.,Utah,RECEIVING,Kyle,Williams,TD,0
3982032,10/21/2017,FBS,Arizona St.,Utah,RECEIVING,Kyle,Williams,LONG,11
3982033,10/21/2017,FBS,Arizona St.,Utah,RECEIVING,Ryan,Newsome,REC,1
3982034,10/21/2017,FBS,Arizona St.,Utah,RECEIVING,Ryan,Newsome,YDS,19
