ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
4058001,10/28/2017,FBS,Washington St.,Arizona,RUSHING,James,Williams,ATT,6
4058002,10/28/2017,FBS,Washington St.,Arizona,RUSHING,James,Williams,YDS,28
4058003,10/28/2017,FBS,Washington St.,Arizona,RUSHING,James,Williams,TD,0
4058004,10/28/2017,FBS,Washington St.,Arizona,RUSHING,James,Williams,LONG,10
4058005,10/28/2017,FBS,Washington St.,Arizona,RUSHING,Gerard,Wicks,ATT,2
4058006,10/28/2017,FBS,Washington St.,Arizona,RUSHING,Gerard,Wicks,YDS,8
4058007,10/28/2017,FBS,Washington St.,Arizona,RUSHING,Gerard,Wicks,TD,0
4058008,10/28/2017,FBS,Washington St.,Arizona,RUSHING,Gerard,Wicks,LONG,4
4058009,10/28/2017,FBS,Washington St.,Arizona,RUSHING,Tyler,Hilinski,ATT,5
4058010,10/28/2017,FBS,Washington St.,Arizona,RUSHING,Tyler,Hilinski,YDS,7
4058011,10/28/2017,FBS,Washington St.,Arizona,RUSHING,Tyler,Hilinski,TD,2
4058012,10/28/2017,FBS,Washington St.,Arizona,RUSHING,Tyler,Hilinski,LONG,11
4058013,10/28/2017,FBS,Washington St.,Arizona,RUSHING,Jamal,Morrow,ATT,2
4058014,10/28/2017,FBS,Washington St.,Arizona,RUSHING,Jamal,Morrow,YDS,1
4058015,10/28/2017,FBS,Washington St.,Arizona,RUSHING,Jamal,Morrow,TD,0
4058016,10/28/2017,FBS,Washington St.,Arizona,RUSHING,Jamal,Morrow,LONG,1
4058017,10/28/2017,FBS,Washington St.,Arizona,RUSHING,Luke,Falk,ATT,2
4058018,10/28/2017,FBS,Washington St.,Arizona,RUSHING,Luke,Falk,YDS,0
4058019,10/28/2017,FBS,Washington St.,Arizona,RUSHING,Luke,Falk,TD,0
4058020,10/28/2017,FBS,Washington St.,Arizona,RUSHING,Luke,Falk,LONG,0
4058021,10/28/2017,FBS,Washington St.,Arizona,PASSING,Tyler,Hilinski,CP-ATT-INT,45-61-4
4058022,10/28/2017,FBS,Washington St.,Arizona,PASSING,Tyler,Hilinski,YDS,509
4058023,10/28/2017,FBS,Washington St.,Arizona,PASSING,Tyler,Hilinski,TD,2
4058024,10/28/2017,FBS,Washington St.,Arizona,PASSING,Tyler,Hilinski,LONG,49
4058025,10/28/2017,FBS,Washington St.,Arizona,PASSING,Luke,Falk,CP-ATT-INT,13-23-0
4058026,10/28/2017,FBS,Washington St.,Arizona,PASSING,Luke,Falk,YDS,93
