ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
3859001,10/7/2017,FBS,Kansas St.,Texas,RUSHING,Alex,Delton,ATT,12
3859002,10/7/2017,FBS,Kansas St.,Texas,RUSHING,Alex,Delton,YDS,79
3859003,10/7/2017,FBS,Kansas St.,Texas,RUSHING,Alex,Delton,TD,2
3859004,10/7/2017,FBS,Kansas St.,Texas,RUSHING,Alex,Delton,LONG,22
3859005,10/7/2017,FBS,Kansas St.,Texas,RUSHING,Alex,Barnes,ATT,13
3859006,10/7/2017,FBS,Kansas St.,Texas,RUSHING,Alex,Barnes,YDS,57
3859007,10/7/2017,FBS,Kansas St.,Texas,RUSHING,Alex,Barnes,TD,0
3859008,10/7/2017,FBS,Kansas St.,Texas,RUSHING,Alex,Barnes,LONG,20
3859009,10/7/2017,FBS,Kansas St.,Texas,RUSHING,Justin,Silmon,ATT,3
3859010,10/7/2017,FBS,Kansas St.,Texas,RUSHING,Justin,Silmon,YDS,4
3859011,10/7/2017,FBS,Kansas St.,Texas,RUSHING,Justin,Silmon,TD,0
3859012,10/7/2017,FBS,Kansas St.,Texas,RUSHING,Justin,Silmon,LONG,2
3859013,10/7/2017,FBS,Kansas St.,Texas,RUSHING,Jesse,Ertz,ATT,9
3859014,10/7/2017,FBS,Kansas St.,Texas,RUSHING,Jesse,Ertz,YDS,4
3859015,10/7/2017,FBS,Kansas St.,Texas,RUSHING,Jesse,Ertz,TD,0
3859016,10/7/2017,FBS,Kansas St.,Texas,RUSHING,Jesse,Ertz,LONG,14
3859017,10/7/2017,FBS,Kansas St.,Texas,RUSHING,,Team,ATT,2
3859018,10/7/2017,FBS,Kansas St.,Texas,RUSHING,,Team,YDS,-4
3859019,10/7/2017,FBS,Kansas St.,Texas,RUSHING,,Team,TD,0
3859020,10/7/2017,FBS,Kansas St.,Texas,RUSHING,,Team,LONG,-2
3859021,10/7/2017,FBS,Kansas St.,Texas,PASSING,Jesse,Ertz,CP-ATT-INT,12-18-1
3859022,10/7/2017,FBS,Kansas St.,Texas,PASSING,Jesse,Ertz,YDS,224
3859023,10/7/2017,FBS,Kansas St.,Texas,PASSING,Jesse,Ertz,TD,2
3859024,10/7/2017,FBS,Kansas St.,Texas,PASSING,Jesse,Ertz,LONG,82
3859025,10/7/2017,FBS,Kansas St.,Texas,PASSING,Alex,Delton,CP-ATT-INT,2-5-0
3859026,10/7/2017,FBS,Kansas St.,Texas,PASSING,Alex,Delton,YDS,30
3859027,10/7/2017,FBS,Kansas St.,Texas,PASSING,Alex,Delton,TD,0
3859028,10/7/2017,FBS,Kansas St.,Texas,PASSING,Alex,Delton,LONG,23
3859029,10/7/2017,FBS,Kansas St.,Texas,RECEIVING,Dalton,Schoen,REC,5
3859030,10/7/2017,FBS,Kansas St.,Texas,RECEIVING,Dalton,Schoen,YDS,128
3859031,10/7/2017,FBS,Kansas St.,Texas,RECEIVING,Dalton,Schoen,TD,2
3859032,10/7/2017,FBS,Kansas St.,Texas,RECEIVING,Dalton,Schoen,LONG,82
3859033,10/7/2017,FBS,Kansas St.,Texas,RECEIVING,Dominique,Heath,REC,3
