ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
4165001,11/11/2017,FBS,Middle Tenn.,Charlotte,RUSHING,Tavares,Thomas,ATT,29
4165002,11/11/2017,FBS,Middle Tenn.,Charlotte,RUSHING,Tavares,Thomas,YDS,195
4165003,11/11/2017,FBS,Middle Tenn.,Charlotte,RUSHING,Tavares,Thomas,TD,2
4165004,11/11/2017,FBS,Middle Tenn.,Charlotte,RUSHING,Tavares,Thomas,LONG,25
4165005,11/11/2017,FBS,Middle Tenn.,Charlotte,RUSHING,Jocquez,Bruce,ATT,2
4165006,11/11/2017,FBS,Middle Tenn.,Charlotte,RUSHING,Jocquez,Bruce,YDS,8
4165007,11/11/2017,FBS,Middle Tenn.,Charlotte,RUSHING,Jocquez,Bruce,TD,0
4165008,11/11/2017,FBS,Middle Tenn.,Charlotte,RUSHING,Jocquez,Bruce,LONG,7
4165009,11/11/2017,FBS,Middle Tenn.,Charlotte,RUSHING,Brad,Anderson,ATT,3
4165010,11/11/2017,FBS,Middle Tenn.,Charlotte,RUSHING,Brad,Anderson,YDS,5
4165011,11/11/2017,FBS,Middle Tenn.,Charlotte,RUSHING,Brad,Anderson,TD,0
4165012,11/11/2017,FBS,Middle Tenn.,Charlotte,RUSHING,Brad,Anderson,LONG,3
4165013,11/11/2017,FBS,Middle Tenn.,Charlotte,RUSHING,Kyle,Banks,ATT,1
4165014,11/11/2017,FBS,Middle Tenn.,Charlotte,RUSHING,Kyle,Banks,YDS,1
4165015,11/11/2017,FBS,Middle Tenn.,Charlotte,RUSHING,Kyle,Banks,TD,0
4165016,11/11/2017,FBS,Middle Tenn.,Charlotte,RUSHING,Kyle,Banks,LONG,1
4165017,11/11/2017,FBS,Middle Tenn.,Charlotte,RUSHING,Brent,Stockstill,ATT,5
4165018,11/11/2017,FBS,Middle Tenn.,Charlotte,RUSHING,Brent,Stockstill,YDS,-1
4165019,11/11/2017,FBS,Middle Tenn.,Charlotte,RUSHING,Brent,Stockstill,TD,0
4165020,11/11/2017,FBS,Middle Tenn.,Charlotte,RUSHING,Brent,Stockstill,LONG,7
4165021,11/11/2017,FBS,Middle Tenn.,Charlotte,RUSHING,Ty,Lee,ATT,1
4165022,11/11/2017,FBS,Middle Tenn.,Charlotte,RUSHING,Ty,Lee,YDS,-6
4165023,11/11/2017,FBS,Middle Tenn.,Charlotte,RUSHING,Ty,Lee,TD,0
4165024,11/11/2017,FBS,Middle Tenn.,Charlotte,RUSHING,Ty,Lee,LONG,0
4165025,11/11/2017,FBS,Middle Tenn.,Charlotte,PASSING,Brent,Stockstill,CP-ATT-INT,18-31-0
4165026,11/11/2017,FBS,Middle Tenn.,Charlotte,PASSING,Brent,Stockstill,YDS,255
4165027,11/11/2017,FBS,Middle Tenn.,Charlotte,PASSING,Brent,Stockstill,TD,3
4165028,11/11/2017,FBS,Middle Tenn.,Charlotte,PASSING,Brent,Stockstill,LONG,63
4165029,11/11/2017,FBS,Middle Tenn.,Charlotte,RECEIVING,Ty,Lee,REC,6
4165030,11/11/2017,FBS,Middle Tenn.,Charlotte,RECEIVING,Ty,Lee,YDS,121
4165031,11/11/2017,FBS,Middle Tenn.,Charlotte,RECEIVING,Ty,Lee,TD,1
4165032,11/11/2017,FBS,Middle Tenn.,Charlotte,RECEIVING,Ty,Lee,LONG,63
4165033,11/11/2017,FBS,Middle Tenn.,Charlotte,RECEIVING,C.J.,Windham,REC,1
4165034,11/11/2017,FBS,Middle Tenn.,Charlotte,RECEIVING,C.J.,Windham,YDS,47
4165035,11/11/2017,FBS,Middle Tenn.,Charlotte,RECEIVING,C.J.,Windham,TD,0
4165036,11/11/2017,FBS,Middle Tenn.,Charlotte,RECEIVING,C.J.,Windham,LONG,47
4165037,11/11/2017,FBS,Middle Tenn.,Charlotte,RECEIVING,Patrick,Smith,REC,3
4165038,11/11/2017,FBS,Middle Tenn.,Charlotte,RECEIVING,Patrick,Smith,YDS,39
4165039,11/11/2017,FBS,Middle Tenn.,Charlotte,RECEIVING,Patrick,Smith,TD,1
4165040,11/11/2017,FBS,Middle Tenn.,Charlotte,RECEIVING,Patrick,Smith,LONG,21
4165041,11/11/2017,FBS,Middle Tenn.,Charlotte,RECEIVING,Shane,Tucker,REC,2
4165042,11/11/2017,FBS,Middle Tenn.,Charlotte,RECEIVING,Shane,Tucker,YDS,16
4165043,11/11/2017,FBS,Middle Tenn.,Charlotte,RECEIVING,Shane,Tucker,TD,0
4165044,11/11/2017,FBS,Middle Tenn.,Charlotte,RECEIVING,Shane,Tucker,LONG,13
4165045,11/11/2017,FBS,Middle Tenn.,Charlotte,RECEIVING,Brad,Anderson,REC,3
4165046,11/11/2017,FBS,Middle Tenn.,Charlotte,RECEIVING,Brad,Anderson,YDS,15
4165047,11/11/2017,FBS,Middle Tenn.,Charlotte,RECEIVING,Brad,Anderson,TD,0
4165048,11/11/2017,FBS,Middle Tenn.,Charlotte,RECEIVING,Brad,Anderson,LONG,8
4165049,11/11/2017,FBS,Middle Tenn.,Charlotte,RECEIVING,Tavonn,Salter,REC,2
4165050,11/11/2017,FBS,Middle Tenn.,Charlotte,RECEIVING,Tavonn,Salter,YDS,11
4165051,11/11/2017,FBS,Middle Tenn.,Charlotte,RECEIVING,Tavonn,Salter,TD,0
4165052,11/11/2017,FBS,Middle Tenn.,Charlotte,RECEIVING,Tavonn,Salter,LONG,6
4165053,11/11/2017,FBS,Middle Tenn.,Charlotte,RECEIVING,Ty,Watkins,REC,1
4165054,11/11/2017,FBS,Middle Tenn.,Charlotte,RECEIVING,Ty,Watkins,YDS,6
4165055,11/11/2017,FBS,Middle Tenn.,Charlotte,RECEIVING,Ty,Watkins,TD,1
4165056,11/11/2017,FBS,Middle Tenn.,Charlotte,RECEIVING,Ty,Watkins,LONG,6
4165057,11/11/2017,FBS,Middle Tenn.,Charlotte,KICKING,Canon,Rooker,FG-FGA,0/0
