ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
4167001,11/11/2017,FBS,Troy,Coastal Caro.,RUSHING,Josh,Anderson,ATT,9
4167002,11/11/2017,FBS,Troy,Coastal Caro.,RUSHING,Josh,Anderson,YDS,58
4167003,11/11/2017,FBS,Troy,Coastal Caro.,RUSHING,Josh,Anderson,TD,1
4167004,11/11/2017,FBS,Troy,Coastal Caro.,RUSHING,Josh,Anderson,LONG,13
4167005,11/11/2017,FBS,Troy,Coastal Caro.,RUSHING,B.J.,Smith,ATT,6
4167006,11/11/2017,FBS,Troy,Coastal Caro.,RUSHING,B.J.,Smith,YDS,31
4167007,11/11/2017,FBS,Troy,Coastal Caro.,RUSHING,B.J.,Smith,TD,0
4167008,11/11/2017,FBS,Troy,Coastal Caro.,RUSHING,B.J.,Smith,LONG,13
4167009,11/11/2017,FBS,Troy,Coastal Caro.,RUSHING,Jordan,Chunn,ATT,12
4167010,11/11/2017,FBS,Troy,Coastal Caro.,RUSHING,Jordan,Chunn,YDS,30
4167011,11/11/2017,FBS,Troy,Coastal Caro.,RUSHING,Jordan,Chunn,TD,1
4167012,11/11/2017,FBS,Troy,Coastal Caro.,RUSHING,Jordan,Chunn,LONG,8
4167013,11/11/2017,FBS,Troy,Coastal Caro.,RUSHING,Brandon,Silvers,ATT,3
4167014,11/11/2017,FBS,Troy,Coastal Caro.,RUSHING,Brandon,Silvers,YDS,16
4167015,11/11/2017,FBS,Troy,Coastal Caro.,RUSHING,Brandon,Silvers,TD,1
4167016,11/11/2017,FBS,Troy,Coastal Caro.,RUSHING,Brandon,Silvers,LONG,14
4167017,11/11/2017,FBS,Troy,Coastal Caro.,RUSHING,Deondre,Douglas,ATT,1
4167018,11/11/2017,FBS,Troy,Coastal Caro.,RUSHING,Deondre,Douglas,YDS,9
4167019,11/11/2017,FBS,Troy,Coastal Caro.,RUSHING,Deondre,Douglas,TD,0
4167020,11/11/2017,FBS,Troy,Coastal Caro.,RUSHING,Deondre,Douglas,LONG,9
