ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
4212001,11/16/2017,FBS,Buffalo,Ball State,RUSHING,Emmanuel,Reed,ATT,18
4212002,11/16/2017,FBS,Buffalo,Ball State,RUSHING,Emmanuel,Reed,YDS,123
4212003,11/16/2017,FBS,Buffalo,Ball State,RUSHING,Emmanuel,Reed,TD,0
4212004,11/16/2017,FBS,Buffalo,Ball State,RUSHING,Emmanuel,Reed,LONG,34
4212005,11/16/2017,FBS,Buffalo,Ball State,RUSHING,Theo,Anderson,ATT,14
4212006,11/16/2017,FBS,Buffalo,Ball State,RUSHING,Theo,Anderson,YDS,91
4212007,11/16/2017,FBS,Buffalo,Ball State,RUSHING,Theo,Anderson,TD,0
4212008,11/16/2017,FBS,Buffalo,Ball State,RUSHING,Theo,Anderson,LONG,45
4212009,11/16/2017,FBS,Buffalo,Ball State,RUSHING,K.J.,Osborn,ATT,1
4212010,11/16/2017,FBS,Buffalo,Ball State,RUSHING,K.J.,Osborn,YDS,16
4212011,11/16/2017,FBS,Buffalo,Ball State,RUSHING,K.J.,Osborn,TD,1
4212012,11/16/2017,FBS,Buffalo,Ball State,RUSHING,K.J.,Osborn,LONG,16
4212013,11/16/2017,FBS,Buffalo,Ball State,RUSHING,,Team,ATT,3
4212014,11/16/2017,FBS,Buffalo,Ball State,RUSHING,,Team,YDS,-6
4212015,11/16/2017,FBS,Buffalo,Ball State,RUSHING,,Team,TD,0
4212016,11/16/2017,FBS,Buffalo,Ball State,RUSHING,,Team,LONG,-1
4212017,11/16/2017,FBS,Buffalo,Ball State,RUSHING,Tyree,Jackson,ATT,3
4212018,11/16/2017,FBS,Buffalo,Ball State,RUSHING,Tyree,Jackson,YDS,-9
4212019,11/16/2017,FBS,Buffalo,Ball State,RUSHING,Tyree,Jackson,TD,0
4212020,11/16/2017,FBS,Buffalo,Ball State,RUSHING,Tyree,Jackson,LONG,5
4212021,11/16/2017,FBS,Buffalo,Ball State,PASSING,Tyree,Jackson,CP-ATT-INT,16-28-1
4212022,11/16/2017,FBS,Buffalo,Ball State,PASSING,Tyree,Jackson,YDS,350
4212023,11/16/2017,FBS,Buffalo,Ball State,PASSING,Tyree,Jackson,TD,4
4212024,11/16/2017,FBS,Buffalo,Ball State,PASSING,Tyree,Jackson,LONG,57
4212025,11/16/2017,FBS,Buffalo,Ball State,RECEIVING,Anthony,Johnson,REC,7
4212026,11/16/2017,FBS,Buffalo,Ball State,RECEIVING,Anthony,Johnson,YDS,153
4212027,11/16/2017,FBS,Buffalo,Ball State,RECEIVING,Anthony,Johnson,TD,4
4212028,11/16/2017,FBS,Buffalo,Ball State,RECEIVING,Anthony,Johnson,LONG,56
4212029,11/16/2017,FBS,Buffalo,Ball State,RECEIVING,Antonio,Nunn,REC,2
4212030,11/16/2017,FBS,Buffalo,Ball State,RECEIVING,Antonio,Nunn,YDS,102
4212031,11/16/2017,FBS,Buffalo,Ball State,RECEIVING,Antonio,Nunn,TD,0
4212032,11/16/2017,FBS,Buffalo,Ball State,RECEIVING,Antonio,Nunn,LONG,57
4212033,11/16/2017,FBS,Buffalo,Ball State,RECEIVING,K.J.,Osborn,REC,5
