ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
4145001,11/7/2017,FBS,Akron,Miami (Ohio),RUSHING,Manny,Morgan,ATT,10
4145002,11/7/2017,FBS,Akron,Miami (Ohio),RUSHING,Manny,Morgan,YDS,41
4145003,11/7/2017,FBS,Akron,Miami (Ohio),RUSHING,Manny,Morgan,TD,0
4145004,11/7/2017,FBS,Akron,Miami (Ohio),RUSHING,Manny,Morgan,LONG,10
4145005,11/7/2017,FBS,Akron,Miami (Ohio),RUSHING,Kato,Nelson,ATT,19
4145006,11/7/2017,FBS,Akron,Miami (Ohio),RUSHING,Kato,Nelson,YDS,12
4145007,11/7/2017,FBS,Akron,Miami (Ohio),RUSHING,Kato,Nelson,TD,1
4145008,11/7/2017,FBS,Akron,Miami (Ohio),RUSHING,Kato,Nelson,LONG,15
4145009,11/7/2017,FBS,Akron,Miami (Ohio),RUSHING,Van,EdwardsJr.,ATT,1
4145010,11/7/2017,FBS,Akron,Miami (Ohio),RUSHING,Van,EdwardsJr.,YDS,2
4145011,11/7/2017,FBS,Akron,Miami (Ohio),RUSHING,Van,EdwardsJr.,TD,0
4145012,11/7/2017,FBS,Akron,Miami (Ohio),RUSHING,Van,EdwardsJr.,LONG,2
4145013,11/7/2017,FBS,Akron,Miami (Ohio),PASSING,Kato,Nelson,CP-ATT-INT,19-38-0
4145014,11/7/2017,FBS,Akron,Miami (Ohio),PASSING,Kato,Nelson,YDS,218
4145015,11/7/2017,FBS,Akron,Miami (Ohio),PASSING,Kato,Nelson,TD,1
4145016,11/7/2017,FBS,Akron,Miami (Ohio),PASSING,Kato,Nelson,LONG,30
4145017,11/7/2017,FBS,Akron,Miami (Ohio),RECEIVING,Kwadarrius,Smith,REC,6
4145018,11/7/2017,FBS,Akron,Miami (Ohio),RECEIVING,Kwadarrius,Smith,YDS,69
4145019,11/7/2017,FBS,Akron,Miami (Ohio),RECEIVING,Kwadarrius,Smith,TD,0
4145020,11/7/2017,FBS,Akron,Miami (Ohio),RECEIVING,Kwadarrius,Smith,LONG,18
4145021,11/7/2017,FBS,Akron,Miami (Ohio),RECEIVING,Austin,Wolf,REC,3
4145022,11/7/2017,FBS,Akron,Miami (Ohio),RECEIVING,Austin,Wolf,YDS,45
4145023,11/7/2017,FBS,Akron,Miami (Ohio),RECEIVING,Austin,Wolf,TD,0
4145024,11/7/2017,FBS,Akron,Miami (Ohio),RECEIVING,Austin,Wolf,LONG,18
4145025,11/7/2017,FBS,Akron,Miami (Ohio),RECEIVING,A.J.,Coney,REC,2
4145026,11/7/2017,FBS,Akron,Miami (Ohio),RECEIVING,A.J.,Coney,YDS,36
4145027,11/7/2017,FBS,Akron,Miami (Ohio),RECEIVING,A.J.,Coney,TD,0
4145028,11/7/2017,FBS,Akron,Miami (Ohio),RECEIVING,A.J.,Coney,LONG,19
4145029,11/7/2017,FBS,Akron,Miami (Ohio),RECEIVING,Tra'Von,Chapman,REC,3
4145030,11/7/2017,FBS,Akron,Miami (Ohio),RECEIVING,Tra'Von,Chapman,YDS,33
4145031,11/7/2017,FBS,Akron,Miami (Ohio),RECEIVING,Tra'Von,Chapman,TD,1
4145032,11/7/2017,FBS,Akron,Miami (Ohio),RECEIVING,Tra'Von,Chapman,LONG,30
4145033,11/7/2017,FBS,Akron,Miami (Ohio),RECEIVING,Van,EdwardsJr.,REC,1
4145034,11/7/2017,FBS,Akron,Miami (Ohio),RECEIVING,Van,EdwardsJr.,YDS,13
4145035,11/7/2017,FBS,Akron,Miami (Ohio),RECEIVING,Van,EdwardsJr.,TD,0
4145036,11/7/2017,FBS,Akron,Miami (Ohio),RECEIVING,Van,EdwardsJr.,LONG,13
4145037,11/7/2017,FBS,Akron,Miami (Ohio),RECEIVING,Andre,Williams,REC,2
4145038,11/7/2017,FBS,Akron,Miami (Ohio),RECEIVING,Andre,Williams,YDS,13
4145039,11/7/2017,FBS,Akron,Miami (Ohio),RECEIVING,Andre,Williams,TD,0
4145040,11/7/2017,FBS,Akron,Miami (Ohio),RECEIVING,Andre,Williams,LONG,7
4145041,11/7/2017,FBS,Akron,Miami (Ohio),RECEIVING,Manny,Morgan,REC,1
4145042,11/7/2017,FBS,Akron,Miami (Ohio),RECEIVING,Manny,Morgan,YDS,7
4145043,11/7/2017,FBS,Akron,Miami (Ohio),RECEIVING,Manny,Morgan,TD,0
4145044,11/7/2017,FBS,Akron,Miami (Ohio),RECEIVING,Manny,Morgan,LONG,7
4145045,11/7/2017,FBS,Akron,Miami (Ohio),RECEIVING,Deltron,Sands,REC,1
4145046,11/7/2017,FBS,Akron,Miami (Ohio),RECEIVING,Deltron,Sands,YDS,2
4145047,11/7/2017,FBS,Akron,Miami (Ohio),RECEIVING,Deltron,Sands,TD,0
4145048,11/7/2017,FBS,Akron,Miami (Ohio),RECEIVING,Deltron,Sands,LONG,2
