ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
3535001,9/2/2017,FBS,UC Davis,San Diego State,RUSHING,Namane,Modise,ATT,10
3535002,9/2/2017,FBS,UC Davis,San Diego State,RUSHING,Namane,Modise,YDS,44
3535003,9/2/2017,FBS,UC Davis,San Diego State,RUSHING,Namane,Modise,TD,0
3535004,9/2/2017,FBS,UC Davis,San Diego State,RUSHING,Namane,Modise,LONG,16
3535005,9/2/2017,FBS,UC Davis,San Diego State,RUSHING,Aaron,Moore,ATT,2
3535006,9/2/2017,FBS,UC Davis,San Diego State,RUSHING,Aaron,Moore,YDS,15
3535007,9/2/2017,FBS,UC Davis,San Diego State,RUSHING,Aaron,Moore,TD,0
3535008,9/2/2017,FBS,UC Davis,San Diego State,RUSHING,Aaron,Moore,LONG,12
3535009,9/2/2017,FBS,UC Davis,San Diego State,RUSHING,Mitchell,Layton,ATT,2
3535010,9/2/2017,FBS,UC Davis,San Diego State,RUSHING,Mitchell,Layton,YDS,6
3535011,9/2/2017,FBS,UC Davis,San Diego State,RUSHING,Mitchell,Layton,TD,0
3535012,9/2/2017,FBS,UC Davis,San Diego State,RUSHING,Mitchell,Layton,LONG,6
3535013,9/2/2017,FBS,UC Davis,San Diego State,RUSHING,Jake,Maier,ATT,4
3535014,9/2/2017,FBS,UC Davis,San Diego State,RUSHING,Jake,Maier,YDS,2
3535015,9/2/2017,FBS,UC Davis,San Diego State,RUSHING,Jake,Maier,TD,0
3535016,9/2/2017,FBS,UC Davis,San Diego State,RUSHING,Jake,Maier,LONG,4
3535017,9/2/2017,FBS,UC Davis,San Diego State,RUSHING,Logan,Montgomery,ATT,1
3535018,9/2/2017,FBS,UC Davis,San Diego State,RUSHING,Logan,Montgomery,YDS,1
3535019,9/2/2017,FBS,UC Davis,San Diego State,RUSHING,Logan,Montgomery,TD,0
3535020,9/2/2017,FBS,UC Davis,San Diego State,RUSHING,Logan,Montgomery,LONG,1
3535021,9/2/2017,FBS,UC Davis,San Diego State,RUSHING,Justin,Williams,ATT,5
3535022,9/2/2017,FBS,UC Davis,San Diego State,RUSHING,Justin,Williams,YDS,-2
3535023,9/2/2017,FBS,UC Davis,San Diego State,RUSHING,Justin,Williams,TD,0
3535024,9/2/2017,FBS,UC Davis,San Diego State,RUSHING,Justin,Williams,LONG,2
3535025,9/2/2017,FBS,UC Davis,San Diego State,RUSHING,CJ,Spencer,ATT,3
3535026,9/2/2017,FBS,UC Davis,San Diego State,RUSHING,CJ,Spencer,YDS,-9
3535027,9/2/2017,FBS,UC Davis,San Diego State,RUSHING,CJ,Spencer,TD,0
3535028,9/2/2017,FBS,UC Davis,San Diego State,RUSHING,CJ,Spencer,LONG,2
3535029,9/2/2017,FBS,UC Davis,San Diego State,PASSING,Jake,Maier,CP-ATT-INT,19-24-2
3535030,9/2/2017,FBS,UC Davis,San Diego State,PASSING,Jake,Maier,YDS,258
3535031,9/2/2017,FBS,UC Davis,San Diego State,PASSING,Jake,Maier,TD,2
3535032,9/2/2017,FBS,UC Davis,San Diego State,PASSING,Jake,Maier,LONG,41
3535033,9/2/2017,FBS,UC Davis,San Diego State,RECEIVING,Keelan,Doss,REC,8
3535034,9/2/2017,FBS,UC Davis,San Diego State,RECEIVING,Keelan,Doss,YDS,181
3535035,9/2/2017,FBS,UC Davis,San Diego State,RECEIVING,Keelan,Doss,TD,1
3535036,9/2/2017,FBS,UC Davis,San Diego State,RECEIVING,Keelan,Doss,LONG,41
3535037,9/2/2017,FBS,UC Davis,San Diego State,RECEIVING,Wesley,Preece,REC,2
3535038,9/2/2017,FBS,UC Davis,San Diego State,RECEIVING,Wesley,Preece,YDS,32
3535039,9/2/2017,FBS,UC Davis,San Diego State,RECEIVING,Wesley,Preece,TD,0
3535040,9/2/2017,FBS,UC Davis,San Diego State,RECEIVING,Wesley,Preece,LONG,28
3535041,9/2/2017,FBS,UC Davis,San Diego State,RECEIVING,Marcus,Cummins,REC,3
3535042,9/2/2017,FBS,UC Davis,San Diego State,RECEIVING,Marcus,Cummins,YDS,30
3535043,9/2/2017,FBS,UC Davis,San Diego State,RECEIVING,Marcus,Cummins,TD,0
3535044,9/2/2017,FBS,UC Davis,San Diego State,RECEIVING,Marcus,Cummins,LONG,10
3535045,9/2/2017,FBS,UC Davis,San Diego State,RECEIVING,Logan,Montgomery,REC,3
3535046,9/2/2017,FBS,UC Davis,San Diego State,RECEIVING,Logan,Montgomery,YDS,9
3535047,9/2/2017,FBS,UC Davis,San Diego State,RECEIVING,Logan,Montgomery,TD,1
3535048,9/2/2017,FBS,UC Davis,San Diego State,RECEIVING,Logan,Montgomery,LONG,7
3535049,9/2/2017,FBS,UC Davis,San Diego State,RECEIVING,CJ,Spencer,REC,2
3535050,9/2/2017,FBS,UC Davis,San Diego State,RECEIVING,CJ,Spencer,YDS,6
3535051,9/2/2017,FBS,UC Davis,San Diego State,RECEIVING,CJ,Spencer,TD,0
3535052,9/2/2017,FBS,UC Davis,San Diego State,RECEIVING,CJ,Spencer,LONG,3
