ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
3819001,9/30/2017,FBS,Rice,Pittsburgh,RUSHING,Austin,Walter,ATT,6
3819002,9/30/2017,FBS,Rice,Pittsburgh,RUSHING,Austin,Walter,YDS,39
3819003,9/30/2017,FBS,Rice,Pittsburgh,RUSHING,Austin,Walter,TD,0
3819004,9/30/2017,FBS,Rice,Pittsburgh,RUSHING,Austin,Walter,LONG,13
3819005,9/30/2017,FBS,Rice,Pittsburgh,RUSHING,Emmanuel,Esukpa,ATT,2
3819006,9/30/2017,FBS,Rice,Pittsburgh,RUSHING,Emmanuel,Esukpa,YDS,10
3819007,9/30/2017,FBS,Rice,Pittsburgh,RUSHING,Emmanuel,Esukpa,TD,0
3819008,9/30/2017,FBS,Rice,Pittsburgh,RUSHING,Emmanuel,Esukpa,LONG,10
3819009,9/30/2017,FBS,Rice,Pittsburgh,RUSHING,Jordan,Myers,ATT,2
3819010,9/30/2017,FBS,Rice,Pittsburgh,RUSHING,Jordan,Myers,YDS,10
3819011,9/30/2017,FBS,Rice,Pittsburgh,RUSHING,Jordan,Myers,TD,0
3819012,9/30/2017,FBS,Rice,Pittsburgh,RUSHING,Jordan,Myers,LONG,12
3819013,9/30/2017,FBS,Rice,Pittsburgh,RUSHING,Collin,Whitaker,ATT,4
3819014,9/30/2017,FBS,Rice,Pittsburgh,RUSHING,Collin,Whitaker,YDS,7
3819015,9/30/2017,FBS,Rice,Pittsburgh,RUSHING,Collin,Whitaker,TD,0
3819016,9/30/2017,FBS,Rice,Pittsburgh,RUSHING,Collin,Whitaker,LONG,5
3819017,9/30/2017,FBS,Rice,Pittsburgh,RUSHING,Nahshon,Ellerbe,ATT,5
3819018,9/30/2017,FBS,Rice,Pittsburgh,RUSHING,Nahshon,Ellerbe,YDS,2
3819019,9/30/2017,FBS,Rice,Pittsburgh,RUSHING,Nahshon,Ellerbe,TD,0
3819020,9/30/2017,FBS,Rice,Pittsburgh,RUSHING,Nahshon,Ellerbe,LONG,2
3819021,9/30/2017,FBS,Rice,Pittsburgh,RUSHING,Lance,Wright,ATT,1
3819022,9/30/2017,FBS,Rice,Pittsburgh,RUSHING,Lance,Wright,YDS,-2
3819023,9/30/2017,FBS,Rice,Pittsburgh,RUSHING,Lance,Wright,TD,0
3819024,9/30/2017,FBS,Rice,Pittsburgh,RUSHING,Lance,Wright,LONG,-2
3819025,9/30/2017,FBS,Rice,Pittsburgh,RUSHING,Jackson,Tyner,ATT,3
3819026,9/30/2017,FBS,Rice,Pittsburgh,RUSHING,Jackson,Tyner,YDS,-11
3819027,9/30/2017,FBS,Rice,Pittsburgh,RUSHING,Jackson,Tyner,TD,0
3819028,9/30/2017,FBS,Rice,Pittsburgh,RUSHING,Jackson,Tyner,LONG,15
3819029,9/30/2017,FBS,Rice,Pittsburgh,PASSING,Jackson,Tyner,CP-ATT-INT,15-32-3
3819030,9/30/2017,FBS,Rice,Pittsburgh,PASSING,Jackson,Tyner,YDS,222
3819031,9/30/2017,FBS,Rice,Pittsburgh,PASSING,Jackson,Tyner,TD,1
3819032,9/30/2017,FBS,Rice,Pittsburgh,PASSING,Jackson,Tyner,LONG,70
3819033,9/30/2017,FBS,Rice,Pittsburgh,PASSING,Lance,Wright,CP-ATT-INT,0-0-0
3819034,9/30/2017,FBS,Rice,Pittsburgh,PASSING,Lance,Wright,YDS,0
3819035,9/30/2017,FBS,Rice,Pittsburgh,PASSING,Lance,Wright,TD,0
3819036,9/30/2017,FBS,Rice,Pittsburgh,PASSING,Lance,Wright,LONG,0
3819037,9/30/2017,FBS,Rice,Pittsburgh,RECEIVING,Austin,Walter,REC,2
3819038,9/30/2017,FBS,Rice,Pittsburgh,RECEIVING,Austin,Walter,YDS,73
3819039,9/30/2017,FBS,Rice,Pittsburgh,RECEIVING,Austin,Walter,TD,1
3819040,9/30/2017,FBS,Rice,Pittsburgh,RECEIVING,Austin,Walter,LONG,70
3819041,9/30/2017,FBS,Rice,Pittsburgh,RECEIVING,Kylen,Granson,REC,5
3819042,9/30/2017,FBS,Rice,Pittsburgh,RECEIVING,Kylen,Granson,YDS,53
3819043,9/30/2017,FBS,Rice,Pittsburgh,RECEIVING,Kylen,Granson,TD,0
3819044,9/30/2017,FBS,Rice,Pittsburgh,RECEIVING,Kylen,Granson,LONG,27
3819045,9/30/2017,FBS,Rice,Pittsburgh,RECEIVING,Robby,WellsIII,REC,2
3819046,9/30/2017,FBS,Rice,Pittsburgh,RECEIVING,Robby,WellsIII,YDS,28
3819047,9/30/2017,FBS,Rice,Pittsburgh,RECEIVING,Robby,WellsIII,TD,0
3819048,9/30/2017,FBS,Rice,Pittsburgh,RECEIVING,Robby,WellsIII,LONG,17
3819049,9/30/2017,FBS,Rice,Pittsburgh,RECEIVING,Will,Phillips,REC,1
3819050,9/30/2017,FBS,Rice,Pittsburgh,RECEIVING,Will,Phillips,YDS,19
3819051,9/30/2017,FBS,Rice,Pittsburgh,RECEIVING,Will,Phillips,TD,0
3819052,9/30/2017,FBS,Rice,Pittsburgh,RECEIVING,Will,Phillips,LONG,19
3819053,9/30/2017,FBS,Rice,Pittsburgh,RECEIVING,Lance,Wright,REC,2
3819054,9/30/2017,FBS,Rice,Pittsburgh,RECEIVING,Lance,Wright,YDS,18
3819055,9/30/2017,FBS,Rice,Pittsburgh,RECEIVING,Lance,Wright,TD,0
3819056,9/30/2017,FBS,Rice,Pittsburgh,RECEIVING,Lance,Wright,LONG,11
3819057,9/30/2017,FBS,Rice,Pittsburgh,RECEIVING,Emmanuel,Esukpa,REC,1
3819058,9/30/2017,FBS,Rice,Pittsburgh,RECEIVING,Emmanuel,Esukpa,YDS,17
3819059,9/30/2017,FBS,Rice,Pittsburgh,RECEIVING,Emmanuel,Esukpa,TD,0
3819060,9/30/2017,FBS,Rice,Pittsburgh,RECEIVING,Emmanuel,Esukpa,LONG,17
3819061,9/30/2017,FBS,Rice,Pittsburgh,RECEIVING,Jordan,Myers,REC,1
3819062,9/30/2017,FBS,Rice,Pittsburgh,RECEIVING,Jordan,Myers,YDS,12
3819063,9/30/2017,FBS,Rice,Pittsburgh,RECEIVING,Jordan,Myers,TD,0
3819064,9/30/2017,FBS,Rice,Pittsburgh,RECEIVING,Jordan,Myers,LONG,12
3819065,9/30/2017,FBS,Rice,Pittsburgh,RECEIVING,Nahshon,Ellerbe,REC,1
3819066,9/30/2017,FBS,Rice,Pittsburgh,RECEIVING,Nahshon,Ellerbe,YDS,2
3819067,9/30/2017,FBS,Rice,Pittsburgh,RECEIVING,Nahshon,Ellerbe,TD,0
3819068,9/30/2017,FBS,Rice,Pittsburgh,RECEIVING,Nahshon,Ellerbe,LONG,2
3819069,9/30/2017,FBS,Rice,Pittsburgh,KICKING,Haden,Tobola,FG-FGA,1/1
3819070,9/30/2017,FBS,Rice,Pittsburgh,KICKING,Haden,Tobola,LONG,23
3819071,9/30/2017,FBS,Rice,Pittsburgh,KICKING,Haden,Tobola,XP,1
3819072,9/30/2017,FBS,Rice,Pittsburgh,KICKING,Haden,Tobola,PTS,4
3819073,9/30/2017,FBS,Rice,Pittsburgh,PUNTING,Jack,Fox,NO,7
3819074,9/30/2017,FBS,Rice,Pittsburgh,PUNTING,Jack,Fox,YDS,302
3819075,9/30/2017,FBS,Rice,Pittsburgh,PUNTING,Jack,Fox,AVG,43.1
3819076,9/30/2017,FBS,Rice,Pittsburgh,PUNTING,Jack,Fox,LONG,52
3819077,9/30/2017,FBS,Rice,Pittsburgh,PUNT RETURNS,Austin,Trammell,NO,2
3819078,9/30/2017,FBS,Rice,Pittsburgh,PUNT RETURNS,Austin,Trammell,YDS,7
3819079,9/30/2017,FBS,Rice,Pittsburgh,PUNT RETURNS,Austin,Trammell,AVG,3.5
3819080,9/30/2017,FBS,Rice,Pittsburgh,PUNT RETURNS,Austin,Trammell,LONG,5
3819081,9/30/2017,FBS,Rice,Pittsburgh,KICK RETURNS,Austin,Walter,NO,4
3819082,9/30/2017,FBS,Rice,Pittsburgh,KICK RETURNS,Austin,Walter,YDS,50
3819083,9/30/2017,FBS,Rice,Pittsburgh,KICK RETURNS,Austin,Walter,AVG,12.5
3819084,9/30/2017,FBS,Rice,Pittsburgh,KICK RETURNS,Austin,Walter,LONG,20
3819085,9/30/2017,FBS,Pittsburgh,Rice,RUSHING,Jordan,Whitehead,ATT,1
3819086,9/30/2017,FBS,Pittsburgh,Rice,RUSHING,Jordan,Whitehead,YDS,24
3819087,9/30/2017,FBS,Pittsburgh,Rice,RUSHING,Jordan,Whitehead,TD,0
3819088,9/30/2017,FBS,Pittsburgh,Rice,RUSHING,Jordan,Whitehead,LONG,24
3819089,9/30/2017,FBS,Pittsburgh,Rice,RUSHING,Chawntez,Moss,ATT,14
3819090,9/30/2017,FBS,Pittsburgh,Rice,RUSHING,Chawntez,Moss,YDS,22
3819091,9/30/2017,FBS,Pittsburgh,Rice,RUSHING,Chawntez,Moss,TD,1
3819092,9/30/2017,FBS,Pittsburgh,Rice,RUSHING,Chawntez,Moss,LONG,11
3819093,9/30/2017,FBS,Pittsburgh,Rice,RUSHING,Quadree,Henderson,ATT,3
