ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
4945001,10/27/2018,FBS,Texas Tech,Iowa St.,RUSHING,Da'Leon,Ward,ATT,10
4945002,10/27/2018,FBS,Texas Tech,Iowa St.,RUSHING,Da'Leon,Ward,YDS,16
4945003,10/27/2018,FBS,Texas Tech,Iowa St.,RUSHING,Da'Leon,Ward,TD,0
4945004,10/27/2018,FBS,Texas Tech,Iowa St.,RUSHING,Da'Leon,Ward,LONG,7
4945005,10/27/2018,FBS,Texas Tech,Iowa St.,RUSHING,Ta'zhawn,Henry,ATT,4
4945006,10/27/2018,FBS,Texas Tech,Iowa St.,RUSHING,Ta'zhawn,Henry,YDS,10
4945007,10/27/2018,FBS,Texas Tech,Iowa St.,RUSHING,Ta'zhawn,Henry,TD,0
4945008,10/27/2018,FBS,Texas Tech,Iowa St.,RUSHING,Ta'zhawn,Henry,LONG,7
4945009,10/27/2018,FBS,Texas Tech,Iowa St.,RUSHING,Alan,Bowman,ATT,9
4945010,10/27/2018,FBS,Texas Tech,Iowa St.,RUSHING,Alan,Bowman,YDS,4
4945011,10/27/2018,FBS,Texas Tech,Iowa St.,RUSHING,Alan,Bowman,TD,1
4945012,10/27/2018,FBS,Texas Tech,Iowa St.,RUSHING,Alan,Bowman,LONG,12
4945013,10/27/2018,FBS,Texas Tech,Iowa St.,RUSHING,Demarcus,Felton,ATT,1
4945014,10/27/2018,FBS,Texas Tech,Iowa St.,RUSHING,Demarcus,Felton,YDS,0
4945015,10/27/2018,FBS,Texas Tech,Iowa St.,RUSHING,Demarcus,Felton,TD,0
4945016,10/27/2018,FBS,Texas Tech,Iowa St.,RUSHING,Demarcus,Felton,LONG,0
4945017,10/27/2018,FBS,Texas Tech,Iowa St.,PASSING,Alan,Bowman,CP-ATT-INT,32-56-3
4945018,10/27/2018,FBS,Texas Tech,Iowa St.,PASSING,Alan,Bowman,YDS,323
4945019,10/27/2018,FBS,Texas Tech,Iowa St.,PASSING,Alan,Bowman,TD,1
4945020,10/27/2018,FBS,Texas Tech,Iowa St.,PASSING,Alan,Bowman,LONG,31
4945021,10/27/2018,FBS,Texas Tech,Iowa St.,PASSING,Seth,Collins,CP-ATT-INT,1-1-0
4945022,10/27/2018,FBS,Texas Tech,Iowa St.,PASSING,Seth,Collins,YDS,10
4945023,10/27/2018,FBS,Texas Tech,Iowa St.,PASSING,Seth,Collins,TD,0
4945024,10/27/2018,FBS,Texas Tech,Iowa St.,PASSING,Seth,Collins,LONG,10
4945025,10/27/2018,FBS,Texas Tech,Iowa St.,RECEIVING,Antoine,Wesley,REC,8
4945026,10/27/2018,FBS,Texas Tech,Iowa St.,RECEIVING,Antoine,Wesley,YDS,119
4945027,10/27/2018,FBS,Texas Tech,Iowa St.,RECEIVING,Antoine,Wesley,TD,1
4945028,10/27/2018,FBS,Texas Tech,Iowa St.,RECEIVING,Antoine,Wesley,LONG,31
4945029,10/27/2018,FBS,Texas Tech,Iowa St.,RECEIVING,Ja'Deion,High,REC,6
4945030,10/27/2018,FBS,Texas Tech,Iowa St.,RECEIVING,Ja'Deion,High,YDS,70
4945031,10/27/2018,FBS,Texas Tech,Iowa St.,RECEIVING,Ja'Deion,High,TD,0
4945032,10/27/2018,FBS,Texas Tech,Iowa St.,RECEIVING,Ja'Deion,High,LONG,17
4945033,10/27/2018,FBS,Texas Tech,Iowa St.,RECEIVING,T.J.,Vasher,REC,5
4945034,10/27/2018,FBS,Texas Tech,Iowa St.,RECEIVING,T.J.,Vasher,YDS,66
4945035,10/27/2018,FBS,Texas Tech,Iowa St.,RECEIVING,T.J.,Vasher,TD,0
4945036,10/27/2018,FBS,Texas Tech,Iowa St.,RECEIVING,T.J.,Vasher,LONG,20
4945037,10/27/2018,FBS,Texas Tech,Iowa St.,RECEIVING,Da'Leon,Ward,REC,7
4945038,10/27/2018,FBS,Texas Tech,Iowa St.,RECEIVING,Da'Leon,Ward,YDS,33
4945039,10/27/2018,FBS,Texas Tech,Iowa St.,RECEIVING,Da'Leon,Ward,TD,0
4945040,10/27/2018,FBS,Texas Tech,Iowa St.,RECEIVING,Da'Leon,Ward,LONG,9
4945041,10/27/2018,FBS,Texas Tech,Iowa St.,RECEIVING,Zach,Austin,REC,1
4945042,10/27/2018,FBS,Texas Tech,Iowa St.,RECEIVING,Zach,Austin,YDS,14
4945043,10/27/2018,FBS,Texas Tech,Iowa St.,RECEIVING,Zach,Austin,TD,0
4945044,10/27/2018,FBS,Texas Tech,Iowa St.,RECEIVING,Zach,Austin,LONG,14
4945045,10/27/2018,FBS,Texas Tech,Iowa St.,RECEIVING,Ta'zhawn,Henry,REC,3
4945046,10/27/2018,FBS,Texas Tech,Iowa St.,RECEIVING,Ta'zhawn,Henry,YDS,13
4945047,10/27/2018,FBS,Texas Tech,Iowa St.,RECEIVING,Ta'zhawn,Henry,TD,0
4945048,10/27/2018,FBS,Texas Tech,Iowa St.,RECEIVING,Ta'zhawn,Henry,LONG,9
4945049,10/27/2018,FBS,Texas Tech,Iowa St.,RECEIVING,Alan,Bowman,REC,1
4945050,10/27/2018,FBS,Texas Tech,Iowa St.,RECEIVING,Alan,Bowman,YDS,10
4945051,10/27/2018,FBS,Texas Tech,Iowa St.,RECEIVING,Alan,Bowman,TD,0
