ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
4780001,10/6/2018,FBS,Arizona St.,Colorado,RUSHING,Eno,Benjamin,ATT,28
4780002,10/6/2018,FBS,Arizona St.,Colorado,RUSHING,Eno,Benjamin,YDS,120
4780003,10/6/2018,FBS,Arizona St.,Colorado,RUSHING,Eno,Benjamin,TD,2
4780004,10/6/2018,FBS,Arizona St.,Colorado,RUSHING,Eno,Benjamin,LONG,17
4780005,10/6/2018,FBS,Arizona St.,Colorado,RUSHING,Manny,Wilkins,ATT,7
4780006,10/6/2018,FBS,Arizona St.,Colorado,RUSHING,Manny,Wilkins,YDS,14
4780007,10/6/2018,FBS,Arizona St.,Colorado,RUSHING,Manny,Wilkins,TD,0
4780008,10/6/2018,FBS,Arizona St.,Colorado,RUSHING,Manny,Wilkins,LONG,9
4780009,10/6/2018,FBS,Arizona St.,Colorado,RUSHING,Isaiah,Floyd,ATT,1
4780010,10/6/2018,FBS,Arizona St.,Colorado,RUSHING,Isaiah,Floyd,YDS,8
4780011,10/6/2018,FBS,Arizona St.,Colorado,RUSHING,Isaiah,Floyd,TD,0
4780012,10/6/2018,FBS,Arizona St.,Colorado,RUSHING,Isaiah,Floyd,LONG,8
4780013,10/6/2018,FBS,Arizona St.,Colorado,RUSHING,N'Keal,Harry,ATT,1
4780014,10/6/2018,FBS,Arizona St.,Colorado,RUSHING,N'Keal,Harry,YDS,2
4780015,10/6/2018,FBS,Arizona St.,Colorado,RUSHING,N'Keal,Harry,TD,0
4780016,10/6/2018,FBS,Arizona St.,Colorado,RUSHING,N'Keal,Harry,LONG,2
4780017,10/6/2018,FBS,Arizona St.,Colorado,RUSHING,Trelon,Smith,ATT,1
4780018,10/6/2018,FBS,Arizona St.,Colorado,RUSHING,Trelon,Smith,YDS,2
4780019,10/6/2018,FBS,Arizona St.,Colorado,RUSHING,Trelon,Smith,TD,0
4780020,10/6/2018,FBS,Arizona St.,Colorado,RUSHING,Trelon,Smith,LONG,2
4780021,10/6/2018,FBS,Arizona St.,Colorado,RUSHING,,Team,ATT,1
4780022,10/6/2018,FBS,Arizona St.,Colorado,RUSHING,,Team,YDS,-1
4780023,10/6/2018,FBS,Arizona St.,Colorado,RUSHING,,Team,TD,0
4780024,10/6/2018,FBS,Arizona St.,Colorado,RUSHING,,Team,LONG,-1
4780025,10/6/2018,FBS,Arizona St.,Colorado,PASSING,Manny,Wilkins,CP-ATT-INT,12-18-0
4780026,10/6/2018,FBS,Arizona St.,Colorado,PASSING,Manny,Wilkins,YDS,222
4780027,10/6/2018,FBS,Arizona St.,Colorado,PASSING,Manny,Wilkins,TD,1
4780028,10/6/2018,FBS,Arizona St.,Colorado,PASSING,Manny,Wilkins,LONG,72
4780029,10/6/2018,FBS,Arizona St.,Colorado,RECEIVING,Frank,Darby,REC,3
4780030,10/6/2018,FBS,Arizona St.,Colorado,RECEIVING,Frank,Darby,YDS,131
4780031,10/6/2018,FBS,Arizona St.,Colorado,RECEIVING,Frank,Darby,TD,1
4780032,10/6/2018,FBS,Arizona St.,Colorado,RECEIVING,Frank,Darby,LONG,72
4780033,10/6/2018,FBS,Arizona St.,Colorado,RECEIVING,N'Keal,Harry,REC,3
4780034,10/6/2018,FBS,Arizona St.,Colorado,RECEIVING,N'Keal,Harry,YDS,62
4780035,10/6/2018,FBS,Arizona St.,Colorado,RECEIVING,N'Keal,Harry,TD,0
4780036,10/6/2018,FBS,Arizona St.,Colorado,RECEIVING,N'Keal,Harry,LONG,30
4780037,10/6/2018,FBS,Arizona St.,Colorado,RECEIVING,Kyle,Williams,REC,3
4780038,10/6/2018,FBS,Arizona St.,Colorado,RECEIVING,Kyle,Williams,YDS,26
4780039,10/6/2018,FBS,Arizona St.,Colorado,RECEIVING,Kyle,Williams,TD,0
4780040,10/6/2018,FBS,Arizona St.,Colorado,RECEIVING,Kyle,Williams,LONG,13
4780041,10/6/2018,FBS,Arizona St.,Colorado,RECEIVING,Eno,Benjamin,REC,2
4780042,10/6/2018,FBS,Arizona St.,Colorado,RECEIVING,Eno,Benjamin,YDS,2
4780043,10/6/2018,FBS,Arizona St.,Colorado,RECEIVING,Eno,Benjamin,TD,0
4780044,10/6/2018,FBS,Arizona St.,Colorado,RECEIVING,Eno,Benjamin,LONG,5
4780045,10/6/2018,FBS,Arizona St.,Colorado,RECEIVING,Tommy,Hudson,REC,1
4780046,10/6/2018,FBS,Arizona St.,Colorado,RECEIVING,Tommy,Hudson,YDS,1
4780047,10/6/2018,FBS,Arizona St.,Colorado,RECEIVING,Tommy,Hudson,TD,0
4780048,10/6/2018,FBS,Arizona St.,Colorado,RECEIVING,Tommy,Hudson,LONG,1
4780049,10/6/2018,FBS,Arizona St.,Colorado,KICKING,Brandon,Ruiz,FG-FGA,0/1
4780050,10/6/2018,FBS,Arizona St.,Colorado,KICKING,Brandon,Ruiz,LONG,0
4780051,10/6/2018,FBS,Arizona St.,Colorado,KICKING,Brandon,Ruiz,XP,3
4780052,10/6/2018,FBS,Arizona St.,Colorado,KICKING,Brandon,Ruiz,PTS,3
4780053,10/6/2018,FBS,Arizona St.,Colorado,PUNTING,Michael,Sleep-Dalton,NO,4
4780054,10/6/2018,FBS,Arizona St.,Colorado,PUNTING,Michael,Sleep-Dalton,YDS,190
4780055,10/6/2018,FBS,Arizona St.,Colorado,PUNTING,Michael,Sleep-Dalton,AVG,47.5
4780056,10/6/2018,FBS,Arizona St.,Colorado,PUNTING,Michael,Sleep-Dalton,LONG,48
4780057,10/6/2018,FBS,Arizona St.,Colorado,PUNT RETURNS,N'Keal,Harry,NO,1
4780058,10/6/2018,FBS,Arizona St.,Colorado,PUNT RETURNS,N'Keal,Harry,YDS,11
4780059,10/6/2018,FBS,Arizona St.,Colorado,PUNT RETURNS,N'Keal,Harry,AVG,11.0
4780060,10/6/2018,FBS,Arizona St.,Colorado,PUNT RETURNS,N'Keal,Harry,LONG,11
4780061,10/6/2018,FBS,Arizona St.,Colorado,PUNT RETURNS,Brandon,Aiyuk,NO,1
4780062,10/6/2018,FBS,Arizona St.,Colorado,PUNT RETURNS,Brandon,Aiyuk,YDS,9
4780063,10/6/2018,FBS,Arizona St.,Colorado,PUNT RETURNS,Brandon,Aiyuk,AVG,9.0
4780064,10/6/2018,FBS,Arizona St.,Colorado,PUNT RETURNS,Brandon,Aiyuk,LONG,9
4780065,10/6/2018,FBS,Arizona St.,Colorado,KICK RETURNS,Paul,Lucas,NO,1
4780066,10/6/2018,FBS,Arizona St.,Colorado,KICK RETURNS,Paul,Lucas,YDS,16
4780067,10/6/2018,FBS,Arizona St.,Colorado,KICK RETURNS,Paul,Lucas,AVG,16.0
4780068,10/6/2018,FBS,Arizona St.,Colorado,KICK RETURNS,Paul,Lucas,LONG,16
4780069,10/6/2018,FBS,Colorado,Arizona St.,RUSHING,Travon,McMillian,ATT,30
4780070,10/6/2018,FBS,Colorado,Arizona St.,RUSHING,Travon,McMillian,YDS,136
4780071,10/6/2018,FBS,Colorado,Arizona St.,RUSHING,Travon,McMillian,TD,0
4780072,10/6/2018,FBS,Colorado,Arizona St.,RUSHING,Travon,McMillian,LONG,14
4780073,10/6/2018,FBS,Colorado,Arizona St.,RUSHING,Steven,Montez,ATT,3
4780074,10/6/2018,FBS,Colorado,Arizona St.,RUSHING,Steven,Montez,YDS,17
4780075,10/6/2018,FBS,Colorado,Arizona St.,RUSHING,Steven,Montez,TD,0
4780076,10/6/2018,FBS,Colorado,Arizona St.,RUSHING,Steven,Montez,LONG,12
4780077,10/6/2018,FBS,Colorado,Arizona St.,RUSHING,Laviska,ShenaultJr.,ATT,5
4780078,10/6/2018,FBS,Colorado,Arizona St.,RUSHING,Laviska,ShenaultJr.,YDS,13
4780079,10/6/2018,FBS,Colorado,Arizona St.,RUSHING,Laviska,ShenaultJr.,TD,2
4780080,10/6/2018,FBS,Colorado,Arizona St.,RUSHING,Laviska,ShenaultJr.,LONG,7
4780081,10/6/2018,FBS,Colorado,Arizona St.,RUSHING,Kyle,Evans,ATT,3
4780082,10/6/2018,FBS,Colorado,Arizona St.,RUSHING,Kyle,Evans,YDS,3
4780083,10/6/2018,FBS,Colorado,Arizona St.,RUSHING,Kyle,Evans,TD,0
4780084,10/6/2018,FBS,Colorado,Arizona St.,RUSHING,Kyle,Evans,LONG,4
4780085,10/6/2018,FBS,Colorado,Arizona St.,RUSHING,K.D.,Nixon,ATT,1
4780086,10/6/2018,FBS,Colorado,Arizona St.,RUSHING,K.D.,Nixon,YDS,1
4780087,10/6/2018,FBS,Colorado,Arizona St.,RUSHING,K.D.,Nixon,TD,0
4780088,10/6/2018,FBS,Colorado,Arizona St.,RUSHING,K.D.,Nixon,LONG,1
4780089,10/6/2018,FBS,Colorado,Arizona St.,RUSHING,,Team,ATT,3
4780090,10/6/2018,FBS,Colorado,Arizona St.,RUSHING,,Team,YDS,-4
4780091,10/6/2018,FBS,Colorado,Arizona St.,RUSHING,,Team,TD,0
4780092,10/6/2018,FBS,Colorado,Arizona St.,RUSHING,,Team,LONG,-1
4780093,10/6/2018,FBS,Colorado,Arizona St.,PASSING,Steven,Montez,CP-ATT-INT,24-33-0
4780094,10/6/2018,FBS,Colorado,Arizona St.,PASSING,Steven,Montez,YDS,328
4780095,10/6/2018,FBS,Colorado,Arizona St.,PASSING,Steven,Montez,TD,2
4780096,10/6/2018,FBS,Colorado,Arizona St.,PASSING,Steven,Montez,LONG,51
4780097,10/6/2018,FBS,Colorado,Arizona St.,RECEIVING,Laviska,ShenaultJr.,REC,13
4780098,10/6/2018,FBS,Colorado,Arizona St.,RECEIVING,Laviska,ShenaultJr.,YDS,127
4780099,10/6/2018,FBS,Colorado,Arizona St.,RECEIVING,Laviska,ShenaultJr.,TD,2
4780100,10/6/2018,FBS,Colorado,Arizona St.,RECEIVING,Laviska,ShenaultJr.,LONG,30
4780101,10/6/2018,FBS,Colorado,Arizona St.,RECEIVING,K.D.,Nixon,REC,5
4780102,10/6/2018,FBS,Colorado,Arizona St.,RECEIVING,K.D.,Nixon,YDS,97
4780103,10/6/2018,FBS,Colorado,Arizona St.,RECEIVING,K.D.,Nixon,TD,0
4780104,10/6/2018,FBS,Colorado,Arizona St.,RECEIVING,K.D.,Nixon,LONG,51
4780105,10/6/2018,FBS,Colorado,Arizona St.,RECEIVING,Tony,Brown,REC,4
4780106,10/6/2018,FBS,Colorado,Arizona St.,RECEIVING,Tony,Brown,YDS,55
4780107,10/6/2018,FBS,Colorado,Arizona St.,RECEIVING,Tony,Brown,TD,0
4780108,10/6/2018,FBS,Colorado,Arizona St.,RECEIVING,Tony,Brown,LONG,39
4780109,10/6/2018,FBS,Colorado,Arizona St.,RECEIVING,Jay,MacIntyre,REC,2
4780110,10/6/2018,FBS,Colorado,Arizona St.,RECEIVING,Jay,MacIntyre,YDS,49
