ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
5002001,11/3/2018,FBS,South Carolina,Ole Miss,RUSHING,Mon,Denson,ATT,12
5002002,11/3/2018,FBS,South Carolina,Ole Miss,RUSHING,Mon,Denson,YDS,102
5002003,11/3/2018,FBS,South Carolina,Ole Miss,RUSHING,Mon,Denson,TD,0
5002004,11/3/2018,FBS,South Carolina,Ole Miss,RUSHING,Mon,Denson,LONG,69
5002005,11/3/2018,FBS,South Carolina,Ole Miss,RUSHING,Ty'Son,Williams,ATT,7
5002006,11/3/2018,FBS,South Carolina,Ole Miss,RUSHING,Ty'Son,Williams,YDS,30
5002007,11/3/2018,FBS,South Carolina,Ole Miss,RUSHING,Ty'Son,Williams,TD,1
5002008,11/3/2018,FBS,South Carolina,Ole Miss,RUSHING,Ty'Son,Williams,LONG,8
5002009,11/3/2018,FBS,South Carolina,Ole Miss,RUSHING,A.J.,Turner,ATT,5
5002010,11/3/2018,FBS,South Carolina,Ole Miss,RUSHING,A.J.,Turner,YDS,17
5002011,11/3/2018,FBS,South Carolina,Ole Miss,RUSHING,A.J.,Turner,TD,1
5002012,11/3/2018,FBS,South Carolina,Ole Miss,RUSHING,A.J.,Turner,LONG,11
5002013,11/3/2018,FBS,South Carolina,Ole Miss,RUSHING,Jake,Bentley,ATT,8
5002014,11/3/2018,FBS,South Carolina,Ole Miss,RUSHING,Jake,Bentley,YDS,8
5002015,11/3/2018,FBS,South Carolina,Ole Miss,RUSHING,Jake,Bentley,TD,1
5002016,11/3/2018,FBS,South Carolina,Ole Miss,RUSHING,Jake,Bentley,LONG,6
5002017,11/3/2018,FBS,South Carolina,Ole Miss,RUSHING,Rico,Dowdle,ATT,1
5002018,11/3/2018,FBS,South Carolina,Ole Miss,RUSHING,Rico,Dowdle,YDS,-1
5002019,11/3/2018,FBS,South Carolina,Ole Miss,RUSHING,Rico,Dowdle,TD,0
5002020,11/3/2018,FBS,South Carolina,Ole Miss,RUSHING,Rico,Dowdle,LONG,-1
5002021,11/3/2018,FBS,South Carolina,Ole Miss,RUSHING,,Team,ATT,4
5002022,11/3/2018,FBS,South Carolina,Ole Miss,RUSHING,,Team,YDS,-9
5002023,11/3/2018,FBS,South Carolina,Ole Miss,RUSHING,,Team,TD,0
5002024,11/3/2018,FBS,South Carolina,Ole Miss,RUSHING,,Team,LONG,-2
5002025,11/3/2018,FBS,South Carolina,Ole Miss,PASSING,Jake,Bentley,CP-ATT-INT,22-32-0
5002026,11/3/2018,FBS,South Carolina,Ole Miss,PASSING,Jake,Bentley,YDS,363
5002027,11/3/2018,FBS,South Carolina,Ole Miss,PASSING,Jake,Bentley,TD,2
5002028,11/3/2018,FBS,South Carolina,Ole Miss,PASSING,Jake,Bentley,LONG,75
5002029,11/3/2018,FBS,South Carolina,Ole Miss,RECEIVING,Bryan,Edwards,REC,4
5002030,11/3/2018,FBS,South Carolina,Ole Miss,RECEIVING,Bryan,Edwards,YDS,109
5002031,11/3/2018,FBS,South Carolina,Ole Miss,RECEIVING,Bryan,Edwards,TD,1
5002032,11/3/2018,FBS,South Carolina,Ole Miss,RECEIVING,Bryan,Edwards,LONG,75
5002033,11/3/2018,FBS,South Carolina,Ole Miss,RECEIVING,Ty'Son,Williams,REC,3
5002034,11/3/2018,FBS,South Carolina,Ole Miss,RECEIVING,Ty'Son,Williams,YDS,105
5002035,11/3/2018,FBS,South Carolina,Ole Miss,RECEIVING,Ty'Son,Williams,TD,0
5002036,11/3/2018,FBS,South Carolina,Ole Miss,RECEIVING,Ty'Son,Williams,LONG,50
5002037,11/3/2018,FBS,South Carolina,Ole Miss,RECEIVING,Shi,Smith,REC,3
5002038,11/3/2018,FBS,South Carolina,Ole Miss,RECEIVING,Shi,Smith,YDS,82
5002039,11/3/2018,FBS,South Carolina,Ole Miss,RECEIVING,Shi,Smith,TD,0
5002040,11/3/2018,FBS,South Carolina,Ole Miss,RECEIVING,Shi,Smith,LONG,38
5002041,11/3/2018,FBS,South Carolina,Ole Miss,RECEIVING,A.J.,Turner,REC,1
5002042,11/3/2018,FBS,South Carolina,Ole Miss,RECEIVING,A.J.,Turner,YDS,21
5002043,11/3/2018,FBS,South Carolina,Ole Miss,RECEIVING,A.J.,Turner,TD,0
5002044,11/3/2018,FBS,South Carolina,Ole Miss,RECEIVING,A.J.,Turner,LONG,21
5002045,11/3/2018,FBS,South Carolina,Ole Miss,RECEIVING,Deebo,Samuel,REC,3
5002046,11/3/2018,FBS,South Carolina,Ole Miss,RECEIVING,Deebo,Samuel,YDS,17
5002047,11/3/2018,FBS,South Carolina,Ole Miss,RECEIVING,Deebo,Samuel,TD,0
5002048,11/3/2018,FBS,South Carolina,Ole Miss,RECEIVING,Deebo,Samuel,LONG,15
5002049,11/3/2018,FBS,South Carolina,Ole Miss,RECEIVING,Josh,Vann,REC,3
5002050,11/3/2018,FBS,South Carolina,Ole Miss,RECEIVING,Josh,Vann,YDS,13
5002051,11/3/2018,FBS,South Carolina,Ole Miss,RECEIVING,Josh,Vann,TD,1
5002052,11/3/2018,FBS,South Carolina,Ole Miss,RECEIVING,Josh,Vann,LONG,9
5002053,11/3/2018,FBS,South Carolina,Ole Miss,RECEIVING,K.C.,Crosby,REC,2
5002054,11/3/2018,FBS,South Carolina,Ole Miss,RECEIVING,K.C.,Crosby,YDS,11
5002055,11/3/2018,FBS,South Carolina,Ole Miss,RECEIVING,K.C.,Crosby,TD,0
5002056,11/3/2018,FBS,South Carolina,Ole Miss,RECEIVING,K.C.,Crosby,LONG,8
5002057,11/3/2018,FBS,South Carolina,Ole Miss,RECEIVING,Jacob,August,REC,1
5002058,11/3/2018,FBS,South Carolina,Ole Miss,RECEIVING,Jacob,August,YDS,4
5002059,11/3/2018,FBS,South Carolina,Ole Miss,RECEIVING,Jacob,August,TD,0
5002060,11/3/2018,FBS,South Carolina,Ole Miss,RECEIVING,Jacob,August,LONG,4
5002061,11/3/2018,FBS,South Carolina,Ole Miss,RECEIVING,Mon,Denson,REC,1
5002062,11/3/2018,FBS,South Carolina,Ole Miss,RECEIVING,Mon,Denson,YDS,1
5002063,11/3/2018,FBS,South Carolina,Ole Miss,RECEIVING,Mon,Denson,TD,0
5002064,11/3/2018,FBS,South Carolina,Ole Miss,RECEIVING,Mon,Denson,LONG,1
5002065,11/3/2018,FBS,South Carolina,Ole Miss,RECEIVING,Chavis,Dawkins,REC,1
5002066,11/3/2018,FBS,South Carolina,Ole Miss,RECEIVING,Chavis,Dawkins,YDS,0
5002067,11/3/2018,FBS,South Carolina,Ole Miss,RECEIVING,Chavis,Dawkins,TD,0
5002068,11/3/2018,FBS,South Carolina,Ole Miss,RECEIVING,Chavis,Dawkins,LONG,0
5002069,11/3/2018,FBS,South Carolina,Ole Miss,KICKING,Parker,White,FG-FGA,2/2
5002070,11/3/2018,FBS,South Carolina,Ole Miss,KICKING,Parker,White,LONG,23
5002071,11/3/2018,FBS,South Carolina,Ole Miss,KICKING,Parker,White,XP,6
