ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
4445001,9/1/2018,FBS,Indiana,FIU,RUSHING,Stevie,Scott,ATT,20
4445002,9/1/2018,FBS,Indiana,FIU,RUSHING,Stevie,Scott,YDS,70
4445003,9/1/2018,FBS,Indiana,FIU,RUSHING,Stevie,Scott,TD,0
4445004,9/1/2018,FBS,Indiana,FIU,RUSHING,Stevie,Scott,LONG,9
4445005,9/1/2018,FBS,Indiana,FIU,RUSHING,Reese,Taylor,ATT,3
4445006,9/1/2018,FBS,Indiana,FIU,RUSHING,Reese,Taylor,YDS,40
4445007,9/1/2018,FBS,Indiana,FIU,RUSHING,Reese,Taylor,TD,0
4445008,9/1/2018,FBS,Indiana,FIU,RUSHING,Reese,Taylor,LONG,32
4445009,9/1/2018,FBS,Indiana,FIU,RUSHING,Peyton,Ramsey,ATT,8
4445010,9/1/2018,FBS,Indiana,FIU,RUSHING,Peyton,Ramsey,YDS,36
4445011,9/1/2018,FBS,Indiana,FIU,RUSHING,Peyton,Ramsey,TD,0
4445012,9/1/2018,FBS,Indiana,FIU,RUSHING,Peyton,Ramsey,LONG,19
4445013,9/1/2018,FBS,Indiana,FIU,RUSHING,Whop,Philyor,ATT,2
4445014,9/1/2018,FBS,Indiana,FIU,RUSHING,Whop,Philyor,YDS,23
4445015,9/1/2018,FBS,Indiana,FIU,RUSHING,Whop,Philyor,TD,0
4445016,9/1/2018,FBS,Indiana,FIU,RUSHING,Whop,Philyor,LONG,14
4445017,9/1/2018,FBS,Indiana,FIU,RUSHING,Mike,Majette,ATT,5
4445018,9/1/2018,FBS,Indiana,FIU,RUSHING,Mike,Majette,YDS,19
4445019,9/1/2018,FBS,Indiana,FIU,RUSHING,Mike,Majette,TD,0
4445020,9/1/2018,FBS,Indiana,FIU,RUSHING,Mike,Majette,LONG,14
4445021,9/1/2018,FBS,Indiana,FIU,RUSHING,Cole,Gest,ATT,5
4445022,9/1/2018,FBS,Indiana,FIU,RUSHING,Cole,Gest,YDS,17
4445023,9/1/2018,FBS,Indiana,FIU,RUSHING,Cole,Gest,TD,0
4445024,9/1/2018,FBS,Indiana,FIU,RUSHING,Cole,Gest,LONG,6
4445025,9/1/2018,FBS,Indiana,FIU,RUSHING,Michael,PenixJr.,ATT,2
4445026,9/1/2018,FBS,Indiana,FIU,RUSHING,Michael,PenixJr.,YDS,8
4445027,9/1/2018,FBS,Indiana,FIU,RUSHING,Michael,PenixJr.,TD,0
4445028,9/1/2018,FBS,Indiana,FIU,RUSHING,Michael,PenixJr.,LONG,5
4445029,9/1/2018,FBS,Indiana,FIU,PASSING,Peyton,Ramsey,CP-ATT-INT,20-27-1
4445030,9/1/2018,FBS,Indiana,FIU,PASSING,Peyton,Ramsey,YDS,156
4445031,9/1/2018,FBS,Indiana,FIU,PASSING,Peyton,Ramsey,TD,3
4445032,9/1/2018,FBS,Indiana,FIU,PASSING,Peyton,Ramsey,LONG,18
4445033,9/1/2018,FBS,Indiana,FIU,PASSING,Michael,PenixJr.,CP-ATT-INT,8-10-0
4445034,9/1/2018,FBS,Indiana,FIU,PASSING,Michael,PenixJr.,YDS,96
4445035,9/1/2018,FBS,Indiana,FIU,PASSING,Michael,PenixJr.,TD,1
4445036,9/1/2018,FBS,Indiana,FIU,PASSING,Michael,PenixJr.,LONG,34
4445037,9/1/2018,FBS,Indiana,FIU,RECEIVING,Donavan,Hale,REC,4
4445038,9/1/2018,FBS,Indiana,FIU,RECEIVING,Donavan,Hale,YDS,60
4445039,9/1/2018,FBS,Indiana,FIU,RECEIVING,Donavan,Hale,TD,2
4445040,9/1/2018,FBS,Indiana,FIU,RECEIVING,Donavan,Hale,LONG,34
4445041,9/1/2018,FBS,Indiana,FIU,RECEIVING,Luke,Timian,REC,6
4445042,9/1/2018,FBS,Indiana,FIU,RECEIVING,Luke,Timian,YDS,50
4445043,9/1/2018,FBS,Indiana,FIU,RECEIVING,Luke,Timian,TD,0
4445044,9/1/2018,FBS,Indiana,FIU,RECEIVING,Luke,Timian,LONG,18
4445045,9/1/2018,FBS,Indiana,FIU,RECEIVING,Ty,Fryfogle,REC,5
4445046,9/1/2018,FBS,Indiana,FIU,RECEIVING,Ty,Fryfogle,YDS,33
4445047,9/1/2018,FBS,Indiana,FIU,RECEIVING,Ty,Fryfogle,TD,0
4445048,9/1/2018,FBS,Indiana,FIU,RECEIVING,Ty,Fryfogle,LONG,12
4445049,9/1/2018,FBS,Indiana,FIU,RECEIVING,Nick,Westbrook,REC,5
4445050,9/1/2018,FBS,Indiana,FIU,RECEIVING,Nick,Westbrook,YDS,33
4445051,9/1/2018,FBS,Indiana,FIU,RECEIVING,Nick,Westbrook,TD,0
4445052,9/1/2018,FBS,Indiana,FIU,RECEIVING,Nick,Westbrook,LONG,11
4445053,9/1/2018,FBS,Indiana,FIU,RECEIVING,Whop,Philyor,REC,2
4445054,9/1/2018,FBS,Indiana,FIU,RECEIVING,Whop,Philyor,YDS,27
4445055,9/1/2018,FBS,Indiana,FIU,RECEIVING,Whop,Philyor,TD,0
4445056,9/1/2018,FBS,Indiana,FIU,RECEIVING,Whop,Philyor,LONG,19
4445057,9/1/2018,FBS,Indiana,FIU,RECEIVING,Matt,Bjorson,REC,1
4445058,9/1/2018,FBS,Indiana,FIU,RECEIVING,Matt,Bjorson,YDS,15
4445059,9/1/2018,FBS,Indiana,FIU,RECEIVING,Matt,Bjorson,TD,0
4445060,9/1/2018,FBS,Indiana,FIU,RECEIVING,Matt,Bjorson,LONG,15
4445061,9/1/2018,FBS,Indiana,FIU,RECEIVING,Reese,Taylor,REC,2
4445062,9/1/2018,FBS,Indiana,FIU,RECEIVING,Reese,Taylor,YDS,12
4445063,9/1/2018,FBS,Indiana,FIU,RECEIVING,Reese,Taylor,TD,0
4445064,9/1/2018,FBS,Indiana,FIU,RECEIVING,Reese,Taylor,LONG,8
4445065,9/1/2018,FBS,Indiana,FIU,RECEIVING,Cole,Gest,REC,1
4445066,9/1/2018,FBS,Indiana,FIU,RECEIVING,Cole,Gest,YDS,10
4445067,9/1/2018,FBS,Indiana,FIU,RECEIVING,Cole,Gest,TD,0
4445068,9/1/2018,FBS,Indiana,FIU,RECEIVING,Cole,Gest,LONG,10
4445069,9/1/2018,FBS,Indiana,FIU,RECEIVING,Mike,Majette,REC,1
4445070,9/1/2018,FBS,Indiana,FIU,RECEIVING,Mike,Majette,YDS,9
4445071,9/1/2018,FBS,Indiana,FIU,RECEIVING,Mike,Majette,TD,1
4445072,9/1/2018,FBS,Indiana,FIU,RECEIVING,Mike,Majette,LONG,9
4445073,9/1/2018,FBS,Indiana,FIU,RECEIVING,Peyton,Hendershot,REC,1
4445074,9/1/2018,FBS,Indiana,FIU,RECEIVING,Peyton,Hendershot,YDS,3
4445075,9/1/2018,FBS,Indiana,FIU,RECEIVING,Peyton,Hendershot,TD,1
4445076,9/1/2018,FBS,Indiana,FIU,RECEIVING,Peyton,Hendershot,LONG,3
4445077,9/1/2018,FBS,Indiana,FIU,KICKING,Logan,Justus,FG-FGA,1/1
4445078,9/1/2018,FBS,Indiana,FIU,KICKING,Logan,Justus,LONG,36
4445079,9/1/2018,FBS,Indiana,FIU,KICKING,Logan,Justus,XP,5
4445080,9/1/2018,FBS,Indiana,FIU,KICKING,Logan,Justus,PTS,8
4445081,9/1/2018,FBS,Indiana,FIU,PUNTING,Haydon,Whitehead,NO,2
4445082,9/1/2018,FBS,Indiana,FIU,PUNTING,Haydon,Whitehead,YDS,86
4445083,9/1/2018,FBS,Indiana,FIU,PUNTING,Haydon,Whitehead,AVG,43.0
4445084,9/1/2018,FBS,Indiana,FIU,PUNTING,Haydon,Whitehead,LONG,50
4445085,9/1/2018,FBS,Indiana,FIU,PUNT RETURNS,J-Shun,HarrisII,NO,1
4445086,9/1/2018,FBS,Indiana,FIU,PUNT RETURNS,J-Shun,HarrisII,YDS,6
4445087,9/1/2018,FBS,Indiana,FIU,PUNT RETURNS,J-Shun,HarrisII,AVG,6.0
4445088,9/1/2018,FBS,Indiana,FIU,PUNT RETURNS,J-Shun,HarrisII,LONG,6
4445089,9/1/2018,FBS,Indiana,FIU,KICK RETURNS,Bryant,Fitzgerald,NO,1
4445090,9/1/2018,FBS,Indiana,FIU,KICK RETURNS,Bryant,Fitzgerald,YDS,11
4445091,9/1/2018,FBS,Indiana,FIU,KICK RETURNS,Bryant,Fitzgerald,AVG,11.0
4445092,9/1/2018,FBS,Indiana,FIU,KICK RETURNS,Bryant,Fitzgerald,LONG,11
4445093,9/1/2018,FBS,Indiana,FIU,DEFENSE,Jerome,Johnson,TOT,1
4445094,9/1/2018,FBS,Indiana,FIU,DEFENSE,Jerome,Johnson,SOLO,1
4445095,9/1/2018,FBS,Indiana,FIU,DEFENSE,Jerome,Johnson,SACKS,1.0
4445096,9/1/2018,FBS,Indiana,FIU,DEFENSE,Jerome,Johnson,TFL,1
4445097,9/1/2018,FBS,Indiana,FIU,DEFENSE,Jerome,Johnson,INT,0
4445098,9/1/2018,FBS,Indiana,FIU,DEFENSE,Jerome,Johnson,FF,1
4445099,9/1/2018,FBS,Indiana,FIU,DEFENSE,Jerome,Johnson,FR,0
4445100,9/1/2018,FBS,Indiana,FIU,DEFENSE,Nile,Sykes,TOT,0
4445101,9/1/2018,FBS,Indiana,FIU,DEFENSE,Nile,Sykes,SOLO,0
4445102,9/1/2018,FBS,Indiana,FIU,DEFENSE,Nile,Sykes,SACKS,0.0
4445103,9/1/2018,FBS,Indiana,FIU,DEFENSE,Nile,Sykes,TFL,0
4445104,9/1/2018,FBS,Indiana,FIU,DEFENSE,Nile,Sykes,INT,0
4445105,9/1/2018,FBS,Indiana,FIU,DEFENSE,Nile,Sykes,FF,0
4445106,9/1/2018,FBS,Indiana,FIU,DEFENSE,Nile,Sykes,FR,1
4445107,9/1/2018,FBS,Indiana,FIU,DEFENSE,Devon,Matthews,TOT,0
4445108,9/1/2018,FBS,Indiana,FIU,DEFENSE,Devon,Matthews,SOLO,0
4445109,9/1/2018,FBS,Indiana,FIU,DEFENSE,Devon,Matthews,SACKS,0.0
4445110,9/1/2018,FBS,Indiana,FIU,DEFENSE,Devon,Matthews,TFL,0
4445111,9/1/2018,FBS,Indiana,FIU,DEFENSE,Devon,Matthews,INT,0
4445112,9/1/2018,FBS,Indiana,FIU,DEFENSE,Devon,Matthews,FF,0
4445113,9/1/2018,FBS,Indiana,FIU,DEFENSE,Devon,Matthews,FR,1
4445114,9/1/2018,FBS,Indiana,FIU,DEFENSE,Jonathan,Crawford,TOT,1
4445115,9/1/2018,FBS,Indiana,FIU,DEFENSE,Jonathan,Crawford,SOLO,1
4445116,9/1/2018,FBS,Indiana,FIU,DEFENSE,Jonathan,Crawford,SACKS,0.0
4445117,9/1/2018,FBS,Indiana,FIU,DEFENSE,Jonathan,Crawford,TFL,0
4445118,9/1/2018,FBS,Indiana,FIU,DEFENSE,Jonathan,Crawford,INT,1
4445119,9/1/2018,FBS,Indiana,FIU,DEFENSE,Jonathan,Crawford,FF,1
4445120,9/1/2018,FBS,Indiana,FIU,DEFENSE,Jonathan,Crawford,FR,0
4445121,9/1/2018,FBS,FIU,Indiana,RUSHING,Anthony,Jones,ATT,15
4445122,9/1/2018,FBS,FIU,Indiana,RUSHING,Anthony,Jones,YDS,88
4445123,9/1/2018,FBS,FIU,Indiana,RUSHING,Anthony,Jones,TD,2
4445124,9/1/2018,FBS,FIU,Indiana,RUSHING,Anthony,Jones,LONG,36
4445125,9/1/2018,FBS,FIU,Indiana,RUSHING,Shawndarrius,Phillips,ATT,11
4445126,9/1/2018,FBS,FIU,Indiana,RUSHING,Shawndarrius,Phillips,YDS,38
4445127,9/1/2018,FBS,FIU,Indiana,RUSHING,Shawndarrius,Phillips,TD,1
4445128,9/1/2018,FBS,FIU,Indiana,RUSHING,Shawndarrius,Phillips,LONG,8
4445129,9/1/2018,FBS,FIU,Indiana,RUSHING,D'Vonte,Price,ATT,2
