ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
4541001,9/8/2018,FBS,Eastern Mich.,Purdue,RUSHING,Shaq,Vann,ATT,7
4541002,9/8/2018,FBS,Eastern Mich.,Purdue,RUSHING,Shaq,Vann,YDS,44
4541003,9/8/2018,FBS,Eastern Mich.,Purdue,RUSHING,Shaq,Vann,TD,0
4541004,9/8/2018,FBS,Eastern Mich.,Purdue,RUSHING,Shaq,Vann,LONG,16
4541005,9/8/2018,FBS,Eastern Mich.,Purdue,RUSHING,Ian,Eriksen,ATT,8
4541006,9/8/2018,FBS,Eastern Mich.,Purdue,RUSHING,Ian,Eriksen,YDS,20
4541007,9/8/2018,FBS,Eastern Mich.,Purdue,RUSHING,Ian,Eriksen,TD,0
4541008,9/8/2018,FBS,Eastern Mich.,Purdue,RUSHING,Ian,Eriksen,LONG,10
4541009,9/8/2018,FBS,Eastern Mich.,Purdue,RUSHING,Breck,Turner,ATT,3
4541010,9/8/2018,FBS,Eastern Mich.,Purdue,RUSHING,Breck,Turner,YDS,13
4541011,9/8/2018,FBS,Eastern Mich.,Purdue,RUSHING,Breck,Turner,TD,1
4541012,9/8/2018,FBS,Eastern Mich.,Purdue,RUSHING,Breck,Turner,LONG,9
4541013,9/8/2018,FBS,Eastern Mich.,Purdue,RUSHING,Mike,GlassIII,ATT,3
4541014,9/8/2018,FBS,Eastern Mich.,Purdue,RUSHING,Mike,GlassIII,YDS,0
4541015,9/8/2018,FBS,Eastern Mich.,Purdue,RUSHING,Mike,GlassIII,TD,0
4541016,9/8/2018,FBS,Eastern Mich.,Purdue,RUSHING,Mike,GlassIII,LONG,3
4541017,9/8/2018,FBS,Eastern Mich.,Purdue,RUSHING,,Team,ATT,1
4541018,9/8/2018,FBS,Eastern Mich.,Purdue,RUSHING,,Team,YDS,-2
4541019,9/8/2018,FBS,Eastern Mich.,Purdue,RUSHING,,Team,TD,0
4541020,9/8/2018,FBS,Eastern Mich.,Purdue,RUSHING,,Team,LONG,-2
4541021,9/8/2018,FBS,Eastern Mich.,Purdue,RUSHING,Tyler,Wiegers,ATT,9
4541022,9/8/2018,FBS,Eastern Mich.,Purdue,RUSHING,Tyler,Wiegers,YDS,-6
4541023,9/8/2018,FBS,Eastern Mich.,Purdue,RUSHING,Tyler,Wiegers,TD,0
4541024,9/8/2018,FBS,Eastern Mich.,Purdue,RUSHING,Tyler,Wiegers,LONG,8
4541025,9/8/2018,FBS,Eastern Mich.,Purdue,PASSING,Tyler,Wiegers,CP-ATT-INT,20-28-1
4541026,9/8/2018,FBS,Eastern Mich.,Purdue,PASSING,Tyler,Wiegers,YDS,312
4541027,9/8/2018,FBS,Eastern Mich.,Purdue,PASSING,Tyler,Wiegers,TD,1
4541028,9/8/2018,FBS,Eastern Mich.,Purdue,PASSING,Tyler,Wiegers,LONG,75
4541029,9/8/2018,FBS,Eastern Mich.,Purdue,PASSING,Mike,GlassIII,CP-ATT-INT,2-5-0
4541030,9/8/2018,FBS,Eastern Mich.,Purdue,PASSING,Mike,GlassIII,YDS,35
4541031,9/8/2018,FBS,Eastern Mich.,Purdue,PASSING,Mike,GlassIII,TD,0
4541032,9/8/2018,FBS,Eastern Mich.,Purdue,PASSING,Mike,GlassIII,LONG,20
4541033,9/8/2018,FBS,Eastern Mich.,Purdue,PASSING,,Team,CP-ATT-INT,0-1-0
4541034,9/8/2018,FBS,Eastern Mich.,Purdue,PASSING,,Team,YDS,0
4541035,9/8/2018,FBS,Eastern Mich.,Purdue,PASSING,,Team,TD,0
4541036,9/8/2018,FBS,Eastern Mich.,Purdue,PASSING,,Team,LONG,0
4541037,9/8/2018,FBS,Eastern Mich.,Purdue,RECEIVING,Blake,Banham,REC,6
4541038,9/8/2018,FBS,Eastern Mich.,Purdue,RECEIVING,Blake,Banham,YDS,99
4541039,9/8/2018,FBS,Eastern Mich.,Purdue,RECEIVING,Blake,Banham,TD,0
4541040,9/8/2018,FBS,Eastern Mich.,Purdue,RECEIVING,Blake,Banham,LONG,29
4541041,9/8/2018,FBS,Eastern Mich.,Purdue,RECEIVING,Arthur,JacksonIII,REC,6
4541042,9/8/2018,FBS,Eastern Mich.,Purdue,RECEIVING,Arthur,JacksonIII,YDS,84
4541043,9/8/2018,FBS,Eastern Mich.,Purdue,RECEIVING,Arthur,JacksonIII,TD,0
4541044,9/8/2018,FBS,Eastern Mich.,Purdue,RECEIVING,Arthur,JacksonIII,LONG,23
