ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
4556001,9/8/2018,FBS,UConn,Boise St.,RUSHING,Kevin,Mensah,ATT,10
4556002,9/8/2018,FBS,UConn,Boise St.,RUSHING,Kevin,Mensah,YDS,82
4556003,9/8/2018,FBS,UConn,Boise St.,RUSHING,Kevin,Mensah,TD,0
4556004,9/8/2018,FBS,UConn,Boise St.,RUSHING,Kevin,Mensah,LONG,55
4556005,9/8/2018,FBS,UConn,Boise St.,RUSHING,David,Pindell,ATT,14
4556006,9/8/2018,FBS,UConn,Boise St.,RUSHING,David,Pindell,YDS,40
4556007,9/8/2018,FBS,UConn,Boise St.,RUSHING,David,Pindell,TD,0
4556008,9/8/2018,FBS,UConn,Boise St.,RUSHING,David,Pindell,LONG,12
4556009,9/8/2018,FBS,UConn,Boise St.,RUSHING,Zavier,Scott,ATT,1
4556010,9/8/2018,FBS,UConn,Boise St.,RUSHING,Zavier,Scott,YDS,0
4556011,9/8/2018,FBS,UConn,Boise St.,RUSHING,Zavier,Scott,TD,0
4556012,9/8/2018,FBS,UConn,Boise St.,RUSHING,Zavier,Scott,LONG,0
4556013,9/8/2018,FBS,UConn,Boise St.,PASSING,David,Pindell,CP-ATT-INT,11-21-1
4556014,9/8/2018,FBS,UConn,Boise St.,PASSING,David,Pindell,YDS,71
4556015,9/8/2018,FBS,UConn,Boise St.,PASSING,David,Pindell,TD,1
4556016,9/8/2018,FBS,UConn,Boise St.,PASSING,David,Pindell,LONG,15
4556017,9/8/2018,FBS,UConn,Boise St.,RECEIVING,Hergy,Mayala,REC,3
4556018,9/8/2018,FBS,UConn,Boise St.,RECEIVING,Hergy,Mayala,YDS,24
4556019,9/8/2018,FBS,UConn,Boise St.,RECEIVING,Hergy,Mayala,TD,0
4556020,9/8/2018,FBS,UConn,Boise St.,RECEIVING,Hergy,Mayala,LONG,12
4556021,9/8/2018,FBS,UConn,Boise St.,RECEIVING,Aaron,McLean,REC,2
4556022,9/8/2018,FBS,UConn,Boise St.,RECEIVING,Aaron,McLean,YDS,23
4556023,9/8/2018,FBS,UConn,Boise St.,RECEIVING,Aaron,McLean,TD,1
4556024,9/8/2018,FBS,UConn,Boise St.,RECEIVING,Aaron,McLean,LONG,15
4556025,9/8/2018,FBS,UConn,Boise St.,RECEIVING,Tyler,Davis,REC,3
4556026,9/8/2018,FBS,UConn,Boise St.,RECEIVING,Tyler,Davis,YDS,13
4556027,9/8/2018,FBS,UConn,Boise St.,RECEIVING,Tyler,Davis,TD,0
4556028,9/8/2018,FBS,UConn,Boise St.,RECEIVING,Tyler,Davis,LONG,7
4556029,9/8/2018,FBS,UConn,Boise St.,RECEIVING,Kevin,Mensah,REC,1
