ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
4553001,9/8/2018,FBS,Youngstown St.,West Virginia,RUSHING,Tevin,McCaster,ATT,14
4553002,9/8/2018,FBS,Youngstown St.,West Virginia,RUSHING,Tevin,McCaster,YDS,72
4553003,9/8/2018,FBS,Youngstown St.,West Virginia,RUSHING,Tevin,McCaster,TD,1
4553004,9/8/2018,FBS,Youngstown St.,West Virginia,RUSHING,Tevin,McCaster,LONG,20
4553005,9/8/2018,FBS,Youngstown St.,West Virginia,RUSHING,Christian,Turner,ATT,10
4553006,9/8/2018,FBS,Youngstown St.,West Virginia,RUSHING,Christian,Turner,YDS,48
4553007,9/8/2018,FBS,Youngstown St.,West Virginia,RUSHING,Christian,Turner,TD,0
4553008,9/8/2018,FBS,Youngstown St.,West Virginia,RUSHING,Christian,Turner,LONG,20
4553009,9/8/2018,FBS,Youngstown St.,West Virginia,RUSHING,Montgomery,VanGorder,ATT,12
4553010,9/8/2018,FBS,Youngstown St.,West Virginia,RUSHING,Montgomery,VanGorder,YDS,16
4553011,9/8/2018,FBS,Youngstown St.,West Virginia,RUSHING,Montgomery,VanGorder,TD,0
4553012,9/8/2018,FBS,Youngstown St.,West Virginia,RUSHING,Montgomery,VanGorder,LONG,11
4553013,9/8/2018,FBS,Youngstown St.,West Virginia,PASSING,Montgomery,VanGorder,CP-ATT-INT,11-24-1
4553014,9/8/2018,FBS,Youngstown St.,West Virginia,PASSING,Montgomery,VanGorder,YDS,157
4553015,9/8/2018,FBS,Youngstown St.,West Virginia,PASSING,Montgomery,VanGorder,TD,1
4553016,9/8/2018,FBS,Youngstown St.,West Virginia,PASSING,Montgomery,VanGorder,LONG,43
4553017,9/8/2018,FBS,Youngstown St.,West Virginia,RECEIVING,Zach,Farrar,REC,6
4553018,9/8/2018,FBS,Youngstown St.,West Virginia,RECEIVING,Zach,Farrar,YDS,135
4553019,9/8/2018,FBS,Youngstown St.,West Virginia,RECEIVING,Zach,Farrar,TD,0
4553020,9/8/2018,FBS,Youngstown St.,West Virginia,RECEIVING,Zach,Farrar,LONG,43
4553021,9/8/2018,FBS,Youngstown St.,West Virginia,RECEIVING,Jake,Cummings,REC,2
4553022,9/8/2018,FBS,Youngstown St.,West Virginia,RECEIVING,Jake,Cummings,YDS,15
4553023,9/8/2018,FBS,Youngstown St.,West Virginia,RECEIVING,Jake,Cummings,TD,0
4553024,9/8/2018,FBS,Youngstown St.,West Virginia,RECEIVING,Jake,Cummings,LONG,9
4553025,9/8/2018,FBS,Youngstown St.,West Virginia,RECEIVING,Tevin,McCaster,REC,1
4553026,9/8/2018,FBS,Youngstown St.,West Virginia,RECEIVING,Tevin,McCaster,YDS,8
4553027,9/8/2018,FBS,Youngstown St.,West Virginia,RECEIVING,Tevin,McCaster,TD,0
4553028,9/8/2018,FBS,Youngstown St.,West Virginia,RECEIVING,Tevin,McCaster,LONG,8
4553029,9/8/2018,FBS,Youngstown St.,West Virginia,RECEIVING,Miles,Joiner,REC,1
4553030,9/8/2018,FBS,Youngstown St.,West Virginia,RECEIVING,Miles,Joiner,YDS,4
4553031,9/8/2018,FBS,Youngstown St.,West Virginia,RECEIVING,Miles,Joiner,TD,1
4553032,9/8/2018,FBS,Youngstown St.,West Virginia,RECEIVING,Miles,Joiner,LONG,4
4553033,9/8/2018,FBS,Youngstown St.,West Virginia,RECEIVING,Christian,Turner,REC,1
4553034,9/8/2018,FBS,Youngstown St.,West Virginia,RECEIVING,Christian,Turner,YDS,-5
4553035,9/8/2018,FBS,Youngstown St.,West Virginia,RECEIVING,Christian,Turner,TD,0
4553036,9/8/2018,FBS,Youngstown St.,West Virginia,RECEIVING,Christian,Turner,LONG,-5
4553037,9/8/2018,FBS,Youngstown St.,West Virginia,KICKING,Zak,Kennedy,FG-FGA,1/1
4553038,9/8/2018,FBS,Youngstown St.,West Virginia,KICKING,Zak,Kennedy,LONG,45
4553039,9/8/2018,FBS,Youngstown St.,West Virginia,KICKING,Zak,Kennedy,XP,2
4553040,9/8/2018,FBS,Youngstown St.,West Virginia,KICKING,Zak,Kennedy,PTS,5
4553041,9/8/2018,FBS,Youngstown St.,West Virginia,PUNTING,Mark,Schuler,NO,6
4553042,9/8/2018,FBS,Youngstown St.,West Virginia,PUNTING,Mark,Schuler,YDS,259
