ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
5669001,10/12/2019,FBS,Michigan,Illinois,RUSHING,Hassan,Haskins,ATT,12
5669002,10/12/2019,FBS,Michigan,Illinois,RUSHING,Hassan,Haskins,YDS,125
5669003,10/12/2019,FBS,Michigan,Illinois,RUSHING,Hassan,Haskins,TD,1
5669004,10/12/2019,FBS,Michigan,Illinois,RUSHING,Hassan,Haskins,LONG,29
5669005,10/12/2019,FBS,Michigan,Illinois,RUSHING,Zach,Charbonnet,ATT,18
5669006,10/12/2019,FBS,Michigan,Illinois,RUSHING,Zach,Charbonnet,YDS,116
5669007,10/12/2019,FBS,Michigan,Illinois,RUSHING,Zach,Charbonnet,TD,1
5669008,10/12/2019,FBS,Michigan,Illinois,RUSHING,Zach,Charbonnet,LONG,18
5669009,10/12/2019,FBS,Michigan,Illinois,RUSHING,Tru,Wilson,ATT,10
5669010,10/12/2019,FBS,Michigan,Illinois,RUSHING,Tru,Wilson,YDS,46
5669011,10/12/2019,FBS,Michigan,Illinois,RUSHING,Tru,Wilson,TD,0
5669012,10/12/2019,FBS,Michigan,Illinois,RUSHING,Tru,Wilson,LONG,14
5669013,10/12/2019,FBS,Michigan,Illinois,RUSHING,Shea,Patterson,ATT,5
5669014,10/12/2019,FBS,Michigan,Illinois,RUSHING,Shea,Patterson,YDS,17
5669015,10/12/2019,FBS,Michigan,Illinois,RUSHING,Shea,Patterson,TD,1
5669016,10/12/2019,FBS,Michigan,Illinois,RUSHING,Shea,Patterson,LONG,10
5669017,10/12/2019,FBS,Michigan,Illinois,RUSHING,Christian,Turner,ATT,1
5669018,10/12/2019,FBS,Michigan,Illinois,RUSHING,Christian,Turner,YDS,-4
5669019,10/12/2019,FBS,Michigan,Illinois,RUSHING,Christian,Turner,TD,0
5669020,10/12/2019,FBS,Michigan,Illinois,RUSHING,Christian,Turner,LONG,-4
5669021,10/12/2019,FBS,Michigan,Illinois,RUSHING,,Team,ATT,2
5669022,10/12/2019,FBS,Michigan,Illinois,RUSHING,,Team,YDS,-5
5669023,10/12/2019,FBS,Michigan,Illinois,RUSHING,,Team,TD,0
5669024,10/12/2019,FBS,Michigan,Illinois,RUSHING,,Team,LONG,-2
5669025,10/12/2019,FBS,Michigan,Illinois,PASSING,Shea,Patterson,CP-ATT-INT,11-22-0
5669026,10/12/2019,FBS,Michigan,Illinois,PASSING,Shea,Patterson,YDS,194
5669027,10/12/2019,FBS,Michigan,Illinois,PASSING,Shea,Patterson,TD,3
5669028,10/12/2019,FBS,Michigan,Illinois,PASSING,Shea,Patterson,LONG,71
5669029,10/12/2019,FBS,Michigan,Illinois,RECEIVING,Ronnie,Bell,REC,3
5669030,10/12/2019,FBS,Michigan,Illinois,RECEIVING,Ronnie,Bell,YDS,98
5669031,10/12/2019,FBS,Michigan,Illinois,RECEIVING,Ronnie,Bell,TD,0
5669032,10/12/2019,FBS,Michigan,Illinois,RECEIVING,Ronnie,Bell,LONG,71
5669033,10/12/2019,FBS,Michigan,Illinois,RECEIVING,Donovan,Peoples-Jones,REC,3
5669034,10/12/2019,FBS,Michigan,Illinois,RECEIVING,Donovan,Peoples-Jones,YDS,36
5669035,10/12/2019,FBS,Michigan,Illinois,RECEIVING,Donovan,Peoples-Jones,TD,1
5669036,10/12/2019,FBS,Michigan,Illinois,RECEIVING,Donovan,Peoples-Jones,LONG,18
5669037,10/12/2019,FBS,Michigan,Illinois,RECEIVING,Luke,Schoonmaker,REC,1
5669038,10/12/2019,FBS,Michigan,Illinois,RECEIVING,Luke,Schoonmaker,YDS,25
5669039,10/12/2019,FBS,Michigan,Illinois,RECEIVING,Luke,Schoonmaker,TD,1
5669040,10/12/2019,FBS,Michigan,Illinois,RECEIVING,Luke,Schoonmaker,LONG,25
5669041,10/12/2019,FBS,Michigan,Illinois,RECEIVING,Tarik,Black,REC,2
5669042,10/12/2019,FBS,Michigan,Illinois,RECEIVING,Tarik,Black,YDS,21
5669043,10/12/2019,FBS,Michigan,Illinois,RECEIVING,Tarik,Black,TD,0
