ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
5634001,10/5/2019,FBS,Marshall,Middle Tenn.,RUSHING,Brenden,Knox,ATT,19
5634002,10/5/2019,FBS,Marshall,Middle Tenn.,RUSHING,Brenden,Knox,YDS,99
5634003,10/5/2019,FBS,Marshall,Middle Tenn.,RUSHING,Brenden,Knox,TD,0
5634004,10/5/2019,FBS,Marshall,Middle Tenn.,RUSHING,Brenden,Knox,LONG,18
5634005,10/5/2019,FBS,Marshall,Middle Tenn.,RUSHING,Isaiah,Green,ATT,16
5634006,10/5/2019,FBS,Marshall,Middle Tenn.,RUSHING,Isaiah,Green,YDS,95
5634007,10/5/2019,FBS,Marshall,Middle Tenn.,RUSHING,Isaiah,Green,TD,0
5634008,10/5/2019,FBS,Marshall,Middle Tenn.,RUSHING,Isaiah,Green,LONG,19
5634009,10/5/2019,FBS,Marshall,Middle Tenn.,RUSHING,Simino,Walden,ATT,1
5634010,10/5/2019,FBS,Marshall,Middle Tenn.,RUSHING,Simino,Walden,YDS,12
5634011,10/5/2019,FBS,Marshall,Middle Tenn.,RUSHING,Simino,Walden,TD,0
5634012,10/5/2019,FBS,Marshall,Middle Tenn.,RUSHING,Simino,Walden,LONG,12
5634013,10/5/2019,FBS,Marshall,Middle Tenn.,RUSHING,Sheldon,Evans,ATT,1
5634014,10/5/2019,FBS,Marshall,Middle Tenn.,RUSHING,Sheldon,Evans,YDS,5
5634015,10/5/2019,FBS,Marshall,Middle Tenn.,RUSHING,Sheldon,Evans,TD,0
5634016,10/5/2019,FBS,Marshall,Middle Tenn.,RUSHING,Sheldon,Evans,LONG,5
5634017,10/5/2019,FBS,Marshall,Middle Tenn.,RUSHING,Xavier,Gaines,ATT,1
5634018,10/5/2019,FBS,Marshall,Middle Tenn.,RUSHING,Xavier,Gaines,YDS,3
5634019,10/5/2019,FBS,Marshall,Middle Tenn.,RUSHING,Xavier,Gaines,TD,0
5634020,10/5/2019,FBS,Marshall,Middle Tenn.,RUSHING,Xavier,Gaines,LONG,3
5634021,10/5/2019,FBS,Marshall,Middle Tenn.,RUSHING,,Team,ATT,1
5634022,10/5/2019,FBS,Marshall,Middle Tenn.,RUSHING,,Team,YDS,-12
5634023,10/5/2019,FBS,Marshall,Middle Tenn.,RUSHING,,Team,TD,0
5634024,10/5/2019,FBS,Marshall,Middle Tenn.,RUSHING,,Team,LONG,-12
5634025,10/5/2019,FBS,Marshall,Middle Tenn.,PASSING,Isaiah,Green,CP-ATT-INT,24-40-3
5634026,10/5/2019,FBS,Marshall,Middle Tenn.,PASSING,Isaiah,Green,YDS,365
5634027,10/5/2019,FBS,Marshall,Middle Tenn.,PASSING,Isaiah,Green,TD,1
5634028,10/5/2019,FBS,Marshall,Middle Tenn.,PASSING,Isaiah,Green,LONG,75
5634029,10/5/2019,FBS,Marshall,Middle Tenn.,PASSING,Jackson,White,CP-ATT-INT,2-2-0
5634030,10/5/2019,FBS,Marshall,Middle Tenn.,PASSING,Jackson,White,YDS,11
5634031,10/5/2019,FBS,Marshall,Middle Tenn.,PASSING,Jackson,White,TD,0
5634032,10/5/2019,FBS,Marshall,Middle Tenn.,PASSING,Jackson,White,LONG,6
5634033,10/5/2019,FBS,Marshall,Middle Tenn.,PASSING,,Team,CP-ATT-INT,0-1-0
5634034,10/5/2019,FBS,Marshall,Middle Tenn.,PASSING,,Team,YDS,0
5634035,10/5/2019,FBS,Marshall,Middle Tenn.,PASSING,,Team,TD,0
5634036,10/5/2019,FBS,Marshall,Middle Tenn.,PASSING,,Team,LONG,0
5634037,10/5/2019,FBS,Marshall,Middle Tenn.,RECEIVING,Armani,Levias,REC,3
5634038,10/5/2019,FBS,Marshall,Middle Tenn.,RECEIVING,Armani,Levias,YDS,94
5634039,10/5/2019,FBS,Marshall,Middle Tenn.,RECEIVING,Armani,Levias,TD,1
5634040,10/5/2019,FBS,Marshall,Middle Tenn.,RECEIVING,Armani,Levias,LONG,75
5634041,10/5/2019,FBS,Marshall,Middle Tenn.,RECEIVING,Willie,Johnson,REC,3
5634042,10/5/2019,FBS,Marshall,Middle Tenn.,RECEIVING,Willie,Johnson,YDS,79
5634043,10/5/2019,FBS,Marshall,Middle Tenn.,RECEIVING,Willie,Johnson,TD,0
5634044,10/5/2019,FBS,Marshall,Middle Tenn.,RECEIVING,Willie,Johnson,LONG,48
5634045,10/5/2019,FBS,Marshall,Middle Tenn.,RECEIVING,Talik,Keaton,REC,3
5634046,10/5/2019,FBS,Marshall,Middle Tenn.,RECEIVING,Talik,Keaton,YDS,60
5634047,10/5/2019,FBS,Marshall,Middle Tenn.,RECEIVING,Talik,Keaton,TD,0
5634048,10/5/2019,FBS,Marshall,Middle Tenn.,RECEIVING,Talik,Keaton,LONG,33
5634049,10/5/2019,FBS,Marshall,Middle Tenn.,RECEIVING,Broc,Thompson,REC,4
5634050,10/5/2019,FBS,Marshall,Middle Tenn.,RECEIVING,Broc,Thompson,YDS,53
5634051,10/5/2019,FBS,Marshall,Middle Tenn.,RECEIVING,Broc,Thompson,TD,0
5634052,10/5/2019,FBS,Marshall,Middle Tenn.,RECEIVING,Broc,Thompson,LONG,33
5634053,10/5/2019,FBS,Marshall,Middle Tenn.,RECEIVING,Xavier,Gaines,REC,4
5634054,10/5/2019,FBS,Marshall,Middle Tenn.,RECEIVING,Xavier,Gaines,YDS,32
5634055,10/5/2019,FBS,Marshall,Middle Tenn.,RECEIVING,Xavier,Gaines,TD,0
5634056,10/5/2019,FBS,Marshall,Middle Tenn.,RECEIVING,Xavier,Gaines,LONG,18
5634057,10/5/2019,FBS,Marshall,Middle Tenn.,RECEIVING,Tavin,Richardson,REC,3
5634058,10/5/2019,FBS,Marshall,Middle Tenn.,RECEIVING,Tavin,Richardson,YDS,20
5634059,10/5/2019,FBS,Marshall,Middle Tenn.,RECEIVING,Tavin,Richardson,TD,0
5634060,10/5/2019,FBS,Marshall,Middle Tenn.,RECEIVING,Tavin,Richardson,LONG,15
5634061,10/5/2019,FBS,Marshall,Middle Tenn.,RECEIVING,Devin,Miller,REC,3
5634062,10/5/2019,FBS,Marshall,Middle Tenn.,RECEIVING,Devin,Miller,YDS,16
5634063,10/5/2019,FBS,Marshall,Middle Tenn.,RECEIVING,Devin,Miller,TD,0
5634064,10/5/2019,FBS,Marshall,Middle Tenn.,RECEIVING,Devin,Miller,LONG,8
5634065,10/5/2019,FBS,Marshall,Middle Tenn.,RECEIVING,Sheldon,Evans,REC,1
5634066,10/5/2019,FBS,Marshall,Middle Tenn.,RECEIVING,Sheldon,Evans,YDS,11
5634067,10/5/2019,FBS,Marshall,Middle Tenn.,RECEIVING,Sheldon,Evans,TD,0
5634068,10/5/2019,FBS,Marshall,Middle Tenn.,RECEIVING,Sheldon,Evans,LONG,11
5634069,10/5/2019,FBS,Marshall,Middle Tenn.,RECEIVING,Brenden,Knox,REC,1
5634070,10/5/2019,FBS,Marshall,Middle Tenn.,RECEIVING,Brenden,Knox,YDS,6
5634071,10/5/2019,FBS,Marshall,Middle Tenn.,RECEIVING,Brenden,Knox,TD,0
5634072,10/5/2019,FBS,Marshall,Middle Tenn.,RECEIVING,Brenden,Knox,LONG,6
5634073,10/5/2019,FBS,Marshall,Middle Tenn.,RECEIVING,Garet,Morrell,REC,1
5634074,10/5/2019,FBS,Marshall,Middle Tenn.,RECEIVING,Garet,Morrell,YDS,5
5634075,10/5/2019,FBS,Marshall,Middle Tenn.,RECEIVING,Garet,Morrell,TD,0
5634076,10/5/2019,FBS,Marshall,Middle Tenn.,RECEIVING,Garet,Morrell,LONG,5
5634077,10/5/2019,FBS,Marshall,Middle Tenn.,KICKING,Justin,Rohrwasser,FG-FGA,2/2
5634078,10/5/2019,FBS,Marshall,Middle Tenn.,KICKING,Justin,Rohrwasser,LONG,25
5634079,10/5/2019,FBS,Marshall,Middle Tenn.,KICKING,Justin,Rohrwasser,XP,1
5634080,10/5/2019,FBS,Marshall,Middle Tenn.,KICKING,Justin,Rohrwasser,PTS,7
5634081,10/5/2019,FBS,Marshall,Middle Tenn.,PUNTING,Robert,LeFevre,NO,2
5634082,10/5/2019,FBS,Marshall,Middle Tenn.,PUNTING,Robert,LeFevre,YDS,70
5634083,10/5/2019,FBS,Marshall,Middle Tenn.,PUNTING,Robert,LeFevre,AVG,35.0
5634084,10/5/2019,FBS,Marshall,Middle Tenn.,PUNTING,Robert,LeFevre,LONG,37
5634085,10/5/2019,FBS,Marshall,Middle Tenn.,PUNT RETURNS,Talik,Keaton,NO,2
5634086,10/5/2019,FBS,Marshall,Middle Tenn.,PUNT RETURNS,Talik,Keaton,YDS,0
5634087,10/5/2019,FBS,Marshall,Middle Tenn.,PUNT RETURNS,Talik,Keaton,AVG,-
5634088,10/5/2019,FBS,Marshall,Middle Tenn.,PUNT RETURNS,Talik,Keaton,LONG,8
5634089,10/5/2019,FBS,Marshall,Middle Tenn.,KICK RETURNS,Willie,Johnson,NO,1
5634090,10/5/2019,FBS,Marshall,Middle Tenn.,KICK RETURNS,Willie,Johnson,YDS,15
5634091,10/5/2019,FBS,Marshall,Middle Tenn.,KICK RETURNS,Willie,Johnson,AVG,15.0
5634092,10/5/2019,FBS,Marshall,Middle Tenn.,KICK RETURNS,Willie,Johnson,LONG,15
5634093,10/5/2019,FBS,Marshall,Middle Tenn.,KICK RETURNS,Garet,Morrell,NO,0
5634094,10/5/2019,FBS,Marshall,Middle Tenn.,KICK RETURNS,Garet,Morrell,YDS,0
5634095,10/5/2019,FBS,Marshall,Middle Tenn.,KICK RETURNS,Garet,Morrell,AVG,-
5634096,10/5/2019,FBS,Marshall,Middle Tenn.,KICK RETURNS,Garet,Morrell,LONG,0
5634097,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Jamare,Edwards,TOT,2
5634098,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Jamare,Edwards,SOLO,2
5634099,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Jamare,Edwards,SACKS,0.0
5634100,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Jamare,Edwards,TFL,0
5634101,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Jamare,Edwards,INT,0
5634102,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Jamare,Edwards,FF,0
5634103,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Jamare,Edwards,FR,0
5634104,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Rodney,Croom,TOT,2
5634105,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Rodney,Croom,SOLO,2
5634106,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Rodney,Croom,SACKS,0.0
5634107,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Rodney,Croom,TFL,0
5634108,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Rodney,Croom,INT,0
5634109,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Rodney,Croom,FF,0
5634110,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Rodney,Croom,FR,0
5634111,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Koby,Cumberlander,TOT,1
5634112,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Koby,Cumberlander,SOLO,1
5634113,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Koby,Cumberlander,SACKS,1.0
5634114,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Koby,Cumberlander,TFL,1
5634115,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Koby,Cumberlander,INT,0
5634116,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Koby,Cumberlander,FF,0
5634117,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Koby,Cumberlander,FR,0
5634118,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Steven,Gilmore,TOT,3
5634119,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Steven,Gilmore,SOLO,3
5634120,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Steven,Gilmore,SACKS,0.0
5634121,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Steven,Gilmore,TFL,0
5634122,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Steven,Gilmore,INT,0
5634123,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Steven,Gilmore,FF,0
5634124,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Steven,Gilmore,FR,0
5634125,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Tyler,Brown,TOT,1
5634126,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Tyler,Brown,SOLO,1
5634127,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Tyler,Brown,SACKS,0.0
5634128,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Tyler,Brown,TFL,1
5634129,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Tyler,Brown,INT,0
5634130,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Tyler,Brown,FF,0
5634131,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Tyler,Brown,FR,0
5634132,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Omari,Cobb,TOT,12
5634133,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Omari,Cobb,SOLO,12
5634134,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Omari,Cobb,SACKS,0.0
5634135,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Omari,Cobb,TFL,3
5634136,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Omari,Cobb,INT,0
5634137,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Omari,Cobb,FF,0
5634138,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Omari,Cobb,FR,0
5634139,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Nazeeh,Johnson,TOT,5
5634140,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Nazeeh,Johnson,SOLO,5
5634141,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Nazeeh,Johnson,SACKS,0.0
5634142,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Nazeeh,Johnson,TFL,0
5634143,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Nazeeh,Johnson,INT,0
5634144,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Nazeeh,Johnson,FF,0
5634145,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Nazeeh,Johnson,FR,0
5634146,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Brandon,Drayton,TOT,7
5634147,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Brandon,Drayton,SOLO,6
5634148,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Brandon,Drayton,SACKS,0.0
5634149,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Brandon,Drayton,TFL,0
5634150,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Brandon,Drayton,INT,0
5634151,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Brandon,Drayton,FF,0
5634152,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Brandon,Drayton,FR,0
5634153,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Marquis,Couch,TOT,4
5634154,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Marquis,Couch,SOLO,3
5634155,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Marquis,Couch,SACKS,0.0
5634156,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Marquis,Couch,TFL,0
5634157,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Marquis,Couch,INT,0
5634158,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Marquis,Couch,FF,0
5634159,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Marquis,Couch,FR,0
5634160,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Kereon,Merrell,TOT,5
5634161,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Kereon,Merrell,SOLO,5
5634162,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Kereon,Merrell,SACKS,1.0
5634163,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Kereon,Merrell,TFL,1
5634164,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Kereon,Merrell,INT,0
5634165,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Kereon,Merrell,FF,1
5634166,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Kereon,Merrell,FR,0
5634167,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Tavante,Beckett,TOT,6
5634168,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Tavante,Beckett,SOLO,6
5634169,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Tavante,Beckett,SACKS,0.0
5634170,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Tavante,Beckett,TFL,0
5634171,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Tavante,Beckett,INT,0
5634172,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Tavante,Beckett,FF,0
5634173,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Tavante,Beckett,FR,0
5634174,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Chris,Jackson,TOT,2
5634175,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Chris,Jackson,SOLO,2
5634176,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Chris,Jackson,SACKS,0.0
5634177,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Chris,Jackson,TFL,0
5634178,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Chris,Jackson,INT,0
5634179,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Chris,Jackson,FF,0
5634180,10/5/2019,FBS,Marshall,Middle Tenn.,DEFENSE,Chris,Jackson,FR,0
5634181,10/5/2019,FBS,Middle Tenn.,Marshall,RUSHING,Asher,O'Hara,ATT,17
5634182,10/5/2019,FBS,Middle Tenn.,Marshall,RUSHING,Asher,O'Hara,YDS,76
5634183,10/5/2019,FBS,Middle Tenn.,Marshall,RUSHING,Asher,O'Hara,TD,1
5634184,10/5/2019,FBS,Middle Tenn.,Marshall,RUSHING,Asher,O'Hara,LONG,27
5634185,10/5/2019,FBS,Middle Tenn.,Marshall,RUSHING,Brad,Anderson,ATT,5
5634186,10/5/2019,FBS,Middle Tenn.,Marshall,RUSHING,Brad,Anderson,YDS,38
5634187,10/5/2019,FBS,Middle Tenn.,Marshall,RUSHING,Brad,Anderson,TD,0
5634188,10/5/2019,FBS,Middle Tenn.,Marshall,RUSHING,Brad,Anderson,LONG,18
5634189,10/5/2019,FBS,Middle Tenn.,Marshall,RUSHING,Chaton,Mobley,ATT,11
5634190,10/5/2019,FBS,Middle Tenn.,Marshall,RUSHING,Chaton,Mobley,YDS,30
5634191,10/5/2019,FBS,Middle Tenn.,Marshall,RUSHING,Chaton,Mobley,TD,1
5634192,10/5/2019,FBS,Middle Tenn.,Marshall,RUSHING,Chaton,Mobley,LONG,11
5634193,10/5/2019,FBS,Middle Tenn.,Marshall,RUSHING,Zack,Dobson,ATT,2
5634194,10/5/2019,FBS,Middle Tenn.,Marshall,RUSHING,Zack,Dobson,YDS,3
5634195,10/5/2019,FBS,Middle Tenn.,Marshall,RUSHING,Zack,Dobson,TD,0
5634196,10/5/2019,FBS,Middle Tenn.,Marshall,RUSHING,Zack,Dobson,LONG,2
5634197,10/5/2019,FBS,Middle Tenn.,Marshall,RUSHING,Will,Gilchrist,ATT,0
5634198,10/5/2019,FBS,Middle Tenn.,Marshall,RUSHING,Will,Gilchrist,YDS,0
5634199,10/5/2019,FBS,Middle Tenn.,Marshall,RUSHING,Will,Gilchrist,TD,0
5634200,10/5/2019,FBS,Middle Tenn.,Marshall,RUSHING,Will,Gilchrist,LONG,0
5634201,10/5/2019,FBS,Middle Tenn.,Marshall,RUSHING,Jayy,McDonald,ATT,1
5634202,10/5/2019,FBS,Middle Tenn.,Marshall,RUSHING,Jayy,McDonald,YDS,-3
5634203,10/5/2019,FBS,Middle Tenn.,Marshall,RUSHING,Jayy,McDonald,TD,0
5634204,10/5/2019,FBS,Middle Tenn.,Marshall,RUSHING,Jayy,McDonald,LONG,-3
5634205,10/5/2019,FBS,Middle Tenn.,Marshall,RUSHING,,Team,ATT,1
5634206,10/5/2019,FBS,Middle Tenn.,Marshall,RUSHING,,Team,YDS,-4
5634207,10/5/2019,FBS,Middle Tenn.,Marshall,RUSHING,,Team,TD,0
5634208,10/5/2019,FBS,Middle Tenn.,Marshall,RUSHING,,Team,LONG,-4
5634209,10/5/2019,FBS,Middle Tenn.,Marshall,PASSING,Asher,O'Hara,CP-ATT-INT,17-30-0
5634210,10/5/2019,FBS,Middle Tenn.,Marshall,PASSING,Asher,O'Hara,YDS,261
5634211,10/5/2019,FBS,Middle Tenn.,Marshall,PASSING,Asher,O'Hara,TD,1
