ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
5885001,11/7/2019,FBS,Temple,South Fla.,RUSHING,Jager,Gardner,ATT,25
5885002,11/7/2019,FBS,Temple,South Fla.,RUSHING,Jager,Gardner,YDS,133
5885003,11/7/2019,FBS,Temple,South Fla.,RUSHING,Jager,Gardner,TD,0
5885004,11/7/2019,FBS,Temple,South Fla.,RUSHING,Jager,Gardner,LONG,57
5885005,11/7/2019,FBS,Temple,South Fla.,RUSHING,Tayvon,Ruley,ATT,6
5885006,11/7/2019,FBS,Temple,South Fla.,RUSHING,Tayvon,Ruley,YDS,29
5885007,11/7/2019,FBS,Temple,South Fla.,RUSHING,Tayvon,Ruley,TD,0
5885008,11/7/2019,FBS,Temple,South Fla.,RUSHING,Tayvon,Ruley,LONG,12
5885009,11/7/2019,FBS,Temple,South Fla.,RUSHING,Todd,Centeio,ATT,4
5885010,11/7/2019,FBS,Temple,South Fla.,RUSHING,Todd,Centeio,YDS,3
5885011,11/7/2019,FBS,Temple,South Fla.,RUSHING,Todd,Centeio,TD,0
5885012,11/7/2019,FBS,Temple,South Fla.,RUSHING,Todd,Centeio,LONG,7
5885013,11/7/2019,FBS,Temple,South Fla.,RUSHING,Adam,Klein,ATT,0
5885014,11/7/2019,FBS,Temple,South Fla.,RUSHING,Adam,Klein,YDS,0
5885015,11/7/2019,FBS,Temple,South Fla.,RUSHING,Adam,Klein,TD,0
5885016,11/7/2019,FBS,Temple,South Fla.,RUSHING,Adam,Klein,LONG,0
5885017,11/7/2019,FBS,Temple,South Fla.,RUSHING,,Team,ATT,1
5885018,11/7/2019,FBS,Temple,South Fla.,RUSHING,,Team,YDS,-1
5885019,11/7/2019,FBS,Temple,South Fla.,RUSHING,,Team,TD,0
5885020,11/7/2019,FBS,Temple,South Fla.,RUSHING,,Team,LONG,-1
5885021,11/7/2019,FBS,Temple,South Fla.,RUSHING,Anthony,Russo,ATT,3
