ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
5907001,11/9/2019,FBS,Southern California,Arizona St.,RUSHING,Kenan,Christon,ATT,20
5907002,11/9/2019,FBS,Southern California,Arizona St.,RUSHING,Kenan,Christon,YDS,62
5907003,11/9/2019,FBS,Southern California,Arizona St.,RUSHING,Kenan,Christon,TD,0
5907004,11/9/2019,FBS,Southern California,Arizona St.,RUSHING,Kenan,Christon,LONG,11
5907005,11/9/2019,FBS,Southern California,Arizona St.,RUSHING,Amon-Ra,St.Brown,ATT,3
5907006,11/9/2019,FBS,Southern California,Arizona St.,RUSHING,Amon-Ra,St.Brown,YDS,8
5907007,11/9/2019,FBS,Southern California,Arizona St.,RUSHING,Amon-Ra,St.Brown,TD,0
5907008,11/9/2019,FBS,Southern California,Arizona St.,RUSHING,Amon-Ra,St.Brown,LONG,8
5907009,11/9/2019,FBS,Southern California,Arizona St.,RUSHING,Kedon,Slovis,ATT,3
5907010,11/9/2019,FBS,Southern California,Arizona St.,RUSHING,Kedon,Slovis,YDS,3
5907011,11/9/2019,FBS,Southern California,Arizona St.,RUSHING,Kedon,Slovis,TD,0
5907012,11/9/2019,FBS,Southern California,Arizona St.,RUSHING,Kedon,Slovis,LONG,6
5907013,11/9/2019,FBS,Southern California,Arizona St.,RUSHING,Quincy,Jountti,ATT,1
5907014,11/9/2019,FBS,Southern California,Arizona St.,RUSHING,Quincy,Jountti,YDS,1
5907015,11/9/2019,FBS,Southern California,Arizona St.,RUSHING,Quincy,Jountti,TD,0
5907016,11/9/2019,FBS,Southern California,Arizona St.,RUSHING,Quincy,Jountti,LONG,1
5907017,11/9/2019,FBS,Southern California,Arizona St.,RUSHING,,Team,ATT,1
5907018,11/9/2019,FBS,Southern California,Arizona St.,RUSHING,,Team,YDS,-4
5907019,11/9/2019,FBS,Southern California,Arizona St.,RUSHING,,Team,TD,0
5907020,11/9/2019,FBS,Southern California,Arizona St.,RUSHING,,Team,LONG,-4
5907021,11/9/2019,FBS,Southern California,Arizona St.,PASSING,Kedon,Slovis,CP-ATT-INT,29-39-1
5907022,11/9/2019,FBS,Southern California,Arizona St.,PASSING,Kedon,Slovis,YDS,432
5907023,11/9/2019,FBS,Southern California,Arizona St.,PASSING,Kedon,Slovis,TD,4
5907024,11/9/2019,FBS,Southern California,Arizona St.,PASSING,Kedon,Slovis,LONG,95
5907025,11/9/2019,FBS,Southern California,Arizona St.,PASSING,Matt,Fink,CP-ATT-INT,4-6-0
5907026,11/9/2019,FBS,Southern California,Arizona St.,PASSING,Matt,Fink,YDS,45
5907027,11/9/2019,FBS,Southern California,Arizona St.,PASSING,Matt,Fink,TD,0
5907028,11/9/2019,FBS,Southern California,Arizona St.,PASSING,Matt,Fink,LONG,14
5907029,11/9/2019,FBS,Southern California,Arizona St.,RECEIVING,Amon-Ra,St.Brown,REC,8
5907030,11/9/2019,FBS,Southern California,Arizona St.,RECEIVING,Amon-Ra,St.Brown,YDS,173
5907031,11/9/2019,FBS,Southern California,Arizona St.,RECEIVING,Amon-Ra,St.Brown,TD,1
5907032,11/9/2019,FBS,Southern California,Arizona St.,RECEIVING,Amon-Ra,St.Brown,LONG,95
5907033,11/9/2019,FBS,Southern California,Arizona St.,RECEIVING,Michael,PittmanJr.,REC,13
5907034,11/9/2019,FBS,Southern California,Arizona St.,RECEIVING,Michael,PittmanJr.,YDS,146
5907035,11/9/2019,FBS,Southern California,Arizona St.,RECEIVING,Michael,PittmanJr.,TD,0
5907036,11/9/2019,FBS,Southern California,Arizona St.,RECEIVING,Michael,PittmanJr.,LONG,28
5907037,11/9/2019,FBS,Southern California,Arizona St.,RECEIVING,Kenan,Christon,REC,4
5907038,11/9/2019,FBS,Southern California,Arizona St.,RECEIVING,Kenan,Christon,YDS,82
5907039,11/9/2019,FBS,Southern California,Arizona St.,RECEIVING,Kenan,Christon,TD,2
5907040,11/9/2019,FBS,Southern California,Arizona St.,RECEIVING,Kenan,Christon,LONG,58
5907041,11/9/2019,FBS,Southern California,Arizona St.,RECEIVING,Tyler,Vaughns,REC,4
5907042,11/9/2019,FBS,Southern California,Arizona St.,RECEIVING,Tyler,Vaughns,YDS,39
5907043,11/9/2019,FBS,Southern California,Arizona St.,RECEIVING,Tyler,Vaughns,TD,0
5907044,11/9/2019,FBS,Southern California,Arizona St.,RECEIVING,Tyler,Vaughns,LONG,23
5907045,11/9/2019,FBS,Southern California,Arizona St.,RECEIVING,Drake,London,REC,3
5907046,11/9/2019,FBS,Southern California,Arizona St.,RECEIVING,Drake,London,YDS,30
5907047,11/9/2019,FBS,Southern California,Arizona St.,RECEIVING,Drake,London,TD,1
5907048,11/9/2019,FBS,Southern California,Arizona St.,RECEIVING,Drake,London,LONG,14
5907049,11/9/2019,FBS,Southern California,Arizona St.,RECEIVING,Erik,Krommenhoek,REC,1
5907050,11/9/2019,FBS,Southern California,Arizona St.,RECEIVING,Erik,Krommenhoek,YDS,7
5907051,11/9/2019,FBS,Southern California,Arizona St.,RECEIVING,Erik,Krommenhoek,TD,0
5907052,11/9/2019,FBS,Southern California,Arizona St.,RECEIVING,Erik,Krommenhoek,LONG,7
5907053,11/9/2019,FBS,Southern California,Arizona St.,KICKING,Chase,McGrath,FG-FGA,1/1
5907054,11/9/2019,FBS,Southern California,Arizona St.,KICKING,Chase,McGrath,LONG,41
5907055,11/9/2019,FBS,Southern California,Arizona St.,KICKING,Chase,McGrath,XP,4
5907056,11/9/2019,FBS,Southern California,Arizona St.,KICKING,Chase,McGrath,PTS,7
