ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
5307001,8/31/2019,FBS,UNI,Iowa St.,RUSHING,Trevor,Allen,ATT,15
5307002,8/31/2019,FBS,UNI,Iowa St.,RUSHING,Trevor,Allen,YDS,26
5307003,8/31/2019,FBS,UNI,Iowa St.,RUSHING,Trevor,Allen,TD,0
5307004,8/31/2019,FBS,UNI,Iowa St.,RUSHING,Trevor,Allen,LONG,8
5307005,8/31/2019,FBS,UNI,Iowa St.,RUSHING,Alphonso,Soko,ATT,6
5307006,8/31/2019,FBS,UNI,Iowa St.,RUSHING,Alphonso,Soko,YDS,5
5307007,8/31/2019,FBS,UNI,Iowa St.,RUSHING,Alphonso,Soko,TD,0
5307008,8/31/2019,FBS,UNI,Iowa St.,RUSHING,Alphonso,Soko,LONG,7
5307009,8/31/2019,FBS,UNI,Iowa St.,RUSHING,Jaylin,James,ATT,1
5307010,8/31/2019,FBS,UNI,Iowa St.,RUSHING,Jaylin,James,YDS,3
5307011,8/31/2019,FBS,UNI,Iowa St.,RUSHING,Jaylin,James,TD,0
5307012,8/31/2019,FBS,UNI,Iowa St.,RUSHING,Jaylin,James,LONG,3
5307013,8/31/2019,FBS,UNI,Iowa St.,RUSHING,Will,McElvain,ATT,9
5307014,8/31/2019,FBS,UNI,Iowa St.,RUSHING,Will,McElvain,YDS,0
5307015,8/31/2019,FBS,UNI,Iowa St.,RUSHING,Will,McElvain,TD,0
5307016,8/31/2019,FBS,UNI,Iowa St.,RUSHING,Will,McElvain,LONG,10
5307017,8/31/2019,FBS,UNI,Iowa St.,PASSING,Will,McElvain,CP-ATT-INT,25-42-0
5307018,8/31/2019,FBS,UNI,Iowa St.,PASSING,Will,McElvain,YDS,228
5307019,8/31/2019,FBS,UNI,Iowa St.,PASSING,Will,McElvain,TD,1
5307020,8/31/2019,FBS,UNI,Iowa St.,PASSING,Will,McElvain,LONG,26
5307021,8/31/2019,FBS,UNI,Iowa St.,RECEIVING,Isaiah,Weston,REC,2
