ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
5504001,9/20/2019,FBS,Air Force,Boise St.,RUSHING,Taven,Birdow,ATT,18
5504002,9/20/2019,FBS,Air Force,Boise St.,RUSHING,Taven,Birdow,YDS,67
5504003,9/20/2019,FBS,Air Force,Boise St.,RUSHING,Taven,Birdow,TD,0
5504004,9/20/2019,FBS,Air Force,Boise St.,RUSHING,Taven,Birdow,LONG,13
5504005,9/20/2019,FBS,Air Force,Boise St.,RUSHING,Donald,HammondIII,ATT,12
5504006,9/20/2019,FBS,Air Force,Boise St.,RUSHING,Donald,HammondIII,YDS,62
5504007,9/20/2019,FBS,Air Force,Boise St.,RUSHING,Donald,HammondIII,TD,1
5504008,9/20/2019,FBS,Air Force,Boise St.,RUSHING,Donald,HammondIII,LONG,14
5504009,9/20/2019,FBS,Air Force,Boise St.,RUSHING,Kadin,Remsberg,ATT,10
5504010,9/20/2019,FBS,Air Force,Boise St.,RUSHING,Kadin,Remsberg,YDS,59
5504011,9/20/2019,FBS,Air Force,Boise St.,RUSHING,Kadin,Remsberg,TD,0
5504012,9/20/2019,FBS,Air Force,Boise St.,RUSHING,Kadin,Remsberg,LONG,14
5504013,9/20/2019,FBS,Air Force,Boise St.,RUSHING,Timothy,Jackson,ATT,6
5504014,9/20/2019,FBS,Air Force,Boise St.,RUSHING,Timothy,Jackson,YDS,38
5504015,9/20/2019,FBS,Air Force,Boise St.,RUSHING,Timothy,Jackson,TD,0
5504016,9/20/2019,FBS,Air Force,Boise St.,RUSHING,Timothy,Jackson,LONG,20
5504017,9/20/2019,FBS,Air Force,Boise St.,RUSHING,Joshua,Stoner,ATT,1
5504018,9/20/2019,FBS,Air Force,Boise St.,RUSHING,Joshua,Stoner,YDS,9
5504019,9/20/2019,FBS,Air Force,Boise St.,RUSHING,Joshua,Stoner,TD,0
5504020,9/20/2019,FBS,Air Force,Boise St.,RUSHING,Joshua,Stoner,LONG,9
5504021,9/20/2019,FBS,Air Force,Boise St.,RUSHING,Isaiah,Sanders,ATT,2
5504022,9/20/2019,FBS,Air Force,Boise St.,RUSHING,Isaiah,Sanders,YDS,5
5504023,9/20/2019,FBS,Air Force,Boise St.,RUSHING,Isaiah,Sanders,TD,0
5504024,9/20/2019,FBS,Air Force,Boise St.,RUSHING,Isaiah,Sanders,LONG,6
5504025,9/20/2019,FBS,Air Force,Boise St.,RUSHING,Benjamin,Waters,ATT,2
5504026,9/20/2019,FBS,Air Force,Boise St.,RUSHING,Benjamin,Waters,YDS,2
5504027,9/20/2019,FBS,Air Force,Boise St.,RUSHING,Benjamin,Waters,TD,0
5504028,9/20/2019,FBS,Air Force,Boise St.,RUSHING,Benjamin,Waters,LONG,5
