ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
5568001,9/28/2019,FBS,Texas Tech,Oklahoma,RUSHING,SaRodorick,Thompson,ATT,13
5568002,9/28/2019,FBS,Texas Tech,Oklahoma,RUSHING,SaRodorick,Thompson,YDS,96
5568003,9/28/2019,FBS,Texas Tech,Oklahoma,RUSHING,SaRodorick,Thompson,TD,0
5568004,9/28/2019,FBS,Texas Tech,Oklahoma,RUSHING,SaRodorick,Thompson,LONG,58
5568005,9/28/2019,FBS,Texas Tech,Oklahoma,RUSHING,Ta'Zhawn,Henry,ATT,8
5568006,9/28/2019,FBS,Texas Tech,Oklahoma,RUSHING,Ta'Zhawn,Henry,YDS,31
5568007,9/28/2019,FBS,Texas Tech,Oklahoma,RUSHING,Ta'Zhawn,Henry,TD,0
5568008,9/28/2019,FBS,Texas Tech,Oklahoma,RUSHING,Ta'Zhawn,Henry,LONG,19
5568009,9/28/2019,FBS,Texas Tech,Oklahoma,RUSHING,McLane,Mannix,ATT,1
5568010,9/28/2019,FBS,Texas Tech,Oklahoma,RUSHING,McLane,Mannix,YDS,23
5568011,9/28/2019,FBS,Texas Tech,Oklahoma,RUSHING,McLane,Mannix,TD,0
5568012,9/28/2019,FBS,Texas Tech,Oklahoma,RUSHING,McLane,Mannix,LONG,23
5568013,9/28/2019,FBS,Texas Tech,Oklahoma,RUSHING,Armand,Shyne,ATT,5
5568014,9/28/2019,FBS,Texas Tech,Oklahoma,RUSHING,Armand,Shyne,YDS,18
5568015,9/28/2019,FBS,Texas Tech,Oklahoma,RUSHING,Armand,Shyne,TD,1
5568016,9/28/2019,FBS,Texas Tech,Oklahoma,RUSHING,Armand,Shyne,LONG,13
5568017,9/28/2019,FBS,Texas Tech,Oklahoma,RUSHING,Jett,Duffey,ATT,7
5568018,9/28/2019,FBS,Texas Tech,Oklahoma,RUSHING,Jett,Duffey,YDS,16
5568019,9/28/2019,FBS,Texas Tech,Oklahoma,RUSHING,Jett,Duffey,TD,0
5568020,9/28/2019,FBS,Texas Tech,Oklahoma,RUSHING,Jett,Duffey,LONG,12
5568021,9/28/2019,FBS,Texas Tech,Oklahoma,RUSHING,Jaylon,Hutchings,ATT,1
5568022,9/28/2019,FBS,Texas Tech,Oklahoma,RUSHING,Jaylon,Hutchings,YDS,6
