ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
6315001,10/10/2020,FBS,Charlotte,North Texas,RUSHING,Aaron,McAllister,ATT,12
6315002,10/10/2020,FBS,Charlotte,North Texas,RUSHING,Aaron,McAllister,YDS,140
6315003,10/10/2020,FBS,Charlotte,North Texas,RUSHING,Aaron,McAllister,TD,1
6315004,10/10/2020,FBS,Charlotte,North Texas,RUSHING,Aaron,McAllister,LONG,66
6315005,10/10/2020,FBS,Charlotte,North Texas,RUSHING,Tre,HarbisonIII,ATT,12
6315006,10/10/2020,FBS,Charlotte,North Texas,RUSHING,Tre,HarbisonIII,YDS,51
6315007,10/10/2020,FBS,Charlotte,North Texas,RUSHING,Tre,HarbisonIII,TD,1
6315008,10/10/2020,FBS,Charlotte,North Texas,RUSHING,Tre,HarbisonIII,LONG,11
6315009,10/10/2020,FBS,Charlotte,North Texas,RUSHING,Calvin,Camp,ATT,4
6315010,10/10/2020,FBS,Charlotte,North Texas,RUSHING,Calvin,Camp,YDS,45
6315011,10/10/2020,FBS,Charlotte,North Texas,RUSHING,Calvin,Camp,TD,1
6315012,10/10/2020,FBS,Charlotte,North Texas,RUSHING,Calvin,Camp,LONG,21
6315013,10/10/2020,FBS,Charlotte,North Texas,RUSHING,Dom,Shoffner,ATT,4
6315014,10/10/2020,FBS,Charlotte,North Texas,RUSHING,Dom,Shoffner,YDS,32
6315015,10/10/2020,FBS,Charlotte,North Texas,RUSHING,Dom,Shoffner,TD,0
6315016,10/10/2020,FBS,Charlotte,North Texas,RUSHING,Dom,Shoffner,LONG,12
6315017,10/10/2020,FBS,Charlotte,North Texas,RUSHING,Chavon,McEachern,ATT,6
6315018,10/10/2020,FBS,Charlotte,North Texas,RUSHING,Chavon,McEachern,YDS,19
6315019,10/10/2020,FBS,Charlotte,North Texas,RUSHING,Chavon,McEachern,TD,1
6315020,10/10/2020,FBS,Charlotte,North Texas,RUSHING,Chavon,McEachern,LONG,7
6315021,10/10/2020,FBS,Charlotte,North Texas,RUSHING,Victor,Tucker,ATT,1
6315022,10/10/2020,FBS,Charlotte,North Texas,RUSHING,Victor,Tucker,YDS,5
6315023,10/10/2020,FBS,Charlotte,North Texas,RUSHING,Victor,Tucker,TD,0
6315024,10/10/2020,FBS,Charlotte,North Texas,RUSHING,Victor,Tucker,LONG,5
6315025,10/10/2020,FBS,Charlotte,North Texas,RUSHING,Chris,Reynolds,ATT,4
6315026,10/10/2020,FBS,Charlotte,North Texas,RUSHING,Chris,Reynolds,YDS,4
6315027,10/10/2020,FBS,Charlotte,North Texas,RUSHING,Chris,Reynolds,TD,0
6315028,10/10/2020,FBS,Charlotte,North Texas,RUSHING,Chris,Reynolds,LONG,6
6315029,10/10/2020,FBS,Charlotte,North Texas,RUSHING,Micaleous,Elder,ATT,1
6315030,10/10/2020,FBS,Charlotte,North Texas,RUSHING,Micaleous,Elder,YDS,1
6315031,10/10/2020,FBS,Charlotte,North Texas,RUSHING,Micaleous,Elder,TD,0
6315032,10/10/2020,FBS,Charlotte,North Texas,RUSHING,Micaleous,Elder,LONG,1
6315033,10/10/2020,FBS,Charlotte,North Texas,RUSHING,,Team,ATT,3
6315034,10/10/2020,FBS,Charlotte,North Texas,RUSHING,,Team,YDS,-6
6315035,10/10/2020,FBS,Charlotte,North Texas,RUSHING,,Team,TD,0
6315036,10/10/2020,FBS,Charlotte,North Texas,RUSHING,,Team,LONG,-2
6315037,10/10/2020,FBS,Charlotte,North Texas,PASSING,Chris,Reynolds,CP-ATT-INT,15-22-0
6315038,10/10/2020,FBS,Charlotte,North Texas,PASSING,Chris,Reynolds,YDS,290
6315039,10/10/2020,FBS,Charlotte,North Texas,PASSING,Chris,Reynolds,TD,2
6315040,10/10/2020,FBS,Charlotte,North Texas,PASSING,Chris,Reynolds,LONG,71
6315041,10/10/2020,FBS,Charlotte,North Texas,PASSING,Dom,Shoffner,CP-ATT-INT,1-1-0
6315042,10/10/2020,FBS,Charlotte,North Texas,PASSING,Dom,Shoffner,YDS,18
6315043,10/10/2020,FBS,Charlotte,North Texas,PASSING,Dom,Shoffner,TD,1
6315044,10/10/2020,FBS,Charlotte,North Texas,PASSING,Dom,Shoffner,LONG,18
6315045,10/10/2020,FBS,Charlotte,North Texas,RECEIVING,Micaleous,Elder,REC,5
6315046,10/10/2020,FBS,Charlotte,North Texas,RECEIVING,Micaleous,Elder,YDS,85
6315047,10/10/2020,FBS,Charlotte,North Texas,RECEIVING,Micaleous,Elder,TD,0
6315048,10/10/2020,FBS,Charlotte,North Texas,RECEIVING,Micaleous,Elder,LONG,46
6315049,10/10/2020,FBS,Charlotte,North Texas,RECEIVING,Aaron,McAllister,REC,2
6315050,10/10/2020,FBS,Charlotte,North Texas,RECEIVING,Aaron,McAllister,YDS,74
6315051,10/10/2020,FBS,Charlotte,North Texas,RECEIVING,Aaron,McAllister,TD,1
6315052,10/10/2020,FBS,Charlotte,North Texas,RECEIVING,Aaron,McAllister,LONG,71
6315053,10/10/2020,FBS,Charlotte,North Texas,RECEIVING,Tyler,Ringwood,REC,3
6315054,10/10/2020,FBS,Charlotte,North Texas,RECEIVING,Tyler,Ringwood,YDS,57
6315055,10/10/2020,FBS,Charlotte,North Texas,RECEIVING,Tyler,Ringwood,TD,0
