ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
6294001,10/10/2020,FBS,Virginia Tech,North Carolina,RUSHING,Khalil,Herbert,ATT,18
6294002,10/10/2020,FBS,Virginia Tech,North Carolina,RUSHING,Khalil,Herbert,YDS,138
6294003,10/10/2020,FBS,Virginia Tech,North Carolina,RUSHING,Khalil,Herbert,TD,2
6294004,10/10/2020,FBS,Virginia Tech,North Carolina,RUSHING,Khalil,Herbert,LONG,52
6294005,10/10/2020,FBS,Virginia Tech,North Carolina,RUSHING,Braxton,Burmeister,ATT,11
6294006,10/10/2020,FBS,Virginia Tech,North Carolina,RUSHING,Braxton,Burmeister,YDS,51
6294007,10/10/2020,FBS,Virginia Tech,North Carolina,RUSHING,Braxton,Burmeister,TD,0
6294008,10/10/2020,FBS,Virginia Tech,North Carolina,RUSHING,Braxton,Burmeister,LONG,14
6294009,10/10/2020,FBS,Virginia Tech,North Carolina,RUSHING,Raheem,Blackshear,ATT,8
6294010,10/10/2020,FBS,Virginia Tech,North Carolina,RUSHING,Raheem,Blackshear,YDS,33
6294011,10/10/2020,FBS,Virginia Tech,North Carolina,RUSHING,Raheem,Blackshear,TD,0
6294012,10/10/2020,FBS,Virginia Tech,North Carolina,RUSHING,Raheem,Blackshear,LONG,8
6294013,10/10/2020,FBS,Virginia Tech,North Carolina,RUSHING,Hendon,Hooker,ATT,8
6294014,10/10/2020,FBS,Virginia Tech,North Carolina,RUSHING,Hendon,Hooker,YDS,29
6294015,10/10/2020,FBS,Virginia Tech,North Carolina,RUSHING,Hendon,Hooker,TD,1
6294016,10/10/2020,FBS,Virginia Tech,North Carolina,RUSHING,Hendon,Hooker,LONG,12
6294017,10/10/2020,FBS,Virginia Tech,North Carolina,RUSHING,Jalen,Holston,ATT,1
6294018,10/10/2020,FBS,Virginia Tech,North Carolina,RUSHING,Jalen,Holston,YDS,12
6294019,10/10/2020,FBS,Virginia Tech,North Carolina,RUSHING,Jalen,Holston,TD,0
6294020,10/10/2020,FBS,Virginia Tech,North Carolina,RUSHING,Jalen,Holston,LONG,12
6294021,10/10/2020,FBS,Virginia Tech,North Carolina,RUSHING,James,Mitchell,ATT,1
6294022,10/10/2020,FBS,Virginia Tech,North Carolina,RUSHING,James,Mitchell,YDS,1
6294023,10/10/2020,FBS,Virginia Tech,North Carolina,RUSHING,James,Mitchell,TD,1
6294024,10/10/2020,FBS,Virginia Tech,North Carolina,RUSHING,James,Mitchell,LONG,1
6294025,10/10/2020,FBS,Virginia Tech,North Carolina,RUSHING,,Team,ATT,1
6294026,10/10/2020,FBS,Virginia Tech,North Carolina,RUSHING,,Team,YDS,-4
6294027,10/10/2020,FBS,Virginia Tech,North Carolina,RUSHING,,Team,TD,0
6294028,10/10/2020,FBS,Virginia Tech,North Carolina,RUSHING,,Team,LONG,-4
6294029,10/10/2020,FBS,Virginia Tech,North Carolina,PASSING,Hendon,Hooker,CP-ATT-INT,7-13-0
6294030,10/10/2020,FBS,Virginia Tech,North Carolina,PASSING,Hendon,Hooker,YDS,136
6294031,10/10/2020,FBS,Virginia Tech,North Carolina,PASSING,Hendon,Hooker,TD,2
6294032,10/10/2020,FBS,Virginia Tech,North Carolina,PASSING,Hendon,Hooker,LONG,57
6294033,10/10/2020,FBS,Virginia Tech,North Carolina,PASSING,Braxton,Burmeister,CP-ATT-INT,7-15-0
6294034,10/10/2020,FBS,Virginia Tech,North Carolina,PASSING,Braxton,Burmeister,YDS,79
6294035,10/10/2020,FBS,Virginia Tech,North Carolina,PASSING,Braxton,Burmeister,TD,0
6294036,10/10/2020,FBS,Virginia Tech,North Carolina,PASSING,Braxton,Burmeister,LONG,36
6294037,10/10/2020,FBS,Virginia Tech,North Carolina,PASSING,Tayvion,Robinson,CP-ATT-INT,1-1-0
6294038,10/10/2020,FBS,Virginia Tech,North Carolina,PASSING,Tayvion,Robinson,YDS,20
6294039,10/10/2020,FBS,Virginia Tech,North Carolina,PASSING,Tayvion,Robinson,TD,0
6294040,10/10/2020,FBS,Virginia Tech,North Carolina,PASSING,Tayvion,Robinson,LONG,20
6294041,10/10/2020,FBS,Virginia Tech,North Carolina,RECEIVING,James,Mitchell,REC,4
6294042,10/10/2020,FBS,Virginia Tech,North Carolina,RECEIVING,James,Mitchell,YDS,103
6294043,10/10/2020,FBS,Virginia Tech,North Carolina,RECEIVING,James,Mitchell,TD,1
6294044,10/10/2020,FBS,Virginia Tech,North Carolina,RECEIVING,James,Mitchell,LONG,57
6294045,10/10/2020,FBS,Virginia Tech,North Carolina,RECEIVING,Tre,Turner,REC,2
6294046,10/10/2020,FBS,Virginia Tech,North Carolina,RECEIVING,Tre,Turner,YDS,51
6294047,10/10/2020,FBS,Virginia Tech,North Carolina,RECEIVING,Tre,Turner,TD,0
6294048,10/10/2020,FBS,Virginia Tech,North Carolina,RECEIVING,Tre,Turner,LONG,36
6294049,10/10/2020,FBS,Virginia Tech,North Carolina,RECEIVING,Tayvion,Robinson,REC,4
6294050,10/10/2020,FBS,Virginia Tech,North Carolina,RECEIVING,Tayvion,Robinson,YDS,45
6294051,10/10/2020,FBS,Virginia Tech,North Carolina,RECEIVING,Tayvion,Robinson,TD,1
6294052,10/10/2020,FBS,Virginia Tech,North Carolina,RECEIVING,Tayvion,Robinson,LONG,33
6294053,10/10/2020,FBS,Virginia Tech,North Carolina,RECEIVING,Hendon,Hooker,REC,1
6294054,10/10/2020,FBS,Virginia Tech,North Carolina,RECEIVING,Hendon,Hooker,YDS,20
6294055,10/10/2020,FBS,Virginia Tech,North Carolina,RECEIVING,Hendon,Hooker,TD,0
6294056,10/10/2020,FBS,Virginia Tech,North Carolina,RECEIVING,Hendon,Hooker,LONG,20
6294057,10/10/2020,FBS,Virginia Tech,North Carolina,RECEIVING,Nick,Gallo,REC,1
6294058,10/10/2020,FBS,Virginia Tech,North Carolina,RECEIVING,Nick,Gallo,YDS,15
6294059,10/10/2020,FBS,Virginia Tech,North Carolina,RECEIVING,Nick,Gallo,TD,0
6294060,10/10/2020,FBS,Virginia Tech,North Carolina,RECEIVING,Nick,Gallo,LONG,15
6294061,10/10/2020,FBS,Virginia Tech,North Carolina,RECEIVING,Raheem,Blackshear,REC,3
6294062,10/10/2020,FBS,Virginia Tech,North Carolina,RECEIVING,Raheem,Blackshear,YDS,1
6294063,10/10/2020,FBS,Virginia Tech,North Carolina,RECEIVING,Raheem,Blackshear,TD,0
6294064,10/10/2020,FBS,Virginia Tech,North Carolina,RECEIVING,Raheem,Blackshear,LONG,4
6294065,10/10/2020,FBS,Virginia Tech,North Carolina,KICKING,Brian,Johnson,FG-FGA,1/1
6294066,10/10/2020,FBS,Virginia Tech,North Carolina,KICKING,Brian,Johnson,LONG,55
6294067,10/10/2020,FBS,Virginia Tech,North Carolina,KICKING,Brian,Johnson,XP,4
6294068,10/10/2020,FBS,Virginia Tech,North Carolina,KICKING,Brian,Johnson,PTS,7
6294069,10/10/2020,FBS,Virginia Tech,North Carolina,PUNTING,Oscar,Bradburn,NO,3
6294070,10/10/2020,FBS,Virginia Tech,North Carolina,PUNTING,Oscar,Bradburn,YDS,138
6294071,10/10/2020,FBS,Virginia Tech,North Carolina,PUNTING,Oscar,Bradburn,AVG,46.0
6294072,10/10/2020,FBS,Virginia Tech,North Carolina,PUNTING,Oscar,Bradburn,LONG,54
6294073,10/10/2020,FBS,Virginia Tech,North Carolina,PUNTING,Braxton,Burmeister,NO,1
6294074,10/10/2020,FBS,Virginia Tech,North Carolina,PUNTING,Braxton,Burmeister,YDS,51
6294075,10/10/2020,FBS,Virginia Tech,North Carolina,PUNTING,Braxton,Burmeister,AVG,51.0
6294076,10/10/2020,FBS,Virginia Tech,North Carolina,PUNTING,Braxton,Burmeister,LONG,51
6294077,10/10/2020,FBS,Virginia Tech,North Carolina,PUNT RETURNS,Tayvion,Robinson,NO,1
6294078,10/10/2020,FBS,Virginia Tech,North Carolina,PUNT RETURNS,Tayvion,Robinson,YDS,4
6294079,10/10/2020,FBS,Virginia Tech,North Carolina,PUNT RETURNS,Tayvion,Robinson,AVG,4.0
6294080,10/10/2020,FBS,Virginia Tech,North Carolina,PUNT RETURNS,Tayvion,Robinson,LONG,4
6294081,10/10/2020,FBS,Virginia Tech,North Carolina,KICK RETURNS,Khalil,Herbert,NO,2
6294082,10/10/2020,FBS,Virginia Tech,North Carolina,KICK RETURNS,Khalil,Herbert,YDS,49
6294083,10/10/2020,FBS,Virginia Tech,North Carolina,KICK RETURNS,Khalil,Herbert,AVG,24.5
6294084,10/10/2020,FBS,Virginia Tech,North Carolina,KICK RETURNS,Khalil,Herbert,LONG,27
6294085,10/10/2020,FBS,Virginia Tech,North Carolina,DEFENSE,Norell,Pollard,TOT,6
6294086,10/10/2020,FBS,Virginia Tech,North Carolina,DEFENSE,Norell,Pollard,SOLO,6
6294087,10/10/2020,FBS,Virginia Tech,North Carolina,DEFENSE,Norell,Pollard,SACKS,0.0
6294088,10/10/2020,FBS,Virginia Tech,North Carolina,DEFENSE,Norell,Pollard,TFL,0
6294089,10/10/2020,FBS,Virginia Tech,North Carolina,DEFENSE,Norell,Pollard,INT,0
6294090,10/10/2020,FBS,Virginia Tech,North Carolina,DEFENSE,Norell,Pollard,FF,0
6294091,10/10/2020,FBS,Virginia Tech,North Carolina,DEFENSE,Norell,Pollard,FR,0
6294092,10/10/2020,FBS,Virginia Tech,North Carolina,DEFENSE,Mario,Kendricks,TOT,1
6294093,10/10/2020,FBS,Virginia Tech,North Carolina,DEFENSE,Mario,Kendricks,SOLO,0
6294094,10/10/2020,FBS,Virginia Tech,North Carolina,DEFENSE,Mario,Kendricks,SACKS,0.0
