ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
6372001,10/24/2020,FBS,Iowa,Purdue,RUSHING,Tyler,Goodson,ATT,16
6372002,10/24/2020,FBS,Iowa,Purdue,RUSHING,Tyler,Goodson,YDS,77
6372003,10/24/2020,FBS,Iowa,Purdue,RUSHING,Tyler,Goodson,TD,0
6372004,10/24/2020,FBS,Iowa,Purdue,RUSHING,Tyler,Goodson,LONG,16
6372005,10/24/2020,FBS,Iowa,Purdue,RUSHING,Mekhi,Sargent,ATT,11
6372006,10/24/2020,FBS,Iowa,Purdue,RUSHING,Mekhi,Sargent,YDS,71
6372007,10/24/2020,FBS,Iowa,Purdue,RUSHING,Mekhi,Sargent,TD,1
6372008,10/24/2020,FBS,Iowa,Purdue,RUSHING,Mekhi,Sargent,LONG,21
6372009,10/24/2020,FBS,Iowa,Purdue,RUSHING,Ivory,Kelly-Martin,ATT,4
6372010,10/24/2020,FBS,Iowa,Purdue,RUSHING,Ivory,Kelly-Martin,YDS,29
6372011,10/24/2020,FBS,Iowa,Purdue,RUSHING,Ivory,Kelly-Martin,TD,0
6372012,10/24/2020,FBS,Iowa,Purdue,RUSHING,Ivory,Kelly-Martin,LONG,14
6372013,10/24/2020,FBS,Iowa,Purdue,RUSHING,Ihmir,Smith-Marsette,ATT,2
6372014,10/24/2020,FBS,Iowa,Purdue,RUSHING,Ihmir,Smith-Marsette,YDS,18
6372015,10/24/2020,FBS,Iowa,Purdue,RUSHING,Ihmir,Smith-Marsette,TD,0
6372016,10/24/2020,FBS,Iowa,Purdue,RUSHING,Ihmir,Smith-Marsette,LONG,15
6372017,10/24/2020,FBS,Iowa,Purdue,RUSHING,Spencer,Petras,ATT,3
6372018,10/24/2020,FBS,Iowa,Purdue,RUSHING,Spencer,Petras,YDS,0
6372019,10/24/2020,FBS,Iowa,Purdue,RUSHING,Spencer,Petras,TD,1
6372020,10/24/2020,FBS,Iowa,Purdue,RUSHING,Spencer,Petras,LONG,8
6372021,10/24/2020,FBS,Iowa,Purdue,PASSING,Spencer,Petras,CP-ATT-INT,22-39-0
6372022,10/24/2020,FBS,Iowa,Purdue,PASSING,Spencer,Petras,YDS,265
6372023,10/24/2020,FBS,Iowa,Purdue,PASSING,Spencer,Petras,TD,0
6372024,10/24/2020,FBS,Iowa,Purdue,PASSING,Spencer,Petras,LONG,40
6372025,10/24/2020,FBS,Iowa,Purdue,RECEIVING,Sam,LaPorta,REC,5
6372026,10/24/2020,FBS,Iowa,Purdue,RECEIVING,Sam,LaPorta,YDS,71
6372027,10/24/2020,FBS,Iowa,Purdue,RECEIVING,Sam,LaPorta,TD,0
6372028,10/24/2020,FBS,Iowa,Purdue,RECEIVING,Sam,LaPorta,LONG,20
6372029,10/24/2020,FBS,Iowa,Purdue,RECEIVING,Nico,Ragaini,REC,4
6372030,10/24/2020,FBS,Iowa,Purdue,RECEIVING,Nico,Ragaini,YDS,61
6372031,10/24/2020,FBS,Iowa,Purdue,RECEIVING,Nico,Ragaini,TD,0
6372032,10/24/2020,FBS,Iowa,Purdue,RECEIVING,Nico,Ragaini,LONG,28
6372033,10/24/2020,FBS,Iowa,Purdue,RECEIVING,Tyler,Goodson,REC,5
6372034,10/24/2020,FBS,Iowa,Purdue,RECEIVING,Tyler,Goodson,YDS,59
6372035,10/24/2020,FBS,Iowa,Purdue,RECEIVING,Tyler,Goodson,TD,0
6372036,10/24/2020,FBS,Iowa,Purdue,RECEIVING,Tyler,Goodson,LONG,40
6372037,10/24/2020,FBS,Iowa,Purdue,RECEIVING,Brandon,Smith,REC,3
6372038,10/24/2020,FBS,Iowa,Purdue,RECEIVING,Brandon,Smith,YDS,34
6372039,10/24/2020,FBS,Iowa,Purdue,RECEIVING,Brandon,Smith,TD,0
6372040,10/24/2020,FBS,Iowa,Purdue,RECEIVING,Brandon,Smith,LONG,16
6372041,10/24/2020,FBS,Iowa,Purdue,RECEIVING,Tyrone,TracyJr.,REC,2
6372042,10/24/2020,FBS,Iowa,Purdue,RECEIVING,Tyrone,TracyJr.,YDS,19
6372043,10/24/2020,FBS,Iowa,Purdue,RECEIVING,Tyrone,TracyJr.,TD,0
6372044,10/24/2020,FBS,Iowa,Purdue,RECEIVING,Tyrone,TracyJr.,LONG,15
6372045,10/24/2020,FBS,Iowa,Purdue,RECEIVING,Monte,Pottebaum,REC,1
6372046,10/24/2020,FBS,Iowa,Purdue,RECEIVING,Monte,Pottebaum,YDS,17
6372047,10/24/2020,FBS,Iowa,Purdue,RECEIVING,Monte,Pottebaum,TD,0
6372048,10/24/2020,FBS,Iowa,Purdue,RECEIVING,Monte,Pottebaum,LONG,17
6372049,10/24/2020,FBS,Iowa,Purdue,RECEIVING,Shaun,Beyer,REC,1
6372050,10/24/2020,FBS,Iowa,Purdue,RECEIVING,Shaun,Beyer,YDS,3
6372051,10/24/2020,FBS,Iowa,Purdue,RECEIVING,Shaun,Beyer,TD,0
6372052,10/24/2020,FBS,Iowa,Purdue,RECEIVING,Shaun,Beyer,LONG,3
6372053,10/24/2020,FBS,Iowa,Purdue,RECEIVING,Ivory,Kelly-Martin,REC,1
6372054,10/24/2020,FBS,Iowa,Purdue,RECEIVING,Ivory,Kelly-Martin,YDS,1
6372055,10/24/2020,FBS,Iowa,Purdue,RECEIVING,Ivory,Kelly-Martin,TD,0
6372056,10/24/2020,FBS,Iowa,Purdue,RECEIVING,Ivory,Kelly-Martin,LONG,1
6372057,10/24/2020,FBS,Iowa,Purdue,KICKING,Keith,Duncan,FG-FGA,2/2
6372058,10/24/2020,FBS,Iowa,Purdue,KICKING,Keith,Duncan,LONG,33
6372059,10/24/2020,FBS,Iowa,Purdue,KICKING,Keith,Duncan,XP,2
6372060,10/24/2020,FBS,Iowa,Purdue,KICKING,Keith,Duncan,PTS,8
6372061,10/24/2020,FBS,Iowa,Purdue,PUNTING,Tory,Taylor,NO,6
6372062,10/24/2020,FBS,Iowa,Purdue,PUNTING,Tory,Taylor,YDS,265
6372063,10/24/2020,FBS,Iowa,Purdue,PUNTING,Tory,Taylor,AVG,44.2
6372064,10/24/2020,FBS,Iowa,Purdue,PUNTING,Tory,Taylor,LONG,52
6372065,10/24/2020,FBS,Iowa,Purdue,PUNT RETURNS,Charlie,Jones,NO,3
6372066,10/24/2020,FBS,Iowa,Purdue,PUNT RETURNS,Charlie,Jones,YDS,37
6372067,10/24/2020,FBS,Iowa,Purdue,PUNT RETURNS,Charlie,Jones,AVG,12.3
6372068,10/24/2020,FBS,Iowa,Purdue,PUNT RETURNS,Charlie,Jones,LONG,25
6372069,10/24/2020,FBS,Iowa,Purdue,KICK RETURNS,Matt,Hankins,NO,1
6372070,10/24/2020,FBS,Iowa,Purdue,KICK RETURNS,Matt,Hankins,YDS,28
6372071,10/24/2020,FBS,Iowa,Purdue,KICK RETURNS,Matt,Hankins,AVG,28.0
6372072,10/24/2020,FBS,Iowa,Purdue,KICK RETURNS,Matt,Hankins,LONG,28
6372073,10/24/2020,FBS,Iowa,Purdue,KICK RETURNS,Charlie,Jones,NO,1
6372074,10/24/2020,FBS,Iowa,Purdue,KICK RETURNS,Charlie,Jones,YDS,22
6372075,10/24/2020,FBS,Iowa,Purdue,KICK RETURNS,Charlie,Jones,AVG,22.0
6372076,10/24/2020,FBS,Iowa,Purdue,KICK RETURNS,Charlie,Jones,LONG,22
6372077,10/24/2020,FBS,Iowa,Purdue,KICK RETURNS,Ihmir,Smith-Marsette,NO,1
6372078,10/24/2020,FBS,Iowa,Purdue,KICK RETURNS,Ihmir,Smith-Marsette,YDS,15
6372079,10/24/2020,FBS,Iowa,Purdue,KICK RETURNS,Ihmir,Smith-Marsette,AVG,15.0
6372080,10/24/2020,FBS,Iowa,Purdue,KICK RETURNS,Ihmir,Smith-Marsette,LONG,15
6372081,10/24/2020,FBS,Iowa,Purdue,DEFENSE,Noah,Shannon,TOT,2
6372082,10/24/2020,FBS,Iowa,Purdue,DEFENSE,Noah,Shannon,SOLO,0
6372083,10/24/2020,FBS,Iowa,Purdue,DEFENSE,Noah,Shannon,SACKS,0.5
6372084,10/24/2020,FBS,Iowa,Purdue,DEFENSE,Noah,Shannon,TFL,0
6372085,10/24/2020,FBS,Iowa,Purdue,DEFENSE,Noah,Shannon,INT,0
6372086,10/24/2020,FBS,Iowa,Purdue,DEFENSE,Noah,Shannon,FF,0
6372087,10/24/2020,FBS,Iowa,Purdue,DEFENSE,Noah,Shannon,FR,0
