ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
6380001,10/24/2020,FBS,Wyoming,Nevada,RUSHING,Xazavian,Valladay,ATT,22
6380002,10/24/2020,FBS,Wyoming,Nevada,RUSHING,Xazavian,Valladay,YDS,87
6380003,10/24/2020,FBS,Wyoming,Nevada,RUSHING,Xazavian,Valladay,TD,0
6380004,10/24/2020,FBS,Wyoming,Nevada,RUSHING,Xazavian,Valladay,LONG,14
6380005,10/24/2020,FBS,Wyoming,Nevada,RUSHING,Levi,Williams,ATT,10
6380006,10/24/2020,FBS,Wyoming,Nevada,RUSHING,Levi,Williams,YDS,40
6380007,10/24/2020,FBS,Wyoming,Nevada,RUSHING,Levi,Williams,TD,2
6380008,10/24/2020,FBS,Wyoming,Nevada,RUSHING,Levi,Williams,LONG,21
6380009,10/24/2020,FBS,Wyoming,Nevada,RUSHING,Trey,Smith,ATT,2
6380010,10/24/2020,FBS,Wyoming,Nevada,RUSHING,Trey,Smith,YDS,3
6380011,10/24/2020,FBS,Wyoming,Nevada,RUSHING,Trey,Smith,TD,0
6380012,10/24/2020,FBS,Wyoming,Nevada,RUSHING,Trey,Smith,LONG,3
6380013,10/24/2020,FBS,Wyoming,Nevada,RUSHING,Sean,Chambers,ATT,1
6380014,10/24/2020,FBS,Wyoming,Nevada,RUSHING,Sean,Chambers,YDS,-2
6380015,10/24/2020,FBS,Wyoming,Nevada,RUSHING,Sean,Chambers,TD,0
6380016,10/24/2020,FBS,Wyoming,Nevada,RUSHING,Sean,Chambers,LONG,-2
6380017,10/24/2020,FBS,Wyoming,Nevada,PASSING,Levi,Williams,CP-ATT-INT,16-31-1
6380018,10/24/2020,FBS,Wyoming,Nevada,PASSING,Levi,Williams,YDS,227
6380019,10/24/2020,FBS,Wyoming,Nevada,PASSING,Levi,Williams,TD,1
6380020,10/24/2020,FBS,Wyoming,Nevada,PASSING,Levi,Williams,LONG,45
6380021,10/24/2020,FBS,Wyoming,Nevada,PASSING,Sean,Chambers,CP-ATT-INT,1-1-0
6380022,10/24/2020,FBS,Wyoming,Nevada,PASSING,Sean,Chambers,YDS,6
6380023,10/24/2020,FBS,Wyoming,Nevada,PASSING,Sean,Chambers,TD,0
6380024,10/24/2020,FBS,Wyoming,Nevada,PASSING,Sean,Chambers,LONG,6
6380025,10/24/2020,FBS,Wyoming,Nevada,RECEIVING,Isaiah,Neyor,REC,3
6380026,10/24/2020,FBS,Wyoming,Nevada,RECEIVING,Isaiah,Neyor,YDS,102
6380027,10/24/2020,FBS,Wyoming,Nevada,RECEIVING,Isaiah,Neyor,TD,0
6380028,10/24/2020,FBS,Wyoming,Nevada,RECEIVING,Isaiah,Neyor,LONG,45
6380029,10/24/2020,FBS,Wyoming,Nevada,RECEIVING,Xazavian,Valladay,REC,7
6380030,10/24/2020,FBS,Wyoming,Nevada,RECEIVING,Xazavian,Valladay,YDS,44
6380031,10/24/2020,FBS,Wyoming,Nevada,RECEIVING,Xazavian,Valladay,TD,0
6380032,10/24/2020,FBS,Wyoming,Nevada,RECEIVING,Xazavian,Valladay,LONG,15
6380033,10/24/2020,FBS,Wyoming,Nevada,RECEIVING,Gunner,Gentry,REC,2
6380034,10/24/2020,FBS,Wyoming,Nevada,RECEIVING,Gunner,Gentry,YDS,28
6380035,10/24/2020,FBS,Wyoming,Nevada,RECEIVING,Gunner,Gentry,TD,1
6380036,10/24/2020,FBS,Wyoming,Nevada,RECEIVING,Gunner,Gentry,LONG,22
6380037,10/24/2020,FBS,Wyoming,Nevada,RECEIVING,Treyton,Welch,REC,1
