ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
6401001,10/31/2020,FBS,Michigan St.,Michigan,RUSHING,Jordon,Simmons,ATT,14
6401002,10/31/2020,FBS,Michigan St.,Michigan,RUSHING,Jordon,Simmons,YDS,55
6401003,10/31/2020,FBS,Michigan St.,Michigan,RUSHING,Jordon,Simmons,TD,0
6401004,10/31/2020,FBS,Michigan St.,Michigan,RUSHING,Jordon,Simmons,LONG,28
6401005,10/31/2020,FBS,Michigan St.,Michigan,RUSHING,Connor,Heyward,ATT,13
6401006,10/31/2020,FBS,Michigan St.,Michigan,RUSHING,Connor,Heyward,YDS,28
6401007,10/31/2020,FBS,Michigan St.,Michigan,RUSHING,Connor,Heyward,TD,0
6401008,10/31/2020,FBS,Michigan St.,Michigan,RUSHING,Connor,Heyward,LONG,5
6401009,10/31/2020,FBS,Michigan St.,Michigan,RUSHING,Rocky,Lombardi,ATT,5
6401010,10/31/2020,FBS,Michigan St.,Michigan,RUSHING,Rocky,Lombardi,YDS,19
6401011,10/31/2020,FBS,Michigan St.,Michigan,RUSHING,Rocky,Lombardi,TD,0
6401012,10/31/2020,FBS,Michigan St.,Michigan,RUSHING,Rocky,Lombardi,LONG,6
6401013,10/31/2020,FBS,Michigan St.,Michigan,RUSHING,Jayden,Reed,ATT,3
6401014,10/31/2020,FBS,Michigan St.,Michigan,RUSHING,Jayden,Reed,YDS,13
6401015,10/31/2020,FBS,Michigan St.,Michigan,RUSHING,Jayden,Reed,TD,0
6401016,10/31/2020,FBS,Michigan St.,Michigan,RUSHING,Jayden,Reed,LONG,7
6401017,10/31/2020,FBS,Michigan St.,Michigan,RUSHING,Jalen,Nailor,ATT,2
6401018,10/31/2020,FBS,Michigan St.,Michigan,RUSHING,Jalen,Nailor,YDS,11
6401019,10/31/2020,FBS,Michigan St.,Michigan,RUSHING,Jalen,Nailor,TD,0
6401020,10/31/2020,FBS,Michigan St.,Michigan,RUSHING,Jalen,Nailor,LONG,8
6401021,10/31/2020,FBS,Michigan St.,Michigan,RUSHING,Elijah,Collins,ATT,1
6401022,10/31/2020,FBS,Michigan St.,Michigan,RUSHING,Elijah,Collins,YDS,0
6401023,10/31/2020,FBS,Michigan St.,Michigan,RUSHING,Elijah,Collins,TD,0
6401024,10/31/2020,FBS,Michigan St.,Michigan,RUSHING,Elijah,Collins,LONG,0
6401025,10/31/2020,FBS,Michigan St.,Michigan,PASSING,Rocky,Lombardi,CP-ATT-INT,17-32-0
6401026,10/31/2020,FBS,Michigan St.,Michigan,PASSING,Rocky,Lombardi,YDS,323
6401027,10/31/2020,FBS,Michigan St.,Michigan,PASSING,Rocky,Lombardi,TD,3
6401028,10/31/2020,FBS,Michigan St.,Michigan,PASSING,Rocky,Lombardi,LONG,53
6401029,10/31/2020,FBS,Michigan St.,Michigan,RECEIVING,Ricky,White,REC,8
6401030,10/31/2020,FBS,Michigan St.,Michigan,RECEIVING,Ricky,White,YDS,196
6401031,10/31/2020,FBS,Michigan St.,Michigan,RECEIVING,Ricky,White,TD,1
6401032,10/31/2020,FBS,Michigan St.,Michigan,RECEIVING,Ricky,White,LONG,50
6401033,10/31/2020,FBS,Michigan St.,Michigan,RECEIVING,Jalen,Nailor,REC,2
6401034,10/31/2020,FBS,Michigan St.,Michigan,RECEIVING,Jalen,Nailor,YDS,68
6401035,10/31/2020,FBS,Michigan St.,Michigan,RECEIVING,Jalen,Nailor,TD,0
6401036,10/31/2020,FBS,Michigan St.,Michigan,RECEIVING,Jalen,Nailor,LONG,53
6401037,10/31/2020,FBS,Michigan St.,Michigan,RECEIVING,Jayden,Reed,REC,1
6401038,10/31/2020,FBS,Michigan St.,Michigan,RECEIVING,Jayden,Reed,YDS,18
6401039,10/31/2020,FBS,Michigan St.,Michigan,RECEIVING,Jayden,Reed,TD,0
6401040,10/31/2020,FBS,Michigan St.,Michigan,RECEIVING,Jayden,Reed,LONG,18
6401041,10/31/2020,FBS,Michigan St.,Michigan,RECEIVING,Cade,McDonald,REC,2
6401042,10/31/2020,FBS,Michigan St.,Michigan,RECEIVING,Cade,McDonald,YDS,15
6401043,10/31/2020,FBS,Michigan St.,Michigan,RECEIVING,Cade,McDonald,TD,0
6401044,10/31/2020,FBS,Michigan St.,Michigan,RECEIVING,Cade,McDonald,LONG,8
6401045,10/31/2020,FBS,Michigan St.,Michigan,RECEIVING,Connor,Heyward,REC,2
6401046,10/31/2020,FBS,Michigan St.,Michigan,RECEIVING,Connor,Heyward,YDS,15
6401047,10/31/2020,FBS,Michigan St.,Michigan,RECEIVING,Connor,Heyward,TD,2
6401048,10/31/2020,FBS,Michigan St.,Michigan,RECEIVING,Connor,Heyward,LONG,13
6401049,10/31/2020,FBS,Michigan St.,Michigan,RECEIVING,Jordon,Simmons,REC,2
6401050,10/31/2020,FBS,Michigan St.,Michigan,RECEIVING,Jordon,Simmons,YDS,11
6401051,10/31/2020,FBS,Michigan St.,Michigan,RECEIVING,Jordon,Simmons,TD,0
6401052,10/31/2020,FBS,Michigan St.,Michigan,RECEIVING,Jordon,Simmons,LONG,6
6401053,10/31/2020,FBS,Michigan St.,Michigan,KICKING,Matt,Coghlin,FG-FGA,2/3
6401054,10/31/2020,FBS,Michigan St.,Michigan,KICKING,Matt,Coghlin,LONG,51
6401055,10/31/2020,FBS,Michigan St.,Michigan,KICKING,Matt,Coghlin,XP,3
6401056,10/31/2020,FBS,Michigan St.,Michigan,KICKING,Matt,Coghlin,PTS,9
6401057,10/31/2020,FBS,Michigan St.,Michigan,PUNTING,Bryce,Baringer,NO,5
6401058,10/31/2020,FBS,Michigan St.,Michigan,PUNTING,Bryce,Baringer,YDS,270
6401059,10/31/2020,FBS,Michigan St.,Michigan,PUNTING,Bryce,Baringer,AVG,54.0
6401060,10/31/2020,FBS,Michigan St.,Michigan,PUNTING,Bryce,Baringer,LONG,78
6401061,10/31/2020,FBS,Michigan St.,Michigan,PUNT RETURNS,Jalen,Nailor,NO,0
6401062,10/31/2020,FBS,Michigan St.,Michigan,PUNT RETURNS,Jalen,Nailor,YDS,0
6401063,10/31/2020,FBS,Michigan St.,Michigan,PUNT RETURNS,Jalen,Nailor,AVG,-
6401064,10/31/2020,FBS,Michigan St.,Michigan,PUNT RETURNS,Jalen,Nailor,LONG,0
6401065,10/31/2020,FBS,Michigan St.,Michigan,KICK RETURNS,Jayden,Reed,NO,1
6401066,10/31/2020,FBS,Michigan St.,Michigan,KICK RETURNS,Jayden,Reed,YDS,19
6401067,10/31/2020,FBS,Michigan St.,Michigan,KICK RETURNS,Jayden,Reed,AVG,19.0
6401068,10/31/2020,FBS,Michigan St.,Michigan,KICK RETURNS,Jayden,Reed,LONG,19
6401069,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Jacub,Panasiuk,TOT,4
6401070,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Jacub,Panasiuk,SOLO,4
6401071,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Jacub,Panasiuk,SACKS,0.0
6401072,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Jacub,Panasiuk,TFL,1
6401073,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Jacub,Panasiuk,INT,0
6401074,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Jacub,Panasiuk,FF,0
6401075,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Jacub,Panasiuk,FR,0
6401076,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Dashaun,Mallory,TOT,1
6401077,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Dashaun,Mallory,SOLO,1
6401078,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Dashaun,Mallory,SACKS,1.0
6401079,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Dashaun,Mallory,TFL,1
6401080,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Dashaun,Mallory,INT,0
6401081,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Dashaun,Mallory,FF,0
6401082,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Dashaun,Mallory,FR,0
6401083,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Mitchell,Crawford,TOT,1
6401084,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Mitchell,Crawford,SOLO,1
6401085,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Mitchell,Crawford,SACKS,0.0
6401086,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Mitchell,Crawford,TFL,0
6401087,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Mitchell,Crawford,INT,0
6401088,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Mitchell,Crawford,FF,0
6401089,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Mitchell,Crawford,FR,0
6401090,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Naquan,Jones,TOT,1
6401091,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Naquan,Jones,SOLO,1
6401092,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Naquan,Jones,SACKS,0.0
6401093,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Naquan,Jones,TFL,0
6401094,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Naquan,Jones,INT,0
6401095,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Naquan,Jones,FF,0
6401096,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Naquan,Jones,FR,0
6401097,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Matt,Dotson,TOT,1
6401098,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Matt,Dotson,SOLO,1
6401099,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Matt,Dotson,SACKS,0.0
6401100,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Matt,Dotson,TFL,1
6401101,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Matt,Dotson,INT,0
6401102,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Matt,Dotson,FF,0
6401103,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Matt,Dotson,FR,0
6401104,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Drew,Beesley,TOT,1
6401105,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Drew,Beesley,SOLO,1
6401106,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Drew,Beesley,SACKS,0.0
6401107,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Drew,Beesley,TFL,0
6401108,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Drew,Beesley,INT,0
6401109,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Drew,Beesley,FF,0
6401110,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Drew,Beesley,FR,0
6401111,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Jacob,Slade,TOT,1
6401112,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Jacob,Slade,SOLO,1
6401113,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Jacob,Slade,SACKS,0.0
6401114,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Jacob,Slade,TFL,0
6401115,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Jacob,Slade,INT,0
6401116,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Jacob,Slade,FF,0
6401117,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Jacob,Slade,FR,0
6401118,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Noah,Harvey,TOT,11
6401119,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Noah,Harvey,SOLO,9
6401120,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Noah,Harvey,SACKS,0.0
6401121,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Noah,Harvey,TFL,2
6401122,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Noah,Harvey,INT,0
6401123,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Noah,Harvey,FF,0
6401124,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Noah,Harvey,FR,0
6401125,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Antjuan,Simmons,TOT,11
6401126,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Antjuan,Simmons,SOLO,7
6401127,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Antjuan,Simmons,SACKS,0.0
6401128,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Antjuan,Simmons,TFL,0
6401129,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Antjuan,Simmons,INT,0
6401130,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Antjuan,Simmons,FF,0
6401131,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Antjuan,Simmons,FR,0
6401132,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Shakur,Brown,TOT,3
6401133,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Shakur,Brown,SOLO,3
6401134,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Shakur,Brown,SACKS,0.0
6401135,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Shakur,Brown,TFL,0
6401136,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Shakur,Brown,INT,0
6401137,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Shakur,Brown,FF,0
6401138,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Shakur,Brown,FR,0
6401139,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Tre,Person,TOT,9
6401140,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Tre,Person,SOLO,8
6401141,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Tre,Person,SACKS,0.0
6401142,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Tre,Person,TFL,0
6401143,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Tre,Person,INT,0
6401144,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Tre,Person,FF,0
6401145,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Tre,Person,FR,0
6401146,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Chase,Kline,TOT,2
6401147,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Chase,Kline,SOLO,2
6401148,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Chase,Kline,SACKS,0.0
6401149,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Chase,Kline,TFL,1
6401150,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Chase,Kline,INT,0
6401151,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Chase,Kline,FF,0
6401152,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Chase,Kline,FR,0
6401153,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Emmanuel,Flowers,TOT,2
6401154,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Emmanuel,Flowers,SOLO,2
6401155,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Emmanuel,Flowers,SACKS,0.0
6401156,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Emmanuel,Flowers,TFL,0
6401157,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Emmanuel,Flowers,INT,0
6401158,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Emmanuel,Flowers,FF,0
6401159,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Emmanuel,Flowers,FR,0
6401160,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Kalon,Gervin,TOT,2
6401161,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Kalon,Gervin,SOLO,2
6401162,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Kalon,Gervin,SACKS,0.0
6401163,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Kalon,Gervin,TFL,0
6401164,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Kalon,Gervin,INT,0
6401165,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Kalon,Gervin,FF,0
6401166,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Kalon,Gervin,FR,0
6401167,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Chris,Jackson,TOT,6
6401168,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Chris,Jackson,SOLO,6
6401169,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Chris,Jackson,SACKS,0.0
6401170,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Chris,Jackson,TFL,1
6401171,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Chris,Jackson,INT,0
6401172,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Chris,Jackson,FF,0
6401173,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Chris,Jackson,FR,0
6401174,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Michael,Dowell,TOT,3
6401175,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Michael,Dowell,SOLO,3
6401176,10/31/2020,FBS,Michigan St.,Michigan,DEFENSE,Michael,Dowell,SACKS,0.0
