ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
6246001,9/26/2020,FBS,Florida St.,Miami (FL),RUSHING,Lawrance,Toafili,ATT,8
6246002,9/26/2020,FBS,Florida St.,Miami (FL),RUSHING,Lawrance,Toafili,YDS,64
6246003,9/26/2020,FBS,Florida St.,Miami (FL),RUSHING,Lawrance,Toafili,TD,0
6246004,9/26/2020,FBS,Florida St.,Miami (FL),RUSHING,Lawrance,Toafili,LONG,21
6246005,9/26/2020,FBS,Florida St.,Miami (FL),RUSHING,Jordan,Travis,ATT,7
6246006,9/26/2020,FBS,Florida St.,Miami (FL),RUSHING,Jordan,Travis,YDS,52
6246007,9/26/2020,FBS,Florida St.,Miami (FL),RUSHING,Jordan,Travis,TD,0
6246008,9/26/2020,FBS,Florida St.,Miami (FL),RUSHING,Jordan,Travis,LONG,24
6246009,9/26/2020,FBS,Florida St.,Miami (FL),RUSHING,Jashaun,Corbin,ATT,6
6246010,9/26/2020,FBS,Florida St.,Miami (FL),RUSHING,Jashaun,Corbin,YDS,43
6246011,9/26/2020,FBS,Florida St.,Miami (FL),RUSHING,Jashaun,Corbin,TD,0
6246012,9/26/2020,FBS,Florida St.,Miami (FL),RUSHING,Jashaun,Corbin,LONG,24
6246013,9/26/2020,FBS,Florida St.,Miami (FL),RUSHING,Ontaria,Wilson,ATT,1
6246014,9/26/2020,FBS,Florida St.,Miami (FL),RUSHING,Ontaria,Wilson,YDS,11
6246015,9/26/2020,FBS,Florida St.,Miami (FL),RUSHING,Ontaria,Wilson,TD,0
6246016,9/26/2020,FBS,Florida St.,Miami (FL),RUSHING,Ontaria,Wilson,LONG,11
6246017,9/26/2020,FBS,Florida St.,Miami (FL),RUSHING,Ja'Khi,Douglas,ATT,3
6246018,9/26/2020,FBS,Florida St.,Miami (FL),RUSHING,Ja'Khi,Douglas,YDS,5
6246019,9/26/2020,FBS,Florida St.,Miami (FL),RUSHING,Ja'Khi,Douglas,TD,0
6246020,9/26/2020,FBS,Florida St.,Miami (FL),RUSHING,Ja'Khi,Douglas,LONG,4
6246021,9/26/2020,FBS,Florida St.,Miami (FL),RUSHING,Tamorrion,Terry,ATT,1
6246022,9/26/2020,FBS,Florida St.,Miami (FL),RUSHING,Tamorrion,Terry,YDS,-4
6246023,9/26/2020,FBS,Florida St.,Miami (FL),RUSHING,Tamorrion,Terry,TD,0
6246024,9/26/2020,FBS,Florida St.,Miami (FL),RUSHING,Tamorrion,Terry,LONG,-4
6246025,9/26/2020,FBS,Florida St.,Miami (FL),RUSHING,Tate,Rodemaker,ATT,3
6246026,9/26/2020,FBS,Florida St.,Miami (FL),RUSHING,Tate,Rodemaker,YDS,-5
6246027,9/26/2020,FBS,Florida St.,Miami (FL),RUSHING,Tate,Rodemaker,TD,0
6246028,9/26/2020,FBS,Florida St.,Miami (FL),RUSHING,Tate,Rodemaker,LONG,2
6246029,9/26/2020,FBS,Florida St.,Miami (FL),RUSHING,James,Blackman,ATT,7
6246030,9/26/2020,FBS,Florida St.,Miami (FL),RUSHING,James,Blackman,YDS,-15
6246031,9/26/2020,FBS,Florida St.,Miami (FL),RUSHING,James,Blackman,TD,0
6246032,9/26/2020,FBS,Florida St.,Miami (FL),RUSHING,James,Blackman,LONG,14
6246033,9/26/2020,FBS,Florida St.,Miami (FL),PASSING,James,Blackman,CP-ATT-INT,16-26-1
6246034,9/26/2020,FBS,Florida St.,Miami (FL),PASSING,James,Blackman,YDS,120
6246035,9/26/2020,FBS,Florida St.,Miami (FL),PASSING,James,Blackman,TD,1
6246036,9/26/2020,FBS,Florida St.,Miami (FL),PASSING,James,Blackman,LONG,23
6246037,9/26/2020,FBS,Florida St.,Miami (FL),PASSING,Tate,Rodemaker,CP-ATT-INT,5-9-1
6246038,9/26/2020,FBS,Florida St.,Miami (FL),PASSING,Tate,Rodemaker,YDS,47
6246039,9/26/2020,FBS,Florida St.,Miami (FL),PASSING,Tate,Rodemaker,TD,0
6246040,9/26/2020,FBS,Florida St.,Miami (FL),PASSING,Tate,Rodemaker,LONG,14
6246041,9/26/2020,FBS,Florida St.,Miami (FL),PASSING,Jordan,Travis,CP-ATT-INT,1-2-1
6246042,9/26/2020,FBS,Florida St.,Miami (FL),PASSING,Jordan,Travis,YDS,12
6246043,9/26/2020,FBS,Florida St.,Miami (FL),PASSING,Jordan,Travis,TD,0
6246044,9/26/2020,FBS,Florida St.,Miami (FL),PASSING,Jordan,Travis,LONG,12
6246045,9/26/2020,FBS,Florida St.,Miami (FL),RECEIVING,Camren,McDonald,REC,6
6246046,9/26/2020,FBS,Florida St.,Miami (FL),RECEIVING,Camren,McDonald,YDS,58
6246047,9/26/2020,FBS,Florida St.,Miami (FL),RECEIVING,Camren,McDonald,TD,1
6246048,9/26/2020,FBS,Florida St.,Miami (FL),RECEIVING,Camren,McDonald,LONG,14
6246049,9/26/2020,FBS,Florida St.,Miami (FL),RECEIVING,Lawrance,Toafili,REC,2
6246050,9/26/2020,FBS,Florida St.,Miami (FL),RECEIVING,Lawrance,Toafili,YDS,35
6246051,9/26/2020,FBS,Florida St.,Miami (FL),RECEIVING,Lawrance,Toafili,TD,0
6246052,9/26/2020,FBS,Florida St.,Miami (FL),RECEIVING,Lawrance,Toafili,LONG,23
6246053,9/26/2020,FBS,Florida St.,Miami (FL),RECEIVING,Kentron,Poitier,REC,2
6246054,9/26/2020,FBS,Florida St.,Miami (FL),RECEIVING,Kentron,Poitier,YDS,22
6246055,9/26/2020,FBS,Florida St.,Miami (FL),RECEIVING,Kentron,Poitier,TD,0
6246056,9/26/2020,FBS,Florida St.,Miami (FL),RECEIVING,Kentron,Poitier,LONG,14
6246057,9/26/2020,FBS,Florida St.,Miami (FL),RECEIVING,Jashaun,Corbin,REC,3
6246058,9/26/2020,FBS,Florida St.,Miami (FL),RECEIVING,Jashaun,Corbin,YDS,15
6246059,9/26/2020,FBS,Florida St.,Miami (FL),RECEIVING,Jashaun,Corbin,TD,0
6246060,9/26/2020,FBS,Florida St.,Miami (FL),RECEIVING,Jashaun,Corbin,LONG,12
6246061,9/26/2020,FBS,Florida St.,Miami (FL),RECEIVING,Darion,Williamson,REC,2
6246062,9/26/2020,FBS,Florida St.,Miami (FL),RECEIVING,Darion,Williamson,YDS,15
6246063,9/26/2020,FBS,Florida St.,Miami (FL),RECEIVING,Darion,Williamson,TD,0
6246064,9/26/2020,FBS,Florida St.,Miami (FL),RECEIVING,Darion,Williamson,LONG,8
6246065,9/26/2020,FBS,Florida St.,Miami (FL),RECEIVING,Ontaria,Wilson,REC,3
6246066,9/26/2020,FBS,Florida St.,Miami (FL),RECEIVING,Ontaria,Wilson,YDS,14
6246067,9/26/2020,FBS,Florida St.,Miami (FL),RECEIVING,Ontaria,Wilson,TD,0
6246068,9/26/2020,FBS,Florida St.,Miami (FL),RECEIVING,Ontaria,Wilson,LONG,7
6246069,9/26/2020,FBS,Florida St.,Miami (FL),RECEIVING,Ja'Khi,Douglas,REC,2
6246070,9/26/2020,FBS,Florida St.,Miami (FL),RECEIVING,Ja'Khi,Douglas,YDS,13
6246071,9/26/2020,FBS,Florida St.,Miami (FL),RECEIVING,Ja'Khi,Douglas,TD,0
6246072,9/26/2020,FBS,Florida St.,Miami (FL),RECEIVING,Ja'Khi,Douglas,LONG,11
6246073,9/26/2020,FBS,Florida St.,Miami (FL),RECEIVING,Jordan,Travis,REC,1
6246074,9/26/2020,FBS,Florida St.,Miami (FL),RECEIVING,Jordan,Travis,YDS,5
6246075,9/26/2020,FBS,Florida St.,Miami (FL),RECEIVING,Jordan,Travis,TD,0
6246076,9/26/2020,FBS,Florida St.,Miami (FL),RECEIVING,Jordan,Travis,LONG,5
6246077,9/26/2020,FBS,Florida St.,Miami (FL),RECEIVING,Keyshawn,Helton,REC,1
6246078,9/26/2020,FBS,Florida St.,Miami (FL),RECEIVING,Keyshawn,Helton,YDS,2
6246079,9/26/2020,FBS,Florida St.,Miami (FL),RECEIVING,Keyshawn,Helton,TD,0
6246080,9/26/2020,FBS,Florida St.,Miami (FL),RECEIVING,Keyshawn,Helton,LONG,2
6246081,9/26/2020,FBS,Florida St.,Miami (FL),KICKING,Ryan,Fitzgerald,FG-FGA,1/1
6246082,9/26/2020,FBS,Florida St.,Miami (FL),KICKING,Ryan,Fitzgerald,LONG,26
6246083,9/26/2020,FBS,Florida St.,Miami (FL),KICKING,Ryan,Fitzgerald,XP,1
6246084,9/26/2020,FBS,Florida St.,Miami (FL),KICKING,Ryan,Fitzgerald,PTS,4
6246085,9/26/2020,FBS,Florida St.,Miami (FL),PUNTING,Alex,Mastromanno,NO,4
6246086,9/26/2020,FBS,Florida St.,Miami (FL),PUNTING,Alex,Mastromanno,YDS,159
6246087,9/26/2020,FBS,Florida St.,Miami (FL),PUNTING,Alex,Mastromanno,AVG,39.8
6246088,9/26/2020,FBS,Florida St.,Miami (FL),PUNTING,Alex,Mastromanno,LONG,54
6246089,9/26/2020,FBS,Florida St.,Miami (FL),KICK RETURNS,Travis,Jay,NO,1
6246090,9/26/2020,FBS,Florida St.,Miami (FL),KICK RETURNS,Travis,Jay,YDS,21
6246091,9/26/2020,FBS,Florida St.,Miami (FL),KICK RETURNS,Travis,Jay,AVG,21.0
6246092,9/26/2020,FBS,Florida St.,Miami (FL),KICK RETURNS,Travis,Jay,LONG,21
6246093,9/26/2020,FBS,Florida St.,Miami (FL),DEFENSE,Robert,Cooper,TOT,1
6246094,9/26/2020,FBS,Florida St.,Miami (FL),DEFENSE,Robert,Cooper,SOLO,1
6246095,9/26/2020,FBS,Florida St.,Miami (FL),DEFENSE,Robert,Cooper,SACKS,0.0
6246096,9/26/2020,FBS,Florida St.,Miami (FL),DEFENSE,Robert,Cooper,TFL,0
6246097,9/26/2020,FBS,Florida St.,Miami (FL),DEFENSE,Robert,Cooper,INT,0
6246098,9/26/2020,FBS,Florida St.,Miami (FL),DEFENSE,Robert,Cooper,FF,0
6246099,9/26/2020,FBS,Florida St.,Miami (FL),DEFENSE,Robert,Cooper,FR,0
6246100,9/26/2020,FBS,Florida St.,Miami (FL),DEFENSE,Tru,Thompson,TOT,1
6246101,9/26/2020,FBS,Florida St.,Miami (FL),DEFENSE,Tru,Thompson,SOLO,1
6246102,9/26/2020,FBS,Florida St.,Miami (FL),DEFENSE,Tru,Thompson,SACKS,0.0
6246103,9/26/2020,FBS,Florida St.,Miami (FL),DEFENSE,Tru,Thompson,TFL,0
6246104,9/26/2020,FBS,Florida St.,Miami (FL),DEFENSE,Tru,Thompson,INT,0
6246105,9/26/2020,FBS,Florida St.,Miami (FL),DEFENSE,Tru,Thompson,FF,0
6246106,9/26/2020,FBS,Florida St.,Miami (FL),DEFENSE,Tru,Thompson,FR,0
6246107,9/26/2020,FBS,Florida St.,Miami (FL),DEFENSE,Brendan,Gant,TOT,7
6246108,9/26/2020,FBS,Florida St.,Miami (FL),DEFENSE,Brendan,Gant,SOLO,7
6246109,9/26/2020,FBS,Florida St.,Miami (FL),DEFENSE,Brendan,Gant,SACKS,0.0
6246110,9/26/2020,FBS,Florida St.,Miami (FL),DEFENSE,Brendan,Gant,TFL,1
6246111,9/26/2020,FBS,Florida St.,Miami (FL),DEFENSE,Brendan,Gant,INT,0
