ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
7213001,10/19/2013,FCS,Austin Peay,Murray State,RUSHING,Tim,Phillips,ATT,26
7213002,10/19/2013,FCS,Austin Peay,Murray State,RUSHING,Tim,Phillips,YDS,123
7213003,10/19/2013,FCS,Austin Peay,Murray State,RUSHING,Tim,Phillips,TD,0
7213004,10/19/2013,FCS,Austin Peay,Murray State,RUSHING,Tim,Phillips,LONG,17
7213005,10/19/2013,FCS,Austin Peay,Murray State,RUSHING,Timarious,Mitchell,ATT,4
7213006,10/19/2013,FCS,Austin Peay,Murray State,RUSHING,Timarious,Mitchell,YDS,9
7213007,10/19/2013,FCS,Austin Peay,Murray State,RUSHING,Timarious,Mitchell,TD,0
7213008,10/19/2013,FCS,Austin Peay,Murray State,RUSHING,Timarious,Mitchell,LONG,4
7213009,10/19/2013,FCS,Austin Peay,Murray State,RUSHING,Omar,Williams,ATT,4
7213010,10/19/2013,FCS,Austin Peay,Murray State,RUSHING,Omar,Williams,YDS,3
7213011,10/19/2013,FCS,Austin Peay,Murray State,RUSHING,Omar,Williams,TD,0
7213012,10/19/2013,FCS,Austin Peay,Murray State,RUSHING,Omar,Williams,LONG,2
7213013,10/19/2013,FCS,Austin Peay,Murray State,RUSHING,Julian,Franklin,ATT,1
7213014,10/19/2013,FCS,Austin Peay,Murray State,RUSHING,Julian,Franklin,YDS,2
7213015,10/19/2013,FCS,Austin Peay,Murray State,RUSHING,Julian,Franklin,TD,0
7213016,10/19/2013,FCS,Austin Peay,Murray State,RUSHING,Julian,Franklin,LONG,2
7213017,10/19/2013,FCS,Austin Peay,Murray State,RUSHING,Jacob,Sexton,ATT,5
7213018,10/19/2013,FCS,Austin Peay,Murray State,RUSHING,Jacob,Sexton,YDS,-1
7213019,10/19/2013,FCS,Austin Peay,Murray State,RUSHING,Jacob,Sexton,TD,0
7213020,10/19/2013,FCS,Austin Peay,Murray State,RUSHING,Jacob,Sexton,LONG,10
7213021,10/19/2013,FCS,Austin Peay,Murray State,PASSING,Timarious,Mitchell,CP-ATT-INT,8-16-1
7213022,10/19/2013,FCS,Austin Peay,Murray State,PASSING,Timarious,Mitchell,YDS,50
7213023,10/19/2013,FCS,Austin Peay,Murray State,PASSING,Timarious,Mitchell,TD,0
7213024,10/19/2013,FCS,Austin Peay,Murray State,PASSING,Timarious,Mitchell,LONG,14
7213025,10/19/2013,FCS,Austin Peay,Murray State,PASSING,Jacob,Sexton,CP-ATT-INT,2-6-0
7213026,10/19/2013,FCS,Austin Peay,Murray State,PASSING,Jacob,Sexton,YDS,10
7213027,10/19/2013,FCS,Austin Peay,Murray State,PASSING,Jacob,Sexton,TD,0
7213028,10/19/2013,FCS,Austin Peay,Murray State,PASSING,Jacob,Sexton,LONG,5
7213029,10/19/2013,FCS,Austin Peay,Murray State,RECEIVING,Tim,Phillips,REC,4
7213030,10/19/2013,FCS,Austin Peay,Murray State,RECEIVING,Tim,Phillips,YDS,28
7213031,10/19/2013,FCS,Austin Peay,Murray State,RECEIVING,Tim,Phillips,TD,0
7213032,10/19/2013,FCS,Austin Peay,Murray State,RECEIVING,Tim,Phillips,LONG,9
7213033,10/19/2013,FCS,Austin Peay,Murray State,RECEIVING,Hunter,Branch,REC,2
7213034,10/19/2013,FCS,Austin Peay,Murray State,RECEIVING,Hunter,Branch,YDS,6
7213035,10/19/2013,FCS,Austin Peay,Murray State,RECEIVING,Hunter,Branch,TD,0
7213036,10/19/2013,FCS,Austin Peay,Murray State,RECEIVING,Hunter,Branch,LONG,4
7213037,10/19/2013,FCS,Austin Peay,Murray State,RECEIVING,Darryl,Clack,REC,1
7213038,10/19/2013,FCS,Austin Peay,Murray State,RECEIVING,Darryl,Clack,YDS,14
