ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
7276001,10/26/2013,FCS,Delaware,Rhode Island,RUSHING,Michael,Johnson,ATT,3
7276002,10/26/2013,FCS,Delaware,Rhode Island,RUSHING,Michael,Johnson,YDS,123
7276003,10/26/2013,FCS,Delaware,Rhode Island,RUSHING,Michael,Johnson,TD,1
7276004,10/26/2013,FCS,Delaware,Rhode Island,RUSHING,Michael,Johnson,LONG,78
7276005,10/26/2013,FCS,Delaware,Rhode Island,RUSHING,Andrew,Pierce,ATT,21
7276006,10/26/2013,FCS,Delaware,Rhode Island,RUSHING,Andrew,Pierce,YDS,117
7276007,10/26/2013,FCS,Delaware,Rhode Island,RUSHING,Andrew,Pierce,TD,3
7276008,10/26/2013,FCS,Delaware,Rhode Island,RUSHING,Andrew,Pierce,LONG,75
7276009,10/26/2013,FCS,Delaware,Rhode Island,RUSHING,Julian,Laing,ATT,9
7276010,10/26/2013,FCS,Delaware,Rhode Island,RUSHING,Julian,Laing,YDS,59
7276011,10/26/2013,FCS,Delaware,Rhode Island,RUSHING,Julian,Laing,TD,0
7276012,10/26/2013,FCS,Delaware,Rhode Island,RUSHING,Julian,Laing,LONG,27
7276013,10/26/2013,FCS,Delaware,Rhode Island,RUSHING,Trent,Hurley,ATT,3
7276014,10/26/2013,FCS,Delaware,Rhode Island,RUSHING,Trent,Hurley,YDS,10
7276015,10/26/2013,FCS,Delaware,Rhode Island,RUSHING,Trent,Hurley,TD,0
7276016,10/26/2013,FCS,Delaware,Rhode Island,RUSHING,Trent,Hurley,LONG,7
7276017,10/26/2013,FCS,Delaware,Rhode Island,RUSHING,Rob,Jones,ATT,1
7276018,10/26/2013,FCS,Delaware,Rhode Island,RUSHING,Rob,Jones,YDS,4
7276019,10/26/2013,FCS,Delaware,Rhode Island,RUSHING,Rob,Jones,TD,0
7276020,10/26/2013,FCS,Delaware,Rhode Island,RUSHING,Rob,Jones,LONG,4
7276021,10/26/2013,FCS,Delaware,Rhode Island,RUSHING,Jerel,Harrison,ATT,1
7276022,10/26/2013,FCS,Delaware,Rhode Island,RUSHING,Jerel,Harrison,YDS,3
7276023,10/26/2013,FCS,Delaware,Rhode Island,RUSHING,Jerel,Harrison,TD,0
7276024,10/26/2013,FCS,Delaware,Rhode Island,RUSHING,Jerel,Harrison,LONG,3
7276025,10/26/2013,FCS,Delaware,Rhode Island,RUSHING,Jalen,Randolph,ATT,2
7276026,10/26/2013,FCS,Delaware,Rhode Island,RUSHING,Jalen,Randolph,YDS,2
7276027,10/26/2013,FCS,Delaware,Rhode Island,RUSHING,Jalen,Randolph,TD,0
7276028,10/26/2013,FCS,Delaware,Rhode Island,RUSHING,Jalen,Randolph,LONG,2
7276029,10/26/2013,FCS,Delaware,Rhode Island,RUSHING,,Team,ATT,2
7276030,10/26/2013,FCS,Delaware,Rhode Island,RUSHING,,Team,YDS,-4
7276031,10/26/2013,FCS,Delaware,Rhode Island,RUSHING,,Team,TD,0
7276032,10/26/2013,FCS,Delaware,Rhode Island,RUSHING,,Team,LONG,0
7276033,10/26/2013,FCS,Delaware,Rhode Island,PASSING,Trent,Hurley,CP-ATT-INT,14-22-1
7276034,10/26/2013,FCS,Delaware,Rhode Island,PASSING,Trent,Hurley,YDS,186
7276035,10/26/2013,FCS,Delaware,Rhode Island,PASSING,Trent,Hurley,TD,1
7276036,10/26/2013,FCS,Delaware,Rhode Island,PASSING,Trent,Hurley,LONG,48
7276037,10/26/2013,FCS,Delaware,Rhode Island,RECEIVING,Michael,Johnson,REC,5
7276038,10/26/2013,FCS,Delaware,Rhode Island,RECEIVING,Michael,Johnson,YDS,84
7276039,10/26/2013,FCS,Delaware,Rhode Island,RECEIVING,Michael,Johnson,TD,0
7276040,10/26/2013,FCS,Delaware,Rhode Island,RECEIVING,Michael,Johnson,LONG,48
7276041,10/26/2013,FCS,Delaware,Rhode Island,RECEIVING,Nick,Boyle,REC,2
7276042,10/26/2013,FCS,Delaware,Rhode Island,RECEIVING,Nick,Boyle,YDS,28
7276043,10/26/2013,FCS,Delaware,Rhode Island,RECEIVING,Nick,Boyle,TD,1
7276044,10/26/2013,FCS,Delaware,Rhode Island,RECEIVING,Nick,Boyle,LONG,19
7276045,10/26/2013,FCS,Delaware,Rhode Island,RECEIVING,Rob,Jones,REC,2
7276046,10/26/2013,FCS,Delaware,Rhode Island,RECEIVING,Rob,Jones,YDS,25
7276047,10/26/2013,FCS,Delaware,Rhode Island,RECEIVING,Rob,Jones,TD,0
7276048,10/26/2013,FCS,Delaware,Rhode Island,RECEIVING,Rob,Jones,LONG,13
7276049,10/26/2013,FCS,Delaware,Rhode Island,RECEIVING,Jalen,Randolph,REC,2
7276050,10/26/2013,FCS,Delaware,Rhode Island,RECEIVING,Jalen,Randolph,YDS,17
7276051,10/26/2013,FCS,Delaware,Rhode Island,RECEIVING,Jalen,Randolph,TD,0
7276052,10/26/2013,FCS,Delaware,Rhode Island,RECEIVING,Jalen,Randolph,LONG,15
7276053,10/26/2013,FCS,Delaware,Rhode Island,RECEIVING,Andrew,Pierce,REC,1
7276054,10/26/2013,FCS,Delaware,Rhode Island,RECEIVING,Andrew,Pierce,YDS,33
7276055,10/26/2013,FCS,Delaware,Rhode Island,RECEIVING,Andrew,Pierce,TD,0
7276056,10/26/2013,FCS,Delaware,Rhode Island,RECEIVING,Andrew,Pierce,LONG,33
7276057,10/26/2013,FCS,Delaware,Rhode Island,RECEIVING,Jerel,Harrison,REC,1
7276058,10/26/2013,FCS,Delaware,Rhode Island,RECEIVING,Jerel,Harrison,YDS,2
7276059,10/26/2013,FCS,Delaware,Rhode Island,RECEIVING,Jerel,Harrison,TD,0
7276060,10/26/2013,FCS,Delaware,Rhode Island,RECEIVING,Jerel,Harrison,LONG,2
7276061,10/26/2013,FCS,Delaware,Rhode Island,RECEIVING,Stephen,Clark,REC,1
7276062,10/26/2013,FCS,Delaware,Rhode Island,RECEIVING,Stephen,Clark,YDS,-3
7276063,10/26/2013,FCS,Delaware,Rhode Island,RECEIVING,Stephen,Clark,TD,0
7276064,10/26/2013,FCS,Delaware,Rhode Island,RECEIVING,Stephen,Clark,LONG,0
7276065,10/26/2013,FCS,Delaware,Rhode Island,KICKING,Sean,Baner,FG-FGA,0/1
