ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
7093001,10/5/2013,FCS,Wagner,Sacred Heart,RUSHING,Dominique,Williams,ATT,29
7093002,10/5/2013,FCS,Wagner,Sacred Heart,RUSHING,Dominique,Williams,YDS,108
7093003,10/5/2013,FCS,Wagner,Sacred Heart,RUSHING,Dominique,Williams,TD,1
7093004,10/5/2013,FCS,Wagner,Sacred Heart,RUSHING,Dominique,Williams,LONG,15
7093005,10/5/2013,FCS,Wagner,Sacred Heart,RUSHING,Matthias,McKinnon,ATT,7
7093006,10/5/2013,FCS,Wagner,Sacred Heart,RUSHING,Matthias,McKinnon,YDS,20
7093007,10/5/2013,FCS,Wagner,Sacred Heart,RUSHING,Matthias,McKinnon,TD,0
7093008,10/5/2013,FCS,Wagner,Sacred Heart,RUSHING,Matthias,McKinnon,LONG,6
7093009,10/5/2013,FCS,Wagner,Sacred Heart,RUSHING,Ralph,Greene,ATT,4
7093010,10/5/2013,FCS,Wagner,Sacred Heart,RUSHING,Ralph,Greene,YDS,20
7093011,10/5/2013,FCS,Wagner,Sacred Heart,RUSHING,Ralph,Greene,TD,0
7093012,10/5/2013,FCS,Wagner,Sacred Heart,RUSHING,Ralph,Greene,LONG,9
7093013,10/5/2013,FCS,Wagner,Sacred Heart,RUSHING,Chris,Andrews,ATT,17
7093014,10/5/2013,FCS,Wagner,Sacred Heart,RUSHING,Chris,Andrews,YDS,-6
7093015,10/5/2013,FCS,Wagner,Sacred Heart,RUSHING,Chris,Andrews,TD,0
7093016,10/5/2013,FCS,Wagner,Sacred Heart,RUSHING,Chris,Andrews,LONG,11
7093017,10/5/2013,FCS,Wagner,Sacred Heart,PASSING,Chris,Andrews,CP-ATT-INT,8-17-1
7093018,10/5/2013,FCS,Wagner,Sacred Heart,PASSING,Chris,Andrews,YDS,70
7093019,10/5/2013,FCS,Wagner,Sacred Heart,PASSING,Chris,Andrews,TD,0
7093020,10/5/2013,FCS,Wagner,Sacred Heart,PASSING,Chris,Andrews,LONG,22
7093021,10/5/2013,FCS,Wagner,Sacred Heart,PASSING,Kramer,Berg,CP-ATT-INT,3-4-0
7093022,10/5/2013,FCS,Wagner,Sacred Heart,PASSING,Kramer,Berg,YDS,31
7093023,10/5/2013,FCS,Wagner,Sacred Heart,PASSING,Kramer,Berg,TD,0
7093024,10/5/2013,FCS,Wagner,Sacred Heart,PASSING,Kramer,Berg,LONG,13
7093025,10/5/2013,FCS,Wagner,Sacred Heart,RECEIVING,Anthony,Carrington,REC,3
7093026,10/5/2013,FCS,Wagner,Sacred Heart,RECEIVING,Anthony,Carrington,YDS,28
7093027,10/5/2013,FCS,Wagner,Sacred Heart,RECEIVING,Anthony,Carrington,TD,0
