ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
7356001,11/2/2013,FCS,Morehead State,Drake,RUSHING,Logan,Johnson,ATT,3
7356002,11/2/2013,FCS,Morehead State,Drake,RUSHING,Logan,Johnson,YDS,38
7356003,11/2/2013,FCS,Morehead State,Drake,RUSHING,Logan,Johnson,TD,1
7356004,11/2/2013,FCS,Morehead State,Drake,RUSHING,Logan,Johnson,LONG,34
7356005,11/2/2013,FCS,Morehead State,Drake,RUSHING,Brandon,Reeves,ATT,5
7356006,11/2/2013,FCS,Morehead State,Drake,RUSHING,Brandon,Reeves,YDS,33
7356007,11/2/2013,FCS,Morehead State,Drake,RUSHING,Brandon,Reeves,TD,0
7356008,11/2/2013,FCS,Morehead State,Drake,RUSHING,Brandon,Reeves,LONG,32
7356009,11/2/2013,FCS,Morehead State,Drake,RUSHING,Rees,Macshara,ATT,10
7356010,11/2/2013,FCS,Morehead State,Drake,RUSHING,Rees,Macshara,YDS,24
7356011,11/2/2013,FCS,Morehead State,Drake,RUSHING,Rees,Macshara,TD,0
7356012,11/2/2013,FCS,Morehead State,Drake,RUSHING,Rees,Macshara,LONG,9
7356013,11/2/2013,FCS,Morehead State,Drake,RUSHING,Jake,Raymond,ATT,2
7356014,11/2/2013,FCS,Morehead State,Drake,RUSHING,Jake,Raymond,YDS,9
7356015,11/2/2013,FCS,Morehead State,Drake,RUSHING,Jake,Raymond,TD,0
7356016,11/2/2013,FCS,Morehead State,Drake,RUSHING,Jake,Raymond,LONG,8
7356017,11/2/2013,FCS,Morehead State,Drake,RUSHING,Brandon,Bornhauser,ATT,3
7356018,11/2/2013,FCS,Morehead State,Drake,RUSHING,Brandon,Bornhauser,YDS,1
7356019,11/2/2013,FCS,Morehead State,Drake,RUSHING,Brandon,Bornhauser,TD,1
7356020,11/2/2013,FCS,Morehead State,Drake,RUSHING,Brandon,Bornhauser,LONG,2
7356021,11/2/2013,FCS,Morehead State,Drake,RUSHING,Rob,Harden,ATT,1
7356022,11/2/2013,FCS,Morehead State,Drake,RUSHING,Rob,Harden,YDS,1
7356023,11/2/2013,FCS,Morehead State,Drake,RUSHING,Rob,Harden,TD,0
7356024,11/2/2013,FCS,Morehead State,Drake,RUSHING,Rob,Harden,LONG,1
7356025,11/2/2013,FCS,Morehead State,Drake,RUSHING,Cyrus,Strahm,ATT,1
7356026,11/2/2013,FCS,Morehead State,Drake,RUSHING,Cyrus,Strahm,YDS,-2
7356027,11/2/2013,FCS,Morehead State,Drake,RUSHING,Cyrus,Strahm,TD,0
7356028,11/2/2013,FCS,Morehead State,Drake,RUSHING,Cyrus,Strahm,LONG,0
7356029,11/2/2013,FCS,Morehead State,Drake,RUSHING,Austin,Gahafer,ATT,3
7356030,11/2/2013,FCS,Morehead State,Drake,RUSHING,Austin,Gahafer,YDS,-22
7356031,11/2/2013,FCS,Morehead State,Drake,RUSHING,Austin,Gahafer,TD,0
7356032,11/2/2013,FCS,Morehead State,Drake,RUSHING,Austin,Gahafer,LONG,4
7356033,11/2/2013,FCS,Morehead State,Drake,PASSING,Austin,Gahafer,CP-ATT-INT,16-34-2
7356034,11/2/2013,FCS,Morehead State,Drake,PASSING,Austin,Gahafer,YDS,139
7356035,11/2/2013,FCS,Morehead State,Drake,PASSING,Austin,Gahafer,TD,0
7356036,11/2/2013,FCS,Morehead State,Drake,PASSING,Austin,Gahafer,LONG,33
7356037,11/2/2013,FCS,Morehead State,Drake,PASSING,Logan,Johnson,CP-ATT-INT,2-2-0
7356038,11/2/2013,FCS,Morehead State,Drake,PASSING,Logan,Johnson,YDS,11
7356039,11/2/2013,FCS,Morehead State,Drake,PASSING,Logan,Johnson,TD,0
7356040,11/2/2013,FCS,Morehead State,Drake,PASSING,Logan,Johnson,LONG,6
7356041,11/2/2013,FCS,Morehead State,Drake,RECEIVING,Jake,Raymond,REC,3
7356042,11/2/2013,FCS,Morehead State,Drake,RECEIVING,Jake,Raymond,YDS,27
7356043,11/2/2013,FCS,Morehead State,Drake,RECEIVING,Jake,Raymond,TD,0
7356044,11/2/2013,FCS,Morehead State,Drake,RECEIVING,Jake,Raymond,LONG,14
7356045,11/2/2013,FCS,Morehead State,Drake,RECEIVING,Cyrus,Strahm,REC,3
7356046,11/2/2013,FCS,Morehead State,Drake,RECEIVING,Cyrus,Strahm,YDS,16
7356047,11/2/2013,FCS,Morehead State,Drake,RECEIVING,Cyrus,Strahm,TD,0
7356048,11/2/2013,FCS,Morehead State,Drake,RECEIVING,Cyrus,Strahm,LONG,6
7356049,11/2/2013,FCS,Morehead State,Drake,RECEIVING,Mason,Rutherford,REC,2
7356050,11/2/2013,FCS,Morehead State,Drake,RECEIVING,Mason,Rutherford,YDS,37
7356051,11/2/2013,FCS,Morehead State,Drake,RECEIVING,Mason,Rutherford,TD,0
7356052,11/2/2013,FCS,Morehead State,Drake,RECEIVING,Mason,Rutherford,LONG,33
7356053,11/2/2013,FCS,Morehead State,Drake,RECEIVING,Kitaro,Lewis,REC,2
7356054,11/2/2013,FCS,Morehead State,Drake,RECEIVING,Kitaro,Lewis,YDS,9
7356055,11/2/2013,FCS,Morehead State,Drake,RECEIVING,Kitaro,Lewis,TD,0
7356056,11/2/2013,FCS,Morehead State,Drake,RECEIVING,Kitaro,Lewis,LONG,6
7356057,11/2/2013,FCS,Morehead State,Drake,RECEIVING,Shade,Whitfield,REC,2
7356058,11/2/2013,FCS,Morehead State,Drake,RECEIVING,Shade,Whitfield,YDS,9
7356059,11/2/2013,FCS,Morehead State,Drake,RECEIVING,Shade,Whitfield,TD,0
7356060,11/2/2013,FCS,Morehead State,Drake,RECEIVING,Shade,Whitfield,LONG,5
7356061,11/2/2013,FCS,Morehead State,Drake,RECEIVING,Rees,Macshara,REC,2
7356062,11/2/2013,FCS,Morehead State,Drake,RECEIVING,Rees,Macshara,YDS,8
7356063,11/2/2013,FCS,Morehead State,Drake,RECEIVING,Rees,Macshara,TD,0
7356064,11/2/2013,FCS,Morehead State,Drake,RECEIVING,Rees,Macshara,LONG,5
7356065,11/2/2013,FCS,Morehead State,Drake,RECEIVING,Justin,Cornwall,REC,1
7356066,11/2/2013,FCS,Morehead State,Drake,RECEIVING,Justin,Cornwall,YDS,19
7356067,11/2/2013,FCS,Morehead State,Drake,RECEIVING,Justin,Cornwall,TD,0
7356068,11/2/2013,FCS,Morehead State,Drake,RECEIVING,Justin,Cornwall,LONG,19
7356069,11/2/2013,FCS,Morehead State,Drake,RECEIVING,Jason,Rider,REC,1
7356070,11/2/2013,FCS,Morehead State,Drake,RECEIVING,Jason,Rider,YDS,14
7356071,11/2/2013,FCS,Morehead State,Drake,RECEIVING,Jason,Rider,TD,0
7356072,11/2/2013,FCS,Morehead State,Drake,RECEIVING,Jason,Rider,LONG,14
7356073,11/2/2013,FCS,Morehead State,Drake,RECEIVING,Darius,Pritchett,REC,1
7356074,11/2/2013,FCS,Morehead State,Drake,RECEIVING,Darius,Pritchett,YDS,6
7356075,11/2/2013,FCS,Morehead State,Drake,RECEIVING,Darius,Pritchett,TD,0
7356076,11/2/2013,FCS,Morehead State,Drake,RECEIVING,Darius,Pritchett,LONG,6
7356077,11/2/2013,FCS,Morehead State,Drake,RECEIVING,Brandon,Bornhauser,REC,1
7356078,11/2/2013,FCS,Morehead State,Drake,RECEIVING,Brandon,Bornhauser,YDS,5
7356079,11/2/2013,FCS,Morehead State,Drake,RECEIVING,Brandon,Bornhauser,TD,0
