ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
7519001,11/23/2013,FCS,Cornell,Penn,RUSHING,Luke,Hagy,ATT,14
7519002,11/23/2013,FCS,Cornell,Penn,RUSHING,Luke,Hagy,YDS,36
7519003,11/23/2013,FCS,Cornell,Penn,RUSHING,Luke,Hagy,TD,0
7519004,11/23/2013,FCS,Cornell,Penn,RUSHING,Luke,Hagy,LONG,11
7519005,11/23/2013,FCS,Cornell,Penn,RUSHING,Robert,Somborn,ATT,1
7519006,11/23/2013,FCS,Cornell,Penn,RUSHING,Robert,Somborn,YDS,0
7519007,11/23/2013,FCS,Cornell,Penn,RUSHING,Robert,Somborn,TD,0
7519008,11/23/2013,FCS,Cornell,Penn,RUSHING,Robert,Somborn,LONG,0
7519009,11/23/2013,FCS,Cornell,Penn,RUSHING,,Team,ATT,2
7519010,11/23/2013,FCS,Cornell,Penn,RUSHING,,Team,YDS,-3
7519011,11/23/2013,FCS,Cornell,Penn,RUSHING,,Team,TD,0
7519012,11/23/2013,FCS,Cornell,Penn,RUSHING,,Team,LONG,0
7519013,11/23/2013,FCS,Cornell,Penn,RUSHING,Grant,Gellatly,ATT,2
7519014,11/23/2013,FCS,Cornell,Penn,RUSHING,Grant,Gellatly,YDS,-4
7519015,11/23/2013,FCS,Cornell,Penn,RUSHING,Grant,Gellatly,TD,0
7519016,11/23/2013,FCS,Cornell,Penn,RUSHING,Grant,Gellatly,LONG,0
7519017,11/23/2013,FCS,Cornell,Penn,RUSHING,Jeff,Mathews,ATT,15
7519018,11/23/2013,FCS,Cornell,Penn,RUSHING,Jeff,Mathews,YDS,-11
7519019,11/23/2013,FCS,Cornell,Penn,RUSHING,Jeff,Mathews,TD,1
7519020,11/23/2013,FCS,Cornell,Penn,RUSHING,Jeff,Mathews,LONG,15
7519021,11/23/2013,FCS,Cornell,Penn,PASSING,Jeff,Mathews,CP-ATT-INT,33-47-2
7519022,11/23/2013,FCS,Cornell,Penn,PASSING,Jeff,Mathews,YDS,467
7519023,11/23/2013,FCS,Cornell,Penn,PASSING,Jeff,Mathews,TD,4
7519024,11/23/2013,FCS,Cornell,Penn,PASSING,Jeff,Mathews,LONG,41
7519025,11/23/2013,FCS,Cornell,Penn,PASSING,Chris,Fraser,CP-ATT-INT,1-1-0
7519026,11/23/2013,FCS,Cornell,Penn,PASSING,Chris,Fraser,YDS,21
7519027,11/23/2013,FCS,Cornell,Penn,PASSING,Chris,Fraser,TD,0
7519028,11/23/2013,FCS,Cornell,Penn,PASSING,Chris,Fraser,LONG,21
