ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
7432001,11/9/2013,FCS,Robert Morris,Cent. Conn. St.,RUSHING,Ryan,Thermil,ATT,12
7432002,11/9/2013,FCS,Robert Morris,Cent. Conn. St.,RUSHING,Ryan,Thermil,YDS,63
7432003,11/9/2013,FCS,Robert Morris,Cent. Conn. St.,RUSHING,Ryan,Thermil,TD,1
7432004,11/9/2013,FCS,Robert Morris,Cent. Conn. St.,RUSHING,Ryan,Thermil,LONG,14
7432005,11/9/2013,FCS,Robert Morris,Cent. Conn. St.,RUSHING,Kenny,Davis,ATT,7
7432006,11/9/2013,FCS,Robert Morris,Cent. Conn. St.,RUSHING,Kenny,Davis,YDS,46
7432007,11/9/2013,FCS,Robert Morris,Cent. Conn. St.,RUSHING,Kenny,Davis,TD,1
7432008,11/9/2013,FCS,Robert Morris,Cent. Conn. St.,RUSHING,Kenny,Davis,LONG,32
7432009,11/9/2013,FCS,Robert Morris,Cent. Conn. St.,RUSHING,Deontae,Howard,ATT,14
7432010,11/9/2013,FCS,Robert Morris,Cent. Conn. St.,RUSHING,Deontae,Howard,YDS,40
7432011,11/9/2013,FCS,Robert Morris,Cent. Conn. St.,RUSHING,Deontae,Howard,TD,0
7432012,11/9/2013,FCS,Robert Morris,Cent. Conn. St.,RUSHING,Deontae,Howard,LONG,12
7432013,11/9/2013,FCS,Robert Morris,Cent. Conn. St.,RUSHING,Paul,Jones,ATT,4
7432014,11/9/2013,FCS,Robert Morris,Cent. Conn. St.,RUSHING,Paul,Jones,YDS,25
7432015,11/9/2013,FCS,Robert Morris,Cent. Conn. St.,RUSHING,Paul,Jones,TD,0
7432016,11/9/2013,FCS,Robert Morris,Cent. Conn. St.,RUSHING,Paul,Jones,LONG,11
7432017,11/9/2013,FCS,Robert Morris,Cent. Conn. St.,RUSHING,Phil,Peckich,ATT,6
7432018,11/9/2013,FCS,Robert Morris,Cent. Conn. St.,RUSHING,Phil,Peckich,YDS,15
7432019,11/9/2013,FCS,Robert Morris,Cent. Conn. St.,RUSHING,Phil,Peckich,TD,0
7432020,11/9/2013,FCS,Robert Morris,Cent. Conn. St.,RUSHING,Phil,Peckich,LONG,5
7432021,11/9/2013,FCS,Robert Morris,Cent. Conn. St.,RUSHING,,Team,ATT,1
7432022,11/9/2013,FCS,Robert Morris,Cent. Conn. St.,RUSHING,,Team,YDS,-1
7432023,11/9/2013,FCS,Robert Morris,Cent. Conn. St.,RUSHING,,Team,TD,0
7432024,11/9/2013,FCS,Robert Morris,Cent. Conn. St.,RUSHING,,Team,LONG,0
7432025,11/9/2013,FCS,Robert Morris,Cent. Conn. St.,PASSING,Paul,Jones,CP-ATT-INT,10-19-1
7432026,11/9/2013,FCS,Robert Morris,Cent. Conn. St.,PASSING,Paul,Jones,YDS,188
7432027,11/9/2013,FCS,Robert Morris,Cent. Conn. St.,PASSING,Paul,Jones,TD,3
7432028,11/9/2013,FCS,Robert Morris,Cent. Conn. St.,PASSING,Paul,Jones,LONG,54
7432029,11/9/2013,FCS,Robert Morris,Cent. Conn. St.,RECEIVING,Duane,Mitchell,REC,4
7432030,11/9/2013,FCS,Robert Morris,Cent. Conn. St.,RECEIVING,Duane,Mitchell,YDS,100
7432031,11/9/2013,FCS,Robert Morris,Cent. Conn. St.,RECEIVING,Duane,Mitchell,TD,1
7432032,11/9/2013,FCS,Robert Morris,Cent. Conn. St.,RECEIVING,Duane,Mitchell,LONG,54
7432033,11/9/2013,FCS,Robert Morris,Cent. Conn. St.,RECEIVING,Alex,Caratelli,REC,2
7432034,11/9/2013,FCS,Robert Morris,Cent. Conn. St.,RECEIVING,Alex,Caratelli,YDS,37
7432035,11/9/2013,FCS,Robert Morris,Cent. Conn. St.,RECEIVING,Alex,Caratelli,TD,0
7432036,11/9/2013,FCS,Robert Morris,Cent. Conn. St.,RECEIVING,Alex,Caratelli,LONG,22
7432037,11/9/2013,FCS,Robert Morris,Cent. Conn. St.,RECEIVING,Deontae,Howard,REC,2
7432038,11/9/2013,FCS,Robert Morris,Cent. Conn. St.,RECEIVING,Deontae,Howard,YDS,23
7432039,11/9/2013,FCS,Robert Morris,Cent. Conn. St.,RECEIVING,Deontae,Howard,TD,1
7432040,11/9/2013,FCS,Robert Morris,Cent. Conn. St.,RECEIVING,Deontae,Howard,LONG,12
7432041,11/9/2013,FCS,Robert Morris,Cent. Conn. St.,RECEIVING,Sean,Gavin,REC,1
7432042,11/9/2013,FCS,Robert Morris,Cent. Conn. St.,RECEIVING,Sean,Gavin,YDS,20
7432043,11/9/2013,FCS,Robert Morris,Cent. Conn. St.,RECEIVING,Sean,Gavin,TD,0
7432044,11/9/2013,FCS,Robert Morris,Cent. Conn. St.,RECEIVING,Sean,Gavin,LONG,20
7432045,11/9/2013,FCS,Robert Morris,Cent. Conn. St.,RECEIVING,Tyler,Digby,REC,1
7432046,11/9/2013,FCS,Robert Morris,Cent. Conn. St.,RECEIVING,Tyler,Digby,YDS,8
7432047,11/9/2013,FCS,Robert Morris,Cent. Conn. St.,RECEIVING,Tyler,Digby,TD,1
7432048,11/9/2013,FCS,Robert Morris,Cent. Conn. St.,RECEIVING,Tyler,Digby,LONG,8
7432049,11/9/2013,FCS,Robert Morris,Cent. Conn. St.,KICKING,Conner,Shennan,FG-FGA,2/2
7432050,11/9/2013,FCS,Robert Morris,Cent. Conn. St.,KICKING,Conner,Shennan,LONG,25
7432051,11/9/2013,FCS,Robert Morris,Cent. Conn. St.,KICKING,Conner,Shennan,XP,6
7432052,11/9/2013,FCS,Robert Morris,Cent. Conn. St.,KICKING,Conner,Shennan,PTS,12
7432053,11/9/2013,FCS,Robert Morris,Cent. Conn. St.,PUNTING,Tony,LaMancusa,NO,3
7432054,11/9/2013,FCS,Robert Morris,Cent. Conn. St.,PUNTING,Tony,LaMancusa,YDS,99
7432055,11/9/2013,FCS,Robert Morris,Cent. Conn. St.,PUNTING,Tony,LaMancusa,AVG,33.0
7432056,11/9/2013,FCS,Robert Morris,Cent. Conn. St.,PUNTING,Tony,LaMancusa,LONG,37
7432057,11/9/2013,FCS,Robert Morris,Cent. Conn. St.,PUNT RETURNS,Brian,Jones,NO,3
7432058,11/9/2013,FCS,Robert Morris,Cent. Conn. St.,PUNT RETURNS,Brian,Jones,YDS,33
7432059,11/9/2013,FCS,Robert Morris,Cent. Conn. St.,PUNT RETURNS,Brian,Jones,AVG,11.0
7432060,11/9/2013,FCS,Robert Morris,Cent. Conn. St.,PUNT RETURNS,Brian,Jones,LONG,14
7432061,11/9/2013,FCS,Robert Morris,Cent. Conn. St.,PUNT RETURNS,Antwan,Eddie,NO,2
7432062,11/9/2013,FCS,Robert Morris,Cent. Conn. St.,PUNT RETURNS,Antwan,Eddie,YDS,28
7432063,11/9/2013,FCS,Robert Morris,Cent. Conn. St.,PUNT RETURNS,Antwan,Eddie,AVG,14.0
7432064,11/9/2013,FCS,Robert Morris,Cent. Conn. St.,PUNT RETURNS,Antwan,Eddie,LONG,18
7432065,11/9/2013,FCS,Robert Morris,Cent. Conn. St.,KICK RETURNS,Warren,Fields,NO,2
7432066,11/9/2013,FCS,Robert Morris,Cent. Conn. St.,KICK RETURNS,Warren,Fields,YDS,29
7432067,11/9/2013,FCS,Robert Morris,Cent. Conn. St.,KICK RETURNS,Warren,Fields,AVG,14.5
7432068,11/9/2013,FCS,Robert Morris,Cent. Conn. St.,KICK RETURNS,Warren,Fields,LONG,21
7432069,11/9/2013,FCS,Robert Morris,Cent. Conn. St.,KICK RETURNS,T.J.,Matrascia,NO,1
7432070,11/9/2013,FCS,Robert Morris,Cent. Conn. St.,KICK RETURNS,T.J.,Matrascia,YDS,8
7432071,11/9/2013,FCS,Robert Morris,Cent. Conn. St.,KICK RETURNS,T.J.,Matrascia,AVG,8.0
7432072,11/9/2013,FCS,Robert Morris,Cent. Conn. St.,KICK RETURNS,T.J.,Matrascia,LONG,8
7432073,11/9/2013,FCS,Cent. Conn. St.,Robert Morris,RUSHING,Rob,Hollomon,ATT,26
7432074,11/9/2013,FCS,Cent. Conn. St.,Robert Morris,RUSHING,Rob,Hollomon,YDS,131
7432075,11/9/2013,FCS,Cent. Conn. St.,Robert Morris,RUSHING,Rob,Hollomon,TD,1
7432076,11/9/2013,FCS,Cent. Conn. St.,Robert Morris,RUSHING,Rob,Hollomon,LONG,27
7432077,11/9/2013,FCS,Cent. Conn. St.,Robert Morris,RUSHING,Darius,Lee,ATT,7
7432078,11/9/2013,FCS,Cent. Conn. St.,Robert Morris,RUSHING,Darius,Lee,YDS,89
7432079,11/9/2013,FCS,Cent. Conn. St.,Robert Morris,RUSHING,Darius,Lee,TD,1
7432080,11/9/2013,FCS,Cent. Conn. St.,Robert Morris,RUSHING,Darius,Lee,LONG,53
7432081,11/9/2013,FCS,Cent. Conn. St.,Robert Morris,RUSHING,Nick,SanGiacomo,ATT,3
7432082,11/9/2013,FCS,Cent. Conn. St.,Robert Morris,RUSHING,Nick,SanGiacomo,YDS,-10
7432083,11/9/2013,FCS,Cent. Conn. St.,Robert Morris,RUSHING,Nick,SanGiacomo,TD,0
7432084,11/9/2013,FCS,Cent. Conn. St.,Robert Morris,RUSHING,Nick,SanGiacomo,LONG,2
7432085,11/9/2013,FCS,Cent. Conn. St.,Robert Morris,PASSING,Nick,SanGiacomo,CP-ATT-INT,10-26-4
7432086,11/9/2013,FCS,Cent. Conn. St.,Robert Morris,PASSING,Nick,SanGiacomo,YDS,106
7432087,11/9/2013,FCS,Cent. Conn. St.,Robert Morris,PASSING,Nick,SanGiacomo,TD,1
7432088,11/9/2013,FCS,Cent. Conn. St.,Robert Morris,PASSING,Nick,SanGiacomo,LONG,23
7432089,11/9/2013,FCS,Cent. Conn. St.,Robert Morris,RECEIVING,Tyrell,Holmes,REC,5
7432090,11/9/2013,FCS,Cent. Conn. St.,Robert Morris,RECEIVING,Tyrell,Holmes,YDS,63
7432091,11/9/2013,FCS,Cent. Conn. St.,Robert Morris,RECEIVING,Tyrell,Holmes,TD,0
7432092,11/9/2013,FCS,Cent. Conn. St.,Robert Morris,RECEIVING,Tyrell,Holmes,LONG,23
7432093,11/9/2013,FCS,Cent. Conn. St.,Robert Morris,RECEIVING,Nick,Bacarella,REC,3
7432094,11/9/2013,FCS,Cent. Conn. St.,Robert Morris,RECEIVING,Nick,Bacarella,YDS,32
7432095,11/9/2013,FCS,Cent. Conn. St.,Robert Morris,RECEIVING,Nick,Bacarella,TD,1
7432096,11/9/2013,FCS,Cent. Conn. St.,Robert Morris,RECEIVING,Nick,Bacarella,LONG,18
7432097,11/9/2013,FCS,Cent. Conn. St.,Robert Morris,RECEIVING,Denzell,Jones,REC,2
7432098,11/9/2013,FCS,Cent. Conn. St.,Robert Morris,RECEIVING,Denzell,Jones,YDS,11
7432099,11/9/2013,FCS,Cent. Conn. St.,Robert Morris,RECEIVING,Denzell,Jones,TD,0
7432100,11/9/2013,FCS,Cent. Conn. St.,Robert Morris,RECEIVING,Denzell,Jones,LONG,6
7432101,11/9/2013,FCS,Cent. Conn. St.,Robert Morris,KICKING,Steven,Calitri,FG-FGA,0/0
7432102,11/9/2013,FCS,Cent. Conn. St.,Robert Morris,KICKING,Steven,Calitri,LONG,-
7432103,11/9/2013,FCS,Cent. Conn. St.,Robert Morris,KICKING,Steven,Calitri,XP,3
7432104,11/9/2013,FCS,Cent. Conn. St.,Robert Morris,KICKING,Steven,Calitri,PTS,3
7432105,11/9/2013,FCS,Cent. Conn. St.,Robert Morris,PUNTING,Joe,Carter,NO,6
7432106,11/9/2013,FCS,Cent. Conn. St.,Robert Morris,PUNTING,Joe,Carter,YDS,204
7432107,11/9/2013,FCS,Cent. Conn. St.,Robert Morris,PUNTING,Joe,Carter,AVG,34.0
7432108,11/9/2013,FCS,Cent. Conn. St.,Robert Morris,PUNTING,Joe,Carter,LONG,42
7432109,11/9/2013,FCS,Cent. Conn. St.,Robert Morris,PUNT RETURNS,Nick,Bacarella,NO,2
7432110,11/9/2013,FCS,Cent. Conn. St.,Robert Morris,PUNT RETURNS,Nick,Bacarella,YDS,4
7432111,11/9/2013,FCS,Cent. Conn. St.,Robert Morris,PUNT RETURNS,Nick,Bacarella,AVG,2.0
7432112,11/9/2013,FCS,Cent. Conn. St.,Robert Morris,PUNT RETURNS,Nick,Bacarella,LONG,3
7432113,11/9/2013,FCS,Cent. Conn. St.,Robert Morris,KICK RETURNS,Rob,Hollomon,NO,4
7432114,11/9/2013,FCS,Cent. Conn. St.,Robert Morris,KICK RETURNS,Rob,Hollomon,YDS,66
7432115,11/9/2013,FCS,Cent. Conn. St.,Robert Morris,KICK RETURNS,Rob,Hollomon,AVG,16.5
7432116,11/9/2013,FCS,Cent. Conn. St.,Robert Morris,KICK RETURNS,Rob,Hollomon,LONG,24
7432117,11/9/2013,FCS,Cent. Conn. St.,Robert Morris,KICK RETURNS,Nick,Bacarella,NO,2
7432118,11/9/2013,FCS,Cent. Conn. St.,Robert Morris,KICK RETURNS,Nick,Bacarella,YDS,36
7432119,11/9/2013,FCS,Cent. Conn. St.,Robert Morris,KICK RETURNS,Nick,Bacarella,AVG,18.0
7432120,11/9/2013,FCS,Cent. Conn. St.,Robert Morris,KICK RETURNS,Nick,Bacarella,LONG,18
7432121,11/9/2013,FCS,Cent. Conn. St.,Robert Morris,KICK RETURNS,Aaron,Berardino,NO,2
7432122,11/9/2013,FCS,Cent. Conn. St.,Robert Morris,KICK RETURNS,Aaron,Berardino,YDS,30
7432123,11/9/2013,FCS,Cent. Conn. St.,Robert Morris,KICK RETURNS,Aaron,Berardino,AVG,15.0
7432124,11/9/2013,FCS,Cent. Conn. St.,Robert Morris,KICK RETURNS,Aaron,Berardino,LONG,16
7432125,11/9/2013,FCS,Cent. Conn. St.,Robert Morris,KICK RETURNS,Scott,Benzing,NO,1
7432126,11/9/2013,FCS,Cent. Conn. St.,Robert Morris,KICK RETURNS,Scott,Benzing,YDS,9
7432127,11/9/2013,FCS,Cent. Conn. St.,Robert Morris,KICK RETURNS,Scott,Benzing,AVG,9.0
7432128,11/9/2013,FCS,Cent. Conn. St.,Robert Morris,KICK RETURNS,Scott,Benzing,LONG,9
