ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
7434001,11/9/2013,FCS,Samford,Furman,RUSHING,Fabian,Truss,ATT,18
7434002,11/9/2013,FCS,Samford,Furman,RUSHING,Fabian,Truss,YDS,117
7434003,11/9/2013,FCS,Samford,Furman,RUSHING,Fabian,Truss,TD,1
7434004,11/9/2013,FCS,Samford,Furman,RUSHING,Fabian,Truss,LONG,23
7434005,11/9/2013,FCS,Samford,Furman,RUSHING,Jeremiaha,Gates,ATT,2
7434006,11/9/2013,FCS,Samford,Furman,RUSHING,Jeremiaha,Gates,YDS,24
7434007,11/9/2013,FCS,Samford,Furman,RUSHING,Jeremiaha,Gates,TD,0
7434008,11/9/2013,FCS,Samford,Furman,RUSHING,Jeremiaha,Gates,LONG,15
7434009,11/9/2013,FCS,Samford,Furman,RUSHING,Greg,Peranich,ATT,1
7434010,11/9/2013,FCS,Samford,Furman,RUSHING,Greg,Peranich,YDS,19
7434011,11/9/2013,FCS,Samford,Furman,RUSHING,Greg,Peranich,TD,0
7434012,11/9/2013,FCS,Samford,Furman,RUSHING,Greg,Peranich,LONG,19
7434013,11/9/2013,FCS,Samford,Furman,RUSHING,D'Morrise,Bledsoe,ATT,7
7434014,11/9/2013,FCS,Samford,Furman,RUSHING,D'Morrise,Bledsoe,YDS,8
7434015,11/9/2013,FCS,Samford,Furman,RUSHING,D'Morrise,Bledsoe,TD,0
7434016,11/9/2013,FCS,Samford,Furman,RUSHING,D'Morrise,Bledsoe,LONG,10
7434017,11/9/2013,FCS,Samford,Furman,RUSHING,Kelsey,Pope,ATT,1
7434018,11/9/2013,FCS,Samford,Furman,RUSHING,Kelsey,Pope,YDS,8
7434019,11/9/2013,FCS,Samford,Furman,RUSHING,Kelsey,Pope,TD,0
7434020,11/9/2013,FCS,Samford,Furman,RUSHING,Kelsey,Pope,LONG,8
7434021,11/9/2013,FCS,Samford,Furman,RUSHING,Andy,Summerlin,ATT,3
7434022,11/9/2013,FCS,Samford,Furman,RUSHING,Andy,Summerlin,YDS,-17
7434023,11/9/2013,FCS,Samford,Furman,RUSHING,Andy,Summerlin,TD,0
7434024,11/9/2013,FCS,Samford,Furman,RUSHING,Andy,Summerlin,LONG,0
7434025,11/9/2013,FCS,Samford,Furman,PASSING,Andy,Summerlin,CP-ATT-INT,44-69-2
7434026,11/9/2013,FCS,Samford,Furman,PASSING,Andy,Summerlin,YDS,372
7434027,11/9/2013,FCS,Samford,Furman,PASSING,Andy,Summerlin,TD,0
7434028,11/9/2013,FCS,Samford,Furman,PASSING,Andy,Summerlin,LONG,48
7434029,11/9/2013,FCS,Samford,Furman,PASSING,,Team,CP-ATT-INT,0-1-0
7434030,11/9/2013,FCS,Samford,Furman,PASSING,,Team,YDS,0
7434031,11/9/2013,FCS,Samford,Furman,PASSING,,Team,TD,0
7434032,11/9/2013,FCS,Samford,Furman,PASSING,,Team,LONG,0
7434033,11/9/2013,FCS,Samford,Furman,RECEIVING,Kelsey,Pope,REC,11
7434034,11/9/2013,FCS,Samford,Furman,RECEIVING,Kelsey,Pope,YDS,51
7434035,11/9/2013,FCS,Samford,Furman,RECEIVING,Kelsey,Pope,TD,0
7434036,11/9/2013,FCS,Samford,Furman,RECEIVING,Kelsey,Pope,LONG,15
7434037,11/9/2013,FCS,Samford,Furman,RECEIVING,Karel,Hamilton,REC,7
7434038,11/9/2013,FCS,Samford,Furman,RECEIVING,Karel,Hamilton,YDS,101
7434039,11/9/2013,FCS,Samford,Furman,RECEIVING,Karel,Hamilton,TD,0
7434040,11/9/2013,FCS,Samford,Furman,RECEIVING,Karel,Hamilton,LONG,20
7434041,11/9/2013,FCS,Samford,Furman,RECEIVING,Fabian,Truss,REC,6
7434042,11/9/2013,FCS,Samford,Furman,RECEIVING,Fabian,Truss,YDS,21
7434043,11/9/2013,FCS,Samford,Furman,RECEIVING,Fabian,Truss,TD,0
7434044,11/9/2013,FCS,Samford,Furman,RECEIVING,Fabian,Truss,LONG,8
7434045,11/9/2013,FCS,Samford,Furman,RECEIVING,Chris,Cephus,REC,5
7434046,11/9/2013,FCS,Samford,Furman,RECEIVING,Chris,Cephus,YDS,108
7434047,11/9/2013,FCS,Samford,Furman,RECEIVING,Chris,Cephus,TD,0
7434048,11/9/2013,FCS,Samford,Furman,RECEIVING,Chris,Cephus,LONG,48
7434049,11/9/2013,FCS,Samford,Furman,RECEIVING,Jeremiaha,Gates,REC,5
7434050,11/9/2013,FCS,Samford,Furman,RECEIVING,Jeremiaha,Gates,YDS,24
7434051,11/9/2013,FCS,Samford,Furman,RECEIVING,Jeremiaha,Gates,TD,0
7434052,11/9/2013,FCS,Samford,Furman,RECEIVING,Jeremiaha,Gates,LONG,13
7434053,11/9/2013,FCS,Samford,Furman,RECEIVING,D'Morrise,Bledsoe,REC,3
7434054,11/9/2013,FCS,Samford,Furman,RECEIVING,D'Morrise,Bledsoe,YDS,15
7434055,11/9/2013,FCS,Samford,Furman,RECEIVING,D'Morrise,Bledsoe,TD,0
7434056,11/9/2013,FCS,Samford,Furman,RECEIVING,D'Morrise,Bledsoe,LONG,8
7434057,11/9/2013,FCS,Samford,Furman,RECEIVING,Emmanuel,Obajimi,REC,2
7434058,11/9/2013,FCS,Samford,Furman,RECEIVING,Emmanuel,Obajimi,YDS,13
7434059,11/9/2013,FCS,Samford,Furman,RECEIVING,Emmanuel,Obajimi,TD,0
7434060,11/9/2013,FCS,Samford,Furman,RECEIVING,Emmanuel,Obajimi,LONG,12
7434061,11/9/2013,FCS,Samford,Furman,RECEIVING,Zeke,Walters,REC,2
7434062,11/9/2013,FCS,Samford,Furman,RECEIVING,Zeke,Walters,YDS,3
7434063,11/9/2013,FCS,Samford,Furman,RECEIVING,Zeke,Walters,TD,0
7434064,11/9/2013,FCS,Samford,Furman,RECEIVING,Zeke,Walters,LONG,3
7434065,11/9/2013,FCS,Samford,Furman,RECEIVING,JaUan,Davis,REC,1
7434066,11/9/2013,FCS,Samford,Furman,RECEIVING,JaUan,Davis,YDS,20
7434067,11/9/2013,FCS,Samford,Furman,RECEIVING,JaUan,Davis,TD,0
7434068,11/9/2013,FCS,Samford,Furman,RECEIVING,JaUan,Davis,LONG,20
7434069,11/9/2013,FCS,Samford,Furman,RECEIVING,Kelvin,Clay,REC,1
7434070,11/9/2013,FCS,Samford,Furman,RECEIVING,Kelvin,Clay,YDS,9
7434071,11/9/2013,FCS,Samford,Furman,RECEIVING,Kelvin,Clay,TD,0
7434072,11/9/2013,FCS,Samford,Furman,RECEIVING,Kelvin,Clay,LONG,9
7434073,11/9/2013,FCS,Samford,Furman,RECEIVING,Gavin,Sinclair,REC,1
7434074,11/9/2013,FCS,Samford,Furman,RECEIVING,Gavin,Sinclair,YDS,7
7434075,11/9/2013,FCS,Samford,Furman,RECEIVING,Gavin,Sinclair,TD,0
7434076,11/9/2013,FCS,Samford,Furman,RECEIVING,Gavin,Sinclair,LONG,7
7434077,11/9/2013,FCS,Samford,Furman,KICKING,Warren,Handrahan,FG-FGA,3/5
7434078,11/9/2013,FCS,Samford,Furman,KICKING,Warren,Handrahan,LONG,41
7434079,11/9/2013,FCS,Samford,Furman,KICKING,Warren,Handrahan,XP,0
7434080,11/9/2013,FCS,Samford,Furman,KICKING,Warren,Handrahan,PTS,9
7434081,11/9/2013,FCS,Samford,Furman,PUNTING,Greg,Peranich,NO,3
7434082,11/9/2013,FCS,Samford,Furman,PUNTING,Greg,Peranich,YDS,123
7434083,11/9/2013,FCS,Samford,Furman,PUNTING,Greg,Peranich,AVG,41.0
7434084,11/9/2013,FCS,Samford,Furman,PUNTING,Greg,Peranich,LONG,44
7434085,11/9/2013,FCS,Samford,Furman,PUNT RETURNS,Fabian,Truss,NO,4
7434086,11/9/2013,FCS,Samford,Furman,PUNT RETURNS,Fabian,Truss,YDS,22
7434087,11/9/2013,FCS,Samford,Furman,PUNT RETURNS,Fabian,Truss,AVG,5.5
7434088,11/9/2013,FCS,Samford,Furman,PUNT RETURNS,Fabian,Truss,LONG,8
7434089,11/9/2013,FCS,Samford,Furman,KICK RETURNS,Fabian,Truss,NO,3
7434090,11/9/2013,FCS,Samford,Furman,KICK RETURNS,Fabian,Truss,YDS,133
7434091,11/9/2013,FCS,Samford,Furman,KICK RETURNS,Fabian,Truss,AVG,44.3
7434092,11/9/2013,FCS,Samford,Furman,KICK RETURNS,Fabian,Truss,LONG,76
7434093,11/9/2013,FCS,Furman,Samford,RUSHING,Hank,McCloud,ATT,15
7434094,11/9/2013,FCS,Furman,Samford,RUSHING,Hank,McCloud,YDS,70
7434095,11/9/2013,FCS,Furman,Samford,RUSHING,Hank,McCloud,TD,0
7434096,11/9/2013,FCS,Furman,Samford,RUSHING,Hank,McCloud,LONG,14
7434097,11/9/2013,FCS,Furman,Samford,RUSHING,Richard,Hayes,ATT,9
7434098,11/9/2013,FCS,Furman,Samford,RUSHING,Richard,Hayes,YDS,27
7434099,11/9/2013,FCS,Furman,Samford,RUSHING,Richard,Hayes,TD,1
7434100,11/9/2013,FCS,Furman,Samford,RUSHING,Richard,Hayes,LONG,8
7434101,11/9/2013,FCS,Furman,Samford,RUSHING,Marcus,Anderson,ATT,5
7434102,11/9/2013,FCS,Furman,Samford,RUSHING,Marcus,Anderson,YDS,16
7434103,11/9/2013,FCS,Furman,Samford,RUSHING,Marcus,Anderson,TD,1
7434104,11/9/2013,FCS,Furman,Samford,RUSHING,Marcus,Anderson,LONG,6
7434105,11/9/2013,FCS,Furman,Samford,RUSHING,Ernie,Cain,ATT,2
7434106,11/9/2013,FCS,Furman,Samford,RUSHING,Ernie,Cain,YDS,13
7434107,11/9/2013,FCS,Furman,Samford,RUSHING,Ernie,Cain,TD,0
7434108,11/9/2013,FCS,Furman,Samford,RUSHING,Ernie,Cain,LONG,11
7434109,11/9/2013,FCS,Furman,Samford,RUSHING,David,Dingess,ATT,1
7434110,11/9/2013,FCS,Furman,Samford,RUSHING,David,Dingess,YDS,0
7434111,11/9/2013,FCS,Furman,Samford,RUSHING,David,Dingess,TD,0
7434112,11/9/2013,FCS,Furman,Samford,RUSHING,David,Dingess,LONG,0
7434113,11/9/2013,FCS,Furman,Samford,RUSHING,Reese,Hannon,ATT,3
7434114,11/9/2013,FCS,Furman,Samford,RUSHING,Reese,Hannon,YDS,-9
7434115,11/9/2013,FCS,Furman,Samford,RUSHING,Reese,Hannon,TD,0
7434116,11/9/2013,FCS,Furman,Samford,RUSHING,Reese,Hannon,LONG,1
7434117,11/9/2013,FCS,Furman,Samford,PASSING,Reese,Hannon,CP-ATT-INT,10-14-0
7434118,11/9/2013,FCS,Furman,Samford,PASSING,Reese,Hannon,YDS,159
7434119,11/9/2013,FCS,Furman,Samford,PASSING,Reese,Hannon,TD,1
7434120,11/9/2013,FCS,Furman,Samford,PASSING,Reese,Hannon,LONG,85
7434121,11/9/2013,FCS,Furman,Samford,PASSING,Tanner,Skogen,CP-ATT-INT,1-1-0
7434122,11/9/2013,FCS,Furman,Samford,PASSING,Tanner,Skogen,YDS,46
7434123,11/9/2013,FCS,Furman,Samford,PASSING,Tanner,Skogen,TD,1
7434124,11/9/2013,FCS,Furman,Samford,PASSING,Tanner,Skogen,LONG,46
7434125,11/9/2013,FCS,Furman,Samford,PASSING,Richard,Hayes,CP-ATT-INT,1-1-0
7434126,11/9/2013,FCS,Furman,Samford,PASSING,Richard,Hayes,YDS,14
7434127,11/9/2013,FCS,Furman,Samford,PASSING,Richard,Hayes,TD,0
7434128,11/9/2013,FCS,Furman,Samford,PASSING,Richard,Hayes,LONG,14
7434129,11/9/2013,FCS,Furman,Samford,RECEIVING,Andrej,Suttles,REC,3
7434130,11/9/2013,FCS,Furman,Samford,RECEIVING,Andrej,Suttles,YDS,115
7434131,11/9/2013,FCS,Furman,Samford,RECEIVING,Andrej,Suttles,TD,1
7434132,11/9/2013,FCS,Furman,Samford,RECEIVING,Andrej,Suttles,LONG,85
7434133,11/9/2013,FCS,Furman,Samford,RECEIVING,Hank,McCloud,REC,3
7434134,11/9/2013,FCS,Furman,Samford,RECEIVING,Hank,McCloud,YDS,8
7434135,11/9/2013,FCS,Furman,Samford,RECEIVING,Hank,McCloud,TD,0
7434136,11/9/2013,FCS,Furman,Samford,RECEIVING,Hank,McCloud,LONG,6
7434137,11/9/2013,FCS,Furman,Samford,RECEIVING,Jordan,Snellings,REC,2
7434138,11/9/2013,FCS,Furman,Samford,RECEIVING,Jordan,Snellings,YDS,53
7434139,11/9/2013,FCS,Furman,Samford,RECEIVING,Jordan,Snellings,TD,1
7434140,11/9/2013,FCS,Furman,Samford,RECEIVING,Jordan,Snellings,LONG,46
7434141,11/9/2013,FCS,Furman,Samford,RECEIVING,David,Dingess,REC,2
7434142,11/9/2013,FCS,Furman,Samford,RECEIVING,David,Dingess,YDS,16
7434143,11/9/2013,FCS,Furman,Samford,RECEIVING,David,Dingess,TD,0
7434144,11/9/2013,FCS,Furman,Samford,RECEIVING,David,Dingess,LONG,9
7434145,11/9/2013,FCS,Furman,Samford,RECEIVING,Cameron,Mason,REC,1
7434146,11/9/2013,FCS,Furman,Samford,RECEIVING,Cameron,Mason,YDS,14
7434147,11/9/2013,FCS,Furman,Samford,RECEIVING,Cameron,Mason,TD,0
7434148,11/9/2013,FCS,Furman,Samford,RECEIVING,Cameron,Mason,LONG,14
