ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
6736001,8/29/2013,FCS,Sacramento St.,San Jose State,RUSHING,Ezekiel,Graham,ATT,18
6736002,8/29/2013,FCS,Sacramento St.,San Jose State,RUSHING,Ezekiel,Graham,YDS,49
6736003,8/29/2013,FCS,Sacramento St.,San Jose State,RUSHING,Ezekiel,Graham,TD,0
6736004,8/29/2013,FCS,Sacramento St.,San Jose State,RUSHING,Ezekiel,Graham,LONG,11
6736005,8/29/2013,FCS,Sacramento St.,San Jose State,RUSHING,Garrett,Safron,ATT,15
6736006,8/29/2013,FCS,Sacramento St.,San Jose State,RUSHING,Garrett,Safron,YDS,19
6736007,8/29/2013,FCS,Sacramento St.,San Jose State,RUSHING,Garrett,Safron,TD,0
6736008,8/29/2013,FCS,Sacramento St.,San Jose State,RUSHING,Garrett,Safron,LONG,7
6736009,8/29/2013,FCS,Sacramento St.,San Jose State,RUSHING,De'jon,Coleman,ATT,6
6736010,8/29/2013,FCS,Sacramento St.,San Jose State,RUSHING,De'jon,Coleman,YDS,18
6736011,8/29/2013,FCS,Sacramento St.,San Jose State,RUSHING,De'jon,Coleman,TD,0
6736012,8/29/2013,FCS,Sacramento St.,San Jose State,RUSHING,De'jon,Coleman,LONG,7
6736013,8/29/2013,FCS,Sacramento St.,San Jose State,PASSING,Garrett,Safron,CP-ATT-INT,23-40-2
6736014,8/29/2013,FCS,Sacramento St.,San Jose State,PASSING,Garrett,Safron,YDS,192
6736015,8/29/2013,FCS,Sacramento St.,San Jose State,PASSING,Garrett,Safron,TD,0
6736016,8/29/2013,FCS,Sacramento St.,San Jose State,PASSING,Garrett,Safron,LONG,16
6736017,8/29/2013,FCS,Sacramento St.,San Jose State,RECEIVING,Morris,Norrise,REC,4
6736018,8/29/2013,FCS,Sacramento St.,San Jose State,RECEIVING,Morris,Norrise,YDS,35
6736019,8/29/2013,FCS,Sacramento St.,San Jose State,RECEIVING,Morris,Norrise,TD,0
6736020,8/29/2013,FCS,Sacramento St.,San Jose State,RECEIVING,Morris,Norrise,LONG,11
6736021,8/29/2013,FCS,Sacramento St.,San Jose State,RECEIVING,Ezekiel,Graham,REC,4
6736022,8/29/2013,FCS,Sacramento St.,San Jose State,RECEIVING,Ezekiel,Graham,YDS,32
6736023,8/29/2013,FCS,Sacramento St.,San Jose State,RECEIVING,Ezekiel,Graham,TD,0
6736024,8/29/2013,FCS,Sacramento St.,San Jose State,RECEIVING,Ezekiel,Graham,LONG,14
6736025,8/29/2013,FCS,Sacramento St.,San Jose State,RECEIVING,Blake,Robertson,REC,4
6736026,8/29/2013,FCS,Sacramento St.,San Jose State,RECEIVING,Blake,Robertson,YDS,31
6736027,8/29/2013,FCS,Sacramento St.,San Jose State,RECEIVING,Blake,Robertson,TD,0
6736028,8/29/2013,FCS,Sacramento St.,San Jose State,RECEIVING,Blake,Robertson,LONG,10
6736029,8/29/2013,FCS,Sacramento St.,San Jose State,RECEIVING,Shane,Harrison,REC,3
6736030,8/29/2013,FCS,Sacramento St.,San Jose State,RECEIVING,Shane,Harrison,YDS,35
6736031,8/29/2013,FCS,Sacramento St.,San Jose State,RECEIVING,Shane,Harrison,TD,0
6736032,8/29/2013,FCS,Sacramento St.,San Jose State,RECEIVING,Shane,Harrison,LONG,16
6736033,8/29/2013,FCS,Sacramento St.,San Jose State,RECEIVING,DeAndre,Carter,REC,3
6736034,8/29/2013,FCS,Sacramento St.,San Jose State,RECEIVING,DeAndre,Carter,YDS,27
6736035,8/29/2013,FCS,Sacramento St.,San Jose State,RECEIVING,DeAndre,Carter,TD,0
6736036,8/29/2013,FCS,Sacramento St.,San Jose State,RECEIVING,DeAndre,Carter,LONG,14
6736037,8/29/2013,FCS,Sacramento St.,San Jose State,RECEIVING,DJ,Maciel,REC,2
6736038,8/29/2013,FCS,Sacramento St.,San Jose State,RECEIVING,DJ,Maciel,YDS,11
6736039,8/29/2013,FCS,Sacramento St.,San Jose State,RECEIVING,DJ,Maciel,TD,0
6736040,8/29/2013,FCS,Sacramento St.,San Jose State,RECEIVING,DJ,Maciel,LONG,7
6736041,8/29/2013,FCS,Sacramento St.,San Jose State,RECEIVING,Stone,Sander,REC,1
6736042,8/29/2013,FCS,Sacramento St.,San Jose State,RECEIVING,Stone,Sander,YDS,12
6736043,8/29/2013,FCS,Sacramento St.,San Jose State,RECEIVING,Stone,Sander,TD,0
6736044,8/29/2013,FCS,Sacramento St.,San Jose State,RECEIVING,Stone,Sander,LONG,12
6736045,8/29/2013,FCS,Sacramento St.,San Jose State,RECEIVING,Nnamdi,Agude,REC,1
6736046,8/29/2013,FCS,Sacramento St.,San Jose State,RECEIVING,Nnamdi,Agude,YDS,6
6736047,8/29/2013,FCS,Sacramento St.,San Jose State,RECEIVING,Nnamdi,Agude,TD,0
6736048,8/29/2013,FCS,Sacramento St.,San Jose State,RECEIVING,Nnamdi,Agude,LONG,6
6736049,8/29/2013,FCS,Sacramento St.,San Jose State,RECEIVING,De'jon,Coleman,REC,1
6736050,8/29/2013,FCS,Sacramento St.,San Jose State,RECEIVING,De'jon,Coleman,YDS,3
6736051,8/29/2013,FCS,Sacramento St.,San Jose State,RECEIVING,De'jon,Coleman,TD,0
6736052,8/29/2013,FCS,Sacramento St.,San Jose State,RECEIVING,De'jon,Coleman,LONG,3
6736053,8/29/2013,FCS,Sacramento St.,San Jose State,KICKING,Jesse,Aguilar,FG-FGA,0/2
6736054,8/29/2013,FCS,Sacramento St.,San Jose State,KICKING,Jesse,Aguilar,LONG,-
6736055,8/29/2013,FCS,Sacramento St.,San Jose State,KICKING,Jesse,Aguilar,XP,0
6736056,8/29/2013,FCS,Sacramento St.,San Jose State,KICKING,Jesse,Aguilar,PTS,0
6736057,8/29/2013,FCS,Sacramento St.,San Jose State,PUNTING,Justin,Weldon,NO,5
6736058,8/29/2013,FCS,Sacramento St.,San Jose State,PUNTING,Justin,Weldon,YDS,234
6736059,8/29/2013,FCS,Sacramento St.,San Jose State,PUNTING,Justin,Weldon,AVG,46.8
6736060,8/29/2013,FCS,Sacramento St.,San Jose State,PUNTING,Justin,Weldon,LONG,55
6736061,8/29/2013,FCS,Sacramento St.,San Jose State,PUNT RETURNS,Ezekiel,Graham,NO,1
6736062,8/29/2013,FCS,Sacramento St.,San Jose State,PUNT RETURNS,Ezekiel,Graham,YDS,10
6736063,8/29/2013,FCS,Sacramento St.,San Jose State,PUNT RETURNS,Ezekiel,Graham,AVG,10.0
6736064,8/29/2013,FCS,Sacramento St.,San Jose State,PUNT RETURNS,Ezekiel,Graham,LONG,10
6736065,8/29/2013,FCS,Sacramento St.,San Jose State,KICK RETURNS,Ezekiel,Graham,NO,2
6736066,8/29/2013,FCS,Sacramento St.,San Jose State,KICK RETURNS,Ezekiel,Graham,YDS,38
6736067,8/29/2013,FCS,Sacramento St.,San Jose State,KICK RETURNS,Ezekiel,Graham,AVG,19.0
6736068,8/29/2013,FCS,Sacramento St.,San Jose State,KICK RETURNS,Ezekiel,Graham,LONG,23
6736069,8/29/2013,FCS,San Jose State,Sacramento St.,RUSHING,Jason,Simpson,ATT,21
6736070,8/29/2013,FCS,San Jose State,Sacramento St.,RUSHING,Jason,Simpson,YDS,135
6736071,8/29/2013,FCS,San Jose State,Sacramento St.,RUSHING,Jason,Simpson,TD,1
6736072,8/29/2013,FCS,San Jose State,Sacramento St.,RUSHING,Jason,Simpson,LONG,55
6736073,8/29/2013,FCS,San Jose State,Sacramento St.,RUSHING,Chandler,Jones,ATT,1
6736074,8/29/2013,FCS,San Jose State,Sacramento St.,RUSHING,Chandler,Jones,YDS,6
6736075,8/29/2013,FCS,San Jose State,Sacramento St.,RUSHING,Chandler,Jones,TD,0
6736076,8/29/2013,FCS,San Jose State,Sacramento St.,RUSHING,Chandler,Jones,LONG,6
6736077,8/29/2013,FCS,San Jose State,Sacramento St.,RUSHING,Jarrod,Lawson,ATT,4
6736078,8/29/2013,FCS,San Jose State,Sacramento St.,RUSHING,Jarrod,Lawson,YDS,5
6736079,8/29/2013,FCS,San Jose State,Sacramento St.,RUSHING,Jarrod,Lawson,TD,0
6736080,8/29/2013,FCS,San Jose State,Sacramento St.,RUSHING,Jarrod,Lawson,LONG,3
6736081,8/29/2013,FCS,San Jose State,Sacramento St.,RUSHING,Tyler,Ervin,ATT,2
6736082,8/29/2013,FCS,San Jose State,Sacramento St.,RUSHING,Tyler,Ervin,YDS,2
6736083,8/29/2013,FCS,San Jose State,Sacramento St.,RUSHING,Tyler,Ervin,TD,0
6736084,8/29/2013,FCS,San Jose State,Sacramento St.,RUSHING,Tyler,Ervin,LONG,2
6736085,8/29/2013,FCS,San Jose State,Sacramento St.,RUSHING,David,Fales,ATT,1
6736086,8/29/2013,FCS,San Jose State,Sacramento St.,RUSHING,David,Fales,YDS,-6
6736087,8/29/2013,FCS,San Jose State,Sacramento St.,RUSHING,David,Fales,TD,0
6736088,8/29/2013,FCS,San Jose State,Sacramento St.,RUSHING,David,Fales,LONG,0
6736089,8/29/2013,FCS,San Jose State,Sacramento St.,PASSING,David,Fales,CP-ATT-INT,16-32-0
6736090,8/29/2013,FCS,San Jose State,Sacramento St.,PASSING,David,Fales,YDS,225
6736091,8/29/2013,FCS,San Jose State,Sacramento St.,PASSING,David,Fales,TD,2
6736092,8/29/2013,FCS,San Jose State,Sacramento St.,PASSING,David,Fales,LONG,46
