ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
6780001,8/31/2013,FCS,Holy Cross,Bryant,RUSHING,Gabe,Guild,ATT,8
6780002,8/31/2013,FCS,Holy Cross,Bryant,RUSHING,Gabe,Guild,YDS,12
6780003,8/31/2013,FCS,Holy Cross,Bryant,RUSHING,Gabe,Guild,TD,0
6780004,8/31/2013,FCS,Holy Cross,Bryant,RUSHING,Gabe,Guild,LONG,15
6780005,8/31/2013,FCS,Holy Cross,Bryant,RUSHING,Ryan,Laughlin,ATT,1
6780006,8/31/2013,FCS,Holy Cross,Bryant,RUSHING,Ryan,Laughlin,YDS,1
6780007,8/31/2013,FCS,Holy Cross,Bryant,RUSHING,Ryan,Laughlin,TD,0
6780008,8/31/2013,FCS,Holy Cross,Bryant,RUSHING,Ryan,Laughlin,LONG,1
6780009,8/31/2013,FCS,Holy Cross,Bryant,RUSHING,Elad,Covaliu,ATT,1
6780010,8/31/2013,FCS,Holy Cross,Bryant,RUSHING,Elad,Covaliu,YDS,-1
6780011,8/31/2013,FCS,Holy Cross,Bryant,RUSHING,Elad,Covaliu,TD,0
6780012,8/31/2013,FCS,Holy Cross,Bryant,RUSHING,Elad,Covaliu,LONG,0
6780013,8/31/2013,FCS,Holy Cross,Bryant,RUSHING,Steven,Elder,ATT,14
6780014,8/31/2013,FCS,Holy Cross,Bryant,RUSHING,Steven,Elder,YDS,-15
6780015,8/31/2013,FCS,Holy Cross,Bryant,RUSHING,Steven,Elder,TD,0
6780016,8/31/2013,FCS,Holy Cross,Bryant,RUSHING,Steven,Elder,LONG,8
6780017,8/31/2013,FCS,Holy Cross,Bryant,PASSING,Steven,Elder,CP-ATT-INT,23-41-3
6780018,8/31/2013,FCS,Holy Cross,Bryant,PASSING,Steven,Elder,YDS,309
6780019,8/31/2013,FCS,Holy Cross,Bryant,PASSING,Steven,Elder,TD,1
6780020,8/31/2013,FCS,Holy Cross,Bryant,PASSING,Steven,Elder,LONG,48
6780021,8/31/2013,FCS,Holy Cross,Bryant,RECEIVING,Gabe,Guild,REC,7
6780022,8/31/2013,FCS,Holy Cross,Bryant,RECEIVING,Gabe,Guild,YDS,98
6780023,8/31/2013,FCS,Holy Cross,Bryant,RECEIVING,Gabe,Guild,TD,0
6780024,8/31/2013,FCS,Holy Cross,Bryant,RECEIVING,Gabe,Guild,LONG,48
6780025,8/31/2013,FCS,Holy Cross,Bryant,RECEIVING,Nate,Stanley,REC,6
6780026,8/31/2013,FCS,Holy Cross,Bryant,RECEIVING,Nate,Stanley,YDS,75
6780027,8/31/2013,FCS,Holy Cross,Bryant,RECEIVING,Nate,Stanley,TD,0
6780028,8/31/2013,FCS,Holy Cross,Bryant,RECEIVING,Nate,Stanley,LONG,23
6780029,8/31/2013,FCS,Holy Cross,Bryant,RECEIVING,Tyler,Artim,REC,4
6780030,8/31/2013,FCS,Holy Cross,Bryant,RECEIVING,Tyler,Artim,YDS,71
6780031,8/31/2013,FCS,Holy Cross,Bryant,RECEIVING,Tyler,Artim,TD,1
6780032,8/31/2013,FCS,Holy Cross,Bryant,RECEIVING,Tyler,Artim,LONG,24
6780033,8/31/2013,FCS,Holy Cross,Bryant,RECEIVING,Mike,Fess,REC,4
6780034,8/31/2013,FCS,Holy Cross,Bryant,RECEIVING,Mike,Fess,YDS,48
6780035,8/31/2013,FCS,Holy Cross,Bryant,RECEIVING,Mike,Fess,TD,0
6780036,8/31/2013,FCS,Holy Cross,Bryant,RECEIVING,Mike,Fess,LONG,18
6780037,8/31/2013,FCS,Holy Cross,Bryant,RECEIVING,Jon,Smith,REC,2
6780038,8/31/2013,FCS,Holy Cross,Bryant,RECEIVING,Jon,Smith,YDS,17
6780039,8/31/2013,FCS,Holy Cross,Bryant,RECEIVING,Jon,Smith,TD,0
6780040,8/31/2013,FCS,Holy Cross,Bryant,RECEIVING,Jon,Smith,LONG,11
6780041,8/31/2013,FCS,Holy Cross,Bryant,KICKING,John,Macomber,FG-FGA,1/2
6780042,8/31/2013,FCS,Holy Cross,Bryant,KICKING,John,Macomber,LONG,28
6780043,8/31/2013,FCS,Holy Cross,Bryant,KICKING,John,Macomber,XP,1
6780044,8/31/2013,FCS,Holy Cross,Bryant,KICKING,John,Macomber,PTS,4
6780045,8/31/2013,FCS,Holy Cross,Bryant,PUNTING,John,Macomber,NO,6
6780046,8/31/2013,FCS,Holy Cross,Bryant,PUNTING,John,Macomber,YDS,268
6780047,8/31/2013,FCS,Holy Cross,Bryant,PUNTING,John,Macomber,AVG,44.7
6780048,8/31/2013,FCS,Holy Cross,Bryant,PUNTING,John,Macomber,LONG,54
6780049,8/31/2013,FCS,Holy Cross,Bryant,PUNT RETURNS,Kyle,Toulouse,NO,2
6780050,8/31/2013,FCS,Holy Cross,Bryant,PUNT RETURNS,Kyle,Toulouse,YDS,88
6780051,8/31/2013,FCS,Holy Cross,Bryant,PUNT RETURNS,Kyle,Toulouse,AVG,44.0
6780052,8/31/2013,FCS,Holy Cross,Bryant,PUNT RETURNS,Kyle,Toulouse,LONG,77
6780053,8/31/2013,FCS,Holy Cross,Bryant,PUNT RETURNS,Jake,Wieczorek,NO,2
6780054,8/31/2013,FCS,Holy Cross,Bryant,PUNT RETURNS,Jake,Wieczorek,YDS,23
6780055,8/31/2013,FCS,Holy Cross,Bryant,PUNT RETURNS,Jake,Wieczorek,AVG,11.5
6780056,8/31/2013,FCS,Holy Cross,Bryant,PUNT RETURNS,Jake,Wieczorek,LONG,14
6780057,8/31/2013,FCS,Holy Cross,Bryant,KICK RETURNS,Kyle,Toulouse,NO,2
6780058,8/31/2013,FCS,Holy Cross,Bryant,KICK RETURNS,Kyle,Toulouse,YDS,44
6780059,8/31/2013,FCS,Holy Cross,Bryant,KICK RETURNS,Kyle,Toulouse,AVG,22.0
6780060,8/31/2013,FCS,Holy Cross,Bryant,KICK RETURNS,Kyle,Toulouse,LONG,27
