ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
6813001,9/7/2013,FCS,Albany,Colgate,RUSHING,Omar,Osbourne,ATT,35
6813002,9/7/2013,FCS,Albany,Colgate,RUSHING,Omar,Osbourne,YDS,256
6813003,9/7/2013,FCS,Albany,Colgate,RUSHING,Omar,Osbourne,TD,2
6813004,9/7/2013,FCS,Albany,Colgate,RUSHING,Omar,Osbourne,LONG,36
6813005,9/7/2013,FCS,Albany,Colgate,RUSHING,Presley,Beauvais,ATT,6
6813006,9/7/2013,FCS,Albany,Colgate,RUSHING,Presley,Beauvais,YDS,59
6813007,9/7/2013,FCS,Albany,Colgate,RUSHING,Presley,Beauvais,TD,2
6813008,9/7/2013,FCS,Albany,Colgate,RUSHING,Presley,Beauvais,LONG,45
6813009,9/7/2013,FCS,Albany,Colgate,RUSHING,Jake,Meek,ATT,4
6813010,9/7/2013,FCS,Albany,Colgate,RUSHING,Jake,Meek,YDS,27
6813011,9/7/2013,FCS,Albany,Colgate,RUSHING,Jake,Meek,TD,0
6813012,9/7/2013,FCS,Albany,Colgate,RUSHING,Jake,Meek,LONG,13
6813013,9/7/2013,FCS,Albany,Colgate,RUSHING,,Team,ATT,1
6813014,9/7/2013,FCS,Albany,Colgate,RUSHING,,Team,YDS,0
6813015,9/7/2013,FCS,Albany,Colgate,RUSHING,,Team,TD,0
6813016,9/7/2013,FCS,Albany,Colgate,RUSHING,,Team,LONG,0
6813017,9/7/2013,FCS,Albany,Colgate,RUSHING,Will,Fiacchi,ATT,1
6813018,9/7/2013,FCS,Albany,Colgate,RUSHING,Will,Fiacchi,YDS,-4
6813019,9/7/2013,FCS,Albany,Colgate,RUSHING,Will,Fiacchi,TD,0
6813020,9/7/2013,FCS,Albany,Colgate,RUSHING,Will,Fiacchi,LONG,0
6813021,9/7/2013,FCS,Albany,Colgate,PASSING,Will,Fiacchi,CP-ATT-INT,13-24-1
6813022,9/7/2013,FCS,Albany,Colgate,PASSING,Will,Fiacchi,YDS,180
6813023,9/7/2013,FCS,Albany,Colgate,PASSING,Will,Fiacchi,TD,1
6813024,9/7/2013,FCS,Albany,Colgate,PASSING,Will,Fiacchi,LONG,51
6813025,9/7/2013,FCS,Albany,Colgate,RECEIVING,Kevin,Chillis,REC,5
6813026,9/7/2013,FCS,Albany,Colgate,RECEIVING,Kevin,Chillis,YDS,112
6813027,9/7/2013,FCS,Albany,Colgate,RECEIVING,Kevin,Chillis,TD,1
6813028,9/7/2013,FCS,Albany,Colgate,RECEIVING,Kevin,Chillis,LONG,51
6813029,9/7/2013,FCS,Albany,Colgate,RECEIVING,Cole,King,REC,3
6813030,9/7/2013,FCS,Albany,Colgate,RECEIVING,Cole,King,YDS,18
6813031,9/7/2013,FCS,Albany,Colgate,RECEIVING,Cole,King,TD,0
6813032,9/7/2013,FCS,Albany,Colgate,RECEIVING,Cole,King,LONG,7
6813033,9/7/2013,FCS,Albany,Colgate,RECEIVING,Brian,Parker,REC,2
6813034,9/7/2013,FCS,Albany,Colgate,RECEIVING,Brian,Parker,YDS,21
6813035,9/7/2013,FCS,Albany,Colgate,RECEIVING,Brian,Parker,TD,0
6813036,9/7/2013,FCS,Albany,Colgate,RECEIVING,Brian,Parker,LONG,13
6813037,9/7/2013,FCS,Albany,Colgate,RECEIVING,Presley,Beauvais,REC,1
6813038,9/7/2013,FCS,Albany,Colgate,RECEIVING,Presley,Beauvais,YDS,13
6813039,9/7/2013,FCS,Albany,Colgate,RECEIVING,Presley,Beauvais,TD,0
6813040,9/7/2013,FCS,Albany,Colgate,RECEIVING,Presley,Beauvais,LONG,13
6813041,9/7/2013,FCS,Albany,Colgate,RECEIVING,Malachi,Lawrence,REC,1
6813042,9/7/2013,FCS,Albany,Colgate,RECEIVING,Malachi,Lawrence,YDS,8
6813043,9/7/2013,FCS,Albany,Colgate,RECEIVING,Malachi,Lawrence,TD,0
6813044,9/7/2013,FCS,Albany,Colgate,RECEIVING,Malachi,Lawrence,LONG,8
6813045,9/7/2013,FCS,Albany,Colgate,RECEIVING,Omar,Osbourne,REC,1
6813046,9/7/2013,FCS,Albany,Colgate,RECEIVING,Omar,Osbourne,YDS,8
6813047,9/7/2013,FCS,Albany,Colgate,RECEIVING,Omar,Osbourne,TD,0
6813048,9/7/2013,FCS,Albany,Colgate,RECEIVING,Omar,Osbourne,LONG,8
6813049,9/7/2013,FCS,Albany,Colgate,KICKING,Tom,O'Riordan,FG-FGA,1/1
6813050,9/7/2013,FCS,Albany,Colgate,KICKING,Tom,O'Riordan,LONG,32
6813051,9/7/2013,FCS,Albany,Colgate,KICKING,Tom,O'Riordan,XP,4
6813052,9/7/2013,FCS,Albany,Colgate,KICKING,Tom,O'Riordan,PTS,7
