ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
6839001,9/7/2013,FCS,Morehead State,Youngstown St.,RUSHING,Rees,Macshara,ATT,14
6839002,9/7/2013,FCS,Morehead State,Youngstown St.,RUSHING,Rees,Macshara,YDS,37
6839003,9/7/2013,FCS,Morehead State,Youngstown St.,RUSHING,Rees,Macshara,TD,0
6839004,9/7/2013,FCS,Morehead State,Youngstown St.,RUSHING,Rees,Macshara,LONG,13
6839005,9/7/2013,FCS,Morehead State,Youngstown St.,RUSHING,Brandon,Reeves,ATT,4
6839006,9/7/2013,FCS,Morehead State,Youngstown St.,RUSHING,Brandon,Reeves,YDS,36
6839007,9/7/2013,FCS,Morehead State,Youngstown St.,RUSHING,Brandon,Reeves,TD,0
6839008,9/7/2013,FCS,Morehead State,Youngstown St.,RUSHING,Brandon,Reeves,LONG,17
6839009,9/7/2013,FCS,Morehead State,Youngstown St.,RUSHING,Austin,Gahafer,ATT,4
6839010,9/7/2013,FCS,Morehead State,Youngstown St.,RUSHING,Austin,Gahafer,YDS,32
6839011,9/7/2013,FCS,Morehead State,Youngstown St.,RUSHING,Austin,Gahafer,TD,1
6839012,9/7/2013,FCS,Morehead State,Youngstown St.,RUSHING,Austin,Gahafer,LONG,12
6839013,9/7/2013,FCS,Morehead State,Youngstown St.,RUSHING,Brandon,Bornhauser,ATT,2
6839014,9/7/2013,FCS,Morehead State,Youngstown St.,RUSHING,Brandon,Bornhauser,YDS,11
6839015,9/7/2013,FCS,Morehead State,Youngstown St.,RUSHING,Brandon,Bornhauser,TD,0
6839016,9/7/2013,FCS,Morehead State,Youngstown St.,RUSHING,Brandon,Bornhauser,LONG,7
6839017,9/7/2013,FCS,Morehead State,Youngstown St.,RUSHING,Rob,Harden,ATT,2
6839018,9/7/2013,FCS,Morehead State,Youngstown St.,RUSHING,Rob,Harden,YDS,9
6839019,9/7/2013,FCS,Morehead State,Youngstown St.,RUSHING,Rob,Harden,TD,0
6839020,9/7/2013,FCS,Morehead State,Youngstown St.,RUSHING,Rob,Harden,LONG,9
6839021,9/7/2013,FCS,Morehead State,Youngstown St.,RUSHING,Jake,Raymond,ATT,2
6839022,9/7/2013,FCS,Morehead State,Youngstown St.,RUSHING,Jake,Raymond,YDS,6
6839023,9/7/2013,FCS,Morehead State,Youngstown St.,RUSHING,Jake,Raymond,TD,0
6839024,9/7/2013,FCS,Morehead State,Youngstown St.,RUSHING,Jake,Raymond,LONG,3
6839025,9/7/2013,FCS,Morehead State,Youngstown St.,RUSHING,Boone,Goldsmith,ATT,1
6839026,9/7/2013,FCS,Morehead State,Youngstown St.,RUSHING,Boone,Goldsmith,YDS,0
6839027,9/7/2013,FCS,Morehead State,Youngstown St.,RUSHING,Boone,Goldsmith,TD,0
6839028,9/7/2013,FCS,Morehead State,Youngstown St.,RUSHING,Boone,Goldsmith,LONG,0
6839029,9/7/2013,FCS,Morehead State,Youngstown St.,RUSHING,Logan,Johnson,ATT,2
6839030,9/7/2013,FCS,Morehead State,Youngstown St.,RUSHING,Logan,Johnson,YDS,-8
6839031,9/7/2013,FCS,Morehead State,Youngstown St.,RUSHING,Logan,Johnson,TD,0
6839032,9/7/2013,FCS,Morehead State,Youngstown St.,RUSHING,Logan,Johnson,LONG,0
6839033,9/7/2013,FCS,Morehead State,Youngstown St.,PASSING,Austin,Gahafer,CP-ATT-INT,16-23-1
6839034,9/7/2013,FCS,Morehead State,Youngstown St.,PASSING,Austin,Gahafer,YDS,148
6839035,9/7/2013,FCS,Morehead State,Youngstown St.,PASSING,Austin,Gahafer,TD,1
6839036,9/7/2013,FCS,Morehead State,Youngstown St.,PASSING,Austin,Gahafer,LONG,31
6839037,9/7/2013,FCS,Morehead State,Youngstown St.,PASSING,Logan,Johnson,CP-ATT-INT,4-8-0
6839038,9/7/2013,FCS,Morehead State,Youngstown St.,PASSING,Logan,Johnson,YDS,20
6839039,9/7/2013,FCS,Morehead State,Youngstown St.,PASSING,Logan,Johnson,TD,0
6839040,9/7/2013,FCS,Morehead State,Youngstown St.,PASSING,Logan,Johnson,LONG,9
6839041,9/7/2013,FCS,Morehead State,Youngstown St.,PASSING,Boone,Goldsmith,CP-ATT-INT,0-1-0
6839042,9/7/2013,FCS,Morehead State,Youngstown St.,PASSING,Boone,Goldsmith,YDS,0
6839043,9/7/2013,FCS,Morehead State,Youngstown St.,PASSING,Boone,Goldsmith,TD,0
6839044,9/7/2013,FCS,Morehead State,Youngstown St.,PASSING,Boone,Goldsmith,LONG,0
