ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
6860001,9/7/2013,FCS,Southern Univ.,N'western St.,RUSHING,Darrius,Coleman,ATT,19
6860002,9/7/2013,FCS,Southern Univ.,N'western St.,RUSHING,Darrius,Coleman,YDS,44
6860003,9/7/2013,FCS,Southern Univ.,N'western St.,RUSHING,Darrius,Coleman,TD,0
6860004,9/7/2013,FCS,Southern Univ.,N'western St.,RUSHING,Darrius,Coleman,LONG,7
6860005,9/7/2013,FCS,Southern Univ.,N'western St.,RUSHING,Kylum,Favorite,ATT,5
6860006,9/7/2013,FCS,Southern Univ.,N'western St.,RUSHING,Kylum,Favorite,YDS,18
6860007,9/7/2013,FCS,Southern Univ.,N'western St.,RUSHING,Kylum,Favorite,TD,0
6860008,9/7/2013,FCS,Southern Univ.,N'western St.,RUSHING,Kylum,Favorite,LONG,6
6860009,9/7/2013,FCS,Southern Univ.,N'western St.,RUSHING,LonDres,Johnson,ATT,1
6860010,9/7/2013,FCS,Southern Univ.,N'western St.,RUSHING,LonDres,Johnson,YDS,7
6860011,9/7/2013,FCS,Southern Univ.,N'western St.,RUSHING,LonDres,Johnson,TD,0
6860012,9/7/2013,FCS,Southern Univ.,N'western St.,RUSHING,LonDres,Johnson,LONG,7
6860013,9/7/2013,FCS,Southern Univ.,N'western St.,RUSHING,Dray,Joseph,ATT,10
6860014,9/7/2013,FCS,Southern Univ.,N'western St.,RUSHING,Dray,Joseph,YDS,-8
6860015,9/7/2013,FCS,Southern Univ.,N'western St.,RUSHING,Dray,Joseph,TD,0
6860016,9/7/2013,FCS,Southern Univ.,N'western St.,RUSHING,Dray,Joseph,LONG,8
6860017,9/7/2013,FCS,Southern Univ.,N'western St.,PASSING,Dray,Joseph,CP-ATT-INT,19-28-0
6860018,9/7/2013,FCS,Southern Univ.,N'western St.,PASSING,Dray,Joseph,YDS,187
6860019,9/7/2013,FCS,Southern Univ.,N'western St.,PASSING,Dray,Joseph,TD,1
6860020,9/7/2013,FCS,Southern Univ.,N'western St.,PASSING,Dray,Joseph,LONG,44
6860021,9/7/2013,FCS,Southern Univ.,N'western St.,PASSING,Wynton,Perro,CP-ATT-INT,0-1-0
6860022,9/7/2013,FCS,Southern Univ.,N'western St.,PASSING,Wynton,Perro,YDS,0
6860023,9/7/2013,FCS,Southern Univ.,N'western St.,PASSING,Wynton,Perro,TD,0
6860024,9/7/2013,FCS,Southern Univ.,N'western St.,PASSING,Wynton,Perro,LONG,0
6860025,9/7/2013,FCS,Southern Univ.,N'western St.,RECEIVING,Lee,Doss,REC,7
6860026,9/7/2013,FCS,Southern Univ.,N'western St.,RECEIVING,Lee,Doss,YDS,99
6860027,9/7/2013,FCS,Southern Univ.,N'western St.,RECEIVING,Lee,Doss,TD,0
6860028,9/7/2013,FCS,Southern Univ.,N'western St.,RECEIVING,Lee,Doss,LONG,44
6860029,9/7/2013,FCS,Southern Univ.,N'western St.,RECEIVING,Willie,Quinn,REC,4
6860030,9/7/2013,FCS,Southern Univ.,N'western St.,RECEIVING,Willie,Quinn,YDS,34
6860031,9/7/2013,FCS,Southern Univ.,N'western St.,RECEIVING,Willie,Quinn,TD,1
6860032,9/7/2013,FCS,Southern Univ.,N'western St.,RECEIVING,Willie,Quinn,LONG,11
6860033,9/7/2013,FCS,Southern Univ.,N'western St.,RECEIVING,Samuel,Altman,REC,3
6860034,9/7/2013,FCS,Southern Univ.,N'western St.,RECEIVING,Samuel,Altman,YDS,20
6860035,9/7/2013,FCS,Southern Univ.,N'western St.,RECEIVING,Samuel,Altman,TD,0
6860036,9/7/2013,FCS,Southern Univ.,N'western St.,RECEIVING,Samuel,Altman,LONG,8
6860037,9/7/2013,FCS,Southern Univ.,N'western St.,RECEIVING,Rashaun,Allen,REC,3
6860038,9/7/2013,FCS,Southern Univ.,N'western St.,RECEIVING,Rashaun,Allen,YDS,14
6860039,9/7/2013,FCS,Southern Univ.,N'western St.,RECEIVING,Rashaun,Allen,TD,0
6860040,9/7/2013,FCS,Southern Univ.,N'western St.,RECEIVING,Rashaun,Allen,LONG,6
6860041,9/7/2013,FCS,Southern Univ.,N'western St.,RECEIVING,Nico,Talbert,REC,2
6860042,9/7/2013,FCS,Southern Univ.,N'western St.,RECEIVING,Nico,Talbert,YDS,20
6860043,9/7/2013,FCS,Southern Univ.,N'western St.,RECEIVING,Nico,Talbert,TD,0
6860044,9/7/2013,FCS,Southern Univ.,N'western St.,RECEIVING,Nico,Talbert,LONG,13
6860045,9/7/2013,FCS,Southern Univ.,N'western St.,KICKING,Greg,Pittman,FG-FGA,0/0
6860046,9/7/2013,FCS,Southern Univ.,N'western St.,KICKING,Greg,Pittman,LONG,-
6860047,9/7/2013,FCS,Southern Univ.,N'western St.,KICKING,Greg,Pittman,XP,2
6860048,9/7/2013,FCS,Southern Univ.,N'western St.,KICKING,Greg,Pittman,PTS,2
6860049,9/7/2013,FCS,Southern Univ.,N'western St.,PUNTING,Paul,RandallSoden,NO,9
6860050,9/7/2013,FCS,Southern Univ.,N'western St.,PUNTING,Paul,RandallSoden,YDS,249
6860051,9/7/2013,FCS,Southern Univ.,N'western St.,PUNTING,Paul,RandallSoden,AVG,27.7
6860052,9/7/2013,FCS,Southern Univ.,N'western St.,PUNTING,Paul,RandallSoden,LONG,44
6860053,9/7/2013,FCS,Southern Univ.,N'western St.,PUNT RETURNS,Virgil,Williams,NO,1
6860054,9/7/2013,FCS,Southern Univ.,N'western St.,PUNT RETURNS,Virgil,Williams,YDS,3
6860055,9/7/2013,FCS,Southern Univ.,N'western St.,PUNT RETURNS,Virgil,Williams,AVG,3.0
6860056,9/7/2013,FCS,Southern Univ.,N'western St.,PUNT RETURNS,Virgil,Williams,LONG,3
6860057,9/7/2013,FCS,Southern Univ.,N'western St.,KICK RETURNS,Willie,Quinn,NO,4
6860058,9/7/2013,FCS,Southern Univ.,N'western St.,KICK RETURNS,Willie,Quinn,YDS,154
6860059,9/7/2013,FCS,Southern Univ.,N'western St.,KICK RETURNS,Willie,Quinn,AVG,38.5
6860060,9/7/2013,FCS,Southern Univ.,N'western St.,KICK RETURNS,Willie,Quinn,LONG,98
6860061,9/7/2013,FCS,Southern Univ.,N'western St.,KICK RETURNS,Virgil,Williams,NO,1
6860062,9/7/2013,FCS,Southern Univ.,N'western St.,KICK RETURNS,Virgil,Williams,YDS,11
6860063,9/7/2013,FCS,Southern Univ.,N'western St.,KICK RETURNS,Virgil,Williams,AVG,11.0
6860064,9/7/2013,FCS,Southern Univ.,N'western St.,KICK RETURNS,Virgil,Williams,LONG,11
6860065,9/7/2013,FCS,Southern Univ.,N'western St.,KICK RETURNS,Mike,Jones,NO,1
6860066,9/7/2013,FCS,Southern Univ.,N'western St.,KICK RETURNS,Mike,Jones,YDS,8
6860067,9/7/2013,FCS,Southern Univ.,N'western St.,KICK RETURNS,Mike,Jones,AVG,8.0
6860068,9/7/2013,FCS,Southern Univ.,N'western St.,KICK RETURNS,Mike,Jones,LONG,8
