ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
8048001,10/11/2014,FCS,Cornell,Harvard,RUSHING,Luke,Hagy,ATT,15
8048002,10/11/2014,FCS,Cornell,Harvard,RUSHING,Luke,Hagy,YDS,28
8048003,10/11/2014,FCS,Cornell,Harvard,RUSHING,Luke,Hagy,TD,0
8048004,10/11/2014,FCS,Cornell,Harvard,RUSHING,Luke,Hagy,LONG,11
8048005,10/11/2014,FCS,Cornell,Harvard,RUSHING,Demetrius,Daltirus,ATT,7
8048006,10/11/2014,FCS,Cornell,Harvard,RUSHING,Demetrius,Daltirus,YDS,7
8048007,10/11/2014,FCS,Cornell,Harvard,RUSHING,Demetrius,Daltirus,TD,0
8048008,10/11/2014,FCS,Cornell,Harvard,RUSHING,Demetrius,Daltirus,LONG,5
8048009,10/11/2014,FCS,Cornell,Harvard,RUSHING,Josh,Sweet,ATT,2
8048010,10/11/2014,FCS,Cornell,Harvard,RUSHING,Josh,Sweet,YDS,5
8048011,10/11/2014,FCS,Cornell,Harvard,RUSHING,Josh,Sweet,TD,0
8048012,10/11/2014,FCS,Cornell,Harvard,RUSHING,Josh,Sweet,LONG,3
8048013,10/11/2014,FCS,Cornell,Harvard,RUSHING,Jake,Jatis,ATT,10
8048014,10/11/2014,FCS,Cornell,Harvard,RUSHING,Jake,Jatis,YDS,-5
8048015,10/11/2014,FCS,Cornell,Harvard,RUSHING,Jake,Jatis,TD,0
8048016,10/11/2014,FCS,Cornell,Harvard,RUSHING,Jake,Jatis,LONG,6
8048017,10/11/2014,FCS,Cornell,Harvard,PASSING,Jake,Jatis,CP-ATT-INT,14-22-1
8048018,10/11/2014,FCS,Cornell,Harvard,PASSING,Jake,Jatis,YDS,140
8048019,10/11/2014,FCS,Cornell,Harvard,PASSING,Jake,Jatis,TD,1
8048020,10/11/2014,FCS,Cornell,Harvard,PASSING,Jake,Jatis,LONG,26
8048021,10/11/2014,FCS,Cornell,Harvard,RECEIVING,Lucas,Shapiro,REC,3
8048022,10/11/2014,FCS,Cornell,Harvard,RECEIVING,Lucas,Shapiro,YDS,32
8048023,10/11/2014,FCS,Cornell,Harvard,RECEIVING,Lucas,Shapiro,TD,0
8048024,10/11/2014,FCS,Cornell,Harvard,RECEIVING,Lucas,Shapiro,LONG,15
8048025,10/11/2014,FCS,Cornell,Harvard,RECEIVING,Collin,Shaw,REC,2
8048026,10/11/2014,FCS,Cornell,Harvard,RECEIVING,Collin,Shaw,YDS,26
8048027,10/11/2014,FCS,Cornell,Harvard,RECEIVING,Collin,Shaw,TD,1
8048028,10/11/2014,FCS,Cornell,Harvard,RECEIVING,Collin,Shaw,LONG,26
8048029,10/11/2014,FCS,Cornell,Harvard,RECEIVING,Marshall,Deutz,REC,2
8048030,10/11/2014,FCS,Cornell,Harvard,RECEIVING,Marshall,Deutz,YDS,21
8048031,10/11/2014,FCS,Cornell,Harvard,RECEIVING,Marshall,Deutz,TD,0
8048032,10/11/2014,FCS,Cornell,Harvard,RECEIVING,Marshall,Deutz,LONG,20
8048033,10/11/2014,FCS,Cornell,Harvard,RECEIVING,Matt,Sullivan,REC,3
8048034,10/11/2014,FCS,Cornell,Harvard,RECEIVING,Matt,Sullivan,YDS,17
8048035,10/11/2014,FCS,Cornell,Harvard,RECEIVING,Matt,Sullivan,TD,0
8048036,10/11/2014,FCS,Cornell,Harvard,RECEIVING,Matt,Sullivan,LONG,9
8048037,10/11/2014,FCS,Cornell,Harvard,RECEIVING,Luke,Hagy,REC,1
8048038,10/11/2014,FCS,Cornell,Harvard,RECEIVING,Luke,Hagy,YDS,15
8048039,10/11/2014,FCS,Cornell,Harvard,RECEIVING,Luke,Hagy,TD,0
8048040,10/11/2014,FCS,Cornell,Harvard,RECEIVING,Luke,Hagy,LONG,15
8048041,10/11/2014,FCS,Cornell,Harvard,RECEIVING,Nick,Bland,REC,1
8048042,10/11/2014,FCS,Cornell,Harvard,RECEIVING,Nick,Bland,YDS,13
8048043,10/11/2014,FCS,Cornell,Harvard,RECEIVING,Nick,Bland,TD,0
