ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
8038001,10/11/2014,FCS,Wofford,Western Caro.,RUSHING,Ray,Smith,ATT,8
8038002,10/11/2014,FCS,Wofford,Western Caro.,RUSHING,Ray,Smith,YDS,63
8038003,10/11/2014,FCS,Wofford,Western Caro.,RUSHING,Ray,Smith,TD,0
8038004,10/11/2014,FCS,Wofford,Western Caro.,RUSHING,Ray,Smith,LONG,23
8038005,10/11/2014,FCS,Wofford,Western Caro.,RUSHING,Evan,Jacks,ATT,13
8038006,10/11/2014,FCS,Wofford,Western Caro.,RUSHING,Evan,Jacks,YDS,59
8038007,10/11/2014,FCS,Wofford,Western Caro.,RUSHING,Evan,Jacks,TD,1
8038008,10/11/2014,FCS,Wofford,Western Caro.,RUSHING,Evan,Jacks,LONG,13
8038009,10/11/2014,FCS,Wofford,Western Caro.,RUSHING,Cam,Flowers,ATT,6
8038010,10/11/2014,FCS,Wofford,Western Caro.,RUSHING,Cam,Flowers,YDS,53
8038011,10/11/2014,FCS,Wofford,Western Caro.,RUSHING,Cam,Flowers,TD,1
8038012,10/11/2014,FCS,Wofford,Western Caro.,RUSHING,Cam,Flowers,LONG,33
8038013,10/11/2014,FCS,Wofford,Western Caro.,RUSHING,Lorenzo,Long,ATT,10
8038014,10/11/2014,FCS,Wofford,Western Caro.,RUSHING,Lorenzo,Long,YDS,35
8038015,10/11/2014,FCS,Wofford,Western Caro.,RUSHING,Lorenzo,Long,TD,0
8038016,10/11/2014,FCS,Wofford,Western Caro.,RUSHING,Lorenzo,Long,LONG,8
8038017,10/11/2014,FCS,Wofford,Western Caro.,RUSHING,Will,Gay,ATT,5
8038018,10/11/2014,FCS,Wofford,Western Caro.,RUSHING,Will,Gay,YDS,24
8038019,10/11/2014,FCS,Wofford,Western Caro.,RUSHING,Will,Gay,TD,0
8038020,10/11/2014,FCS,Wofford,Western Caro.,RUSHING,Will,Gay,LONG,12
8038021,10/11/2014,FCS,Wofford,Western Caro.,RUSHING,Octavius,Harden,ATT,1
8038022,10/11/2014,FCS,Wofford,Western Caro.,RUSHING,Octavius,Harden,YDS,14
8038023,10/11/2014,FCS,Wofford,Western Caro.,RUSHING,Octavius,Harden,TD,0
8038024,10/11/2014,FCS,Wofford,Western Caro.,RUSHING,Octavius,Harden,LONG,14
8038025,10/11/2014,FCS,Wofford,Western Caro.,RUSHING,Nick,Colvin,ATT,2
