ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
8066001,10/18/2014,FCS,Holy Cross,Dartmouth,RUSHING,Peter,Pujals,ATT,19
8066002,10/18/2014,FCS,Holy Cross,Dartmouth,RUSHING,Peter,Pujals,YDS,82
8066003,10/18/2014,FCS,Holy Cross,Dartmouth,RUSHING,Peter,Pujals,TD,0
8066004,10/18/2014,FCS,Holy Cross,Dartmouth,RUSHING,Peter,Pujals,LONG,13
8066005,10/18/2014,FCS,Holy Cross,Dartmouth,RUSHING,Gabe,Guild,ATT,14
8066006,10/18/2014,FCS,Holy Cross,Dartmouth,RUSHING,Gabe,Guild,YDS,73
8066007,10/18/2014,FCS,Holy Cross,Dartmouth,RUSHING,Gabe,Guild,TD,0
8066008,10/18/2014,FCS,Holy Cross,Dartmouth,RUSHING,Gabe,Guild,LONG,13
8066009,10/18/2014,FCS,Holy Cross,Dartmouth,RUSHING,Diquan,Walker,ATT,6
8066010,10/18/2014,FCS,Holy Cross,Dartmouth,RUSHING,Diquan,Walker,YDS,24
8066011,10/18/2014,FCS,Holy Cross,Dartmouth,RUSHING,Diquan,Walker,TD,0
8066012,10/18/2014,FCS,Holy Cross,Dartmouth,RUSHING,Diquan,Walker,LONG,7
8066013,10/18/2014,FCS,Holy Cross,Dartmouth,RUSHING,Shane,Taylor,ATT,2
8066014,10/18/2014,FCS,Holy Cross,Dartmouth,RUSHING,Shane,Taylor,YDS,8
8066015,10/18/2014,FCS,Holy Cross,Dartmouth,RUSHING,Shane,Taylor,TD,1
8066016,10/18/2014,FCS,Holy Cross,Dartmouth,RUSHING,Shane,Taylor,LONG,4
8066017,10/18/2014,FCS,Holy Cross,Dartmouth,PASSING,Peter,Pujals,CP-ATT-INT,24-38-2
8066018,10/18/2014,FCS,Holy Cross,Dartmouth,PASSING,Peter,Pujals,YDS,208
8066019,10/18/2014,FCS,Holy Cross,Dartmouth,PASSING,Peter,Pujals,TD,1
8066020,10/18/2014,FCS,Holy Cross,Dartmouth,PASSING,Peter,Pujals,LONG,25
8066021,10/18/2014,FCS,Holy Cross,Dartmouth,RECEIVING,Tyler,Artim,REC,8
8066022,10/18/2014,FCS,Holy Cross,Dartmouth,RECEIVING,Tyler,Artim,YDS,88
8066023,10/18/2014,FCS,Holy Cross,Dartmouth,RECEIVING,Tyler,Artim,TD,0
8066024,10/18/2014,FCS,Holy Cross,Dartmouth,RECEIVING,Tyler,Artim,LONG,25
8066025,10/18/2014,FCS,Holy Cross,Dartmouth,RECEIVING,Darrius,Lacy,REC,2
8066026,10/18/2014,FCS,Holy Cross,Dartmouth,RECEIVING,Darrius,Lacy,YDS,28
8066027,10/18/2014,FCS,Holy Cross,Dartmouth,RECEIVING,Darrius,Lacy,TD,0
8066028,10/18/2014,FCS,Holy Cross,Dartmouth,RECEIVING,Darrius,Lacy,LONG,16
8066029,10/18/2014,FCS,Holy Cross,Dartmouth,RECEIVING,Diquan,Walker,REC,3
8066030,10/18/2014,FCS,Holy Cross,Dartmouth,RECEIVING,Diquan,Walker,YDS,23
8066031,10/18/2014,FCS,Holy Cross,Dartmouth,RECEIVING,Diquan,Walker,TD,0
8066032,10/18/2014,FCS,Holy Cross,Dartmouth,RECEIVING,Diquan,Walker,LONG,12
8066033,10/18/2014,FCS,Holy Cross,Dartmouth,RECEIVING,Lucas,Nikolaisen,REC,3
8066034,10/18/2014,FCS,Holy Cross,Dartmouth,RECEIVING,Lucas,Nikolaisen,YDS,18
8066035,10/18/2014,FCS,Holy Cross,Dartmouth,RECEIVING,Lucas,Nikolaisen,TD,0
8066036,10/18/2014,FCS,Holy Cross,Dartmouth,RECEIVING,Lucas,Nikolaisen,LONG,9
8066037,10/18/2014,FCS,Holy Cross,Dartmouth,RECEIVING,Kalif,Raymond,REC,3
8066038,10/18/2014,FCS,Holy Cross,Dartmouth,RECEIVING,Kalif,Raymond,YDS,13
8066039,10/18/2014,FCS,Holy Cross,Dartmouth,RECEIVING,Kalif,Raymond,TD,0
8066040,10/18/2014,FCS,Holy Cross,Dartmouth,RECEIVING,Kalif,Raymond,LONG,8
