ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
8123001,10/25/2014,FCS,Portland State,Weber State,RUSHING,Steven,Long,ATT,21
8123002,10/25/2014,FCS,Portland State,Weber State,RUSHING,Steven,Long,YDS,118
8123003,10/25/2014,FCS,Portland State,Weber State,RUSHING,Steven,Long,TD,0
8123004,10/25/2014,FCS,Portland State,Weber State,RUSHING,Steven,Long,LONG,17
8123005,10/25/2014,FCS,Portland State,Weber State,RUSHING,Kieran,McDonagh,ATT,17
8123006,10/25/2014,FCS,Portland State,Weber State,RUSHING,Kieran,McDonagh,YDS,62
8123007,10/25/2014,FCS,Portland State,Weber State,RUSHING,Kieran,McDonagh,TD,1
8123008,10/25/2014,FCS,Portland State,Weber State,RUSHING,Kieran,McDonagh,LONG,14
8123009,10/25/2014,FCS,Portland State,Weber State,RUSHING,Shaq,Richard,ATT,9
8123010,10/25/2014,FCS,Portland State,Weber State,RUSHING,Shaq,Richard,YDS,54
8123011,10/25/2014,FCS,Portland State,Weber State,RUSHING,Shaq,Richard,TD,0
8123012,10/25/2014,FCS,Portland State,Weber State,RUSHING,Shaq,Richard,LONG,18
8123013,10/25/2014,FCS,Portland State,Weber State,RUSHING,Kasey,Closs,ATT,4
8123014,10/25/2014,FCS,Portland State,Weber State,RUSHING,Kasey,Closs,YDS,25
8123015,10/25/2014,FCS,Portland State,Weber State,RUSHING,Kasey,Closs,TD,0
8123016,10/25/2014,FCS,Portland State,Weber State,RUSHING,Kasey,Closs,LONG,8
8123017,10/25/2014,FCS,Portland State,Weber State,RUSHING,Alex,Toureen,ATT,4
8123018,10/25/2014,FCS,Portland State,Weber State,RUSHING,Alex,Toureen,YDS,19
8123019,10/25/2014,FCS,Portland State,Weber State,RUSHING,Alex,Toureen,TD,0
8123020,10/25/2014,FCS,Portland State,Weber State,RUSHING,Alex,Toureen,LONG,13
8123021,10/25/2014,FCS,Portland State,Weber State,RUSHING,Thomas,Carter,ATT,3
8123022,10/25/2014,FCS,Portland State,Weber State,RUSHING,Thomas,Carter,YDS,18
8123023,10/25/2014,FCS,Portland State,Weber State,RUSHING,Thomas,Carter,TD,0
8123024,10/25/2014,FCS,Portland State,Weber State,RUSHING,Thomas,Carter,LONG,14
8123025,10/25/2014,FCS,Portland State,Weber State,RUSHING,Nate,Tago,ATT,4
8123026,10/25/2014,FCS,Portland State,Weber State,RUSHING,Nate,Tago,YDS,7
8123027,10/25/2014,FCS,Portland State,Weber State,RUSHING,Nate,Tago,TD,0
8123028,10/25/2014,FCS,Portland State,Weber State,RUSHING,Nate,Tago,LONG,4
8123029,10/25/2014,FCS,Portland State,Weber State,PASSING,Kieran,McDonagh,CP-ATT-INT,14-23-0
8123030,10/25/2014,FCS,Portland State,Weber State,PASSING,Kieran,McDonagh,YDS,172
8123031,10/25/2014,FCS,Portland State,Weber State,PASSING,Kieran,McDonagh,TD,2
8123032,10/25/2014,FCS,Portland State,Weber State,PASSING,Kieran,McDonagh,LONG,39
8123033,10/25/2014,FCS,Portland State,Weber State,PASSING,Josh,Kraght,CP-ATT-INT,0-1-0
8123034,10/25/2014,FCS,Portland State,Weber State,PASSING,Josh,Kraght,YDS,0
8123035,10/25/2014,FCS,Portland State,Weber State,PASSING,Josh,Kraght,TD,0
8123036,10/25/2014,FCS,Portland State,Weber State,PASSING,Josh,Kraght,LONG,0
8123037,10/25/2014,FCS,Portland State,Weber State,RECEIVING,Kasey,Closs,REC,3
8123038,10/25/2014,FCS,Portland State,Weber State,RECEIVING,Kasey,Closs,YDS,55
8123039,10/25/2014,FCS,Portland State,Weber State,RECEIVING,Kasey,Closs,TD,1
8123040,10/25/2014,FCS,Portland State,Weber State,RECEIVING,Kasey,Closs,LONG,22
8123041,10/25/2014,FCS,Portland State,Weber State,RECEIVING,Thomas,Carter,REC,4
8123042,10/25/2014,FCS,Portland State,Weber State,RECEIVING,Thomas,Carter,YDS,52
8123043,10/25/2014,FCS,Portland State,Weber State,RECEIVING,Thomas,Carter,TD,0
8123044,10/25/2014,FCS,Portland State,Weber State,RECEIVING,Thomas,Carter,LONG,39
8123045,10/25/2014,FCS,Portland State,Weber State,RECEIVING,Darnell,Adams,REC,2
8123046,10/25/2014,FCS,Portland State,Weber State,RECEIVING,Darnell,Adams,YDS,42
8123047,10/25/2014,FCS,Portland State,Weber State,RECEIVING,Darnell,Adams,TD,1
8123048,10/25/2014,FCS,Portland State,Weber State,RECEIVING,Darnell,Adams,LONG,24
8123049,10/25/2014,FCS,Portland State,Weber State,RECEIVING,Steven,Long,REC,3
8123050,10/25/2014,FCS,Portland State,Weber State,RECEIVING,Steven,Long,YDS,13
8123051,10/25/2014,FCS,Portland State,Weber State,RECEIVING,Steven,Long,TD,0
8123052,10/25/2014,FCS,Portland State,Weber State,RECEIVING,Steven,Long,LONG,7
8123053,10/25/2014,FCS,Portland State,Weber State,RECEIVING,Alex,Toureen,REC,1
8123054,10/25/2014,FCS,Portland State,Weber State,RECEIVING,Alex,Toureen,YDS,9
8123055,10/25/2014,FCS,Portland State,Weber State,RECEIVING,Alex,Toureen,TD,0
8123056,10/25/2014,FCS,Portland State,Weber State,RECEIVING,Alex,Toureen,LONG,9
8123057,10/25/2014,FCS,Portland State,Weber State,RECEIVING,Shaq,Richard,REC,1
8123058,10/25/2014,FCS,Portland State,Weber State,RECEIVING,Shaq,Richard,YDS,1
8123059,10/25/2014,FCS,Portland State,Weber State,RECEIVING,Shaq,Richard,TD,0
8123060,10/25/2014,FCS,Portland State,Weber State,RECEIVING,Shaq,Richard,LONG,1
8123061,10/25/2014,FCS,Portland State,Weber State,KICKING,Jonathan,Gonzales,FG-FGA,3/3
8123062,10/25/2014,FCS,Portland State,Weber State,KICKING,Jonathan,Gonzales,LONG,45
8123063,10/25/2014,FCS,Portland State,Weber State,KICKING,Jonathan,Gonzales,XP,3
8123064,10/25/2014,FCS,Portland State,Weber State,KICKING,Jonathan,Gonzales,PTS,12
8123065,10/25/2014,FCS,Portland State,Weber State,PUNTING,Kyle,Loomis,NO,6
8123066,10/25/2014,FCS,Portland State,Weber State,PUNTING,Kyle,Loomis,YDS,285
8123067,10/25/2014,FCS,Portland State,Weber State,PUNTING,Kyle,Loomis,AVG,47.5
8123068,10/25/2014,FCS,Portland State,Weber State,PUNTING,Kyle,Loomis,LONG,57
8123069,10/25/2014,FCS,Portland State,Weber State,KICK RETURNS,John,Norcross,NO,1
8123070,10/25/2014,FCS,Portland State,Weber State,KICK RETURNS,John,Norcross,YDS,12
8123071,10/25/2014,FCS,Portland State,Weber State,KICK RETURNS,John,Norcross,AVG,12.0
8123072,10/25/2014,FCS,Portland State,Weber State,KICK RETURNS,John,Norcross,LONG,12
8123073,10/25/2014,FCS,Weber State,Portland State,RUSHING,Bo,Bolen,ATT,9
8123074,10/25/2014,FCS,Weber State,Portland State,RUSHING,Bo,Bolen,YDS,38
8123075,10/25/2014,FCS,Weber State,Portland State,RUSHING,Bo,Bolen,TD,0
8123076,10/25/2014,FCS,Weber State,Portland State,RUSHING,Bo,Bolen,LONG,24
8123077,10/25/2014,FCS,Weber State,Portland State,RUSHING,Zach,Smith,ATT,8
8123078,10/25/2014,FCS,Weber State,Portland State,RUSHING,Zach,Smith,YDS,25
8123079,10/25/2014,FCS,Weber State,Portland State,RUSHING,Zach,Smith,TD,0
8123080,10/25/2014,FCS,Weber State,Portland State,RUSHING,Zach,Smith,LONG,10
8123081,10/25/2014,FCS,Weber State,Portland State,RUSHING,Jadrian,Clark,ATT,4
8123082,10/25/2014,FCS,Weber State,Portland State,RUSHING,Jadrian,Clark,YDS,19
8123083,10/25/2014,FCS,Weber State,Portland State,RUSHING,Jadrian,Clark,TD,0
8123084,10/25/2014,FCS,Weber State,Portland State,RUSHING,Jadrian,Clark,LONG,7
8123085,10/25/2014,FCS,Weber State,Portland State,RUSHING,Billy,Green,ATT,1
8123086,10/25/2014,FCS,Weber State,Portland State,RUSHING,Billy,Green,YDS,-7
8123087,10/25/2014,FCS,Weber State,Portland State,RUSHING,Billy,Green,TD,0
8123088,10/25/2014,FCS,Weber State,Portland State,RUSHING,Billy,Green,LONG,0
8123089,10/25/2014,FCS,Weber State,Portland State,PASSING,Billy,Green,CP-ATT-INT,14-24-1
8123090,10/25/2014,FCS,Weber State,Portland State,PASSING,Billy,Green,YDS,196
8123091,10/25/2014,FCS,Weber State,Portland State,PASSING,Billy,Green,TD,1
8123092,10/25/2014,FCS,Weber State,Portland State,PASSING,Billy,Green,LONG,36
8123093,10/25/2014,FCS,Weber State,Portland State,PASSING,Jadrian,Clark,CP-ATT-INT,7-13-1
8123094,10/25/2014,FCS,Weber State,Portland State,PASSING,Jadrian,Clark,YDS,97
8123095,10/25/2014,FCS,Weber State,Portland State,PASSING,Jadrian,Clark,TD,0
8123096,10/25/2014,FCS,Weber State,Portland State,PASSING,Jadrian,Clark,LONG,23
8123097,10/25/2014,FCS,Weber State,Portland State,PASSING,Shaydon,Kehano,CP-ATT-INT,1-1-0
8123098,10/25/2014,FCS,Weber State,Portland State,PASSING,Shaydon,Kehano,YDS,20
8123099,10/25/2014,FCS,Weber State,Portland State,PASSING,Shaydon,Kehano,TD,1
8123100,10/25/2014,FCS,Weber State,Portland State,PASSING,Shaydon,Kehano,LONG,20
8123101,10/25/2014,FCS,Weber State,Portland State,RECEIVING,Darryl,Denby,REC,5
8123102,10/25/2014,FCS,Weber State,Portland State,RECEIVING,Darryl,Denby,YDS,100
8123103,10/25/2014,FCS,Weber State,Portland State,RECEIVING,Darryl,Denby,TD,1
8123104,10/25/2014,FCS,Weber State,Portland State,RECEIVING,Darryl,Denby,LONG,36
8123105,10/25/2014,FCS,Weber State,Portland State,RECEIVING,Shaydon,Kehano,REC,7
8123106,10/25/2014,FCS,Weber State,Portland State,RECEIVING,Shaydon,Kehano,YDS,89
8123107,10/25/2014,FCS,Weber State,Portland State,RECEIVING,Shaydon,Kehano,TD,0
8123108,10/25/2014,FCS,Weber State,Portland State,RECEIVING,Shaydon,Kehano,LONG,17
8123109,10/25/2014,FCS,Weber State,Portland State,RECEIVING,Cameron,Livingston,REC,4
8123110,10/25/2014,FCS,Weber State,Portland State,RECEIVING,Cameron,Livingston,YDS,65
8123111,10/25/2014,FCS,Weber State,Portland State,RECEIVING,Cameron,Livingston,TD,0
8123112,10/25/2014,FCS,Weber State,Portland State,RECEIVING,Cameron,Livingston,LONG,34
8123113,10/25/2014,FCS,Weber State,Portland State,RECEIVING,Karl,Finai,REC,1
8123114,10/25/2014,FCS,Weber State,Portland State,RECEIVING,Karl,Finai,YDS,23
8123115,10/25/2014,FCS,Weber State,Portland State,RECEIVING,Karl,Finai,TD,0
8123116,10/25/2014,FCS,Weber State,Portland State,RECEIVING,Karl,Finai,LONG,23
8123117,10/25/2014,FCS,Weber State,Portland State,RECEIVING,Jadrian,Clark,REC,1
8123118,10/25/2014,FCS,Weber State,Portland State,RECEIVING,Jadrian,Clark,YDS,20
8123119,10/25/2014,FCS,Weber State,Portland State,RECEIVING,Jadrian,Clark,TD,1
8123120,10/25/2014,FCS,Weber State,Portland State,RECEIVING,Jadrian,Clark,LONG,20
8123121,10/25/2014,FCS,Weber State,Portland State,RECEIVING,Bo,Bolen,REC,2
