ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
8125001,10/25/2014,FCS,Tennessee State,Eastern Illinois,RUSHING,Darion,Hall,ATT,10
8125002,10/25/2014,FCS,Tennessee State,Eastern Illinois,RUSHING,Darion,Hall,YDS,63
8125003,10/25/2014,FCS,Tennessee State,Eastern Illinois,RUSHING,Darion,Hall,TD,0
8125004,10/25/2014,FCS,Tennessee State,Eastern Illinois,RUSHING,Darion,Hall,LONG,18
8125005,10/25/2014,FCS,Tennessee State,Eastern Illinois,RUSHING,Tom,Smith,ATT,14
8125006,10/25/2014,FCS,Tennessee State,Eastern Illinois,RUSHING,Tom,Smith,YDS,35
8125007,10/25/2014,FCS,Tennessee State,Eastern Illinois,RUSHING,Tom,Smith,TD,0
8125008,10/25/2014,FCS,Tennessee State,Eastern Illinois,RUSHING,Tom,Smith,LONG,10
8125009,10/25/2014,FCS,Tennessee State,Eastern Illinois,RUSHING,Ronald,Butler,ATT,5
8125010,10/25/2014,FCS,Tennessee State,Eastern Illinois,RUSHING,Ronald,Butler,YDS,18
8125011,10/25/2014,FCS,Tennessee State,Eastern Illinois,RUSHING,Ronald,Butler,TD,0
8125012,10/25/2014,FCS,Tennessee State,Eastern Illinois,RUSHING,Ronald,Butler,LONG,12
8125013,10/25/2014,FCS,Tennessee State,Eastern Illinois,RUSHING,Ryan,Mitchell,ATT,1
8125014,10/25/2014,FCS,Tennessee State,Eastern Illinois,RUSHING,Ryan,Mitchell,YDS,2
8125015,10/25/2014,FCS,Tennessee State,Eastern Illinois,RUSHING,Ryan,Mitchell,TD,0
8125016,10/25/2014,FCS,Tennessee State,Eastern Illinois,RUSHING,Ryan,Mitchell,LONG,2
8125017,10/25/2014,FCS,Tennessee State,Eastern Illinois,RUSHING,Stephen,Hopkins,ATT,1
8125018,10/25/2014,FCS,Tennessee State,Eastern Illinois,RUSHING,Stephen,Hopkins,YDS,-2
8125019,10/25/2014,FCS,Tennessee State,Eastern Illinois,RUSHING,Stephen,Hopkins,TD,0
8125020,10/25/2014,FCS,Tennessee State,Eastern Illinois,RUSHING,Stephen,Hopkins,LONG,0
8125021,10/25/2014,FCS,Tennessee State,Eastern Illinois,RUSHING,Michael,German,ATT,1
8125022,10/25/2014,FCS,Tennessee State,Eastern Illinois,RUSHING,Michael,German,YDS,-9
8125023,10/25/2014,FCS,Tennessee State,Eastern Illinois,RUSHING,Michael,German,TD,0
8125024,10/25/2014,FCS,Tennessee State,Eastern Illinois,RUSHING,Michael,German,LONG,0
8125025,10/25/2014,FCS,Tennessee State,Eastern Illinois,PASSING,Michael,German,CP-ATT-INT,16-25-1
8125026,10/25/2014,FCS,Tennessee State,Eastern Illinois,PASSING,Michael,German,YDS,149
8125027,10/25/2014,FCS,Tennessee State,Eastern Illinois,PASSING,Michael,German,TD,0
8125028,10/25/2014,FCS,Tennessee State,Eastern Illinois,PASSING,Michael,German,LONG,17
8125029,10/25/2014,FCS,Tennessee State,Eastern Illinois,PASSING,Ronald,Butler,CP-ATT-INT,3-7-1
8125030,10/25/2014,FCS,Tennessee State,Eastern Illinois,PASSING,Ronald,Butler,YDS,31
8125031,10/25/2014,FCS,Tennessee State,Eastern Illinois,PASSING,Ronald,Butler,TD,0
8125032,10/25/2014,FCS,Tennessee State,Eastern Illinois,PASSING,Ronald,Butler,LONG,12
8125033,10/25/2014,FCS,Tennessee State,Eastern Illinois,RECEIVING,Weldon,Garlington,REC,5
8125034,10/25/2014,FCS,Tennessee State,Eastern Illinois,RECEIVING,Weldon,Garlington,YDS,59
8125035,10/25/2014,FCS,Tennessee State,Eastern Illinois,RECEIVING,Weldon,Garlington,TD,0
8125036,10/25/2014,FCS,Tennessee State,Eastern Illinois,RECEIVING,Weldon,Garlington,LONG,16
8125037,10/25/2014,FCS,Tennessee State,Eastern Illinois,RECEIVING,Isaiah,Freeman,REC,4
8125038,10/25/2014,FCS,Tennessee State,Eastern Illinois,RECEIVING,Isaiah,Freeman,YDS,39
8125039,10/25/2014,FCS,Tennessee State,Eastern Illinois,RECEIVING,Isaiah,Freeman,TD,0
