ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
8266001,11/8/2014,FCS,South Dakota St.,Indiana State,RUSHING,Zach,Zenner,ATT,27
8266002,11/8/2014,FCS,South Dakota St.,Indiana State,RUSHING,Zach,Zenner,YDS,193
8266003,11/8/2014,FCS,South Dakota St.,Indiana State,RUSHING,Zach,Zenner,TD,2
8266004,11/8/2014,FCS,South Dakota St.,Indiana State,RUSHING,Zach,Zenner,LONG,94
8266005,11/8/2014,FCS,South Dakota St.,Indiana State,RUSHING,Brady,Mengarelli,ATT,6
8266006,11/8/2014,FCS,South Dakota St.,Indiana State,RUSHING,Brady,Mengarelli,YDS,20
8266007,11/8/2014,FCS,South Dakota St.,Indiana State,RUSHING,Brady,Mengarelli,TD,0
8266008,11/8/2014,FCS,South Dakota St.,Indiana State,RUSHING,Brady,Mengarelli,LONG,5
8266009,11/8/2014,FCS,South Dakota St.,Indiana State,RUSHING,,Team,ATT,1
8266010,11/8/2014,FCS,South Dakota St.,Indiana State,RUSHING,,Team,YDS,-1
8266011,11/8/2014,FCS,South Dakota St.,Indiana State,RUSHING,,Team,TD,0
8266012,11/8/2014,FCS,South Dakota St.,Indiana State,RUSHING,,Team,LONG,0
8266013,11/8/2014,FCS,South Dakota St.,Indiana State,PASSING,Austin,Sumner,CP-ATT-INT,21-35-2
8266014,11/8/2014,FCS,South Dakota St.,Indiana State,PASSING,Austin,Sumner,YDS,298
8266015,11/8/2014,FCS,South Dakota St.,Indiana State,PASSING,Austin,Sumner,TD,2
8266016,11/8/2014,FCS,South Dakota St.,Indiana State,PASSING,Austin,Sumner,LONG,91
8266017,11/8/2014,FCS,South Dakota St.,Indiana State,RECEIVING,Jake,Wieneke,REC,6
8266018,11/8/2014,FCS,South Dakota St.,Indiana State,RECEIVING,Jake,Wieneke,YDS,172
8266019,11/8/2014,FCS,South Dakota St.,Indiana State,RECEIVING,Jake,Wieneke,TD,2
8266020,11/8/2014,FCS,South Dakota St.,Indiana State,RECEIVING,Jake,Wieneke,LONG,91
8266021,11/8/2014,FCS,South Dakota St.,Indiana State,RECEIVING,Brady,Mengarelli,REC,5
8266022,11/8/2014,FCS,South Dakota St.,Indiana State,RECEIVING,Brady,Mengarelli,YDS,34
8266023,11/8/2014,FCS,South Dakota St.,Indiana State,RECEIVING,Brady,Mengarelli,TD,0
8266024,11/8/2014,FCS,South Dakota St.,Indiana State,RECEIVING,Brady,Mengarelli,LONG,10
8266025,11/8/2014,FCS,South Dakota St.,Indiana State,RECEIVING,Trevor,Wesley,REC,2
8266026,11/8/2014,FCS,South Dakota St.,Indiana State,RECEIVING,Trevor,Wesley,YDS,31
8266027,11/8/2014,FCS,South Dakota St.,Indiana State,RECEIVING,Trevor,Wesley,TD,0
8266028,11/8/2014,FCS,South Dakota St.,Indiana State,RECEIVING,Trevor,Wesley,LONG,25
8266029,11/8/2014,FCS,South Dakota St.,Indiana State,RECEIVING,Jason,Schneider,REC,3
8266030,11/8/2014,FCS,South Dakota St.,Indiana State,RECEIVING,Jason,Schneider,YDS,30
8266031,11/8/2014,FCS,South Dakota St.,Indiana State,RECEIVING,Jason,Schneider,TD,0
8266032,11/8/2014,FCS,South Dakota St.,Indiana State,RECEIVING,Jason,Schneider,LONG,15
8266033,11/8/2014,FCS,South Dakota St.,Indiana State,RECEIVING,Zach,Zenner,REC,4
8266034,11/8/2014,FCS,South Dakota St.,Indiana State,RECEIVING,Zach,Zenner,YDS,26
8266035,11/8/2014,FCS,South Dakota St.,Indiana State,RECEIVING,Zach,Zenner,TD,0
8266036,11/8/2014,FCS,South Dakota St.,Indiana State,RECEIVING,Zach,Zenner,LONG,13
8266037,11/8/2014,FCS,South Dakota St.,Indiana State,RECEIVING,Brandon,Andrews,REC,1
8266038,11/8/2014,FCS,South Dakota St.,Indiana State,RECEIVING,Brandon,Andrews,YDS,5
