ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
7865001,9/20/2014,FCS,James Madison,Villanova,RUSHING,Vad,Lee,ATT,28
7865002,9/20/2014,FCS,James Madison,Villanova,RUSHING,Vad,Lee,YDS,72
7865003,9/20/2014,FCS,James Madison,Villanova,RUSHING,Vad,Lee,TD,1
7865004,9/20/2014,FCS,James Madison,Villanova,RUSHING,Vad,Lee,LONG,28
7865005,9/20/2014,FCS,James Madison,Villanova,RUSHING,Alden,Hill,ATT,14
7865006,9/20/2014,FCS,James Madison,Villanova,RUSHING,Alden,Hill,YDS,56
7865007,9/20/2014,FCS,James Madison,Villanova,RUSHING,Alden,Hill,TD,0
7865008,9/20/2014,FCS,James Madison,Villanova,RUSHING,Alden,Hill,LONG,12
7865009,9/20/2014,FCS,James Madison,Villanova,RUSHING,Ishmael,Hyman,ATT,0
7865010,9/20/2014,FCS,James Madison,Villanova,RUSHING,Ishmael,Hyman,YDS,18
7865011,9/20/2014,FCS,James Madison,Villanova,RUSHING,Ishmael,Hyman,TD,0
7865012,9/20/2014,FCS,James Madison,Villanova,RUSHING,Ishmael,Hyman,LONG,0
7865013,9/20/2014,FCS,James Madison,Villanova,RUSHING,Taylor,Woods,ATT,3
7865014,9/20/2014,FCS,James Madison,Villanova,RUSHING,Taylor,Woods,YDS,10
7865015,9/20/2014,FCS,James Madison,Villanova,RUSHING,Taylor,Woods,TD,0
7865016,9/20/2014,FCS,James Madison,Villanova,RUSHING,Taylor,Woods,LONG,5
7865017,9/20/2014,FCS,James Madison,Villanova,RUSHING,John,Miller,ATT,2
7865018,9/20/2014,FCS,James Madison,Villanova,RUSHING,John,Miller,YDS,4
7865019,9/20/2014,FCS,James Madison,Villanova,RUSHING,John,Miller,TD,0
7865020,9/20/2014,FCS,James Madison,Villanova,RUSHING,John,Miller,LONG,7
7865021,9/20/2014,FCS,James Madison,Villanova,RUSHING,Rashard,Davis,ATT,1
7865022,9/20/2014,FCS,James Madison,Villanova,RUSHING,Rashard,Davis,YDS,2
7865023,9/20/2014,FCS,James Madison,Villanova,RUSHING,Rashard,Davis,TD,0
7865024,9/20/2014,FCS,James Madison,Villanova,RUSHING,Rashard,Davis,LONG,2
7865025,9/20/2014,FCS,James Madison,Villanova,PASSING,Vad,Lee,CP-ATT-INT,23-43-2
7865026,9/20/2014,FCS,James Madison,Villanova,PASSING,Vad,Lee,YDS,406
7865027,9/20/2014,FCS,James Madison,Villanova,PASSING,Vad,Lee,TD,3
7865028,9/20/2014,FCS,James Madison,Villanova,PASSING,Vad,Lee,LONG,71
7865029,9/20/2014,FCS,James Madison,Villanova,RECEIVING,Deane,Cheatham,REC,6
7865030,9/20/2014,FCS,James Madison,Villanova,RECEIVING,Deane,Cheatham,YDS,109
7865031,9/20/2014,FCS,James Madison,Villanova,RECEIVING,Deane,Cheatham,TD,1
7865032,9/20/2014,FCS,James Madison,Villanova,RECEIVING,Deane,Cheatham,LONG,24
7865033,9/20/2014,FCS,James Madison,Villanova,RECEIVING,Daniel,Brown,REC,4
7865034,9/20/2014,FCS,James Madison,Villanova,RECEIVING,Daniel,Brown,YDS,95
7865035,9/20/2014,FCS,James Madison,Villanova,RECEIVING,Daniel,Brown,TD,0
7865036,9/20/2014,FCS,James Madison,Villanova,RECEIVING,Daniel,Brown,LONG,71
7865037,9/20/2014,FCS,James Madison,Villanova,RECEIVING,Ishmael,Hyman,REC,4
7865038,9/20/2014,FCS,James Madison,Villanova,RECEIVING,Ishmael,Hyman,YDS,80
7865039,9/20/2014,FCS,James Madison,Villanova,RECEIVING,Ishmael,Hyman,TD,1
7865040,9/20/2014,FCS,James Madison,Villanova,RECEIVING,Ishmael,Hyman,LONG,56
7865041,9/20/2014,FCS,James Madison,Villanova,RECEIVING,Rashard,Davis,REC,3
7865042,9/20/2014,FCS,James Madison,Villanova,RECEIVING,Rashard,Davis,YDS,52
7865043,9/20/2014,FCS,James Madison,Villanova,RECEIVING,Rashard,Davis,TD,0
7865044,9/20/2014,FCS,James Madison,Villanova,RECEIVING,Rashard,Davis,LONG,23
7865045,9/20/2014,FCS,James Madison,Villanova,RECEIVING,Sean,Tapley,REC,3
7865046,9/20/2014,FCS,James Madison,Villanova,RECEIVING,Sean,Tapley,YDS,27
7865047,9/20/2014,FCS,James Madison,Villanova,RECEIVING,Sean,Tapley,TD,1
7865048,9/20/2014,FCS,James Madison,Villanova,RECEIVING,Sean,Tapley,LONG,22
7865049,9/20/2014,FCS,James Madison,Villanova,RECEIVING,Andre,Coble,REC,1
7865050,9/20/2014,FCS,James Madison,Villanova,RECEIVING,Andre,Coble,YDS,25
7865051,9/20/2014,FCS,James Madison,Villanova,RECEIVING,Andre,Coble,TD,0
7865052,9/20/2014,FCS,James Madison,Villanova,RECEIVING,Andre,Coble,LONG,25
7865053,9/20/2014,FCS,James Madison,Villanova,RECEIVING,Jonathan,Kloosterman,REC,1
7865054,9/20/2014,FCS,James Madison,Villanova,RECEIVING,Jonathan,Kloosterman,YDS,10
7865055,9/20/2014,FCS,James Madison,Villanova,RECEIVING,Jonathan,Kloosterman,TD,0
7865056,9/20/2014,FCS,James Madison,Villanova,RECEIVING,Jonathan,Kloosterman,LONG,10
7865057,9/20/2014,FCS,James Madison,Villanova,RECEIVING,Taylor,Woods,REC,1
7865058,9/20/2014,FCS,James Madison,Villanova,RECEIVING,Taylor,Woods,YDS,8
7865059,9/20/2014,FCS,James Madison,Villanova,RECEIVING,Taylor,Woods,TD,0
7865060,9/20/2014,FCS,James Madison,Villanova,RECEIVING,Taylor,Woods,LONG,8
7865061,9/20/2014,FCS,James Madison,Villanova,KICKING,Conner,Arnone,FG-FGA,1/1
7865062,9/20/2014,FCS,James Madison,Villanova,KICKING,Conner,Arnone,LONG,33
7865063,9/20/2014,FCS,James Madison,Villanova,KICKING,Conner,Arnone,XP,4
7865064,9/20/2014,FCS,James Madison,Villanova,KICKING,Conner,Arnone,PTS,7
7865065,9/20/2014,FCS,James Madison,Villanova,PUNTING,Gunnar,Kane,NO,5
7865066,9/20/2014,FCS,James Madison,Villanova,PUNTING,Gunnar,Kane,YDS,173
7865067,9/20/2014,FCS,James Madison,Villanova,PUNTING,Gunnar,Kane,AVG,34.6
7865068,9/20/2014,FCS,James Madison,Villanova,PUNTING,Gunnar,Kane,LONG,47
7865069,9/20/2014,FCS,James Madison,Villanova,KICK RETURNS,Ishmael,Hyman,NO,3
7865070,9/20/2014,FCS,James Madison,Villanova,KICK RETURNS,Ishmael,Hyman,YDS,52
7865071,9/20/2014,FCS,James Madison,Villanova,KICK RETURNS,Ishmael,Hyman,AVG,17.3
7865072,9/20/2014,FCS,James Madison,Villanova,KICK RETURNS,Ishmael,Hyman,LONG,21
7865073,9/20/2014,FCS,James Madison,Villanova,KICK RETURNS,Sean,Tapley,NO,2
7865074,9/20/2014,FCS,James Madison,Villanova,KICK RETURNS,Sean,Tapley,YDS,31
7865075,9/20/2014,FCS,James Madison,Villanova,KICK RETURNS,Sean,Tapley,AVG,15.5
7865076,9/20/2014,FCS,James Madison,Villanova,KICK RETURNS,Sean,Tapley,LONG,18
7865077,9/20/2014,FCS,Villanova,James Madison,RUSHING,Kevin,Monangai,ATT,15
7865078,9/20/2014,FCS,Villanova,James Madison,RUSHING,Kevin,Monangai,YDS,129
7865079,9/20/2014,FCS,Villanova,James Madison,RUSHING,Kevin,Monangai,TD,2
7865080,9/20/2014,FCS,Villanova,James Madison,RUSHING,Kevin,Monangai,LONG,62
7865081,9/20/2014,FCS,Villanova,James Madison,RUSHING,Austin,Medley,ATT,10
7865082,9/20/2014,FCS,Villanova,James Madison,RUSHING,Austin,Medley,YDS,51
7865083,9/20/2014,FCS,Villanova,James Madison,RUSHING,Austin,Medley,TD,1
7865084,9/20/2014,FCS,Villanova,James Madison,RUSHING,Austin,Medley,LONG,12
7865085,9/20/2014,FCS,Villanova,James Madison,RUSHING,Gary,Underwood,ATT,7
7865086,9/20/2014,FCS,Villanova,James Madison,RUSHING,Gary,Underwood,YDS,30
7865087,9/20/2014,FCS,Villanova,James Madison,RUSHING,Gary,Underwood,TD,0
7865088,9/20/2014,FCS,Villanova,James Madison,RUSHING,Gary,Underwood,LONG,10
7865089,9/20/2014,FCS,Villanova,James Madison,RUSHING,John,Robertson,ATT,11
7865090,9/20/2014,FCS,Villanova,James Madison,RUSHING,John,Robertson,YDS,19
7865091,9/20/2014,FCS,Villanova,James Madison,RUSHING,John,Robertson,TD,0
7865092,9/20/2014,FCS,Villanova,James Madison,RUSHING,John,Robertson,LONG,16
7865093,9/20/2014,FCS,Villanova,James Madison,RUSHING,Matt,Gudzak,ATT,1
7865094,9/20/2014,FCS,Villanova,James Madison,RUSHING,Matt,Gudzak,YDS,2
7865095,9/20/2014,FCS,Villanova,James Madison,RUSHING,Matt,Gudzak,TD,0
7865096,9/20/2014,FCS,Villanova,James Madison,RUSHING,Matt,Gudzak,LONG,2
7865097,9/20/2014,FCS,Villanova,James Madison,RUSHING,Chris,Polony,ATT,1
7865098,9/20/2014,FCS,Villanova,James Madison,RUSHING,Chris,Polony,YDS,1
7865099,9/20/2014,FCS,Villanova,James Madison,RUSHING,Chris,Polony,TD,0
7865100,9/20/2014,FCS,Villanova,James Madison,RUSHING,Chris,Polony,LONG,1
7865101,9/20/2014,FCS,Villanova,James Madison,RUSHING,Poppy,Livers,ATT,1
7865102,9/20/2014,FCS,Villanova,James Madison,RUSHING,Poppy,Livers,YDS,-6
7865103,9/20/2014,FCS,Villanova,James Madison,RUSHING,Poppy,Livers,TD,0
7865104,9/20/2014,FCS,Villanova,James Madison,RUSHING,Poppy,Livers,LONG,0
7865105,9/20/2014,FCS,Villanova,James Madison,PASSING,John,Robertson,CP-ATT-INT,22-27-0
7865106,9/20/2014,FCS,Villanova,James Madison,PASSING,John,Robertson,YDS,337
7865107,9/20/2014,FCS,Villanova,James Madison,PASSING,John,Robertson,TD,4
7865108,9/20/2014,FCS,Villanova,James Madison,PASSING,John,Robertson,LONG,69
7865109,9/20/2014,FCS,Villanova,James Madison,RECEIVING,Poppy,Livers,REC,4
7865110,9/20/2014,FCS,Villanova,James Madison,RECEIVING,Poppy,Livers,YDS,85
7865111,9/20/2014,FCS,Villanova,James Madison,RECEIVING,Poppy,Livers,TD,0
7865112,9/20/2014,FCS,Villanova,James Madison,RECEIVING,Poppy,Livers,LONG,32
7865113,9/20/2014,FCS,Villanova,James Madison,RECEIVING,Mike,Burke,REC,5
7865114,9/20/2014,FCS,Villanova,James Madison,RECEIVING,Mike,Burke,YDS,79
7865115,9/20/2014,FCS,Villanova,James Madison,RECEIVING,Mike,Burke,TD,1
7865116,9/20/2014,FCS,Villanova,James Madison,RECEIVING,Mike,Burke,LONG,33
7865117,9/20/2014,FCS,Villanova,James Madison,RECEIVING,Gary,Underwood,REC,1
7865118,9/20/2014,FCS,Villanova,James Madison,RECEIVING,Gary,Underwood,YDS,69
7865119,9/20/2014,FCS,Villanova,James Madison,RECEIVING,Gary,Underwood,TD,1
7865120,9/20/2014,FCS,Villanova,James Madison,RECEIVING,Gary,Underwood,LONG,0
7865121,9/20/2014,FCS,Villanova,James Madison,RECEIVING,Kevin,Gulyas,REC,4
7865122,9/20/2014,FCS,Villanova,James Madison,RECEIVING,Kevin,Gulyas,YDS,68
7865123,9/20/2014,FCS,Villanova,James Madison,RECEIVING,Kevin,Gulyas,TD,0
7865124,9/20/2014,FCS,Villanova,James Madison,RECEIVING,Kevin,Gulyas,LONG,24
7865125,9/20/2014,FCS,Villanova,James Madison,RECEIVING,Kevin,Monangai,REC,3
7865126,9/20/2014,FCS,Villanova,James Madison,RECEIVING,Kevin,Monangai,YDS,11
7865127,9/20/2014,FCS,Villanova,James Madison,RECEIVING,Kevin,Monangai,TD,0
7865128,9/20/2014,FCS,Villanova,James Madison,RECEIVING,Kevin,Monangai,LONG,8
7865129,9/20/2014,FCS,Villanova,James Madison,RECEIVING,Earnest,Pettway,REC,2
7865130,9/20/2014,FCS,Villanova,James Madison,RECEIVING,Earnest,Pettway,YDS,11
7865131,9/20/2014,FCS,Villanova,James Madison,RECEIVING,Earnest,Pettway,TD,2
7865132,9/20/2014,FCS,Villanova,James Madison,RECEIVING,Earnest,Pettway,LONG,7
7865133,9/20/2014,FCS,Villanova,James Madison,RECEIVING,Austin,Medley,REC,2
7865134,9/20/2014,FCS,Villanova,James Madison,RECEIVING,Austin,Medley,YDS,8
7865135,9/20/2014,FCS,Villanova,James Madison,RECEIVING,Austin,Medley,TD,0
7865136,9/20/2014,FCS,Villanova,James Madison,RECEIVING,Austin,Medley,LONG,7
7865137,9/20/2014,FCS,Villanova,James Madison,RECEIVING,Aaron,Wells,REC,1
