ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
7902001,9/27/2014,FCS,Wagner,Lafayette,RUSHING,Brandon,Peoples,ATT,12
7902002,9/27/2014,FCS,Wagner,Lafayette,RUSHING,Brandon,Peoples,YDS,68
7902003,9/27/2014,FCS,Wagner,Lafayette,RUSHING,Brandon,Peoples,TD,0
7902004,9/27/2014,FCS,Wagner,Lafayette,RUSHING,Brandon,Peoples,LONG,15
7902005,9/27/2014,FCS,Wagner,Lafayette,RUSHING,Otis,Wright,ATT,13
7902006,9/27/2014,FCS,Wagner,Lafayette,RUSHING,Otis,Wright,YDS,51
7902007,9/27/2014,FCS,Wagner,Lafayette,RUSHING,Otis,Wright,TD,0
7902008,9/27/2014,FCS,Wagner,Lafayette,RUSHING,Otis,Wright,LONG,17
7902009,9/27/2014,FCS,Wagner,Lafayette,RUSHING,Brian,Gehring,ATT,6
7902010,9/27/2014,FCS,Wagner,Lafayette,RUSHING,Brian,Gehring,YDS,18
7902011,9/27/2014,FCS,Wagner,Lafayette,RUSHING,Brian,Gehring,TD,0
7902012,9/27/2014,FCS,Wagner,Lafayette,RUSHING,Brian,Gehring,LONG,9
7902013,9/27/2014,FCS,Wagner,Lafayette,RUSHING,Matthias,McKinnon,ATT,3
7902014,9/27/2014,FCS,Wagner,Lafayette,RUSHING,Matthias,McKinnon,YDS,5
7902015,9/27/2014,FCS,Wagner,Lafayette,RUSHING,Matthias,McKinnon,TD,0
7902016,9/27/2014,FCS,Wagner,Lafayette,RUSHING,Matthias,McKinnon,LONG,7
7902017,9/27/2014,FCS,Wagner,Lafayette,RUSHING,Steve,Rene,ATT,1
7902018,9/27/2014,FCS,Wagner,Lafayette,RUSHING,Steve,Rene,YDS,2
7902019,9/27/2014,FCS,Wagner,Lafayette,RUSHING,Steve,Rene,TD,0
7902020,9/27/2014,FCS,Wagner,Lafayette,RUSHING,Steve,Rene,LONG,2
7902021,9/27/2014,FCS,Wagner,Lafayette,PASSING,Brian,Gehring,CP-ATT-INT,11-31-0
7902022,9/27/2014,FCS,Wagner,Lafayette,PASSING,Brian,Gehring,YDS,179
7902023,9/27/2014,FCS,Wagner,Lafayette,PASSING,Brian,Gehring,TD,3
7902024,9/27/2014,FCS,Wagner,Lafayette,PASSING,Brian,Gehring,LONG,46
7902025,9/27/2014,FCS,Wagner,Lafayette,RECEIVING,Lloyd,Smith,REC,5
7902026,9/27/2014,FCS,Wagner,Lafayette,RECEIVING,Lloyd,Smith,YDS,71
7902027,9/27/2014,FCS,Wagner,Lafayette,RECEIVING,Lloyd,Smith,TD,0
7902028,9/27/2014,FCS,Wagner,Lafayette,RECEIVING,Lloyd,Smith,LONG,36
7902029,9/27/2014,FCS,Wagner,Lafayette,RECEIVING,Brandon,Peoples,REC,1
7902030,9/27/2014,FCS,Wagner,Lafayette,RECEIVING,Brandon,Peoples,YDS,46
7902031,9/27/2014,FCS,Wagner,Lafayette,RECEIVING,Brandon,Peoples,TD,1
7902032,9/27/2014,FCS,Wagner,Lafayette,RECEIVING,Brandon,Peoples,LONG,46
7902033,9/27/2014,FCS,Wagner,Lafayette,RECEIVING,Bryant,Watts,REC,1
7902034,9/27/2014,FCS,Wagner,Lafayette,RECEIVING,Bryant,Watts,YDS,25
7902035,9/27/2014,FCS,Wagner,Lafayette,RECEIVING,Bryant,Watts,TD,1
7902036,9/27/2014,FCS,Wagner,Lafayette,RECEIVING,Bryant,Watts,LONG,25
7902037,9/27/2014,FCS,Wagner,Lafayette,RECEIVING,Ryan,Owens,REC,2
7902038,9/27/2014,FCS,Wagner,Lafayette,RECEIVING,Ryan,Owens,YDS,23
7902039,9/27/2014,FCS,Wagner,Lafayette,RECEIVING,Ryan,Owens,TD,1
7902040,9/27/2014,FCS,Wagner,Lafayette,RECEIVING,Ryan,Owens,LONG,18
7902041,9/27/2014,FCS,Wagner,Lafayette,RECEIVING,Isaiah,Gills,REC,1
7902042,9/27/2014,FCS,Wagner,Lafayette,RECEIVING,Isaiah,Gills,YDS,10
7902043,9/27/2014,FCS,Wagner,Lafayette,RECEIVING,Isaiah,Gills,TD,0
7902044,9/27/2014,FCS,Wagner,Lafayette,RECEIVING,Isaiah,Gills,LONG,10
7902045,9/27/2014,FCS,Wagner,Lafayette,RECEIVING,Keith,Foster,REC,1
7902046,9/27/2014,FCS,Wagner,Lafayette,RECEIVING,Keith,Foster,YDS,4
7902047,9/27/2014,FCS,Wagner,Lafayette,RECEIVING,Keith,Foster,TD,0
