ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
8789001,10/10/2015,FCS,Fordham,Penn,RUSHING,Chase,Edmonds,ATT,29
8789002,10/10/2015,FCS,Fordham,Penn,RUSHING,Chase,Edmonds,YDS,230
8789003,10/10/2015,FCS,Fordham,Penn,RUSHING,Chase,Edmonds,TD,4
8789004,10/10/2015,FCS,Fordham,Penn,RUSHING,Chase,Edmonds,LONG,51
8789005,10/10/2015,FCS,Fordham,Penn,RUSHING,Kevin,Anderson,ATT,17
8789006,10/10/2015,FCS,Fordham,Penn,RUSHING,Kevin,Anderson,YDS,34
8789007,10/10/2015,FCS,Fordham,Penn,RUSHING,Kevin,Anderson,TD,0
8789008,10/10/2015,FCS,Fordham,Penn,RUSHING,Kevin,Anderson,LONG,25
8789009,10/10/2015,FCS,Fordham,Penn,PASSING,Kevin,Anderson,CP-ATT-INT,29-36-0
8789010,10/10/2015,FCS,Fordham,Penn,PASSING,Kevin,Anderson,YDS,377
8789011,10/10/2015,FCS,Fordham,Penn,PASSING,Kevin,Anderson,TD,2
8789012,10/10/2015,FCS,Fordham,Penn,PASSING,Kevin,Anderson,LONG,30
8789013,10/10/2015,FCS,Fordham,Penn,RECEIVING,Robbie,Cantelli,REC,12
8789014,10/10/2015,FCS,Fordham,Penn,RECEIVING,Robbie,Cantelli,YDS,164
8789015,10/10/2015,FCS,Fordham,Penn,RECEIVING,Robbie,Cantelli,TD,0
8789016,10/10/2015,FCS,Fordham,Penn,RECEIVING,Robbie,Cantelli,LONG,30
8789017,10/10/2015,FCS,Fordham,Penn,RECEIVING,Austin,Longi,REC,3
8789018,10/10/2015,FCS,Fordham,Penn,RECEIVING,Austin,Longi,YDS,73
8789019,10/10/2015,FCS,Fordham,Penn,RECEIVING,Austin,Longi,TD,1
8789020,10/10/2015,FCS,Fordham,Penn,RECEIVING,Austin,Longi,LONG,30
8789021,10/10/2015,FCS,Fordham,Penn,RECEIVING,Chase,Edmonds,REC,4
8789022,10/10/2015,FCS,Fordham,Penn,RECEIVING,Chase,Edmonds,YDS,49
8789023,10/10/2015,FCS,Fordham,Penn,RECEIVING,Chase,Edmonds,TD,1
8789024,10/10/2015,FCS,Fordham,Penn,RECEIVING,Chase,Edmonds,LONG,21
8789025,10/10/2015,FCS,Fordham,Penn,RECEIVING,Corey,Caddle,REC,4
8789026,10/10/2015,FCS,Fordham,Penn,RECEIVING,Corey,Caddle,YDS,44
8789027,10/10/2015,FCS,Fordham,Penn,RECEIVING,Corey,Caddle,TD,0
8789028,10/10/2015,FCS,Fordham,Penn,RECEIVING,Corey,Caddle,LONG,25
8789029,10/10/2015,FCS,Fordham,Penn,RECEIVING,Phazahn,Odom,REC,3
8789030,10/10/2015,FCS,Fordham,Penn,RECEIVING,Phazahn,Odom,YDS,24
8789031,10/10/2015,FCS,Fordham,Penn,RECEIVING,Phazahn,Odom,TD,0
8789032,10/10/2015,FCS,Fordham,Penn,RECEIVING,Phazahn,Odom,LONG,12
8789033,10/10/2015,FCS,Fordham,Penn,RECEIVING,Jonathan,Lumley,REC,3
8789034,10/10/2015,FCS,Fordham,Penn,RECEIVING,Jonathan,Lumley,YDS,23
8789035,10/10/2015,FCS,Fordham,Penn,RECEIVING,Jonathan,Lumley,TD,0
8789036,10/10/2015,FCS,Fordham,Penn,RECEIVING,Jonathan,Lumley,LONG,9
8789037,10/10/2015,FCS,Fordham,Penn,KICKING,Makay,Redd,FG-FGA,1/1
8789038,10/10/2015,FCS,Fordham,Penn,KICKING,Makay,Redd,LONG,31
8789039,10/10/2015,FCS,Fordham,Penn,KICKING,Makay,Redd,XP,5
8789040,10/10/2015,FCS,Fordham,Penn,KICKING,Makay,Redd,PTS,8
8789041,10/10/2015,FCS,Fordham,Penn,KICKING,Alejandro,Cardenas,FG-FGA,1/2
8789042,10/10/2015,FCS,Fordham,Penn,KICKING,Alejandro,Cardenas,LONG,44
8789043,10/10/2015,FCS,Fordham,Penn,KICKING,Alejandro,Cardenas,XP,1
8789044,10/10/2015,FCS,Fordham,Penn,KICKING,Alejandro,Cardenas,PTS,4
8789045,10/10/2015,FCS,Fordham,Penn,PUNTING,Joseph,Pavlik,NO,1
8789046,10/10/2015,FCS,Fordham,Penn,PUNTING,Joseph,Pavlik,YDS,39
8789047,10/10/2015,FCS,Fordham,Penn,PUNTING,Joseph,Pavlik,AVG,39.0
8789048,10/10/2015,FCS,Fordham,Penn,PUNTING,Joseph,Pavlik,LONG,39
8789049,10/10/2015,FCS,Fordham,Penn,PUNTING,,Team,NO,1
8789050,10/10/2015,FCS,Fordham,Penn,PUNTING,,Team,YDS,2
8789051,10/10/2015,FCS,Fordham,Penn,PUNTING,,Team,AVG,2.0
8789052,10/10/2015,FCS,Fordham,Penn,PUNTING,,Team,LONG,2
8789053,10/10/2015,FCS,Fordham,Penn,PUNT RETURNS,Corey,Caddle,NO,1
8789054,10/10/2015,FCS,Fordham,Penn,PUNT RETURNS,Corey,Caddle,YDS,6
8789055,10/10/2015,FCS,Fordham,Penn,PUNT RETURNS,Corey,Caddle,AVG,6.0
8789056,10/10/2015,FCS,Fordham,Penn,PUNT RETURNS,Corey,Caddle,LONG,6
8789057,10/10/2015,FCS,Fordham,Penn,KICK RETURNS,Jihaad,Pretlow,NO,5
8789058,10/10/2015,FCS,Fordham,Penn,KICK RETURNS,Jihaad,Pretlow,YDS,132
8789059,10/10/2015,FCS,Fordham,Penn,KICK RETURNS,Jihaad,Pretlow,AVG,26.4
8789060,10/10/2015,FCS,Fordham,Penn,KICK RETURNS,Jihaad,Pretlow,LONG,64
8789061,10/10/2015,FCS,Fordham,Penn,KICK RETURNS,Corey,Caddle,NO,1
8789062,10/10/2015,FCS,Fordham,Penn,KICK RETURNS,Corey,Caddle,YDS,23
8789063,10/10/2015,FCS,Fordham,Penn,KICK RETURNS,Corey,Caddle,AVG,23.0
8789064,10/10/2015,FCS,Fordham,Penn,KICK RETURNS,Corey,Caddle,LONG,23
8789065,10/10/2015,FCS,Fordham,Penn,KICK RETURNS,David,Barletta,NO,1
8789066,10/10/2015,FCS,Fordham,Penn,KICK RETURNS,David,Barletta,YDS,13
8789067,10/10/2015,FCS,Fordham,Penn,KICK RETURNS,David,Barletta,AVG,13.0
8789068,10/10/2015,FCS,Fordham,Penn,KICK RETURNS,David,Barletta,LONG,13
8789069,10/10/2015,FCS,Penn,Fordham,RUSHING,Brian,Schoenauer,ATT,22
8789070,10/10/2015,FCS,Penn,Fordham,RUSHING,Brian,Schoenauer,YDS,161
8789071,10/10/2015,FCS,Penn,Fordham,RUSHING,Brian,Schoenauer,TD,3
8789072,10/10/2015,FCS,Penn,Fordham,RUSHING,Brian,Schoenauer,LONG,20
8789073,10/10/2015,FCS,Penn,Fordham,RUSHING,Andrew,Lisa,ATT,8
8789074,10/10/2015,FCS,Penn,Fordham,RUSHING,Andrew,Lisa,YDS,32
8789075,10/10/2015,FCS,Penn,Fordham,RUSHING,Andrew,Lisa,TD,0
8789076,10/10/2015,FCS,Penn,Fordham,RUSHING,Andrew,Lisa,LONG,9
8789077,10/10/2015,FCS,Penn,Fordham,RUSHING,Tre,Solomon,ATT,2
8789078,10/10/2015,FCS,Penn,Fordham,RUSHING,Tre,Solomon,YDS,17
8789079,10/10/2015,FCS,Penn,Fordham,RUSHING,Tre,Solomon,TD,0
8789080,10/10/2015,FCS,Penn,Fordham,RUSHING,Tre,Solomon,LONG,5
8789081,10/10/2015,FCS,Penn,Fordham,RUSHING,Justin,Watson,ATT,1
8789082,10/10/2015,FCS,Penn,Fordham,RUSHING,Justin,Watson,YDS,8
8789083,10/10/2015,FCS,Penn,Fordham,RUSHING,Justin,Watson,TD,0
8789084,10/10/2015,FCS,Penn,Fordham,RUSHING,Justin,Watson,LONG,8
8789085,10/10/2015,FCS,Penn,Fordham,PASSING,Andrew,Lisa,CP-ATT-INT,24-37-2
8789086,10/10/2015,FCS,Penn,Fordham,PASSING,Andrew,Lisa,YDS,263
8789087,10/10/2015,FCS,Penn,Fordham,PASSING,Andrew,Lisa,TD,3
8789088,10/10/2015,FCS,Penn,Fordham,PASSING,Andrew,Lisa,LONG,53
8789089,10/10/2015,FCS,Penn,Fordham,RECEIVING,Justin,Watson,REC,6
8789090,10/10/2015,FCS,Penn,Fordham,RECEIVING,Justin,Watson,YDS,134
8789091,10/10/2015,FCS,Penn,Fordham,RECEIVING,Justin,Watson,TD,1
8789092,10/10/2015,FCS,Penn,Fordham,RECEIVING,Justin,Watson,LONG,53
8789093,10/10/2015,FCS,Penn,Fordham,RECEIVING,Ryan,Kelly,REC,4
8789094,10/10/2015,FCS,Penn,Fordham,RECEIVING,Ryan,Kelly,YDS,49
8789095,10/10/2015,FCS,Penn,Fordham,RECEIVING,Ryan,Kelly,TD,1
8789096,10/10/2015,FCS,Penn,Fordham,RECEIVING,Ryan,Kelly,LONG,23
8789097,10/10/2015,FCS,Penn,Fordham,RECEIVING,Cameron,Countryman,REC,6
8789098,10/10/2015,FCS,Penn,Fordham,RECEIVING,Cameron,Countryman,YDS,26
8789099,10/10/2015,FCS,Penn,Fordham,RECEIVING,Cameron,Countryman,TD,0
8789100,10/10/2015,FCS,Penn,Fordham,RECEIVING,Cameron,Countryman,LONG,6
8789101,10/10/2015,FCS,Penn,Fordham,RECEIVING,Christian,Pearson,REC,2
8789102,10/10/2015,FCS,Penn,Fordham,RECEIVING,Christian,Pearson,YDS,21
8789103,10/10/2015,FCS,Penn,Fordham,RECEIVING,Christian,Pearson,TD,0
8789104,10/10/2015,FCS,Penn,Fordham,RECEIVING,Christian,Pearson,LONG,14
8789105,10/10/2015,FCS,Penn,Fordham,RECEIVING,Ryan,O'Malley,REC,2
8789106,10/10/2015,FCS,Penn,Fordham,RECEIVING,Ryan,O'Malley,YDS,17
8789107,10/10/2015,FCS,Penn,Fordham,RECEIVING,Ryan,O'Malley,TD,1
8789108,10/10/2015,FCS,Penn,Fordham,RECEIVING,Ryan,O'Malley,LONG,9
8789109,10/10/2015,FCS,Penn,Fordham,RECEIVING,Danny,Ferens,REC,1
8789110,10/10/2015,FCS,Penn,Fordham,RECEIVING,Danny,Ferens,YDS,9
8789111,10/10/2015,FCS,Penn,Fordham,RECEIVING,Danny,Ferens,TD,0
8789112,10/10/2015,FCS,Penn,Fordham,RECEIVING,Danny,Ferens,LONG,9
8789113,10/10/2015,FCS,Penn,Fordham,RECEIVING,Adam,Strouss,REC,1
8789114,10/10/2015,FCS,Penn,Fordham,RECEIVING,Adam,Strouss,YDS,6
8789115,10/10/2015,FCS,Penn,Fordham,RECEIVING,Adam,Strouss,TD,0
8789116,10/10/2015,FCS,Penn,Fordham,RECEIVING,Adam,Strouss,LONG,6
8789117,10/10/2015,FCS,Penn,Fordham,RECEIVING,Tre,Solomon,REC,1
8789118,10/10/2015,FCS,Penn,Fordham,RECEIVING,Tre,Solomon,YDS,4
8789119,10/10/2015,FCS,Penn,Fordham,RECEIVING,Tre,Solomon,TD,0
8789120,10/10/2015,FCS,Penn,Fordham,RECEIVING,Tre,Solomon,LONG,4
8789121,10/10/2015,FCS,Penn,Fordham,RECEIVING,Eric,Fiore,REC,1
8789122,10/10/2015,FCS,Penn,Fordham,RECEIVING,Eric,Fiore,YDS,-3
8789123,10/10/2015,FCS,Penn,Fordham,RECEIVING,Eric,Fiore,TD,0
8789124,10/10/2015,FCS,Penn,Fordham,RECEIVING,Eric,Fiore,LONG,0
8789125,10/10/2015,FCS,Penn,Fordham,KICKING,Jimmy,Gammill,FG-FGA,1/1
8789126,10/10/2015,FCS,Penn,Fordham,KICKING,Jimmy,Gammill,LONG,39
8789127,10/10/2015,FCS,Penn,Fordham,KICKING,Jimmy,Gammill,XP,4
8789128,10/10/2015,FCS,Penn,Fordham,KICKING,Jimmy,Gammill,PTS,7
8789129,10/10/2015,FCS,Penn,Fordham,PUNTING,Hunter,Kelley,NO,2
8789130,10/10/2015,FCS,Penn,Fordham,PUNTING,Hunter,Kelley,YDS,118
8789131,10/10/2015,FCS,Penn,Fordham,PUNTING,Hunter,Kelley,AVG,59.0
8789132,10/10/2015,FCS,Penn,Fordham,PUNTING,Hunter,Kelley,LONG,73
8789133,10/10/2015,FCS,Penn,Fordham,KICK RETURNS,Eric,Fiore,NO,4
8789134,10/10/2015,FCS,Penn,Fordham,KICK RETURNS,Eric,Fiore,YDS,92
8789135,10/10/2015,FCS,Penn,Fordham,KICK RETURNS,Eric,Fiore,AVG,23.0
8789136,10/10/2015,FCS,Penn,Fordham,KICK RETURNS,Eric,Fiore,LONG,32
8789137,10/10/2015,FCS,Penn,Fordham,KICK RETURNS,Lonnie,Tuff,NO,2
8789138,10/10/2015,FCS,Penn,Fordham,KICK RETURNS,Lonnie,Tuff,YDS,57
8789139,10/10/2015,FCS,Penn,Fordham,KICK RETURNS,Lonnie,Tuff,AVG,28.5
8789140,10/10/2015,FCS,Penn,Fordham,KICK RETURNS,Lonnie,Tuff,LONG,44
8789141,10/10/2015,FCS,Penn,Fordham,KICK RETURNS,Cameron,Countryman,NO,2
8789142,10/10/2015,FCS,Penn,Fordham,KICK RETURNS,Cameron,Countryman,YDS,24
8789143,10/10/2015,FCS,Penn,Fordham,KICK RETURNS,Cameron,Countryman,AVG,12.0
8789144,10/10/2015,FCS,Penn,Fordham,KICK RETURNS,Cameron,Countryman,LONG,15
8789145,10/10/2015,FCS,Penn,Fordham,KICK RETURNS,Adam,Strouss,NO,1
8789146,10/10/2015,FCS,Penn,Fordham,KICK RETURNS,Adam,Strouss,YDS,14
8789147,10/10/2015,FCS,Penn,Fordham,KICK RETURNS,Adam,Strouss,AVG,14.0
8789148,10/10/2015,FCS,Penn,Fordham,KICK RETURNS,Adam,Strouss,LONG,14
