ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
8773001,10/10/2015,FCS,Marist,Campbell,RUSHING,Marcellus,Calhoun,ATT,13
8773002,10/10/2015,FCS,Marist,Campbell,RUSHING,Marcellus,Calhoun,YDS,56
8773003,10/10/2015,FCS,Marist,Campbell,RUSHING,Marcellus,Calhoun,TD,1
8773004,10/10/2015,FCS,Marist,Campbell,RUSHING,Marcellus,Calhoun,LONG,23
8773005,10/10/2015,FCS,Marist,Campbell,RUSHING,Garrett,Clay,ATT,12
8773006,10/10/2015,FCS,Marist,Campbell,RUSHING,Garrett,Clay,YDS,45
8773007,10/10/2015,FCS,Marist,Campbell,RUSHING,Garrett,Clay,TD,0
8773008,10/10/2015,FCS,Marist,Campbell,RUSHING,Garrett,Clay,LONG,10
8773009,10/10/2015,FCS,Marist,Campbell,RUSHING,Michael,White,ATT,9
8773010,10/10/2015,FCS,Marist,Campbell,RUSHING,Michael,White,YDS,17
8773011,10/10/2015,FCS,Marist,Campbell,RUSHING,Michael,White,TD,0
8773012,10/10/2015,FCS,Marist,Campbell,RUSHING,Michael,White,LONG,13
8773013,10/10/2015,FCS,Marist,Campbell,RUSHING,Matt,Tralli,ATT,1
8773014,10/10/2015,FCS,Marist,Campbell,RUSHING,Matt,Tralli,YDS,8
8773015,10/10/2015,FCS,Marist,Campbell,RUSHING,Matt,Tralli,TD,0
8773016,10/10/2015,FCS,Marist,Campbell,RUSHING,Matt,Tralli,LONG,8
8773017,10/10/2015,FCS,Marist,Campbell,RUSHING,Ed,Achziger,ATT,1
8773018,10/10/2015,FCS,Marist,Campbell,RUSHING,Ed,Achziger,YDS,0
8773019,10/10/2015,FCS,Marist,Campbell,RUSHING,Ed,Achziger,TD,0
8773020,10/10/2015,FCS,Marist,Campbell,RUSHING,Ed,Achziger,LONG,0
8773021,10/10/2015,FCS,Marist,Campbell,RUSHING,,Team,ATT,2
8773022,10/10/2015,FCS,Marist,Campbell,RUSHING,,Team,YDS,-2
8773023,10/10/2015,FCS,Marist,Campbell,RUSHING,,Team,TD,0
8773024,10/10/2015,FCS,Marist,Campbell,RUSHING,,Team,LONG,0
8773025,10/10/2015,FCS,Marist,Campbell,PASSING,Michael,White,CP-ATT-INT,14-31-0
8773026,10/10/2015,FCS,Marist,Campbell,PASSING,Michael,White,YDS,223
8773027,10/10/2015,FCS,Marist,Campbell,PASSING,Michael,White,TD,0
8773028,10/10/2015,FCS,Marist,Campbell,PASSING,Michael,White,LONG,0
8773029,10/10/2015,FCS,Marist,Campbell,PASSING,Matt,Tralli,CP-ATT-INT,0-1-0
8773030,10/10/2015,FCS,Marist,Campbell,PASSING,Matt,Tralli,YDS,0
8773031,10/10/2015,FCS,Marist,Campbell,PASSING,Matt,Tralli,TD,0
8773032,10/10/2015,FCS,Marist,Campbell,PASSING,Matt,Tralli,LONG,0
8773033,10/10/2015,FCS,Marist,Campbell,RECEIVING,Malik,Simmons,REC,3
8773034,10/10/2015,FCS,Marist,Campbell,RECEIVING,Malik,Simmons,YDS,60
8773035,10/10/2015,FCS,Marist,Campbell,RECEIVING,Malik,Simmons,TD,0
8773036,10/10/2015,FCS,Marist,Campbell,RECEIVING,Malik,Simmons,LONG,38
8773037,10/10/2015,FCS,Marist,Campbell,RECEIVING,Matt,Tralli,REC,5
8773038,10/10/2015,FCS,Marist,Campbell,RECEIVING,Matt,Tralli,YDS,58
8773039,10/10/2015,FCS,Marist,Campbell,RECEIVING,Matt,Tralli,TD,0
8773040,10/10/2015,FCS,Marist,Campbell,RECEIVING,Matt,Tralli,LONG,17
8773041,10/10/2015,FCS,Marist,Campbell,RECEIVING,Lawrence,Dickens,REC,3
8773042,10/10/2015,FCS,Marist,Campbell,RECEIVING,Lawrence,Dickens,YDS,45
8773043,10/10/2015,FCS,Marist,Campbell,RECEIVING,Lawrence,Dickens,TD,0
8773044,10/10/2015,FCS,Marist,Campbell,RECEIVING,Lawrence,Dickens,LONG,15
8773045,10/10/2015,FCS,Marist,Campbell,RECEIVING,Juston,Christian,REC,1
8773046,10/10/2015,FCS,Marist,Campbell,RECEIVING,Juston,Christian,YDS,36
8773047,10/10/2015,FCS,Marist,Campbell,RECEIVING,Juston,Christian,TD,0
8773048,10/10/2015,FCS,Marist,Campbell,RECEIVING,Juston,Christian,LONG,36
8773049,10/10/2015,FCS,Marist,Campbell,RECEIVING,Joe,Jordan,REC,1
8773050,10/10/2015,FCS,Marist,Campbell,RECEIVING,Joe,Jordan,YDS,22
8773051,10/10/2015,FCS,Marist,Campbell,RECEIVING,Joe,Jordan,TD,0
8773052,10/10/2015,FCS,Marist,Campbell,RECEIVING,Joe,Jordan,LONG,22
8773053,10/10/2015,FCS,Marist,Campbell,RECEIVING,Marcellus,Calhoun,REC,1
8773054,10/10/2015,FCS,Marist,Campbell,RECEIVING,Marcellus,Calhoun,YDS,2
8773055,10/10/2015,FCS,Marist,Campbell,RECEIVING,Marcellus,Calhoun,TD,0
8773056,10/10/2015,FCS,Marist,Campbell,RECEIVING,Marcellus,Calhoun,LONG,2
8773057,10/10/2015,FCS,Marist,Campbell,KICKING,Mike,Maccarone,FG-FGA,2/3
8773058,10/10/2015,FCS,Marist,Campbell,KICKING,Mike,Maccarone,LONG,28
8773059,10/10/2015,FCS,Marist,Campbell,KICKING,Mike,Maccarone,XP,1
8773060,10/10/2015,FCS,Marist,Campbell,KICKING,Mike,Maccarone,PTS,7
8773061,10/10/2015,FCS,Marist,Campbell,PUNTING,Mike,Maccarone,NO,5
8773062,10/10/2015,FCS,Marist,Campbell,PUNTING,Mike,Maccarone,YDS,177
8773063,10/10/2015,FCS,Marist,Campbell,PUNTING,Mike,Maccarone,AVG,35.4
8773064,10/10/2015,FCS,Marist,Campbell,PUNTING,Mike,Maccarone,LONG,43
8773065,10/10/2015,FCS,Marist,Campbell,KICK RETURNS,Lawrence,Dickens,NO,2
8773066,10/10/2015,FCS,Marist,Campbell,KICK RETURNS,Lawrence,Dickens,YDS,51
8773067,10/10/2015,FCS,Marist,Campbell,KICK RETURNS,Lawrence,Dickens,AVG,25.5
8773068,10/10/2015,FCS,Marist,Campbell,KICK RETURNS,Lawrence,Dickens,LONG,35
8773069,10/10/2015,FCS,Campbell,Marist,RUSHING,DeShawn,Jones,ATT,16
8773070,10/10/2015,FCS,Campbell,Marist,RUSHING,DeShawn,Jones,YDS,101
8773071,10/10/2015,FCS,Campbell,Marist,RUSHING,DeShawn,Jones,TD,0
8773072,10/10/2015,FCS,Campbell,Marist,RUSHING,DeShawn,Jones,LONG,33
8773073,10/10/2015,FCS,Campbell,Marist,RUSHING,Kameron,Bryant,ATT,12
8773074,10/10/2015,FCS,Campbell,Marist,RUSHING,Kameron,Bryant,YDS,70
8773075,10/10/2015,FCS,Campbell,Marist,RUSHING,Kameron,Bryant,TD,1
8773076,10/10/2015,FCS,Campbell,Marist,RUSHING,Kameron,Bryant,LONG,18
8773077,10/10/2015,FCS,Campbell,Marist,RUSHING,Andre,Davis,ATT,2
8773078,10/10/2015,FCS,Campbell,Marist,RUSHING,Andre,Davis,YDS,13
8773079,10/10/2015,FCS,Campbell,Marist,RUSHING,Andre,Davis,TD,0
8773080,10/10/2015,FCS,Campbell,Marist,RUSHING,Andre,Davis,LONG,15
8773081,10/10/2015,FCS,Campbell,Marist,RUSHING,Austin,Fleming,ATT,2
8773082,10/10/2015,FCS,Campbell,Marist,RUSHING,Austin,Fleming,YDS,11
8773083,10/10/2015,FCS,Campbell,Marist,RUSHING,Austin,Fleming,TD,0
8773084,10/10/2015,FCS,Campbell,Marist,RUSHING,Austin,Fleming,LONG,8
8773085,10/10/2015,FCS,Campbell,Marist,RUSHING,Dalton,Dillon,ATT,1
8773086,10/10/2015,FCS,Campbell,Marist,RUSHING,Dalton,Dillon,YDS,2
8773087,10/10/2015,FCS,Campbell,Marist,RUSHING,Dalton,Dillon,TD,0
8773088,10/10/2015,FCS,Campbell,Marist,RUSHING,Dalton,Dillon,LONG,2
8773089,10/10/2015,FCS,Campbell,Marist,RUSHING,Jared,Joyner,ATT,2
8773090,10/10/2015,FCS,Campbell,Marist,RUSHING,Jared,Joyner,YDS,1
8773091,10/10/2015,FCS,Campbell,Marist,RUSHING,Jared,Joyner,TD,0
8773092,10/10/2015,FCS,Campbell,Marist,RUSHING,Jared,Joyner,LONG,5
8773093,10/10/2015,FCS,Campbell,Marist,PASSING,Kameron,Bryant,CP-ATT-INT,17-29-3
8773094,10/10/2015,FCS,Campbell,Marist,PASSING,Kameron,Bryant,YDS,157
8773095,10/10/2015,FCS,Campbell,Marist,PASSING,Kameron,Bryant,TD,0
8773096,10/10/2015,FCS,Campbell,Marist,PASSING,Kameron,Bryant,LONG,0
8773097,10/10/2015,FCS,Campbell,Marist,RECEIVING,Aaron,Blockmon,REC,1
