ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
8934001,10/24/2015,FCS,Princeton,Harvard,RUSHING,Charles,Volker,ATT,11
8934002,10/24/2015,FCS,Princeton,Harvard,RUSHING,Charles,Volker,YDS,41
8934003,10/24/2015,FCS,Princeton,Harvard,RUSHING,Charles,Volker,TD,0
8934004,10/24/2015,FCS,Princeton,Harvard,RUSHING,Charles,Volker,LONG,11
8934005,10/24/2015,FCS,Princeton,Harvard,RUSHING,Chad,Kanoff,ATT,2
8934006,10/24/2015,FCS,Princeton,Harvard,RUSHING,Chad,Kanoff,YDS,10
8934007,10/24/2015,FCS,Princeton,Harvard,RUSHING,Chad,Kanoff,TD,0
8934008,10/24/2015,FCS,Princeton,Harvard,RUSHING,Chad,Kanoff,LONG,8
8934009,10/24/2015,FCS,Princeton,Harvard,RUSHING,Joe,Rhattigan,ATT,4
8934010,10/24/2015,FCS,Princeton,Harvard,RUSHING,Joe,Rhattigan,YDS,10
8934011,10/24/2015,FCS,Princeton,Harvard,RUSHING,Joe,Rhattigan,TD,0
8934012,10/24/2015,FCS,Princeton,Harvard,RUSHING,Joe,Rhattigan,LONG,6
8934013,10/24/2015,FCS,Princeton,Harvard,RUSHING,John,Lovett,ATT,4
8934014,10/24/2015,FCS,Princeton,Harvard,RUSHING,John,Lovett,YDS,8
8934015,10/24/2015,FCS,Princeton,Harvard,RUSHING,John,Lovett,TD,0
8934016,10/24/2015,FCS,Princeton,Harvard,RUSHING,John,Lovett,LONG,5
8934017,10/24/2015,FCS,Princeton,Harvard,RUSHING,Cody,Smith,ATT,1
8934018,10/24/2015,FCS,Princeton,Harvard,RUSHING,Cody,Smith,YDS,5
8934019,10/24/2015,FCS,Princeton,Harvard,RUSHING,Cody,Smith,TD,0
8934020,10/24/2015,FCS,Princeton,Harvard,RUSHING,Cody,Smith,LONG,5
8934021,10/24/2015,FCS,Princeton,Harvard,RUSHING,Dre,Nelson,ATT,2
8934022,10/24/2015,FCS,Princeton,Harvard,RUSHING,Dre,Nelson,YDS,-5
8934023,10/24/2015,FCS,Princeton,Harvard,RUSHING,Dre,Nelson,TD,0
8934024,10/24/2015,FCS,Princeton,Harvard,RUSHING,Dre,Nelson,LONG,0
