ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
8729001,10/3/2015,FCS,Marist,San Diego,RUSHING,Marcellus,Calhoun,ATT,12
8729002,10/3/2015,FCS,Marist,San Diego,RUSHING,Marcellus,Calhoun,YDS,104
8729003,10/3/2015,FCS,Marist,San Diego,RUSHING,Marcellus,Calhoun,TD,0
8729004,10/3/2015,FCS,Marist,San Diego,RUSHING,Marcellus,Calhoun,LONG,51
8729005,10/3/2015,FCS,Marist,San Diego,RUSHING,Garrett,Clay,ATT,8
8729006,10/3/2015,FCS,Marist,San Diego,RUSHING,Garrett,Clay,YDS,12
8729007,10/3/2015,FCS,Marist,San Diego,RUSHING,Garrett,Clay,TD,1
8729008,10/3/2015,FCS,Marist,San Diego,RUSHING,Garrett,Clay,LONG,8
8729009,10/3/2015,FCS,Marist,San Diego,RUSHING,Michael,White,ATT,6
8729010,10/3/2015,FCS,Marist,San Diego,RUSHING,Michael,White,YDS,7
8729011,10/3/2015,FCS,Marist,San Diego,RUSHING,Michael,White,TD,0
8729012,10/3/2015,FCS,Marist,San Diego,RUSHING,Michael,White,LONG,11
8729013,10/3/2015,FCS,Marist,San Diego,PASSING,Michael,White,CP-ATT-INT,13-28-2
8729014,10/3/2015,FCS,Marist,San Diego,PASSING,Michael,White,YDS,237
8729015,10/3/2015,FCS,Marist,San Diego,PASSING,Michael,White,TD,3
8729016,10/3/2015,FCS,Marist,San Diego,PASSING,Michael,White,LONG,77
8729017,10/3/2015,FCS,Marist,San Diego,RECEIVING,Juston,Christian,REC,3
8729018,10/3/2015,FCS,Marist,San Diego,RECEIVING,Juston,Christian,YDS,95
8729019,10/3/2015,FCS,Marist,San Diego,RECEIVING,Juston,Christian,TD,1
8729020,10/3/2015,FCS,Marist,San Diego,RECEIVING,Juston,Christian,LONG,77
8729021,10/3/2015,FCS,Marist,San Diego,RECEIVING,Lawrence,Dickens,REC,3
8729022,10/3/2015,FCS,Marist,San Diego,RECEIVING,Lawrence,Dickens,YDS,76
8729023,10/3/2015,FCS,Marist,San Diego,RECEIVING,Lawrence,Dickens,TD,2
8729024,10/3/2015,FCS,Marist,San Diego,RECEIVING,Lawrence,Dickens,LONG,63
8729025,10/3/2015,FCS,Marist,San Diego,RECEIVING,Joshua,Royce,REC,4
8729026,10/3/2015,FCS,Marist,San Diego,RECEIVING,Joshua,Royce,YDS,31
8729027,10/3/2015,FCS,Marist,San Diego,RECEIVING,Joshua,Royce,TD,0
8729028,10/3/2015,FCS,Marist,San Diego,RECEIVING,Joshua,Royce,LONG,9
8729029,10/3/2015,FCS,Marist,San Diego,RECEIVING,Malik,Simmons,REC,2
8729030,10/3/2015,FCS,Marist,San Diego,RECEIVING,Malik,Simmons,YDS,24
8729031,10/3/2015,FCS,Marist,San Diego,RECEIVING,Malik,Simmons,TD,0
8729032,10/3/2015,FCS,Marist,San Diego,RECEIVING,Malik,Simmons,LONG,21
8729033,10/3/2015,FCS,Marist,San Diego,RECEIVING,Matt,Tralli,REC,1
8729034,10/3/2015,FCS,Marist,San Diego,RECEIVING,Matt,Tralli,YDS,11
8729035,10/3/2015,FCS,Marist,San Diego,RECEIVING,Matt,Tralli,TD,0
8729036,10/3/2015,FCS,Marist,San Diego,RECEIVING,Matt,Tralli,LONG,11
8729037,10/3/2015,FCS,Marist,San Diego,KICKING,Mike,Maccarone,FG-FGA,0/0
8729038,10/3/2015,FCS,Marist,San Diego,KICKING,Mike,Maccarone,LONG,-
8729039,10/3/2015,FCS,Marist,San Diego,KICKING,Mike,Maccarone,XP,3
8729040,10/3/2015,FCS,Marist,San Diego,KICKING,Mike,Maccarone,PTS,3
8729041,10/3/2015,FCS,Marist,San Diego,PUNTING,Mike,Maccarone,NO,5
8729042,10/3/2015,FCS,Marist,San Diego,PUNTING,Mike,Maccarone,YDS,207
8729043,10/3/2015,FCS,Marist,San Diego,PUNTING,Mike,Maccarone,AVG,41.4
8729044,10/3/2015,FCS,Marist,San Diego,PUNTING,Mike,Maccarone,LONG,48
8729045,10/3/2015,FCS,Marist,San Diego,KICK RETURNS,Lawrence,Dickens,NO,3
8729046,10/3/2015,FCS,Marist,San Diego,KICK RETURNS,Lawrence,Dickens,YDS,64
8729047,10/3/2015,FCS,Marist,San Diego,KICK RETURNS,Lawrence,Dickens,AVG,21.3
8729048,10/3/2015,FCS,Marist,San Diego,KICK RETURNS,Lawrence,Dickens,LONG,24
8729049,10/3/2015,FCS,Marist,San Diego,KICK RETURNS,Leon,Cummings,NO,1
8729050,10/3/2015,FCS,Marist,San Diego,KICK RETURNS,Leon,Cummings,YDS,16
8729051,10/3/2015,FCS,Marist,San Diego,KICK RETURNS,Leon,Cummings,AVG,16.0
8729052,10/3/2015,FCS,Marist,San Diego,KICK RETURNS,Leon,Cummings,LONG,16
8729053,10/3/2015,FCS,San Diego,Marist,RUSHING,Jereke,Armstrong,ATT,15
8729054,10/3/2015,FCS,San Diego,Marist,RUSHING,Jereke,Armstrong,YDS,72
8729055,10/3/2015,FCS,San Diego,Marist,RUSHING,Jereke,Armstrong,TD,0
8729056,10/3/2015,FCS,San Diego,Marist,RUSHING,Jereke,Armstrong,LONG,15
8729057,10/3/2015,FCS,San Diego,Marist,RUSHING,Dallas,Kessman,ATT,17
8729058,10/3/2015,FCS,San Diego,Marist,RUSHING,Dallas,Kessman,YDS,63
8729059,10/3/2015,FCS,San Diego,Marist,RUSHING,Dallas,Kessman,TD,1
8729060,10/3/2015,FCS,San Diego,Marist,RUSHING,Dallas,Kessman,LONG,17
8729061,10/3/2015,FCS,San Diego,Marist,RUSHING,Chris,Willson,ATT,5
8729062,10/3/2015,FCS,San Diego,Marist,RUSHING,Chris,Willson,YDS,15
8729063,10/3/2015,FCS,San Diego,Marist,RUSHING,Chris,Willson,TD,0
8729064,10/3/2015,FCS,San Diego,Marist,RUSHING,Chris,Willson,LONG,8
8729065,10/3/2015,FCS,San Diego,Marist,RUSHING,Chris,Campano,ATT,3
8729066,10/3/2015,FCS,San Diego,Marist,RUSHING,Chris,Campano,YDS,9
8729067,10/3/2015,FCS,San Diego,Marist,RUSHING,Chris,Campano,TD,0
8729068,10/3/2015,FCS,San Diego,Marist,RUSHING,Chris,Campano,LONG,7
8729069,10/3/2015,FCS,San Diego,Marist,RUSHING,Anthony,Lawrence,ATT,7
8729070,10/3/2015,FCS,San Diego,Marist,RUSHING,Anthony,Lawrence,YDS,7
8729071,10/3/2015,FCS,San Diego,Marist,RUSHING,Anthony,Lawrence,TD,1
8729072,10/3/2015,FCS,San Diego,Marist,RUSHING,Anthony,Lawrence,LONG,5
8729073,10/3/2015,FCS,San Diego,Marist,PASSING,Anthony,Lawrence,CP-ATT-INT,22-35-0
8729074,10/3/2015,FCS,San Diego,Marist,PASSING,Anthony,Lawrence,YDS,207
8729075,10/3/2015,FCS,San Diego,Marist,PASSING,Anthony,Lawrence,TD,1
8729076,10/3/2015,FCS,San Diego,Marist,PASSING,Anthony,Lawrence,LONG,26
8729077,10/3/2015,FCS,San Diego,Marist,PASSING,Justin,Priest,CP-ATT-INT,1-1-0
8729078,10/3/2015,FCS,San Diego,Marist,PASSING,Justin,Priest,YDS,16
8729079,10/3/2015,FCS,San Diego,Marist,PASSING,Justin,Priest,TD,0
8729080,10/3/2015,FCS,San Diego,Marist,PASSING,Justin,Priest,LONG,16
8729081,10/3/2015,FCS,San Diego,Marist,RECEIVING,Ross,Dwelley,REC,9
8729082,10/3/2015,FCS,San Diego,Marist,RECEIVING,Ross,Dwelley,YDS,87
8729083,10/3/2015,FCS,San Diego,Marist,RECEIVING,Ross,Dwelley,TD,0
8729084,10/3/2015,FCS,San Diego,Marist,RECEIVING,Ross,Dwelley,LONG,26
8729085,10/3/2015,FCS,San Diego,Marist,RECEIVING,Justin,Priest,REC,4
8729086,10/3/2015,FCS,San Diego,Marist,RECEIVING,Justin,Priest,YDS,38
8729087,10/3/2015,FCS,San Diego,Marist,RECEIVING,Justin,Priest,TD,1
8729088,10/3/2015,FCS,San Diego,Marist,RECEIVING,Justin,Priest,LONG,16
8729089,10/3/2015,FCS,San Diego,Marist,RECEIVING,Brian,Riley,REC,3
8729090,10/3/2015,FCS,San Diego,Marist,RECEIVING,Brian,Riley,YDS,30
8729091,10/3/2015,FCS,San Diego,Marist,RECEIVING,Brian,Riley,TD,0
8729092,10/3/2015,FCS,San Diego,Marist,RECEIVING,Brian,Riley,LONG,14
8729093,10/3/2015,FCS,San Diego,Marist,RECEIVING,Dallas,Kessman,REC,3
8729094,10/3/2015,FCS,San Diego,Marist,RECEIVING,Dallas,Kessman,YDS,28
8729095,10/3/2015,FCS,San Diego,Marist,RECEIVING,Dallas,Kessman,TD,0
8729096,10/3/2015,FCS,San Diego,Marist,RECEIVING,Dallas,Kessman,LONG,12
8729097,10/3/2015,FCS,San Diego,Marist,RECEIVING,Chris,Campano,REC,2
8729098,10/3/2015,FCS,San Diego,Marist,RECEIVING,Chris,Campano,YDS,20
8729099,10/3/2015,FCS,San Diego,Marist,RECEIVING,Chris,Campano,TD,0
8729100,10/3/2015,FCS,San Diego,Marist,RECEIVING,Chris,Campano,LONG,18
8729101,10/3/2015,FCS,San Diego,Marist,RECEIVING,Joseph,Jakubowsky,REC,1
8729102,10/3/2015,FCS,San Diego,Marist,RECEIVING,Joseph,Jakubowsky,YDS,12
8729103,10/3/2015,FCS,San Diego,Marist,RECEIVING,Joseph,Jakubowsky,TD,0
8729104,10/3/2015,FCS,San Diego,Marist,RECEIVING,Joseph,Jakubowsky,LONG,12
8729105,10/3/2015,FCS,San Diego,Marist,RECEIVING,Mason,Burnett,REC,1
8729106,10/3/2015,FCS,San Diego,Marist,RECEIVING,Mason,Burnett,YDS,8
8729107,10/3/2015,FCS,San Diego,Marist,RECEIVING,Mason,Burnett,TD,0
8729108,10/3/2015,FCS,San Diego,Marist,RECEIVING,Mason,Burnett,LONG,8
8729109,10/3/2015,FCS,San Diego,Marist,KICKING,Jack,Flatau,FG-FGA,1/2
8729110,10/3/2015,FCS,San Diego,Marist,KICKING,Jack,Flatau,LONG,0
8729111,10/3/2015,FCS,San Diego,Marist,KICKING,Jack,Flatau,XP,3
8729112,10/3/2015,FCS,San Diego,Marist,KICKING,Jack,Flatau,PTS,6
8729113,10/3/2015,FCS,San Diego,Marist,PUNTING,Ryan,Belden,NO,4
8729114,10/3/2015,FCS,San Diego,Marist,PUNTING,Ryan,Belden,YDS,152
8729115,10/3/2015,FCS,San Diego,Marist,PUNTING,Ryan,Belden,AVG,38.0
8729116,10/3/2015,FCS,San Diego,Marist,PUNTING,Ryan,Belden,LONG,44
8729117,10/3/2015,FCS,San Diego,Marist,PUNT RETURNS,Jacob,Arnell,NO,3
8729118,10/3/2015,FCS,San Diego,Marist,PUNT RETURNS,Jacob,Arnell,YDS,20
8729119,10/3/2015,FCS,San Diego,Marist,PUNT RETURNS,Jacob,Arnell,AVG,6.7
8729120,10/3/2015,FCS,San Diego,Marist,PUNT RETURNS,Jacob,Arnell,LONG,9
