ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
8955001,10/31/2015,FCS,Georgetown,Lehigh,RUSHING,Jo'el,Kimpela,ATT,14
8955002,10/31/2015,FCS,Georgetown,Lehigh,RUSHING,Jo'el,Kimpela,YDS,89
8955003,10/31/2015,FCS,Georgetown,Lehigh,RUSHING,Jo'el,Kimpela,TD,0
8955004,10/31/2015,FCS,Georgetown,Lehigh,RUSHING,Jo'el,Kimpela,LONG,22
8955005,10/31/2015,FCS,Georgetown,Lehigh,RUSHING,Alex,Valles,ATT,10
8955006,10/31/2015,FCS,Georgetown,Lehigh,RUSHING,Alex,Valles,YDS,42
8955007,10/31/2015,FCS,Georgetown,Lehigh,RUSHING,Alex,Valles,TD,0
8955008,10/31/2015,FCS,Georgetown,Lehigh,RUSHING,Alex,Valles,LONG,13
8955009,10/31/2015,FCS,Georgetown,Lehigh,RUSHING,Isaac,Ellsworth,ATT,1
8955010,10/31/2015,FCS,Georgetown,Lehigh,RUSHING,Isaac,Ellsworth,YDS,-4
8955011,10/31/2015,FCS,Georgetown,Lehigh,RUSHING,Isaac,Ellsworth,TD,0
8955012,10/31/2015,FCS,Georgetown,Lehigh,RUSHING,Isaac,Ellsworth,LONG,0
8955013,10/31/2015,FCS,Georgetown,Lehigh,RUSHING,Kyle,Nolan,ATT,13
8955014,10/31/2015,FCS,Georgetown,Lehigh,RUSHING,Kyle,Nolan,YDS,-29
8955015,10/31/2015,FCS,Georgetown,Lehigh,RUSHING,Kyle,Nolan,TD,0
8955016,10/31/2015,FCS,Georgetown,Lehigh,RUSHING,Kyle,Nolan,LONG,8
8955017,10/31/2015,FCS,Georgetown,Lehigh,PASSING,Kyle,Nolan,CP-ATT-INT,25-38-0
8955018,10/31/2015,FCS,Georgetown,Lehigh,PASSING,Kyle,Nolan,YDS,355
8955019,10/31/2015,FCS,Georgetown,Lehigh,PASSING,Kyle,Nolan,TD,4
8955020,10/31/2015,FCS,Georgetown,Lehigh,PASSING,Kyle,Nolan,LONG,43
8955021,10/31/2015,FCS,Georgetown,Lehigh,RECEIVING,Jake,DeCicco,REC,10
8955022,10/31/2015,FCS,Georgetown,Lehigh,RECEIVING,Jake,DeCicco,YDS,195
8955023,10/31/2015,FCS,Georgetown,Lehigh,RECEIVING,Jake,DeCicco,TD,1
8955024,10/31/2015,FCS,Georgetown,Lehigh,RECEIVING,Jake,DeCicco,LONG,43
8955025,10/31/2015,FCS,Georgetown,Lehigh,RECEIVING,Luke,Morris,REC,6
8955026,10/31/2015,FCS,Georgetown,Lehigh,RECEIVING,Luke,Morris,YDS,76
8955027,10/31/2015,FCS,Georgetown,Lehigh,RECEIVING,Luke,Morris,TD,1
8955028,10/31/2015,FCS,Georgetown,Lehigh,RECEIVING,Luke,Morris,LONG,34
8955029,10/31/2015,FCS,Georgetown,Lehigh,RECEIVING,Justin,Hill,REC,4
8955030,10/31/2015,FCS,Georgetown,Lehigh,RECEIVING,Justin,Hill,YDS,56
8955031,10/31/2015,FCS,Georgetown,Lehigh,RECEIVING,Justin,Hill,TD,0
8955032,10/31/2015,FCS,Georgetown,Lehigh,RECEIVING,Justin,Hill,LONG,22
