ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
8969001,10/31/2015,FCS,Indiana State,Illinois State,RUSHING,Roland,Genesy,ATT,13
8969002,10/31/2015,FCS,Indiana State,Illinois State,RUSHING,Roland,Genesy,YDS,50
8969003,10/31/2015,FCS,Indiana State,Illinois State,RUSHING,Roland,Genesy,TD,0
8969004,10/31/2015,FCS,Indiana State,Illinois State,RUSHING,Roland,Genesy,LONG,9
8969005,10/31/2015,FCS,Indiana State,Illinois State,RUSHING,LeMonte,Booker,ATT,11
8969006,10/31/2015,FCS,Indiana State,Illinois State,RUSHING,LeMonte,Booker,YDS,49
8969007,10/31/2015,FCS,Indiana State,Illinois State,RUSHING,LeMonte,Booker,TD,0
8969008,10/31/2015,FCS,Indiana State,Illinois State,RUSHING,LeMonte,Booker,LONG,15
8969009,10/31/2015,FCS,Indiana State,Illinois State,RUSHING,Matt,Adam,ATT,10
8969010,10/31/2015,FCS,Indiana State,Illinois State,RUSHING,Matt,Adam,YDS,16
8969011,10/31/2015,FCS,Indiana State,Illinois State,RUSHING,Matt,Adam,TD,0
8969012,10/31/2015,FCS,Indiana State,Illinois State,RUSHING,Matt,Adam,LONG,7
8969013,10/31/2015,FCS,Indiana State,Illinois State,RUSHING,Kelvin,Cook,ATT,2
8969014,10/31/2015,FCS,Indiana State,Illinois State,RUSHING,Kelvin,Cook,YDS,9
8969015,10/31/2015,FCS,Indiana State,Illinois State,RUSHING,Kelvin,Cook,TD,0
8969016,10/31/2015,FCS,Indiana State,Illinois State,RUSHING,Kelvin,Cook,LONG,5
8969017,10/31/2015,FCS,Indiana State,Illinois State,RUSHING,Lafaele,Fautanu,ATT,1
8969018,10/31/2015,FCS,Indiana State,Illinois State,RUSHING,Lafaele,Fautanu,YDS,-2
8969019,10/31/2015,FCS,Indiana State,Illinois State,RUSHING,Lafaele,Fautanu,TD,0
8969020,10/31/2015,FCS,Indiana State,Illinois State,RUSHING,Lafaele,Fautanu,LONG,0
8969021,10/31/2015,FCS,Indiana State,Illinois State,PASSING,Matt,Adam,CP-ATT-INT,19-30-0
8969022,10/31/2015,FCS,Indiana State,Illinois State,PASSING,Matt,Adam,YDS,231
8969023,10/31/2015,FCS,Indiana State,Illinois State,PASSING,Matt,Adam,TD,3
8969024,10/31/2015,FCS,Indiana State,Illinois State,PASSING,Matt,Adam,LONG,55
8969025,10/31/2015,FCS,Indiana State,Illinois State,RECEIVING,Robert,TonyanJr.,REC,9
8969026,10/31/2015,FCS,Indiana State,Illinois State,RECEIVING,Robert,TonyanJr.,YDS,117
8969027,10/31/2015,FCS,Indiana State,Illinois State,RECEIVING,Robert,TonyanJr.,TD,3
8969028,10/31/2015,FCS,Indiana State,Illinois State,RECEIVING,Robert,TonyanJr.,LONG,28
8969029,10/31/2015,FCS,Indiana State,Illinois State,RECEIVING,LeMonte,Booker,REC,2
8969030,10/31/2015,FCS,Indiana State,Illinois State,RECEIVING,LeMonte,Booker,YDS,60
8969031,10/31/2015,FCS,Indiana State,Illinois State,RECEIVING,LeMonte,Booker,TD,0
8969032,10/31/2015,FCS,Indiana State,Illinois State,RECEIVING,LeMonte,Booker,LONG,55
8969033,10/31/2015,FCS,Indiana State,Illinois State,RECEIVING,Sampson,Levingston,REC,3
8969034,10/31/2015,FCS,Indiana State,Illinois State,RECEIVING,Sampson,Levingston,YDS,37
8969035,10/31/2015,FCS,Indiana State,Illinois State,RECEIVING,Sampson,Levingston,TD,0
8969036,10/31/2015,FCS,Indiana State,Illinois State,RECEIVING,Sampson,Levingston,LONG,24
8969037,10/31/2015,FCS,Indiana State,Illinois State,RECEIVING,Gary,Owens,REC,4
8969038,10/31/2015,FCS,Indiana State,Illinois State,RECEIVING,Gary,Owens,YDS,17
8969039,10/31/2015,FCS,Indiana State,Illinois State,RECEIVING,Gary,Owens,TD,0
8969040,10/31/2015,FCS,Indiana State,Illinois State,RECEIVING,Gary,Owens,LONG,9
8969041,10/31/2015,FCS,Indiana State,Illinois State,RECEIVING,Roland,Genesy,REC,1
8969042,10/31/2015,FCS,Indiana State,Illinois State,RECEIVING,Roland,Genesy,YDS,0
8969043,10/31/2015,FCS,Indiana State,Illinois State,RECEIVING,Roland,Genesy,TD,0
8969044,10/31/2015,FCS,Indiana State,Illinois State,RECEIVING,Roland,Genesy,LONG,0
8969045,10/31/2015,FCS,Indiana State,Illinois State,KICKING,Eric,Heidorn,FG-FGA,1/1
8969046,10/31/2015,FCS,Indiana State,Illinois State,KICKING,Eric,Heidorn,LONG,38
8969047,10/31/2015,FCS,Indiana State,Illinois State,KICKING,Eric,Heidorn,XP,1
8969048,10/31/2015,FCS,Indiana State,Illinois State,KICKING,Eric,Heidorn,PTS,4
