ID,date,division,team,opponent,statCategory,firstName,lastName,statistic,value
8967001,10/31/2015,FCS,North Dakota St.,Southern Ill.,RUSHING,King,Frazier,ATT,16
8967002,10/31/2015,FCS,North Dakota St.,Southern Ill.,RUSHING,King,Frazier,YDS,177
8967003,10/31/2015,FCS,North Dakota St.,Southern Ill.,RUSHING,King,Frazier,TD,1
8967004,10/31/2015,FCS,North Dakota St.,Southern Ill.,RUSHING,King,Frazier,LONG,51
8967005,10/31/2015,FCS,North Dakota St.,Southern Ill.,RUSHING,Easton,Stick,ATT,16
8967006,10/31/2015,FCS,North Dakota St.,Southern Ill.,RUSHING,Easton,Stick,YDS,130
8967007,10/31/2015,FCS,North Dakota St.,Southern Ill.,RUSHING,Easton,Stick,TD,0
8967008,10/31/2015,FCS,North Dakota St.,Southern Ill.,RUSHING,Easton,Stick,LONG,60
8967009,10/31/2015,FCS,North Dakota St.,Southern Ill.,RUSHING,Lance,Dunn,ATT,4
8967010,10/31/2015,FCS,North Dakota St.,Southern Ill.,RUSHING,Lance,Dunn,YDS,38
8967011,10/31/2015,FCS,North Dakota St.,Southern Ill.,RUSHING,Lance,Dunn,TD,0
8967012,10/31/2015,FCS,North Dakota St.,Southern Ill.,RUSHING,Lance,Dunn,LONG,20
8967013,10/31/2015,FCS,North Dakota St.,Southern Ill.,RUSHING,Chase,Morlock,ATT,7
8967014,10/31/2015,FCS,North Dakota St.,Southern Ill.,RUSHING,Chase,Morlock,YDS,24
8967015,10/31/2015,FCS,North Dakota St.,Southern Ill.,RUSHING,Chase,Morlock,TD,2
8967016,10/31/2015,FCS,North Dakota St.,Southern Ill.,RUSHING,Chase,Morlock,LONG,10
8967017,10/31/2015,FCS,North Dakota St.,Southern Ill.,RUSHING,Darrius,Shepherd,ATT,1
8967018,10/31/2015,FCS,North Dakota St.,Southern Ill.,RUSHING,Darrius,Shepherd,YDS,16
8967019,10/31/2015,FCS,North Dakota St.,Southern Ill.,RUSHING,Darrius,Shepherd,TD,0
8967020,10/31/2015,FCS,North Dakota St.,Southern Ill.,RUSHING,Darrius,Shepherd,LONG,16
8967021,10/31/2015,FCS,North Dakota St.,Southern Ill.,RUSHING,Bruce,Anderson,ATT,2
8967022,10/31/2015,FCS,North Dakota St.,Southern Ill.,RUSHING,Bruce,Anderson,YDS,9
8967023,10/31/2015,FCS,North Dakota St.,Southern Ill.,RUSHING,Bruce,Anderson,TD,0
8967024,10/31/2015,FCS,North Dakota St.,Southern Ill.,RUSHING,Bruce,Anderson,LONG,6
8967025,10/31/2015,FCS,North Dakota St.,Southern Ill.,RUSHING,Darius,Anderson,ATT,1
8967026,10/31/2015,FCS,North Dakota St.,Southern Ill.,RUSHING,Darius,Anderson,YDS,4
8967027,10/31/2015,FCS,North Dakota St.,Southern Ill.,RUSHING,Darius,Anderson,TD,0
8967028,10/31/2015,FCS,North Dakota St.,Southern Ill.,RUSHING,Darius,Anderson,LONG,4
8967029,10/31/2015,FCS,North Dakota St.,Southern Ill.,RUSHING,,Team,ATT,1
8967030,10/31/2015,FCS,North Dakota St.,Southern Ill.,RUSHING,,Team,YDS,-1
8967031,10/31/2015,FCS,North Dakota St.,Southern Ill.,RUSHING,,Team,TD,0
8967032,10/31/2015,FCS,North Dakota St.,Southern Ill.,RUSHING,,Team,LONG,0
8967033,10/31/2015,FCS,North Dakota St.,Southern Ill.,PASSING,Easton,Stick,CP-ATT-INT,12-17-1
8967034,10/31/2015,FCS,North Dakota St.,Southern Ill.,PASSING,Easton,Stick,YDS,138
8967035,10/31/2015,FCS,North Dakota St.,Southern Ill.,PASSING,Easton,Stick,TD,2
8967036,10/31/2015,FCS,North Dakota St.,Southern Ill.,PASSING,Easton,Stick,LONG,77
8967037,10/31/2015,FCS,North Dakota St.,Southern Ill.,PASSING,,Team,CP-ATT-INT,0-1-0
8967038,10/31/2015,FCS,North Dakota St.,Southern Ill.,PASSING,,Team,YDS,0
8967039,10/31/2015,FCS,North Dakota St.,Southern Ill.,PASSING,,Team,TD,0
8967040,10/31/2015,FCS,North Dakota St.,Southern Ill.,PASSING,,Team,LONG,0
8967041,10/31/2015,FCS,North Dakota St.,Southern Ill.,RECEIVING,RJ,Urzendowski,REC,5
8967042,10/31/2015,FCS,North Dakota St.,Southern Ill.,RECEIVING,RJ,Urzendowski,YDS,93
8967043,10/31/2015,FCS,North Dakota St.,Southern Ill.,RECEIVING,RJ,Urzendowski,TD,2
